date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,13.7,13.75,13.7,13.74,138363.0
2018-02-16,09:31:00,13.75,13.75,13.64,13.655,27502.0
2018-02-16,09:32:00,13.66,13.7,13.655,13.67,51491.0
2018-02-16,09:33:00,13.67,13.68,13.64,13.65,27200.0
2018-02-16,09:34:00,13.64,13.6438,13.6,13.61,26100.0
2018-02-16,09:35:00,13.6135,13.67,13.61,13.66,33655.0
2018-02-16,09:36:00,13.66,13.66,13.6,13.6,60042.0
2018-02-16,09:37:00,13.6,13.62,13.59,13.59,27627.0
2018-02-16,09:38:00,13.59,13.615,13.58,13.6,30886.0
2018-02-16,09:39:00,13.6,13.67,13.595,13.66,28960.0
2018-02-16,09:40:00,13.65,13.69,13.65,13.67,60845.0
2018-02-16,09:41:00,13.66,13.67,13.645,13.65,21157.0
2018-02-16,09:42:00,13.64,13.65,13.62,13.64,20586.0
2018-02-16,09:43:00,13.645,13.67,13.63,13.67,28780.0
2018-02-16,09:44:00,13.68,13.71,13.68,13.68,23076.0
2018-02-16,09:45:00,13.69,13.69,13.64,13.65,11814.0
2018-02-16,09:46:00,13.65,13.65,13.62,13.635,21870.0
2018-02-16,09:47:00,13.64,13.645,13.625,13.64,14290.0
2018-02-16,09:48:00,13.635,13.67,13.63,13.67,77988.0
2018-02-16,09:49:00,13.67,13.7,13.67,13.69,54026.0
2018-02-16,09:50:00,13.6936,13.72,13.69,13.72,9970.0
2018-02-16,09:51:00,13.71,13.715,13.705,13.715,23315.0
2018-02-16,09:52:00,13.71,13.715,13.6901,13.6901,13600.0
2018-02-16,09:53:00,13.7,13.74,13.69,13.74,19580.0
2018-02-16,09:54:00,13.74,13.76,13.735,13.7564,8591.0
2018-02-16,09:55:00,13.76,13.76,13.73,13.74,22997.0
2018-02-16,09:56:00,13.74,13.74,13.71,13.71,48778.0
2018-02-16,09:57:00,13.715,13.715,13.69,13.7,5800.0
2018-02-16,09:58:00,13.7,13.71,13.68,13.71,17606.0
2018-02-16,09:59:00,13.7,13.71,13.66,13.67,32387.0
2018-02-16,10:00:00,13.68,13.7,13.67,13.69,13254.0
2018-02-16,10:01:00,13.68,13.68,13.63,13.63,18352.0
2018-02-16,10:02:00,13.63,13.645,13.63,13.63,21210.0
2018-02-16,10:03:00,13.63,13.64,13.61,13.61,32816.0
2018-02-16,10:04:00,13.61,13.635,13.6,13.63,14191.0
2018-02-16,10:05:00,13.63,13.63,13.61,13.6254,8300.0
2018-02-16,10:06:00,13.63,13.645,13.62,13.63,28928.0
2018-02-16,10:07:00,13.62,13.62,13.6,13.605,20892.0
2018-02-16,10:08:00,13.6,13.6,13.58,13.58,11388.0
2018-02-16,10:09:00,13.585,13.605,13.58,13.6,10988.0
2018-02-16,10:10:00,13.6,13.61,13.59,13.61,11100.0
2018-02-16,10:11:00,13.61,13.63,13.61,13.63,10680.0
2018-02-16,10:12:00,13.63,13.63,13.61,13.615,12800.0
2018-02-16,10:13:00,13.6156,13.63,13.595,13.6237,18336.0
2018-02-16,10:14:00,13.62,13.629,13.609,13.61,13288.0
2018-02-16,10:15:00,13.615,13.63,13.61,13.615,16320.0
2018-02-16,10:16:00,13.61,13.63,13.605,13.63,21205.0
2018-02-16,10:17:00,13.63,13.66,13.63,13.66,12844.0
2018-02-16,10:18:00,13.65,13.665,13.64,13.6448,17199.0
2018-02-16,10:19:00,13.64,13.64,13.625,13.64,7100.0
2018-02-16,10:20:00,13.64,13.64,13.615,13.62,10663.0
2018-02-16,10:21:00,13.61,13.6172,13.595,13.61,21359.0
2018-02-16,10:22:00,13.61,13.63,13.61,13.62,20830.0
2018-02-16,10:23:00,13.6161,13.62,13.6,13.615,13093.0
2018-02-16,10:24:00,13.615,13.62,13.6,13.61,13501.0
2018-02-16,10:25:00,13.62,13.62,13.59,13.59,9153.0
2018-02-16,10:26:00,13.59,13.62,13.59,13.62,16576.0
2018-02-16,10:27:00,13.615,13.62,13.59,13.59,17016.0
2018-02-16,10:28:00,13.59,13.615,13.59,13.6,12503.0
2018-02-16,10:29:00,13.6,13.6,13.58,13.6,10771.0
2018-02-16,10:30:00,13.6,13.61,13.595,13.61,3686.0
2018-02-16,10:31:00,13.61,13.65,13.61,13.65,23692.0
2018-02-16,10:32:00,13.64,13.65,13.64,13.645,11462.0
2018-02-16,10:33:00,13.64,13.65,13.64,13.65,4371.0
