date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,4.56,4.57,4.55,4.56,31942.0
2018-02-16,09:31:00,4.56,4.57,4.551,4.57,9864.0
2018-02-16,09:32:00,4.58,4.58,4.573,4.58,11400.0
2018-02-16,09:33:00,4.58,4.58,4.565,4.57,4858.0
2018-02-16,09:34:00,4.56,4.57,4.56,4.56,20700.0
2018-02-16,09:35:00,4.555,4.5699,4.55,4.56,7600.0
2018-02-16,09:36:00,4.57,4.57,4.555,4.56,26469.0
2018-02-16,09:37:00,4.56,4.56,4.56,4.56,400.0
2018-02-16,09:38:00,4.57,4.57,4.57,4.57,5700.0
2018-02-16,09:39:00,4.58,4.59,4.58,4.59,6532.0
2018-02-16,09:40:00,4.585,4.6,4.585,4.6,22300.0
2018-02-16,09:41:00,4.6,4.6,4.585,4.59,113427.0
2018-02-16,09:42:00,4.59,4.59,4.58,4.58,20598.0
2018-02-16,09:43:00,4.586,4.586,4.58,4.585,5200.0
2018-02-16,09:44:00,4.585,4.59,4.58,4.58,19235.0
2018-02-16,09:45:00,4.57,4.58,4.57,4.579,4384.0
2018-02-16,09:46:00,4.57,4.58,4.56,4.58,46840.0
2018-02-16,09:47:00,4.58,4.58,4.58,4.58,2750.0
2018-02-16,09:48:00,4.58,4.59,4.57,4.59,46700.0
2018-02-16,09:49:00,4.585,4.6,4.585,4.595,16844.0
2018-02-16,09:50:00,4.5963,4.6,4.59,4.595,25512.0
2018-02-16,09:51:00,4.59,4.6,4.585,4.595,49300.0
2018-02-16,09:52:00,4.595,4.595,4.595,4.595,1300.0
2018-02-16,09:53:00,4.6,4.6,4.59,4.6,7200.0
2018-02-16,09:54:00,4.6,4.61,4.595,4.6,85240.0
2018-02-16,09:55:00,4.6,4.61,4.585,4.59,68599.0
2018-02-16,09:56:00,4.59,4.605,4.585,4.595,172218.0
2018-02-16,09:57:00,4.59,4.59,4.58,4.58,11596.0
2018-02-16,09:58:00,4.59,4.59,4.58,4.59,6532.0
2018-02-16,09:59:00,4.585,4.59,4.58,4.585,7725.0
2018-02-16,10:00:00,4.585,4.59,4.58,4.585,7300.0
2018-02-16,10:01:00,4.585,4.585,4.57,4.575,27151.0
2018-02-16,10:02:00,4.575,4.575,4.56,4.5675,19500.0
2018-02-16,10:03:00,4.56,4.565,4.56,4.565,2400.0
2018-02-16,10:04:00,4.56,4.58,4.56,4.5738,34157.0
2018-02-16,10:05:00,4.575,4.58,4.57,4.575,3900.0
2018-02-16,10:06:00,4.575,4.58,4.57,4.575,26450.0
2018-02-16,10:07:00,4.58,4.58,4.57,4.58,5000.0
2018-02-16,10:08:00,4.575,4.58,4.57,4.575,3200.0
2018-02-16,10:09:00,4.575,4.585,4.57,4.585,22150.0
2018-02-16,10:10:00,4.585,4.59,4.585,4.59,17500.0
2018-02-16,10:11:00,4.59,4.6,4.585,4.595,32966.0
2018-02-16,10:12:00,4.595,4.6,4.59,4.595,57930.0
2018-02-16,10:13:00,4.595,4.6,4.5834,4.59,106498.0
2018-02-16,10:14:00,4.585,4.59,4.56,4.565,151192.0
2018-02-16,10:15:00,4.565,4.58,4.56,4.58,36400.0
2018-02-16,10:16:00,4.58,4.58,4.575,4.575,11000.0
2018-02-16,10:17:00,4.575,4.585,4.575,4.585,29873.0
2018-02-16,10:18:00,4.585,4.59,4.58,4.59,4600.0
2018-02-16,10:19:00,4.59,4.595,4.58,4.595,20199.0
2018-02-16,10:20:00,4.59,4.595,4.59,4.59,17162.0
2018-02-16,10:21:00,4.585,4.585,4.58,4.58,900.0
2018-02-16,10:22:00,4.59,4.59,4.58,4.585,10900.0
2018-02-16,10:23:00,4.59,4.59,4.58,4.58,2200.0
2018-02-16,10:24:00,4.585,4.585,4.58,4.585,5100.0
2018-02-16,10:25:00,4.58,4.59,4.58,4.59,2854.0
2018-02-16,10:26:00,4.59,4.6,4.58,4.595,10148.0
2018-02-16,10:27:00,4.595,4.595,4.59,4.595,9100.0
2018-02-16,10:28:00,4.6,4.6,4.59,4.59,1100.0
2018-02-16,10:29:00,4.6,4.6,4.59,4.6,4800.0
2018-02-16,10:30:00,4.59,4.61,4.59,4.61,93630.0
2018-02-16,10:31:00,4.61,4.62,4.61,4.62,17500.0
2018-02-16,10:32:00,4.62,4.625,4.61,4.62,12860.0
2018-02-16,10:33:00,4.625,4.64,4.62,4.64,326715.0
2018-02-16,10:34:00,4.635,4.635,4.63,4.63,14800.0
2018-02-16,10:35:00,4.635,4.635,4.625,4.63,40087.0
2018-02-16,10:36:00,4.64,4.64,4.635,4.64,26100.0
2018-02-16,10:37:00,4.63,4.63,4.62,4.625,23450.0
2018-02-16,10:38:00,4.62,4.625,4.62,4.62,3600.0
2018-02-16,10:39:00,4.62,4.63,4.62,4.62,7050.0
2018-02-16,10:40:00,4.625,4.635,4.625,4.635,16900.0
2018-02-16,10:41:00,4.635,4.635,4.63,4.63,3900.0
2018-02-16,10:42:00,4.63,4.64,4.62,4.635,44223.0
2018-02-16,10:43:00,4.635,4.64,4.62,4.62,23900.0
2018-02-16,10:44:00,4.63,4.635,4.63,4.63,20700.0
2018-02-16,10:45:00,4.63,4.63,4.625,4.625,14800.0
2018-02-16,10:46:00,4.625,4.625,4.625,4.625,1200.0
2018-02-16,10:47:00,4.625,4.635,4.625,4.635,20132.0
2018-02-16,10:48:00,4.64,4.64,4.63,4.63,5500.0
2018-02-16,10:49:00,4.635,4.64,4.63,4.635,6300.0
2018-02-16,10:50:00,4.63,4.65,4.63,4.64,137413.0
2018-02-16,10:51:00,4.64,4.645,4.64,4.64,4600.0
2018-02-16,10:52:00,4.64,4.64,4.63,4.64,115102.0
2018-02-16,10:53:00,4.64,4.64,4.64,4.64,3100.0
2018-02-16,10:54:00,4.645,4.645,4.64,4.645,12050.0
2018-02-16,10:55:00,4.645,4.645,4.64,4.645,2275.0
2018-02-16,10:56:00,4.64,4.645,4.635,4.635,14331.0
2018-02-16,10:57:00,4.635,4.635,4.635,4.635,3500.0
2018-02-16,10:58:00,4.635,4.64,4.63,4.63,10150.0
2018-02-16,10:59:00,4.63,4.64,4.63,4.635,4200.0
2018-02-16,11:00:00,4.635,4.635,4.63,4.635,6253.0
2018-02-16,11:01:00,4.635,4.645,4.63,4.635,51021.0
2018-02-16,11:02:00,4.64,4.645,4.635,4.645,13100.0
2018-02-16,11:03:00,4.645,4.645,4.64,4.645,9000.0
2018-02-16,11:04:00,4.64,4.64,4.635,4.64,33500.0
2018-02-16,11:05:00,4.63,4.65,4.63,4.64,9333.0
2018-02-16,11:06:00,4.645,4.645,4.64,4.64,1900.0
2018-02-16,11:07:00,4.65,4.66,4.65,4.66,51765.0
2018-02-16,11:08:00,4.655,4.66,4.652,4.66,23750.0
2018-02-16,11:09:00,4.66,4.67,4.65,4.655,147264.0
2018-02-16,11:10:00,4.66,4.665,4.66,4.66,67312.0
2018-02-16,11:11:00,4.655,4.66,4.655,4.66,3800.0
2018-02-16,11:12:00,4.66,4.66,4.65,4.66,6950.0
2018-02-16,11:13:00,4.655,4.66,4.65,4.66,3100.0
2018-02-16,11:14:00,4.655,4.66,4.65,4.655,2500.0
2018-02-16,11:15:00,4.655,4.665,4.65,4.665,34206.0
2018-02-16,11:16:00,4.66,4.665,4.66,4.66,9400.0
2018-02-16,11:17:00,4.66,4.665,4.66,4.66,8239.0
2018-02-16,11:18:00,4.665,4.665,4.655,4.66,35550.0
2018-02-16,11:19:00,4.65,4.66,4.65,4.66,500.0
2018-02-16,11:20:00,4.65,4.66,4.65,4.655,3783.0
2018-02-16,11:21:00,4.65,4.66,4.65,4.655,2400.0
2018-02-16,11:22:00,4.65,4.655,4.64,4.65,34950.0
2018-02-16,11:23:00,4.65,4.655,4.65,4.65,22900.0
2018-02-16,11:24:00,4.655,4.655,4.65,4.65,5187.0
2018-02-16,11:25:00,4.65,4.655,4.65,4.655,3850.0
2018-02-16,11:26:00,4.655,4.66,4.65,4.655,16000.0
2018-02-16,11:27:00,4.655,4.66,4.65,4.655,11950.0
