date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,81.45,81.55,81.45,81.55,410058.0
2018-02-16,09:31:00,81.6,81.99,81.508,81.95,22466.0
2018-02-16,09:32:00,81.95,81.99,81.89,81.94,16193.0
2018-02-16,09:33:00,81.9409,81.9425,81.8248,81.825,9822.0
2018-02-16,09:34:00,81.7924,81.89,81.7708,81.7708,7268.0
2018-02-16,09:35:00,81.74,81.8,81.6786,81.75,15729.0
2018-02-16,09:36:00,81.75,81.82,81.65,81.73,14780.0
2018-02-16,09:37:00,81.705,81.96,81.705,81.94,14775.0
2018-02-16,09:38:00,81.92,81.92,81.81,81.9,10993.0
2018-02-16,09:39:00,81.9178,81.9249,81.855,81.87,6636.0
2018-02-16,09:40:00,81.84,81.89,81.8,81.83,10991.0
2018-02-16,09:41:00,81.83,81.83,81.5601,81.5601,20530.0
2018-02-16,09:42:00,81.6,81.62,81.4,81.47,20069.0
2018-02-16,09:43:00,81.45,81.53,81.41,81.47,16144.0
2018-02-16,09:44:00,81.47,81.48,81.33,81.37,8357.0
2018-02-16,09:45:00,81.35,81.475,81.24,81.39,16675.0
2018-02-16,09:46:00,81.43,81.6,81.36,81.6,17626.0
2018-02-16,09:47:00,81.6,81.71,81.59,81.7,10145.0
2018-02-16,09:48:00,81.7,81.8025,81.67,81.77,11516.0
2018-02-16,09:49:00,81.77,81.9348,81.75,81.87,30673.0
2018-02-16,09:50:00,81.87,81.92,81.73,81.83,44349.0
2018-02-16,09:51:00,81.82,81.82,81.67,81.78,23899.0
2018-02-16,09:52:00,81.77,81.78,81.68,81.7602,8786.0
2018-02-16,09:53:00,81.7602,81.82,81.7297,81.78,16772.0
2018-02-16,09:54:00,81.73,81.79,81.65,81.68,9272.0
2018-02-16,09:55:00,81.675,81.71,81.52,81.555,8254.0
2018-02-16,09:56:00,81.56,81.62,81.48,81.4801,14105.0
2018-02-16,09:57:00,81.51,81.59,81.47,81.47,13205.0
2018-02-16,09:58:00,81.47,81.52,81.41,81.41,5200.0
2018-02-16,09:59:00,81.39,81.39,81.3,81.3,6899.0
2018-02-16,10:00:00,81.315,81.33,81.22,81.23,11560.0
2018-02-16,10:01:00,81.21,81.24,81.14,81.17,12204.0
2018-02-16,10:02:00,81.16,81.25,81.14,81.19,15110.0
2018-02-16,10:03:00,81.2088,81.24,81.18,81.195,8281.0
2018-02-16,10:04:00,81.18,81.31,81.18,81.28,11115.0
2018-02-16,10:05:00,81.29,81.449,81.29,81.44,8159.0
2018-02-16,10:06:00,81.45,81.4886,81.31,81.38,16091.0
2018-02-16,10:07:00,81.38,81.39,81.33,81.35,4725.0
2018-02-16,10:08:00,81.36,81.36,81.27,81.32,4995.0
2018-02-16,10:09:00,81.34,81.48,81.34,81.48,7632.0
2018-02-16,10:10:00,81.485,81.58,81.47,81.48,15082.0
2018-02-16,10:11:00,81.4788,81.5,81.43,81.45,6069.0
2018-02-16,10:12:00,81.44,81.5,81.38,81.39,8864.0
2018-02-16,10:13:00,81.4,81.415,81.325,81.415,3768.0
2018-02-16,10:14:00,81.42,81.45,81.345,81.345,5951.0
2018-02-16,10:15:00,81.36,81.53,81.36,81.49,7369.0
2018-02-16,10:16:00,81.51,81.61,81.51,81.56,8510.0
2018-02-16,10:17:00,81.57,81.655,81.54,81.655,10117.0
2018-02-16,10:18:00,81.641,81.7101,81.63,81.65,7601.0
2018-02-16,10:19:00,81.67,81.67,81.631,81.64,6320.0
2018-02-16,10:20:00,81.645,81.645,81.58,81.58,3866.0
2018-02-16,10:21:00,81.61,81.63,81.58,81.63,4895.0
2018-02-16,10:22:00,81.66,81.69,81.62,81.64,5650.0
2018-02-16,10:23:00,81.6575,81.68,81.63,81.65,13774.0
2018-02-16,10:24:00,81.665,81.665,81.55,81.62,11183.0
2018-02-16,10:25:00,81.6113,81.64,81.6,81.62,5579.0
2018-02-16,10:26:00,81.64,81.69,81.58,81.58,6554.0
2018-02-16,10:27:00,81.595,81.63,81.57,81.6,7717.0
2018-02-16,10:28:00,81.62,81.64,81.56,81.5701,12293.0
2018-02-16,10:29:00,81.55,81.61,81.55,81.56,8482.0
2018-02-16,10:30:00,81.57,81.63,81.57,81.62,17087.0
2018-02-16,10:31:00,81.62,81.69,81.6175,81.65,13195.0
2018-02-16,10:32:00,81.63,81.71,81.63,81.69,11637.0
2018-02-16,10:33:00,81.71,81.76,81.66,81.71,9579.0
2018-02-16,10:34:00,81.715,81.75,81.65,81.65,8122.0
2018-02-16,10:35:00,81.66,81.69,81.61,81.67,6693.0
2018-02-16,10:36:00,81.68,81.7354,81.66,81.72,6733.0
2018-02-16,10:37:00,81.72,81.74,81.64,81.64,19120.0
2018-02-16,10:38:00,81.65,81.77,81.65,81.74,12468.0
2018-02-16,10:39:00,81.755,81.84,81.5,81.64,421824.0
2018-02-16,10:40:00,81.64,81.69,81.63,81.64,7825.0
2018-02-16,10:41:00,81.655,81.88,81.655,81.88,10883.0
2018-02-16,10:42:00,81.885,81.98,81.85,81.97,8952.0
2018-02-16,10:43:00,81.975,82.04,81.855,81.92,22326.0
2018-02-16,10:44:00,81.94,81.99,81.92,81.92,7479.0
2018-02-16,10:45:00,81.93,81.95,81.87,81.92,7832.0
2018-02-16,10:46:00,81.915,81.94,81.8683,81.94,17655.0
2018-02-16,10:47:00,81.94,82.06,81.94,82.02,12367.0
2018-02-16,10:48:00,82.04,82.15,82.04,82.15,20020.0
2018-02-16,10:49:00,82.14,82.14,82.0425,82.1164,6884.0
2018-02-16,10:50:00,82.11,82.1386,82.08,82.089,5356.0
2018-02-16,10:51:00,82.1,82.1008,81.98,82.025,6922.0
2018-02-16,10:52:00,82.02,82.02,81.94,81.94,12861.0
2018-02-16,10:53:00,81.94,81.97,81.88,81.88,15877.0
