date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,1093.38,1093.5,1093.25,1093.5,99394.0
2018-02-16,09:31:00,1093.5,1097.72,1092.88,1096.5,9459.0
2018-02-16,09:32:00,1097.05,1098.43,1094.38,1095.315,6342.0
2018-02-16,09:33:00,1095.0301,1095.0301,1091.95,1092.29,8515.0
2018-02-16,09:34:00,1092.05,1093.2,1091.55,1093.2,4130.0
2018-02-16,09:35:00,1092.29,1095.0,1092.17,1093.65,6332.0
2018-02-16,09:36:00,1094.7767,1096.6,1093.84,1096.2555,7188.0
2018-02-16,09:37:00,1096.68,1099.55,1096.169,1099.09,4966.0
2018-02-16,09:38:00,1098.78,1099.36,1097.435,1098.815,6288.0
2018-02-16,09:39:00,1099.36,1100.12,1097.811,1097.811,12312.0
2018-02-16,09:40:00,1097.576,1100.17,1097.576,1100.12,6800.0
2018-02-16,09:41:00,1100.23,1101.62,1100.08,1101.375,11679.0
2018-02-16,09:42:00,1101.48,1102.06,1100.89,1101.1098,5683.0
2018-02-16,09:43:00,1100.85,1101.98,1100.7701,1100.7701,9936.0
2018-02-16,09:44:00,1100.49,1101.47,1098.59,1098.94,3791.0
2018-02-16,09:45:00,1098.9403,1099.42,1097.15,1097.15,4654.0
2018-02-16,09:46:00,1097.795,1099.35,1097.52,1099.085,2710.0
2018-02-16,09:47:00,1100.0,1100.34,1099.505,1099.68,2469.0
2018-02-16,09:48:00,1099.99,1100.0,1099.15,1099.99,2653.0
2018-02-16,09:49:00,1100.01,1100.77,1100.0,1100.66,2422.0
2018-02-16,09:50:00,1100.8,1101.8339,1100.75,1101.39,5472.0
2018-02-16,09:51:00,1101.599,1102.0,1100.74,1101.6401,3311.0
2018-02-16,09:52:00,1101.7353,1101.91,1101.539,1101.685,3001.0
2018-02-16,09:53:00,1101.705,1101.96,1100.74,1101.36,5220.0
2018-02-16,09:54:00,1101.241,1102.17,1101.24,1102.17,1300.0
2018-02-16,09:55:00,1102.78,1103.35,1102.76,1103.35,5222.0
2018-02-16,09:56:00,1103.465,1105.745,1103.465,1105.5775,11054.0
2018-02-16,09:57:00,1105.6175,1106.0,1104.57,1105.53,7851.0
2018-02-16,09:58:00,1105.54,1105.645,1105.2553,1105.645,8372.0
2018-02-16,09:59:00,1105.57,1105.57,1104.031,1104.335,3494.0
2018-02-16,10:00:00,1104.335,1105.035,1104.0,1104.8989,4427.0
2018-02-16,10:01:00,1104.12,1104.91,1103.424,1103.424,4631.0
2018-02-16,10:02:00,1103.535,1104.3929,1102.4825,1103.485,2050.0
2018-02-16,10:03:00,1102.611,1102.9243,1102.14,1102.21,4416.0
2018-02-16,10:04:00,1101.84,1102.18,1100.02,1100.32,4607.0
2018-02-16,10:05:00,1100.611,1101.3915,1099.55,1100.05,2505.0
