date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,4.55,4.56,4.55,4.56,170062.0
2018-02-16,09:31:00,4.565,4.599,4.55,4.58,26163.0
2018-02-16,09:32:00,4.57,4.575,4.55,4.57,27598.0
2018-02-16,09:33:00,4.5736,4.575,4.565,4.572,13600.0
2018-02-16,09:34:00,4.575,4.575,4.53,4.54,56877.0
2018-02-16,09:35:00,4.535,4.54,4.53,4.53,2800.0
2018-02-16,09:36:00,4.5387,4.55,4.53,4.53,41771.0
2018-02-16,09:37:00,4.535,4.54,4.53,4.54,24230.0
2018-02-16,09:38:00,4.53,4.54,4.53,4.5343,6350.0
2018-02-16,09:39:00,4.53,4.55,4.53,4.535,101702.0
2018-02-16,09:40:00,4.54,4.54,4.53,4.54,12950.0
2018-02-16,09:41:00,4.53,4.54,4.53,4.535,105691.0
2018-02-16,09:42:00,4.54,4.54,4.53,4.53,8700.0
2018-02-16,09:43:00,4.535,4.535,4.52,4.521,101651.0
2018-02-16,09:44:00,4.52,4.53,4.52,4.52,21935.0
2018-02-16,09:45:00,4.52,4.52,4.51,4.52,60024.0
2018-02-16,09:46:00,4.52,4.54,4.515,4.54,38628.0
2018-02-16,09:47:00,4.54,4.56,4.54,4.56,23463.0
2018-02-16,09:48:00,4.56,4.57,4.56,4.57,19885.0
2018-02-16,09:49:00,4.57,4.5799,4.56,4.565,51138.0
2018-02-16,09:50:00,4.5699,4.57,4.565,4.57,21845.0
2018-02-16,09:51:00,4.575,4.58,4.57,4.5701,13248.0
2018-02-16,09:52:00,4.58,4.58,4.57,4.57,2349.0
2018-02-16,09:53:00,4.575,4.58,4.57,4.58,4905.0
2018-02-16,09:54:00,4.571,4.585,4.57,4.585,16471.0
2018-02-16,09:55:00,4.58,4.59,4.58,4.585,258016.0
2018-02-16,09:56:00,4.59,4.59,4.585,4.59,4790.0
2018-02-16,09:57:00,4.59,4.59,4.585,4.59,2650.0
2018-02-16,09:58:00,4.585,4.59,4.58,4.58,9474.0
2018-02-16,09:59:00,4.59,4.59,4.5802,4.59,7538.0
2018-02-16,10:00:00,4.5865,4.59,4.58,4.59,7888.0
2018-02-16,10:01:00,4.59,4.6,4.59,4.595,39918.0
2018-02-16,10:02:00,4.6,4.6,4.57,4.58,136518.0
2018-02-16,10:03:00,4.58,4.6,4.58,4.6,16346.0
2018-02-16,10:04:00,4.591,4.6,4.591,4.595,23846.0
2018-02-16,10:05:00,4.591,4.615,4.591,4.61,40965.0
2018-02-16,10:06:00,4.61,4.62,4.6,4.615,63918.0
2018-02-16,10:07:00,4.62,4.63,4.613,4.6277,41704.0
2018-02-16,10:08:00,4.63,4.63,4.62,4.63,20455.0
2018-02-16,10:09:00,4.62,4.64,4.62,4.64,76891.0
2018-02-16,10:10:00,4.63,4.64,4.63,4.637,13699.0
2018-02-16,10:11:00,4.635,4.64,4.63,4.64,12335.0
2018-02-16,10:12:00,4.64,4.64,4.63,4.64,41853.0
2018-02-16,10:13:00,4.635,4.64,4.631,4.635,14350.0
2018-02-16,10:14:00,4.64,4.64,4.6306,4.64,29689.0
2018-02-16,10:15:00,4.6399,4.64,4.63,4.64,15666.0
