date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,185.06,185.07,185.06,185.06,300.0
2018-02-16,09:32:00,184.86,185.2,184.86,185.05,2912.0
2018-02-16,09:33:00,185.05,185.75,184.96,185.59,313092.0
2018-02-16,09:34:00,185.565,185.68,185.44,185.68,15014.0
2018-02-16,09:35:00,185.565,186.36,185.565,186.29,59364.0
2018-02-16,09:36:00,186.27,186.74,186.27,186.6,31713.0
2018-02-16,09:37:00,186.65,186.77,186.57,186.75,12270.0
2018-02-16,09:38:00,186.79,187.19,186.69,187.19,24318.0
2018-02-16,09:39:00,187.23,187.8675,187.22,187.82,32841.0
2018-02-16,09:40:00,187.765,187.99,187.17,187.22,43961.0
2018-02-16,09:41:00,187.08,187.21,186.6,186.665,20505.0
2018-02-16,09:42:00,186.61,186.71,186.16,186.37,23737.0
2018-02-16,09:43:00,186.37,186.74,186.32,186.52,45575.0
2018-02-16,09:44:00,186.53,186.67,186.39,186.57,34639.0
2018-02-16,09:45:00,186.48,186.63,186.2,186.57,28642.0
2018-02-16,09:46:00,186.545,186.86,186.2968,186.805,26607.0
2018-02-16,09:47:00,186.85,186.95,186.79,186.85,21631.0
2018-02-16,09:48:00,186.8466,186.99,186.74,186.77,21131.0
2018-02-16,09:49:00,186.79,186.91,186.6,186.75,24088.0
2018-02-16,09:50:00,186.79,187.0,186.79,186.87,10837.0
2018-02-16,09:51:00,186.82,186.935,186.7,186.935,11849.0
2018-02-16,09:52:00,186.9,186.9,186.74,186.8,6959.0
2018-02-16,09:53:00,186.84,186.88,186.41,186.635,16802.0
2018-02-16,09:54:00,186.658,186.73,186.5,186.675,5619.0
2018-02-16,09:55:00,186.67,186.78,186.62,186.65,10381.0
2018-02-16,09:56:00,186.66,186.88,186.61,186.67,6860.0
2018-02-16,09:57:00,186.62,186.73,186.53,186.59,10561.0
2018-02-16,09:58:00,186.62,186.65,186.58,186.615,4422.0
2018-02-16,09:59:00,186.623,186.623,186.25,186.27,11798.0
2018-02-16,10:00:00,186.25,186.32,186.04,186.3,48595.0
2018-02-16,10:01:00,186.265,186.44,186.16,186.23,24651.0
2018-02-16,10:02:00,186.2,186.33,186.13,186.33,40340.0
2018-02-16,10:03:00,186.368,186.57,186.368,186.57,28476.0
2018-02-16,10:04:00,186.5788,186.77,186.47,186.5,16222.0
2018-02-16,10:05:00,186.5,186.62,186.48,186.5,20422.0
2018-02-16,10:06:00,186.5,186.6,186.4392,186.5371,94849.0
2018-02-16,10:07:00,186.5,186.54,186.1901,186.24,7125.0
2018-02-16,10:08:00,186.2,186.38,186.17,186.26,7389.0
2018-02-16,10:09:00,186.18,186.37,186.14,186.3166,14373.0
2018-02-16,10:10:00,186.35,186.58,186.35,186.38,11311.0
2018-02-16,10:11:00,186.28,186.38,186.23,186.27,9390.0
2018-02-16,10:12:00,186.27,186.28,185.9101,185.97,20132.0
2018-02-16,10:13:00,185.97,186.02,185.847,185.9401,7235.0
2018-02-16,10:14:00,185.92,185.92,185.81,185.89,4450.0
2018-02-16,10:15:00,185.87,186.15,185.87,186.04,5500.0
2018-02-16,10:16:00,186.02,186.36,186.02,186.2579,26998.0
2018-02-16,10:17:00,186.24,186.54,186.2,186.54,12210.0
2018-02-16,10:18:00,186.49,186.49,186.2,186.46,23593.0
2018-02-16,10:19:00,186.4724,186.54,186.34,186.42,9850.0
2018-02-16,10:20:00,186.4,186.53,186.235,186.2571,9087.0
2018-02-16,10:21:00,186.2999,186.38,186.23,186.32,6008.0
2018-02-16,10:22:00,186.36,186.68,186.36,186.65,17455.0
2018-02-16,10:23:00,186.64,186.64,186.34,186.5801,26972.0
2018-02-16,10:24:00,186.59,186.61,186.4,186.54,9066.0
2018-02-16,10:25:00,186.56,186.8401,186.55,186.78,12377.0
2018-02-16,10:26:00,186.84,187.13,186.84,186.928,23089.0
2018-02-16,10:27:00,186.93,187.03,186.77,187.0093,26952.0
2018-02-16,10:28:00,187.01,187.06,186.95,186.99,17650.0
2018-02-16,10:29:00,186.99,187.07,186.86,186.93,21921.0
2018-02-16,10:30:00,186.91,186.99,186.84,186.9686,8507.0
2018-02-16,10:31:00,186.95,187.01,186.83,187.01,17230.0
2018-02-16,10:32:00,187.0,187.03,186.8773,187.03,9322.0
2018-02-16,10:33:00,187.0,187.09,186.86,186.91,16848.0
2018-02-16,10:34:00,186.9,187.09,186.885,187.01,19865.0
2018-02-16,10:35:00,187.02,187.06,186.97,187.035,8423.0
