date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,83.6,83.6,83.6,83.6,4661.0
2018-02-16,09:31:00,83.48,83.48,83.01,83.01,1500.0
2018-02-16,09:32:00,83.32,83.43,83.0101,83.09,1025.0
2018-02-16,09:33:00,83.04,83.34,83.04,83.255,300.0
2018-02-16,09:34:00,83.46,83.98,83.41,83.76,3463.0
2018-02-16,09:35:00,83.85,83.91,83.72,83.78,2200.0
2018-02-16,09:36:00,83.835,84.27,83.83,84.02,3325.0
2018-02-16,09:38:00,84.16,84.17,84.12,84.12,300.0
2018-02-16,09:39:00,84.11,84.19,83.94,84.19,9954.0
2018-02-16,09:40:00,84.165,84.23,84.165,84.23,400.0
2018-02-16,09:41:00,84.19,84.2227,84.19,84.19,823.0
2018-02-16,09:42:00,84.195,84.24,84.04,84.04,1500.0
2018-02-16,09:43:00,84.01,84.01,83.53,83.53,2900.0
2018-02-16,09:44:00,83.66,83.66,83.66,83.66,100.0
2018-02-16,09:45:00,83.76,83.83,83.73,83.83,4300.0
2018-02-16,09:46:00,83.62,83.7836,83.61,83.62,1180.0
2018-02-16,09:47:00,83.76,83.78,83.76,83.78,600.0
2018-02-16,09:49:00,83.88,83.98,83.815,83.92,1400.0
2018-02-16,09:50:00,84.05,84.06,84.0,84.005,502.0
2018-02-16,09:51:00,84.0,84.0,83.92,83.94,1700.0
2018-02-16,09:52:00,83.96,83.96,83.96,83.96,100.0
2018-02-16,09:53:00,83.99,84.07,83.99,84.07,300.0
2018-02-16,09:55:00,84.01,84.05,83.95,83.95,1800.0
2018-02-16,09:56:00,84.02,84.04,83.95,83.975,2501.0
2018-02-16,09:57:00,84.08,84.08,84.08,84.08,100.0
2018-02-16,09:58:00,83.99,83.99,83.99,83.99,100.0
2018-02-16,10:00:00,84.0,84.0,83.91,83.985,700.0
2018-02-16,10:02:00,83.99,84.165,83.99,84.16,4093.0
2018-02-16,10:03:00,84.08,84.08,84.08,84.08,100.0
2018-02-16,10:04:00,84.11,84.11,84.11,84.11,100.0
2018-02-16,10:05:00,84.13,84.15,84.13,84.15,200.0
2018-02-16,10:06:00,84.13,84.13,84.07,84.07,2600.0
2018-02-16,10:07:00,84.12,84.19,84.12,84.14,700.0
2018-02-16,10:08:00,84.16,84.25,84.16,84.24,6802.0
2018-02-16,10:09:00,84.12,84.2,83.9,83.91,5700.0
2018-02-16,10:10:00,84.02,84.04,83.89,83.99,3900.0
2018-02-16,10:11:00,83.98,84.02,83.98,83.985,700.0
2018-02-16,10:12:00,84.05,84.1,84.05,84.1,200.0
