date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,21.4,21.5,21.3275,21.445,417939.0
2018-02-16,09:32:00,21.44,21.515,21.43,21.51,32693.0
2018-02-16,09:33:00,21.51,21.53,21.485,21.53,30307.0
2018-02-16,09:34:00,21.53,21.54,21.52,21.535,10261.0
2018-02-16,09:35:00,21.535,21.62,21.53,21.62,24727.0
2018-02-16,09:36:00,21.61,21.64,21.595,21.62,16614.0
2018-02-16,09:37:00,21.62,21.62,21.58,21.59,11086.0
2018-02-16,09:38:00,21.59,21.6,21.57,21.6,2970.0
2018-02-16,09:39:00,21.59,21.66,21.59,21.64,6770.0
2018-02-16,09:40:00,21.63,21.67,21.63,21.6362,8183.0
2018-02-16,09:41:00,21.63,21.63,21.6,21.6,5609.0
2018-02-16,09:42:00,21.6,21.605,21.54,21.565,18321.0
2018-02-16,09:43:00,21.565,21.57,21.545,21.565,14237.0
2018-02-16,09:44:00,21.57,21.5736,21.51,21.515,15250.0
2018-02-16,09:45:00,21.51,21.53,21.5,21.5,7305.0
2018-02-16,09:46:00,21.5,21.52,21.475,21.52,11757.0
2018-02-16,09:47:00,21.53,21.53,21.52,21.53,7205.0
2018-02-16,09:48:00,21.525,21.525,21.505,21.52,9800.0
2018-02-16,09:49:00,21.525,21.5269,21.51,21.52,6934.0
2018-02-16,09:50:00,21.52,21.54,21.515,21.52,18293.0
2018-02-16,09:51:00,21.52,21.52,21.49,21.515,15049.0
2018-02-16,09:52:00,21.515,21.515,21.485,21.49,30690.0
2018-02-16,09:53:00,21.505,21.5085,21.47,21.48,21611.0
2018-02-16,09:54:00,21.47,21.495,21.465,21.49,11945.0
2018-02-16,09:55:00,21.49,21.495,21.46,21.468,7647.0
2018-02-16,09:56:00,21.46,21.49,21.46,21.46,19415.0
2018-02-16,09:57:00,21.465,21.47,21.45,21.47,16187.0
2018-02-16,09:58:00,21.47,21.48,21.465,21.47,7999.0
2018-02-16,09:59:00,21.46,21.47,21.43,21.43,7630.0
2018-02-16,10:00:00,21.44,21.46,21.435,21.44,12218.0
2018-02-16,10:01:00,21.44,21.465,21.44,21.45,18043.0
2018-02-16,10:02:00,21.45,21.48,21.445,21.48,24436.0
2018-02-16,10:03:00,21.49,21.49,21.47,21.47,32680.0
2018-02-16,10:04:00,21.47,21.47,21.44,21.44,16156.0
2018-02-16,10:05:00,21.45,21.455,21.44,21.45,10517.0
2018-02-16,10:06:00,21.45,21.45,21.44,21.45,9965.0
2018-02-16,10:07:00,21.45,21.45,21.42,21.42,11720.0
2018-02-16,10:08:00,21.42,21.45,21.42,21.44,36749.0
2018-02-16,10:09:00,21.45,21.5,21.45,21.5,19002.0
2018-02-16,10:10:00,21.495,21.53,21.495,21.52,15700.0
