date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,19.59,19.63,19.59,19.63,3972.0
2018-02-16,09:32:00,19.63,19.77,19.59,19.77,185985.0
2018-02-16,09:33:00,19.77,19.77,19.65,19.75,7761.0
2018-02-16,09:34:00,19.75,19.76,19.67,19.74,10336.0
2018-02-16,09:35:00,19.73,19.74,19.7,19.7,7978.0
2018-02-16,09:36:00,19.695,19.71,19.67,19.7,9795.0
2018-02-16,09:37:00,19.69,19.69,19.665,19.67,4100.0
2018-02-16,09:38:00,19.68,19.71,19.67,19.71,5428.0
2018-02-16,09:39:00,19.71,19.735,19.71,19.73,43713.0
2018-02-16,09:40:00,19.73,19.75,19.72,19.72,34549.0
2018-02-16,09:41:00,19.71,19.71,19.67,19.69,5700.0
2018-02-16,09:42:00,19.68,19.71,19.68,19.7,9800.0
2018-02-16,09:43:00,19.705,19.72,19.7,19.705,69495.0
2018-02-16,09:44:00,19.705,19.72,19.695,19.705,50741.0
2018-02-16,09:45:00,19.7,19.7,19.67,19.675,7465.0
2018-02-16,09:46:00,19.675,19.72,19.665,19.72,16354.0
2018-02-16,09:47:00,19.72,19.74,19.715,19.74,14886.0
2018-02-16,09:48:00,19.74,19.74,19.73,19.74,14396.0
2018-02-16,09:49:00,19.74,19.745,19.725,19.725,9887.0
2018-02-16,09:50:00,19.72,19.73,19.72,19.72,83886.0
2018-02-16,09:51:00,19.72,19.72,19.675,19.68,10529.0
2018-02-16,09:52:00,19.67,19.67,19.665,19.67,6600.0
2018-02-16,09:53:00,19.67,19.69,19.67,19.68,16090.0
2018-02-16,09:54:00,19.67,19.68,19.66,19.68,5870.0
2018-02-16,09:55:00,19.68,19.69,19.675,19.68,8680.0
2018-02-16,09:56:00,19.69,19.7,19.69,19.69,7100.0
2018-02-16,09:57:00,19.69,19.69,19.67,19.67,5630.0
2018-02-16,09:58:00,19.67,19.67,19.63,19.64,8114.0
2018-02-16,09:59:00,19.64,19.65,19.63,19.63,2800.0
2018-02-16,10:00:00,19.64,19.645,19.62,19.63,23802.0
2018-02-16,10:01:00,19.62,19.62,19.61,19.61,12265.0
2018-02-16,10:02:00,19.61,19.61,19.6,19.6,6922.0
2018-02-16,10:03:00,19.6,19.6,19.59,19.6,3100.0
2018-02-16,10:04:00,19.6,19.62,19.59,19.6,11016.0
2018-02-16,10:05:00,19.59,19.59,19.585,19.585,10979.0
2018-02-16,10:06:00,19.58,19.58,19.55,19.56,10099.0
2018-02-16,10:07:00,19.555,19.555,19.52,19.52,6619.0
2018-02-16,10:08:00,19.53,19.56,19.525,19.56,16389.0
2018-02-16,10:09:00,19.57,19.61,19.56,19.61,14678.0
2018-02-16,10:10:00,19.61,19.63,19.61,19.62,9801.0
2018-02-16,10:11:00,19.61,19.61,19.58,19.59,5302.0
2018-02-16,10:12:00,19.59,19.59,19.58,19.58,7900.0
2018-02-16,10:13:00,19.58,19.59,19.575,19.59,6968.0
2018-02-16,10:14:00,19.585,19.585,19.575,19.575,2600.0
2018-02-16,10:15:00,19.58,19.6,19.575,19.6,7737.0
2018-02-16,10:16:00,19.61,19.63,19.605,19.615,9400.0
2018-02-16,10:17:00,19.62,19.63,19.6,19.6,7410.0
2018-02-16,10:18:00,19.6,19.6,19.59,19.6,5342.0
2018-02-16,10:19:00,19.595,19.6,19.575,19.6,5819.0
2018-02-16,10:20:00,19.595,19.6,19.595,19.6,2300.0
2018-02-16,10:21:00,19.6,19.61,19.595,19.61,5450.0
2018-02-16,10:22:00,19.61,19.61,19.605,19.61,700.0
2018-02-16,10:23:00,19.61,19.64,19.605,19.64,12858.0
2018-02-16,10:24:00,19.63,19.63,19.62,19.63,7669.0
2018-02-16,10:25:00,19.625,19.625,19.615,19.615,3189.0
2018-02-16,10:26:00,19.62,19.64,19.62,19.63,11497.0
2018-02-16,10:27:00,19.625,19.625,19.605,19.61,16342.0
2018-02-16,10:28:00,19.61,19.6117,19.6024,19.6117,5479.0
2018-02-16,10:29:00,19.61,19.62,19.605,19.605,8207.0
2018-02-16,10:30:00,19.605,19.625,19.6,19.62,14847.0
2018-02-16,10:31:00,19.625,19.635,19.62,19.635,7436.0
2018-02-16,10:32:00,19.64,19.645,19.6348,19.645,20365.0
2018-02-16,10:33:00,19.645,19.65,19.635,19.65,5900.0
2018-02-16,10:34:00,19.64,19.645,19.64,19.64,1268.0
2018-02-16,10:35:00,19.63,19.665,19.63,19.65,11603.0
2018-02-16,10:36:00,19.65,19.68,19.65,19.68,5675.0
2018-02-16,10:37:00,19.68,19.695,19.675,19.69,2882.0
2018-02-16,10:38:00,19.69,19.69,19.68,19.69,6555.0
2018-02-16,10:39:00,19.69,19.695,19.68,19.68,2646.0
2018-02-16,10:40:00,19.68,19.68,19.665,19.67,5103.0
2018-02-16,10:41:00,19.67,19.69,19.67,19.69,4400.0
2018-02-16,10:42:00,19.69,19.69,19.68,19.68,1300.0
2018-02-16,10:43:00,19.685,19.685,19.63,19.655,24731.0
2018-02-16,10:44:00,19.66,19.67,19.66,19.665,900.0
2018-02-16,10:45:00,19.665,19.67,19.66,19.66,6452.0
2018-02-16,10:46:00,19.665,19.68,19.66,19.675,2506.0
2018-02-16,10:47:00,19.68,19.685,19.675,19.685,4252.0
2018-02-16,10:48:00,19.685,19.69,19.68,19.685,1282.0
2018-02-16,10:49:00,19.685,19.685,19.67,19.67,4948.0
2018-02-16,10:50:00,19.675,19.68,19.67,19.67,1600.0
2018-02-16,10:51:00,19.67,19.67,19.645,19.645,15656.0
2018-02-16,10:52:00,19.64,19.65,19.635,19.65,604306.0
2018-02-16,10:53:00,19.66,19.66,19.645,19.655,22814.0
2018-02-16,10:54:00,19.655,19.655,19.635,19.635,268531.0
2018-02-16,10:55:00,19.635,19.67,19.635,19.66,35529.0
2018-02-16,10:56:00,19.66,19.67,19.66,19.67,10942.0
2018-02-16,10:57:00,19.67,19.71,19.67,19.705,19380.0
2018-02-16,10:58:00,19.71,19.735,19.71,19.735,5427.0
2018-02-16,10:59:00,19.7369,19.74,19.73,19.735,1454.0
2018-02-16,11:00:00,19.74,19.77,19.74,19.77,22445.0
2018-02-16,11:01:00,19.77,19.79,19.77,19.79,9699.0
2018-02-16,11:02:00,19.7823,19.795,19.775,19.79,13680.0
2018-02-16,11:03:00,19.79,19.795,19.77,19.775,17660.0
2018-02-16,11:04:00,19.775,19.79,19.77,19.79,40451.0
2018-02-16,11:05:00,19.79,19.83,19.785,19.8,61916.0
2018-02-16,11:06:00,19.8,19.81,19.795,19.8,5222.0
2018-02-16,11:07:00,19.81,19.81,19.78,19.79,19775.0
2018-02-16,11:08:00,19.79,19.815,19.79,19.805,12084.0
2018-02-16,11:09:00,19.805,19.805,19.8,19.8,3400.0
2018-02-16,11:10:00,19.8,19.81,19.8,19.805,14600.0
2018-02-16,11:11:00,19.805,19.82,19.805,19.82,2572.0
2018-02-16,11:12:00,19.82,19.83,19.815,19.825,16200.0
2018-02-16,11:13:00,19.825,19.85,19.825,19.84,36376.0
2018-02-16,11:14:00,19.845,19.85,19.83,19.84,28952.0
2018-02-16,11:15:00,19.835,19.86,19.835,19.86,14915.0
2018-02-16,11:16:00,19.85,19.86,19.85,19.86,18218.0
2018-02-16,11:17:00,19.855,19.88,19.855,19.88,37903.0
2018-02-16,11:18:00,19.87,19.89,19.87,19.89,25442.0
2018-02-16,11:19:00,19.885,19.9,19.875,19.9,40140.0
2018-02-16,11:20:00,19.9,19.93,19.895,19.93,76936.0
2018-02-16,11:21:00,19.92,19.93,19.92,19.92,19901.0
2018-02-16,11:22:00,19.925,19.93,19.92,19.92,3649.0
2018-02-16,11:23:00,19.92,19.925,19.87,19.87,78547.0
2018-02-16,11:24:00,19.87,19.88,19.85,19.86,22927.0
2018-02-16,11:25:00,19.86,19.875,19.855,19.875,6494.0
2018-02-16,11:26:00,19.87,19.875,19.85,19.86,6941.0
2018-02-16,11:27:00,19.86,19.86,19.8,19.845,60715.0
2018-02-16,11:28:00,19.845,19.85,19.84,19.845,4090.0
2018-02-16,11:29:00,19.845,19.85,19.83,19.83,10860.0
2018-02-16,11:30:00,19.825,19.825,19.81,19.815,7514.0
2018-02-16,11:31:00,19.82,19.86,19.82,19.86,14597.0
2018-02-16,11:32:00,19.86,19.86,19.855,19.86,1800.0
2018-02-16,11:33:00,19.86,19.88,19.855,19.87,11203.0
2018-02-16,11:34:00,19.87,19.88,19.87,19.875,888.0
2018-02-16,11:35:00,19.87,19.875,19.87,19.87,2528.0
2018-02-16,11:36:00,19.86,19.86,19.85,19.86,3108.0
2018-02-16,11:37:00,19.855,19.89,19.855,19.89,8728.0
2018-02-16,11:38:00,19.885,19.89,19.88,19.89,3200.0
2018-02-16,11:39:00,19.89,19.9,19.89,19.9,6258.0
2018-02-16,11:40:00,19.89,19.895,19.89,19.895,721.0
2018-02-16,11:41:00,19.895,19.915,19.8933,19.915,17955.0
2018-02-16,11:42:00,19.91,19.915,19.905,19.905,29515.0
2018-02-16,11:43:00,19.91,19.92,19.895,19.895,16192.0
2018-02-16,11:44:00,19.89,19.895,19.88,19.88,11863.0
2018-02-16,11:45:00,19.885,19.885,19.875,19.88,7555.0
2018-02-16,11:46:00,19.88,19.88,19.855,19.855,14900.0
2018-02-16,11:47:00,19.855,19.86,19.85,19.86,4743.0
