date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,45.815,45.85,45.8,45.83,1425064.0
2018-02-16,09:31:00,45.79,45.99,45.79,45.93,63119.0
2018-02-16,09:32:00,45.94,46.04,45.91,46.02,73865.0
2018-02-16,09:33:00,46.02,46.13,45.99,46.13,63282.0
2018-02-16,09:34:00,46.13,46.15,45.97,46.0299,57305.0
2018-02-16,09:35:00,46.03,46.1199,46.0,46.1199,52735.0
2018-02-16,09:36:00,46.115,46.14,46.055,46.1,61246.0
2018-02-16,09:37:00,46.11,46.18,46.11,46.18,50232.0
2018-02-16,09:38:00,46.17,46.2,46.15,46.1761,47127.0
2018-02-16,09:39:00,46.18,46.23,46.18,46.22,54019.0
2018-02-16,09:40:00,46.215,46.26,46.215,46.255,58956.0
2018-02-16,09:41:00,46.245,46.255,46.205,46.21,51828.0
2018-02-16,09:42:00,46.21,46.22,46.15,46.16,40794.0
2018-02-16,09:43:00,46.17,46.23,46.17,46.22,20750.0
2018-02-16,09:44:00,46.2167,46.25,46.18,46.185,52977.0
2018-02-16,09:45:00,46.18,46.21,46.12,46.135,73829.0
2018-02-16,09:46:00,46.14,46.245,46.13,46.23,48641.0
2018-02-16,09:47:00,46.235,46.28,46.22,46.265,68657.0
2018-02-16,09:48:00,46.26,46.2961,46.23,46.2961,35137.0
2018-02-16,09:49:00,46.3,46.3,46.24,46.245,61748.0
2018-02-16,09:50:00,46.25,46.33,46.25,46.319,132487.0
2018-02-16,09:51:00,46.32,46.35,46.26,46.34,74037.0
2018-02-16,09:52:00,46.33,46.34,46.32,46.335,47458.0
2018-02-16,09:53:00,46.35,46.36,46.325,46.36,47616.0
2018-02-16,09:54:00,46.36,46.43,46.355,46.425,34979.0
2018-02-16,09:55:00,46.432,46.45,46.4,46.45,49955.0
2018-02-16,09:56:00,46.45,46.45,46.415,46.42,74393.0
2018-02-16,09:57:00,46.41,46.44,46.4,46.41,66071.0
2018-02-16,09:58:00,46.42,46.43,46.39,46.39,42741.0
2018-02-16,09:59:00,46.395,46.4,46.33,46.34,51486.0
2018-02-16,10:00:00,46.34,46.35,46.26,46.28,61698.0
2018-02-16,10:01:00,46.2801,46.31,46.24,46.25,45714.0
2018-02-16,10:02:00,46.2561,46.31,46.24,46.29,40027.0
2018-02-16,10:03:00,46.3,46.31,46.23,46.2409,88363.0
2018-02-16,10:04:00,46.24,46.25,46.1344,46.16,104593.0
2018-02-16,10:05:00,46.16,46.19,46.15,46.15,46559.0
2018-02-16,10:06:00,46.15,46.18,46.1,46.17,52525.0
2018-02-16,10:07:00,46.16,46.16,46.07,46.1,29760.0
2018-02-16,10:08:00,46.09,46.11,46.09,46.1,21310.0
2018-02-16,10:09:00,46.1001,46.16,46.1,46.16,51462.0
2018-02-16,10:10:00,46.16,46.235,46.16,46.235,67393.0
2018-02-16,10:11:00,46.23,46.25,46.2046,46.23,30315.0
2018-02-16,10:12:00,46.25,46.25,46.18,46.19,23307.0
2018-02-16,10:13:00,46.2,46.23,46.15,46.22,37792.0
2018-02-16,10:14:00,46.22,46.23,46.16,46.17,20489.0
2018-02-16,10:15:00,46.18,46.245,46.18,46.24,17882.0
2018-02-16,10:16:00,46.24,46.31,46.24,46.28,55254.0
2018-02-16,10:17:00,46.28,46.35,46.2701,46.33,45178.0
2018-02-16,10:18:00,46.325,46.36,46.316,46.355,24702.0
2018-02-16,10:19:00,46.35,46.37,46.33,46.369,32083.0
2018-02-16,10:20:00,46.3616,46.365,46.31,46.33,35928.0
2018-02-16,10:21:00,46.325,46.34,46.303,46.33,29150.0
2018-02-16,10:22:00,46.33,46.38,46.33,46.3799,29650.0
2018-02-16,10:23:00,46.38,46.39,46.34,46.375,52398.0
2018-02-16,10:24:00,46.375,46.38,46.315,46.33,23644.0
2018-02-16,10:25:00,46.32,46.35,46.31,46.33,20991.0
2018-02-16,10:26:00,46.33,46.38,46.33,46.35,46266.0
2018-02-16,10:27:00,46.34,46.35,46.305,46.33,64728.0
2018-02-16,10:28:00,46.34,46.36,46.315,46.32,24189.0
2018-02-16,10:29:00,46.32,46.37,46.32,46.34,37449.0
2018-02-16,10:30:00,46.335,46.37,46.315,46.35,49293.0
2018-02-16,10:31:00,46.35,46.39,46.34,46.39,42977.0
2018-02-16,10:32:00,46.385,46.43,46.3738,46.425,74431.0
2018-02-16,10:33:00,46.42,46.44,46.4067,46.43,29453.0
2018-02-16,10:34:00,46.42,46.43,46.39,46.4,63876.0
2018-02-16,10:35:00,46.4,46.4,46.37,46.3905,23941.0
2018-02-16,10:36:00,46.4,46.44,46.39,46.42,39263.0
2018-02-16,10:37:00,46.42,46.46,46.42,46.45,38787.0
2018-02-16,10:38:00,46.45,46.48,46.43,46.439,38946.0
2018-02-16,10:39:00,46.44,46.44,46.41,46.415,39833.0
2018-02-16,10:40:00,46.41,46.41,46.3631,46.369,30340.0
2018-02-16,10:41:00,46.37,46.4,46.36,46.3701,17386.0
2018-02-16,10:42:00,46.37,46.38,46.34,46.37,24202.0
2018-02-16,10:43:00,46.38,46.4,46.33,46.355,44983.0
2018-02-16,10:44:00,46.36,46.38,46.35,46.36,14674.0
2018-02-16,10:45:00,46.355,46.37,46.345,46.345,11715.0
2018-02-16,10:46:00,46.34,46.38,46.33,46.3708,21853.0
2018-02-16,10:47:00,46.38,46.415,46.375,46.4,22158.0
2018-02-16,10:48:00,46.41,46.44,46.35,46.38,48935.0
2018-02-16,10:49:00,46.38,46.4,46.35,46.3644,17419.0
2018-02-16,10:50:00,46.37,46.42,46.37,46.4,25963.0
2018-02-16,10:51:00,46.41,46.43,46.4,46.41,20568.0
2018-02-16,10:52:00,46.41,46.42,46.36,46.36,20019.0
2018-02-16,10:53:00,46.37,46.38,46.34,46.35,11421.0
2018-02-16,10:54:00,46.36,46.4,46.36,46.3893,18983.0
2018-02-16,10:55:00,46.385,46.42,46.385,46.405,24634.0
2018-02-16,10:56:00,46.405,46.43,46.385,46.425,26058.0
2018-02-16,10:57:00,46.43,46.45,46.42,46.43,25155.0
2018-02-16,10:58:00,46.435,46.45,46.41,46.4107,36245.0
2018-02-16,10:59:00,46.42,46.43,46.4058,46.43,11612.0
2018-02-16,11:00:00,46.43,46.43,46.36,46.3832,48435.0
2018-02-16,11:01:00,46.39,46.44,46.39,46.42,28653.0
2018-02-16,11:02:00,46.415,46.45,46.405,46.425,29332.0
2018-02-16,11:03:00,46.4299,46.43,46.41,46.42,50781.0
2018-02-16,11:04:00,46.4249,46.43,46.39,46.3949,44330.0
2018-02-16,11:05:00,46.4,46.44,46.36,46.39,100420.0
2018-02-16,11:06:00,46.39,46.42,46.38,46.395,21926.0
2018-02-16,11:07:00,46.4,46.42,46.39,46.395,18260.0
2018-02-16,11:08:00,46.395,46.44,46.395,46.42,20134.0
2018-02-16,11:09:00,46.425,46.48,46.425,46.46,40961.0
2018-02-16,11:10:00,46.4646,46.48,46.4533,46.48,32621.0
2018-02-16,11:11:00,46.465,46.5,46.46,46.49,20576.0
2018-02-16,11:12:00,46.49,46.51,46.46,46.49,124599.0
2018-02-16,11:13:00,46.49,46.5,46.47,46.495,19284.0
2018-02-16,11:14:00,46.5,46.505,46.48,46.4945,24577.0
2018-02-16,11:15:00,46.5,46.52,46.49,46.5,39040.0
2018-02-16,11:16:00,46.4919,46.5,46.474,46.475,25651.0
2018-02-16,11:17:00,46.4758,46.4758,46.44,46.45,22343.0
2018-02-16,11:18:00,46.445,46.45,46.435,46.44,23491.0
2018-02-16,11:19:00,46.44,46.45,46.41,46.43,32709.0
2018-02-16,11:20:00,46.43,46.46,46.43,46.45,17267.0
2018-02-16,11:21:00,46.46,46.46,46.4401,46.456,16134.0
2018-02-16,11:22:00,46.45,46.5,46.44,46.48,64164.0
2018-02-16,11:23:00,46.4869,46.4869,46.46,46.4665,12704.0
2018-02-16,11:24:00,46.465,46.47,46.46,46.465,8905.0
2018-02-16,11:25:00,46.46,46.47,46.43,46.465,23613.0
2018-02-16,11:26:00,46.47,46.4961,46.465,46.49,20430.0
2018-02-16,11:27:00,46.494,46.5,46.46,46.481,30637.0
2018-02-16,11:28:00,46.4851,46.49,46.45,46.455,29211.0
2018-02-16,11:29:00,46.4538,46.46,46.43,46.44,28779.0
2018-02-16,11:30:00,46.4439,46.4599,46.4,46.42,38066.0
2018-02-16,11:31:00,46.43,46.45,46.42,46.44,46913.0
2018-02-16,11:32:00,46.4392,46.44,46.39,46.41,21001.0
2018-02-16,11:33:00,46.4061,46.43,46.4,46.41,27035.0
2018-02-16,11:34:00,46.415,46.43,46.397,46.43,28810.0
2018-02-16,11:35:00,46.42,46.43,46.39,46.39,23409.0
2018-02-16,11:36:00,46.39,46.4,46.34,46.34,43178.0
2018-02-16,11:37:00,46.35,46.35,46.315,46.33,31870.0
2018-02-16,11:38:00,46.33,46.35,46.315,46.32,24228.0
2018-02-16,11:39:00,46.315,46.36,46.315,46.35,23836.0
2018-02-16,11:40:00,46.34,46.37,46.335,46.36,21532.0
2018-02-16,11:41:00,46.36,46.39,46.3533,46.365,18776.0
2018-02-16,11:42:00,46.37,46.38,46.36,46.37,26434.0
2018-02-16,11:43:00,46.37,46.37,46.34,46.345,25099.0
2018-02-16,11:44:00,46.34,46.35,46.32,46.33,18941.0
2018-02-16,11:45:00,46.3249,46.33,46.2901,46.33,60384.0
2018-02-16,11:46:00,46.325,46.35,46.315,46.34,16979.0
2018-02-16,11:47:00,46.345,46.345,46.3,46.3,7600.0
2018-02-16,11:48:00,46.3001,46.32,46.295,46.32,19270.0
2018-02-16,11:49:00,46.32,46.355,46.315,46.3334,28529.0
2018-02-16,11:50:00,46.34,46.35,46.324,46.34,23428.0
2018-02-16,11:51:00,46.35,46.4,46.35,46.39,46503.0
2018-02-16,11:52:00,46.4,46.44,46.4,46.4101,35905.0
2018-02-16,11:53:00,46.415,46.47,46.41,46.4499,34801.0
2018-02-16,11:54:00,46.4462,46.48,46.4462,46.45,20434.0
2018-02-16,11:55:00,46.4488,46.45,46.44,46.449,6985.0
2018-02-16,11:56:00,46.449,46.4599,46.42,46.459,21733.0
2018-02-16,11:57:00,46.46,46.48,46.435,46.435,18176.0
2018-02-16,11:58:00,46.44,46.45,46.43,46.435,12834.0
2018-02-16,11:59:00,46.44,46.48,46.43,46.45,15922.0
2018-02-16,12:00:00,46.45,46.45,46.4,46.41,14716.0
2018-02-16,12:01:00,46.41,46.44,46.4,46.425,20035.0
2018-02-16,12:02:00,46.429,46.43,46.38,46.38,22995.0
2018-02-16,12:03:00,46.3768,46.3846,46.365,46.37,9882.0
2018-02-16,12:04:00,46.375,46.39,46.37,46.3825,14698.0
2018-02-16,12:05:00,46.38,46.39,46.3577,46.385,10434.0
2018-02-16,12:06:00,46.385,46.42,46.38,46.404,13464.0
2018-02-16,12:07:00,46.41,46.42,46.4,46.42,7902.0
2018-02-16,12:08:00,46.42,46.42,46.374,46.385,20940.0
2018-02-16,12:09:00,46.39,46.4,46.375,46.385,24688.0
2018-02-16,12:10:00,46.38,46.385,46.35,46.35,10163.0
2018-02-16,12:11:00,46.36,46.41,46.36,46.41,16342.0
