date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,169.02,169.02,169.02,169.02,68290.0
2018-02-16,09:31:00,169.0,169.0,168.81,168.81,300.0
2018-02-16,09:32:00,169.28,169.33,169.02,169.235,6336.0
2018-02-16,09:33:00,169.17,169.18,168.94,169.04,1700.0
2018-02-16,09:34:00,169.12,169.12,168.895,169.1,1900.0
2018-02-16,09:35:00,168.85,169.15,168.85,168.99,1900.0
2018-02-16,09:36:00,169.17,169.41,169.17,169.41,800.0
2018-02-16,09:37:00,169.26,169.43,169.14,169.43,3810.0
2018-02-16,09:39:00,169.4,169.67,169.25,169.47,4747.0
2018-02-16,09:40:00,169.56,169.56,169.43,169.43,300.0
2018-02-16,09:41:00,169.54,169.67,169.5,169.605,1951.0
2018-02-16,09:42:00,169.47,169.6,169.47,169.6,200.0
2018-02-16,09:43:00,169.59,169.87,169.585,169.87,1000.0
2018-02-16,09:44:00,169.63,169.63,169.43,169.43,1000.0
2018-02-16,09:45:00,169.36,169.4,169.16,169.37,3622.0
2018-02-16,09:46:00,169.16,169.32,169.145,169.25,2004.0
2018-02-16,09:47:00,169.24,169.38,169.24,169.37,1240.0
2018-02-16,09:48:00,169.29,169.3,169.19,169.19,1100.0
2018-02-16,09:50:00,169.27,169.48,169.27,169.48,928.0
2018-02-16,09:51:00,169.28,169.37,169.23,169.32,636.0
2018-02-16,09:52:00,169.36,169.36,169.36,169.36,100.0
2018-02-16,09:53:00,169.34,169.39,169.23,169.39,940.0
2018-02-16,09:54:00,169.365,169.55,169.3,169.525,900.0
2018-02-16,09:55:00,169.58,169.6,169.41,169.53,3500.0
2018-02-16,09:56:00,169.5152,169.59,169.5152,169.59,201.0
2018-02-16,09:57:00,169.61,169.74,169.61,169.74,1450.0
2018-02-16,09:58:00,169.845,169.915,169.845,169.915,300.0
2018-02-16,09:59:00,169.91,170.06,169.82,170.04,12281.0
2018-02-16,10:00:00,169.95,170.0,169.85,170.0,2200.0
2018-02-16,10:01:00,170.0,170.08,169.97,170.02,2600.0
2018-02-16,10:02:00,169.87,169.87,169.75,169.8,800.0
2018-02-16,10:03:00,169.82,169.82,169.27,169.37,4452.0
2018-02-16,10:04:00,169.37,169.5899,169.37,169.395,2234.0
2018-02-16,10:05:00,169.41,169.555,169.41,169.46,1500.0
2018-02-16,10:06:00,169.4,169.61,169.28,169.61,1310.0
2018-02-16,10:07:00,169.49,169.49,169.31,169.31,700.0
2018-02-16,10:08:00,169.325,169.345,169.23,169.3,1300.0
2018-02-16,10:09:00,169.28,169.65,169.25,169.65,3942.0
2018-02-16,10:10:00,169.65,169.935,169.65,169.88,1078.0
2018-02-16,10:11:00,169.84,169.87,169.77,169.87,1641.0
2018-02-16,10:12:00,169.76,169.77,169.65,169.67,1600.0
