date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,130.96,131.53,130.84,131.4115,670890.0
2018-02-16,09:32:00,131.3983,131.93,131.3983,131.91,10275.0
2018-02-16,09:33:00,131.92,131.97,131.4,131.58,29821.0
2018-02-16,09:34:00,131.535,131.58,131.44,131.49,10685.0
2018-02-16,09:35:00,131.49,131.49,131.29,131.38,13002.0
2018-02-16,09:36:00,131.35,131.43,131.28,131.43,7800.0
2018-02-16,09:37:00,131.41,131.425,131.28,131.28,6031.0
2018-02-16,09:38:00,131.32,131.47,131.21,131.47,15244.0
2018-02-16,09:39:00,131.4728,131.55,131.43,131.4825,6786.0
2018-02-16,09:40:00,131.5,131.69,131.48,131.69,11766.0
2018-02-16,09:41:00,131.6858,131.76,131.66,131.74,11845.0
2018-02-16,09:42:00,131.752,131.89,131.72,131.72,12165.0
2018-02-16,09:43:00,131.72,131.9,131.71,131.834,23315.0
2018-02-16,09:44:00,131.8293,131.92,131.8,131.81,11108.0
2018-02-16,09:45:00,131.845,131.91,131.76,131.89,27498.0
2018-02-16,09:46:00,131.82,131.93,131.735,131.93,25723.0
2018-02-16,09:47:00,131.93,131.9784,131.89,131.9784,18003.0
2018-02-16,09:48:00,131.91,131.98,131.84,131.9,12734.0
2018-02-16,09:49:00,131.92,132.0,131.84,131.9039,20261.0
2018-02-16,09:50:00,131.92,131.97,131.85,131.88,12347.0
2018-02-16,09:51:00,131.86,131.94,131.77,131.94,14080.0
2018-02-16,09:52:00,131.93,132.05,131.91,132.0042,25922.0
2018-02-16,09:53:00,132.0,132.085,131.96,132.085,11993.0
2018-02-16,09:54:00,132.07,132.19,132.0,132.15,11906.0
2018-02-16,09:55:00,132.15,132.16,132.01,132.0301,12733.0
2018-02-16,09:56:00,132.04,132.11,132.01,132.05,12610.0
2018-02-16,09:57:00,132.02,132.03,131.89,131.93,14078.0
2018-02-16,09:58:00,131.94,131.95,131.84,131.84,11577.0
2018-02-16,09:59:00,131.84,131.86,131.8,131.82,5319.0
2018-02-16,10:00:00,131.821,131.821,131.68,131.69,11323.0
2018-02-16,10:01:00,131.68,131.69,131.55,131.55,11113.0
2018-02-16,10:02:00,131.6,131.69,131.59,131.68,11707.0
2018-02-16,10:03:00,131.67,131.89,131.67,131.89,18833.0
2018-02-16,10:04:00,131.89,131.894,131.81,131.82,16686.0
2018-02-16,10:05:00,131.84,131.85,131.78,131.79,6107.0
2018-02-16,10:06:00,131.75,131.755,131.6,131.63,13628.0
2018-02-16,10:07:00,131.63,131.71,131.6,131.675,8210.0
2018-02-16,10:08:00,131.66,131.79,131.63,131.71,18224.0
2018-02-16,10:09:00,131.7,131.9,131.7,131.9,42700.0
2018-02-16,10:10:00,131.9108,132.05,131.89,131.89,12998.0
2018-02-16,10:11:00,131.89,131.91,131.76,131.84,13338.0
2018-02-16,10:12:00,131.86,131.9,131.82,131.83,9351.0
2018-02-16,10:13:00,131.81,132.02,131.8001,131.98,12354.0
2018-02-16,10:14:00,131.97,132.01,131.92,131.93,6315.0
2018-02-16,10:15:00,131.91,132.0,131.9065,131.9786,4834.0
2018-02-16,10:16:00,131.96,132.1,131.96,132.06,11005.0
2018-02-16,10:17:00,132.07,132.12,132.04,132.095,4886.0
2018-02-16,10:18:00,132.105,132.28,132.09,132.26,19396.0
2018-02-16,10:19:00,132.255,132.35,132.23,132.3201,10941.0
