date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,20.85,20.89,20.82,20.89,292026.0
2018-02-16,09:32:00,20.89,20.93,20.89,20.93,5665.0
2018-02-16,09:33:00,20.935,20.94,20.9,20.93,24092.0
2018-02-16,09:34:00,20.93,20.94,20.915,20.915,9493.0
2018-02-16,09:35:00,20.91,20.945,20.9,20.945,13027.0
2018-02-16,09:36:00,20.945,20.97,20.9301,20.94,46128.0
2018-02-16,09:37:00,20.95,20.98,20.935,20.98,29643.0
2018-02-16,09:38:00,20.97,20.995,20.97,20.995,8503.0
2018-02-16,09:39:00,21.0,21.04,21.0,21.01,20439.0
2018-02-16,09:40:00,21.01,21.025,21.01,21.01,11006.0
2018-02-16,09:41:00,21.0,21.015,20.995,21.01,19600.0
2018-02-16,09:42:00,21.01,21.01,21.0,21.005,12417.0
2018-02-16,09:43:00,21.005,21.015,21.0,21.005,13763.0
2018-02-16,09:44:00,21.01,21.02,20.995,20.995,25065.0
2018-02-16,09:45:00,21.0,21.01,20.975,21.0,23968.0
2018-02-16,09:46:00,20.995,21.02,20.96,21.02,15907.0
2018-02-16,09:47:00,21.015,21.03,21.015,21.02,23125.0
2018-02-16,09:48:00,21.025,21.03,21.005,21.03,8419.0
2018-02-16,09:49:00,21.025,21.0369,21.02,21.03,4458.0
2018-02-16,09:50:00,21.03,21.05,21.03,21.035,5561.0
2018-02-16,09:51:00,21.035,21.05,21.01,21.04,31455.0
2018-02-16,09:52:00,21.04,21.05,21.035,21.05,24674.0
2018-02-16,09:53:00,21.045,21.05,21.04,21.05,8937.0
2018-02-16,09:54:00,21.05,21.06,21.04,21.055,12740.0
2018-02-16,09:55:00,21.06,21.06,21.05,21.0501,2663.0
2018-02-16,09:56:00,21.06,21.08,21.055,21.07,27843.0
2018-02-16,09:57:00,21.071,21.075,21.045,21.045,18783.0
2018-02-16,09:58:00,21.05,21.05,21.04,21.04,5700.0
2018-02-16,09:59:00,21.04,21.04,21.02,21.025,5803.0
2018-02-16,10:00:00,21.02,21.03,21.02,21.025,3687.0
2018-02-16,10:01:00,21.03,21.03,21.01,21.015,13857.0
2018-02-16,10:02:00,21.015,21.02,21.01,21.015,8249.0
2018-02-16,10:03:00,21.02,21.03,21.015,21.025,18085.0
2018-02-16,10:04:00,21.02,21.03,21.015,21.02,3966.0
2018-02-16,10:05:00,21.02,21.025,21.01,21.01,10548.0
2018-02-16,10:06:00,21.01,21.01,20.99,21.0,7445.0
2018-02-16,10:07:00,20.995,20.995,20.97,20.97,5989.0
2018-02-16,10:08:00,20.97,20.99,20.965,20.98,25645.0
2018-02-16,10:09:00,20.975,21.0,20.975,21.0,6620.0
2018-02-16,10:10:00,21.01,21.01,21.0,21.009,17677.0
2018-02-16,10:11:00,21.005,21.01,20.99,20.99,7500.0
2018-02-16,10:12:00,20.995,20.999,20.965,20.965,11065.0
2018-02-16,10:13:00,20.96,20.98,20.96,20.975,9716.0
2018-02-16,10:14:00,20.98,20.98,20.95,20.95,10660.0
2018-02-16,10:15:00,20.95,20.98,20.95,20.96,14253.0
2018-02-16,10:16:00,20.965,20.995,20.965,20.98,19078.0
2018-02-16,10:17:00,20.985,20.995,20.98,20.99,8199.0
2018-02-16,10:18:00,21.0,21.015,20.995,21.015,2300.0
2018-02-16,10:19:00,21.015,21.025,21.0,21.02,118681.0
2018-02-16,10:20:00,21.02,21.04,21.02,21.02,15717.0
2018-02-16,10:21:00,21.02,21.04,21.02,21.03,12603.0
2018-02-16,10:22:00,21.03,21.04,21.02,21.02,4550.0
2018-02-16,10:23:00,21.02,21.04,21.02,21.03,7178.0
2018-02-16,10:24:00,21.03,21.04,21.01,21.01,7855.0
2018-02-16,10:25:00,21.015,21.03,21.015,21.0168,11304.0
2018-02-16,10:26:00,21.02,21.04,21.02,21.03,11329.0
2018-02-16,10:27:00,21.02,21.025,21.01,21.01,3390.0
2018-02-16,10:28:00,21.01,21.015,21.01,21.01,5100.0
2018-02-16,10:29:00,21.01,21.02,21.005,21.015,6300.0
2018-02-16,10:30:00,21.01,21.02,21.01,21.02,2267.0
2018-02-16,10:31:00,21.015,21.03,21.015,21.03,5260.0
2018-02-16,10:32:00,21.03,21.05,21.025,21.05,15703.0
2018-02-16,10:33:00,21.05,21.0699,21.05,21.055,8710.0
2018-02-16,10:34:00,21.055,21.055,21.05,21.055,1900.0
2018-02-16,10:35:00,21.055,21.055,21.04,21.05,10338.0
2018-02-16,10:36:00,21.05,21.08,21.05,21.075,9240.0
2018-02-16,10:37:00,21.07,21.08,21.06,21.075,8995.0
2018-02-16,10:38:00,21.07,21.075,21.05,21.05,5204.0
2018-02-16,10:39:00,21.05,21.065,21.05,21.065,1910.0
2018-02-16,10:40:00,21.06,21.06,21.04,21.04,3200.0
2018-02-16,10:41:00,21.035,21.045,21.035,21.045,3600.0
2018-02-16,10:42:00,21.04,21.055,21.04,21.055,15109.0
2018-02-16,10:43:00,21.055,21.06,21.04,21.05,39798.0
2018-02-16,10:44:00,21.05,21.06,21.05,21.055,3500.0
2018-02-16,10:45:00,21.06,21.07,21.0525,21.065,6771.0
2018-02-16,10:46:00,21.06,21.07,21.06,21.07,10305.0
2018-02-16,10:47:00,21.07,21.08,21.07,21.08,17307.0
2018-02-16,10:48:00,21.08,21.085,21.07,21.08,16798.0
2018-02-16,10:49:00,21.08,21.08,21.06,21.065,14361.0
2018-02-16,10:50:00,21.07,21.08,21.07,21.0701,8089.0
2018-02-16,10:51:00,21.08,21.1,21.08,21.085,19940.0
2018-02-16,10:52:00,21.085,21.09,21.07,21.075,13590.0
2018-02-16,10:53:00,21.075,21.095,21.07,21.09,255720.0
2018-02-16,10:54:00,21.09,21.0962,21.08,21.0962,18438.0
2018-02-16,10:55:00,21.09,21.09,21.085,21.09,9300.0
2018-02-16,10:56:00,21.09,21.095,21.08,21.09,4600.0
2018-02-16,10:57:00,21.095,21.0984,21.0899,21.0899,2628.0
2018-02-16,10:58:00,21.09,21.1,21.08,21.08,3691.0
2018-02-16,10:59:00,21.08,21.08,21.06,21.06,9541.0
2018-02-16,11:00:00,21.065,21.07,21.031,21.05,36931.0
2018-02-16,11:01:00,21.05,21.08,21.05,21.07,14200.0
2018-02-16,11:02:00,21.075,21.09,21.075,21.09,2548.0
2018-02-16,11:03:00,21.0899,21.0899,21.075,21.077,4609.0
2018-02-16,11:04:00,21.08,21.085,21.07,21.07,3163.0
2018-02-16,11:05:00,21.08,21.1,21.075,21.085,28315.0
2018-02-16,11:06:00,21.085,21.09,21.08,21.09,6239.0
2018-02-16,11:07:00,21.1,21.1,21.09,21.09,600.0
2018-02-16,11:08:00,21.095,21.1,21.0852,21.09,6226.0
2018-02-16,11:09:00,21.09,21.09,21.084,21.09,13885.0
2018-02-16,11:10:00,21.095,21.1,21.0919,21.095,2509.0
2018-02-16,11:11:00,21.095,21.1,21.0901,21.1,3098.0
2018-02-16,11:12:00,21.095,21.105,21.0947,21.1,24950.0
2018-02-16,11:13:00,21.1,21.106,21.095,21.095,5909.0
2018-02-16,11:14:00,21.095,21.1,21.095,21.095,3252.0
2018-02-16,11:15:00,21.1,21.11,21.1,21.105,10690.0
2018-02-16,11:16:00,21.1,21.1082,21.1,21.1,3006.0
2018-02-16,11:17:00,21.095,21.1,21.09,21.09,6400.0
2018-02-16,11:18:00,21.1,21.116,21.095,21.116,11281.0
2018-02-16,11:19:00,21.11,21.1174,21.095,21.1,45526.0
2018-02-16,11:20:00,21.1,21.105,21.1,21.1,1773.0
2018-02-16,11:21:00,21.11,21.115,21.105,21.11,7995.0
2018-02-16,11:22:00,21.115,21.115,21.115,21.115,200.0
2018-02-16,11:23:00,21.11,21.1162,21.1,21.1052,8944.0
2018-02-16,11:24:00,21.105,21.105,21.1,21.1,600.0
2018-02-16,11:25:00,21.1,21.1033,21.1,21.1,1820.0
2018-02-16,11:26:00,21.095,21.105,21.095,21.105,3648.0
2018-02-16,11:27:00,21.1,21.1,21.095,21.095,2043.0
2018-02-16,11:28:00,21.095,21.0962,21.09,21.095,1603.0
2018-02-16,11:29:00,21.09,21.0918,21.09,21.09,748.0
2018-02-16,11:30:00,21.095,21.0999,21.08,21.08,4294.0
2018-02-16,11:31:00,21.085,21.085,21.07,21.075,36120.0
2018-02-16,11:32:00,21.07,21.07,21.06,21.06,4850.0
2018-02-16,11:33:00,21.065,21.07,21.06,21.065,500.0
2018-02-16,11:34:00,21.065,21.065,21.06,21.065,549.0
2018-02-16,11:35:00,21.065,21.0664,21.06,21.06,1777.0
2018-02-16,11:36:00,21.065,21.065,21.06,21.065,1264.0
2018-02-16,11:37:00,21.065,21.065,21.06,21.06,300.0
2018-02-16,11:38:00,21.065,21.07,21.06,21.065,3288.0
2018-02-16,11:39:00,21.065,21.07,21.06,21.06,1122.0
2018-02-16,11:40:00,21.065,21.07,21.065,21.07,673.0
2018-02-16,11:41:00,21.065,21.085,21.065,21.08,36109.0
2018-02-16,11:42:00,21.085,21.09,21.08,21.085,1526.0
2018-02-16,11:43:00,21.085,21.11,21.085,21.105,4610.0
2018-02-16,11:44:00,21.1,21.1,21.09,21.095,12147.0
2018-02-16,11:45:00,21.1,21.12,21.1,21.11,12739.0
2018-02-16,11:46:00,21.11,21.12,21.11,21.11,9854.0
2018-02-16,11:47:00,21.11,21.11,21.1,21.101,3287.0
2018-02-16,11:48:00,21.1,21.1081,21.1,21.1,1829.0
2018-02-16,11:49:00,21.11,21.1165,21.105,21.11,4867.0
2018-02-16,11:50:00,21.12,21.13,21.115,21.125,9011.0
2018-02-16,11:51:00,21.121,21.14,21.12,21.135,7311.0
2018-02-16,11:52:00,21.135,21.14,21.12,21.12,29449.0
2018-02-16,11:53:00,21.125,21.145,21.125,21.14,16045.0
2018-02-16,11:54:00,21.14,21.145,21.13,21.13,9943.0
2018-02-16,11:55:00,21.12,21.135,21.12,21.13,5290.0
2018-02-16,11:56:00,21.13,21.135,21.13,21.13,600.0
2018-02-16,11:57:00,21.135,21.145,21.135,21.14,19574.0
2018-02-16,11:58:00,21.15,21.15,21.14,21.14,2500.0
2018-02-16,11:59:00,21.14,21.15,21.14,21.14,2600.0
2018-02-16,12:00:00,21.15,21.15,21.135,21.135,7780.0
2018-02-16,12:01:00,21.13,21.1462,21.13,21.14,4946.0
2018-02-16,12:02:00,21.145,21.145,21.12,21.125,5893.0
2018-02-16,12:03:00,21.13,21.135,21.13,21.13,1500.0
2018-02-16,12:04:00,21.13,21.14,21.12,21.1325,7264.0
2018-02-16,12:05:00,21.14,21.14,21.12,21.135,14307.0
2018-02-16,12:06:00,21.13,21.14,21.13,21.14,4200.0
2018-02-16,12:07:00,21.135,21.145,21.13,21.14,7356.0
2018-02-16,12:08:00,21.1471,21.1471,21.13,21.13,9786.0
2018-02-16,12:09:00,21.135,21.135,21.13,21.13,300.0
2018-02-16,12:10:00,21.14,21.14,21.136,21.136,380.0
2018-02-16,12:11:00,21.135,21.15,21.13,21.15,1959.0
2018-02-16,12:12:00,21.14,21.15,21.14,21.15,7646.0
2018-02-16,12:13:00,21.155,21.16,21.15,21.15,3775.0
2018-02-16,12:14:00,21.15,21.155,21.12,21.125,110823.0
