date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,3.96,3.96,3.94,3.96,25860.0
2018-02-16,09:31:00,3.97,3.97,3.95,3.95,41831.0
2018-02-16,09:32:00,3.94,3.95,3.93,3.94,32792.0
2018-02-16,09:33:00,3.935,3.94,3.935,3.94,6893.0
2018-02-16,09:34:00,3.931,3.94,3.93,3.93,40693.0
2018-02-16,09:35:00,3.93,3.95,3.925,3.95,55200.0
2018-02-16,09:36:00,3.95,3.95,3.94,3.94,46774.0
2018-02-16,09:37:00,3.95,3.95,3.94,3.95,26172.0
2018-02-16,09:38:00,3.945,3.955,3.945,3.95,27418.0
2018-02-16,09:39:00,3.95,3.96,3.9435,3.96,48873.0
2018-02-16,09:40:00,3.96,3.96,3.954,3.96,18176.0
2018-02-16,09:41:00,3.95,3.96,3.95,3.9513,21520.0
2018-02-16,09:42:00,3.95,3.95,3.94,3.95,12130.0
2018-02-16,09:43:00,3.95,3.96,3.945,3.96,30270.0
2018-02-16,09:44:00,3.96,3.96,3.955,3.96,45206.0
2018-02-16,09:45:00,3.9556,3.96,3.95,3.95,12600.0
2018-02-16,09:46:00,3.95,3.955,3.945,3.945,46408.0
2018-02-16,09:47:00,3.95,3.959,3.94,3.959,23462.0
2018-02-16,09:48:00,3.95,3.955,3.94,3.955,42000.0
2018-02-16,09:49:00,3.96,3.96,3.945,3.95,13554.0
2018-02-16,09:50:00,3.95,3.9541,3.9492,3.9541,20675.0
2018-02-16,09:51:00,3.95,3.95,3.95,3.95,11698.0
2018-02-16,09:52:00,3.95,3.9501,3.95,3.95,4933.0
2018-02-16,09:53:00,3.95,3.96,3.9464,3.96,62084.0
2018-02-16,09:54:00,3.96,3.96,3.95,3.96,52050.0
2018-02-16,09:55:00,3.96,3.97,3.95,3.97,148362.0
2018-02-16,09:56:00,3.97,3.985,3.97,3.98,107505.0
2018-02-16,09:57:00,3.98,3.98,3.98,3.98,10987.0
2018-02-16,09:58:00,3.98,3.98,3.975,3.975,13000.0
2018-02-16,09:59:00,3.98,3.98,3.97,3.98,14594.0
2018-02-16,10:00:00,3.97,3.98,3.96,3.98,41771.0
2018-02-16,10:01:00,3.98,3.98,3.97,3.975,114492.0
2018-02-16,10:02:00,3.97,3.975,3.9625,3.9701,73372.0
2018-02-16,10:03:00,3.97,3.9701,3.961,3.961,42025.0
2018-02-16,10:04:00,3.965,3.98,3.96,3.98,45341.0
2018-02-16,10:05:00,3.97,3.975,3.97,3.975,6400.0
2018-02-16,10:06:00,3.97,3.975,3.97,3.97,14317.0
2018-02-16,10:07:00,3.97,3.9755,3.97,3.97,4621.0
2018-02-16,10:08:00,3.97,3.97,3.96,3.9639,7800.0
2018-02-16,10:09:00,3.97,3.97,3.965,3.97,4206.0
2018-02-16,10:10:00,3.97,3.97,3.96,3.96,5990.0
2018-02-16,10:11:00,3.97,3.975,3.965,3.9701,23588.0
2018-02-16,10:12:00,3.97,3.975,3.97,3.975,1675.0
2018-02-16,10:13:00,3.97,3.975,3.97,3.97,4400.0
2018-02-16,10:14:00,3.97,3.977,3.96,3.96,32097.0
2018-02-16,10:15:00,3.97,3.97,3.965,3.97,5900.0
2018-02-16,10:16:00,3.965,3.97,3.965,3.965,4900.0
2018-02-16,10:17:00,3.961,3.97,3.961,3.97,30437.0
2018-02-16,10:18:00,3.965,3.97,3.96,3.97,5800.0
2018-02-16,10:19:00,3.97,3.97,3.96,3.97,800.0
2018-02-16,10:20:00,3.96,3.97,3.96,3.97,8087.0
2018-02-16,10:21:00,3.96,3.965,3.95,3.95,35089.0
2018-02-16,10:22:00,3.95,3.95,3.945,3.95,12100.0
2018-02-16,10:23:00,3.95,3.95,3.9494,3.95,6083.0
2018-02-16,10:24:00,3.95,3.955,3.945,3.955,65712.0
2018-02-16,10:25:00,3.95,3.9599,3.945,3.945,24009.0
2018-02-16,10:26:00,3.945,3.95,3.945,3.95,5264.0
2018-02-16,10:27:00,3.94,3.95,3.94,3.95,2200.0
2018-02-16,10:28:00,3.95,3.95,3.945,3.95,6942.0
2018-02-16,10:29:00,3.95,3.95,3.94,3.95,19100.0
2018-02-16,10:30:00,3.945,3.95,3.94,3.95,24098.0
2018-02-16,10:31:00,3.95,3.96,3.95,3.96,69410.0
2018-02-16,10:32:00,3.955,3.96,3.95,3.96,3400.0
2018-02-16,10:33:00,3.96,3.96,3.95,3.95,4800.0
2018-02-16,10:34:00,3.96,3.96,3.95,3.96,35408.0
2018-02-16,10:35:00,3.96,3.96,3.95,3.95,47870.0
2018-02-16,10:36:00,3.95,3.95,3.95,3.95,11869.0
2018-02-16,10:37:00,3.95,3.96,3.95,3.95,5910.0
2018-02-16,10:38:00,3.95,3.96,3.95,3.95,2000.0
2018-02-16,10:39:00,3.95,3.95,3.95,3.95,1600.0
2018-02-16,10:40:00,3.95,3.95,3.95,3.95,4356.0
2018-02-16,10:41:00,3.95,3.95,3.94,3.945,21574.0
2018-02-16,10:42:00,3.945,3.95,3.945,3.945,2440.0
2018-02-16,10:43:00,3.945,3.95,3.94,3.94,30010.0
2018-02-16,10:44:00,3.94,3.95,3.94,3.94,2200.0
2018-02-16,10:45:00,3.945,3.95,3.94,3.94,52500.0
2018-02-16,10:46:00,3.94,3.945,3.94,3.94,13407.0
2018-02-16,10:47:00,3.94,3.95,3.94,3.945,19012.0
2018-02-16,10:48:00,3.945,3.95,3.945,3.945,2800.0
2018-02-16,10:49:00,3.945,3.945,3.94,3.94,2900.0
2018-02-16,10:50:00,3.94,3.95,3.94,3.945,18288.0
2018-02-16,10:51:00,3.945,3.95,3.94,3.95,4025.0
2018-02-16,10:52:00,3.945,3.95,3.94,3.95,13100.0
2018-02-16,10:53:00,3.945,3.95,3.945,3.95,22650.0
2018-02-16,10:54:00,3.95,3.96,3.945,3.95,87984.0
2018-02-16,10:55:00,3.9562,3.9562,3.95,3.95,3436.0
2018-02-16,10:56:00,3.95,3.955,3.95,3.95,2141.0
2018-02-16,10:57:00,3.95,3.96,3.95,3.955,2660.0
2018-02-16,10:58:00,3.95,3.96,3.945,3.945,19278.0
2018-02-16,10:59:00,3.945,3.95,3.945,3.95,9107.0
2018-02-16,11:00:00,3.95,3.95,3.94,3.95,1400.0
2018-02-16,11:01:00,3.95,3.96,3.95,3.96,111739.0
2018-02-16,11:02:00,3.96,3.96,3.95,3.96,6703.0
2018-02-16,11:03:00,3.96,3.96,3.955,3.96,2900.0
2018-02-16,11:04:00,3.96,3.96,3.96,3.96,1800.0
2018-02-16,11:05:00,3.951,3.96,3.95,3.96,6556.0
2018-02-16,11:06:00,3.96,3.96,3.95,3.96,18500.0
2018-02-16,11:07:00,3.96,3.96,3.95,3.95,18800.0
2018-02-16,11:08:00,3.955,3.96,3.95,3.95,12483.0
2018-02-16,11:09:00,3.95,3.96,3.95,3.95,4360.0
2018-02-16,11:10:00,3.955,3.96,3.95,3.95,3000.0
2018-02-16,11:11:00,3.95,3.96,3.95,3.95,1626.0
2018-02-16,11:12:00,3.96,3.96,3.95,3.96,900.0
2018-02-16,11:13:00,3.955,3.96,3.95,3.95,3000.0
2018-02-16,11:14:00,3.95,3.96,3.95,3.95,1877.0
2018-02-16,11:15:00,3.95,3.96,3.95,3.955,2200.0
2018-02-16,11:16:00,3.955,3.96,3.95,3.955,9600.0
2018-02-16,11:17:00,3.96,3.96,3.95,3.96,37111.0
2018-02-16,11:18:00,3.96,3.97,3.955,3.97,64270.0
2018-02-16,11:19:00,3.96,3.97,3.96,3.96,23287.0
2018-02-16,11:20:00,3.96,3.96,3.95,3.96,21849.0
2018-02-16,11:21:00,3.955,3.96,3.95,3.955,1900.0
2018-02-16,11:22:00,3.9509,3.96,3.95,3.955,6700.0
2018-02-16,11:23:00,3.96,3.96,3.955,3.96,1700.0
2018-02-16,11:24:00,3.955,3.96,3.955,3.955,4100.0
2018-02-16,11:25:00,3.9547,3.96,3.95,3.96,5600.0
2018-02-16,11:26:00,3.95,3.96,3.95,3.96,12340.0
2018-02-16,11:27:00,3.95,3.955,3.95,3.95,1734.0
2018-02-16,11:28:00,3.95,3.955,3.95,3.95,1900.0
2018-02-16,11:29:00,3.95,3.956,3.95,3.95,13423.0
2018-02-16,11:30:00,3.95,3.96,3.95,3.95,2247.0
2018-02-16,11:31:00,3.95,3.96,3.95,3.96,59040.0
