date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,69.94,70.0,69.8,69.83,369021.0
2018-02-16,09:31:00,69.96,70.7,69.8,70.13,224399.0
2018-02-16,09:32:00,70.16,70.16,69.59,69.735,189377.0
2018-02-16,09:33:00,69.7266,70.04,69.6035,69.67,129759.0
2018-02-16,09:34:00,69.67,69.67,68.05,68.25,287992.0
2018-02-16,09:35:00,68.23,69.16,68.18,68.61,167564.0
2018-02-16,09:36:00,68.5839,68.74,67.65,68.165,216777.0
2018-02-16,09:37:00,68.165,68.92,68.08,68.57,128408.0
2018-02-16,09:38:00,68.51,68.98,68.41,68.495,146650.0
2018-02-16,09:39:00,68.5175,68.6045,68.18,68.34,148134.0
2018-02-16,09:40:00,68.3075,68.33,68.0,68.13,138109.0
2018-02-16,09:41:00,68.14,68.53,68.08,68.49,94223.0
2018-02-16,09:42:00,68.47,68.53,68.32,68.39,131012.0
2018-02-16,09:43:00,68.355,68.53,68.2872,68.44,111275.0
2018-02-16,09:44:00,68.48,68.78,68.45,68.73,151375.0
2018-02-16,09:45:00,68.74,68.92,68.52,68.84,85845.0
2018-02-16,09:46:00,68.84,68.99,68.78,68.78,142418.0
2018-02-16,09:47:00,68.79,68.99,68.67,68.9204,100981.0
2018-02-16,09:48:00,68.915,68.96,68.656,68.73,84509.0
2018-02-16,09:49:00,68.74,68.78,68.05,68.09,161749.0
2018-02-16,09:50:00,68.1,68.6695,68.1,68.6695,88395.0
2018-02-16,09:51:00,68.67,68.67,68.2,68.26,87011.0
2018-02-16,09:52:00,68.235,68.42,68.15,68.255,88868.0
2018-02-16,09:53:00,68.255,68.57,68.23,68.52,87592.0
2018-02-16,09:54:00,68.49,68.57,68.38,68.54,142148.0
2018-02-16,09:55:00,68.515,69.25,68.515,69.16,96115.0
2018-02-16,09:56:00,69.17,69.21,68.96,69.095,108593.0
2018-02-16,09:57:00,69.08,69.0821,68.57,68.64,55754.0
2018-02-16,09:58:00,68.64,68.85,68.57,68.71,60602.0
