date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,17.26,17.32,17.26,17.32,554185.0
2018-02-16,09:32:00,17.31,17.34,17.3,17.3,6514.0
2018-02-16,09:33:00,17.29,17.305,17.29,17.3,5635.0
2018-02-16,09:34:00,17.3,17.3,17.24,17.27,53387.0
2018-02-16,09:35:00,17.2799,17.28,17.24,17.27,10470.0
2018-02-16,09:36:00,17.275,17.285,17.24,17.24,24656.0
2018-02-16,09:37:00,17.24,17.255,17.24,17.24,11262.0
2018-02-16,09:38:00,17.23,17.2469,17.225,17.2399,21351.0
2018-02-16,09:39:00,17.24,17.26,17.24,17.255,15927.0
2018-02-16,09:40:00,17.25,17.285,17.25,17.28,7252.0
2018-02-16,09:41:00,17.28,17.28,17.26,17.26,12351.0
2018-02-16,09:42:00,17.26,17.26,17.225,17.24,18460.0
2018-02-16,09:43:00,17.23,17.2499,17.21,17.21,25274.0
2018-02-16,09:44:00,17.2142,17.2162,17.17,17.17,31864.0
2018-02-16,09:45:00,17.17,17.18,17.11,17.11,56515.0
2018-02-16,09:46:00,17.11,17.14,17.1,17.14,56323.0
2018-02-16,09:47:00,17.15,17.15,17.121,17.135,21562.0
2018-02-16,09:48:00,17.135,17.15,17.12,17.145,29408.0
2018-02-16,09:49:00,17.15,17.155,17.12,17.12,17570.0
2018-02-16,09:50:00,17.12,17.13,17.1,17.1,32903.0
2018-02-16,09:51:00,17.1,17.1,17.06,17.07,82768.0
2018-02-16,09:52:00,17.07,17.08,17.06,17.07,50379.0
2018-02-16,09:53:00,17.07,17.08,17.0631,17.075,13927.0
2018-02-16,09:54:00,17.08,17.09,17.075,17.09,22150.0
2018-02-16,09:55:00,17.1,17.1062,17.08,17.09,33113.0
2018-02-16,09:56:00,17.1,17.1,17.07,17.075,53499.0
2018-02-16,09:57:00,17.075,17.08,17.06,17.06,28511.0
2018-02-16,09:58:00,17.065,17.11,17.065,17.108,27085.0
2018-02-16,09:59:00,17.1099,17.11,17.081,17.081,33837.0
2018-02-16,10:00:00,17.09,17.11,17.085,17.1,22596.0
2018-02-16,10:01:00,17.108,17.12,17.08,17.085,36641.0
2018-02-16,10:02:00,17.08,17.09,17.07,17.07,46242.0
2018-02-16,10:03:00,17.07,17.0755,17.06,17.07,23078.0
2018-02-16,10:04:00,17.06,17.0861,17.06,17.0861,22658.0
2018-02-16,10:05:00,17.08,17.09,17.07,17.07,13081.0
2018-02-16,10:06:00,17.07,17.08,17.06,17.07,27763.0
2018-02-16,10:07:00,17.07,17.07,17.06,17.06,18718.0
2018-02-16,10:08:00,17.06,17.07,17.05,17.05,22351.0
2018-02-16,10:09:00,17.05,17.07,17.05,17.065,19251.0
