date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,45.57,45.57,45.57,45.57,550.0
2018-02-16,09:31:00,45.5,45.6401,45.34,45.435,1130484.0
2018-02-16,09:32:00,45.44,45.51,45.19,45.205,132949.0
2018-02-16,09:33:00,45.22,45.43,45.22,45.289,115883.0
2018-02-16,09:34:00,45.26,45.28,45.09,45.19,133342.0
2018-02-16,09:35:00,45.21,45.29,45.16,45.24,89296.0
2018-02-16,09:36:00,45.245,45.32,45.21,45.255,103525.0
2018-02-16,09:37:00,45.26,45.36,45.25,45.3,80452.0
2018-02-16,09:38:00,45.305,45.306,45.21,45.23,66026.0
2018-02-16,09:39:00,45.22,45.23,45.15,45.15,84117.0
2018-02-16,09:40:00,45.1525,45.1603,45.07,45.0701,85325.0
2018-02-16,09:41:00,45.08,45.16,45.01,45.15,176913.0
2018-02-16,09:42:00,45.1499,45.155,44.97,44.985,106792.0
2018-02-16,09:43:00,44.98,45.0,44.91,44.97,61856.0
2018-02-16,09:44:00,44.97,45.07,44.97,45.035,83574.0
2018-02-16,09:45:00,45.035,45.15,44.98,45.15,183585.0
2018-02-16,09:46:00,45.15,45.16,45.04,45.1,180061.0
2018-02-16,09:47:00,45.1,45.11,44.98,44.99,61282.0
2018-02-16,09:48:00,45.0,45.069,44.96,45.0,59041.0
2018-02-16,09:49:00,45.0,45.025,44.96,44.985,85218.0
2018-02-16,09:50:00,44.98,44.99,44.94,44.945,58955.0
2018-02-16,09:51:00,44.94,44.945,44.86,44.88,150946.0
2018-02-16,09:52:00,44.88,44.887,44.77,44.7777,167525.0
2018-02-16,09:53:00,44.78,44.82,44.72,44.81,88111.0
2018-02-16,09:54:00,44.82,44.87,44.74,44.74,81257.0
2018-02-16,09:55:00,44.73,44.82,44.73,44.755,61527.0
2018-02-16,09:56:00,44.7543,44.84,44.7543,44.8,57816.0
2018-02-16,09:57:00,44.8,44.92,44.7966,44.895,70003.0
2018-02-16,09:58:00,44.8999,44.95,44.89,44.935,73753.0
2018-02-16,09:59:00,44.935,44.965,44.93,44.95,56123.0
2018-02-16,10:00:00,44.94,44.95,44.94,44.945,20125.0
2018-02-16,10:01:00,44.94,44.9492,44.92,44.92,94894.0
2018-02-16,10:02:00,44.92,45.0,44.92,44.9962,89063.0
2018-02-16,10:03:00,44.99,45.0,44.98,44.985,46197.0
2018-02-16,10:04:00,44.983,45.04,44.975,44.98,54482.0
2018-02-16,10:05:00,44.98,45.09,44.9734,45.06,60802.0
2018-02-16,10:06:00,45.065,45.065,44.9586,44.975,35229.0
2018-02-16,10:07:00,44.97,44.9801,44.95,44.975,30001.0
2018-02-16,10:08:00,44.97,44.97,44.93,44.935,25963.0
2018-02-16,10:09:00,44.93,44.96,44.93,44.955,100779.0
2018-02-16,10:10:00,44.95,44.955,44.82,44.83,53152.0
2018-02-16,10:11:00,44.83,44.87,44.81,44.838,30445.0
2018-02-16,10:12:00,44.83,44.84,44.81,44.8199,33226.0
2018-02-16,10:13:00,44.815,44.9362,44.81,44.9355,39660.0
2018-02-16,10:14:00,44.93,44.93,44.86,44.8707,38314.0
2018-02-16,10:15:00,44.8734,44.965,44.87,44.96,30480.0
2018-02-16,10:16:00,44.97,45.059,44.96,45.02,60384.0
2018-02-16,10:17:00,45.015,45.06,45.01,45.06,42972.0
2018-02-16,10:18:00,45.05,45.055,44.98,45.01,38906.0
2018-02-16,10:19:00,45.001,45.015,44.985,45.0,24062.0
2018-02-16,10:20:00,45.0018,45.03,45.0,45.025,32236.0
2018-02-16,10:21:00,45.0251,45.0251,45.0,45.005,36375.0
2018-02-16,10:22:00,45.01,45.0401,45.0,45.035,28945.0
