date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,65.11,65.14,65.11,65.14,3900.0
2018-02-16,09:32:00,65.06,65.13,65.0,65.04,71812.0
2018-02-16,09:33:00,65.02,65.115,64.93,65.115,6390.0
2018-02-16,09:34:00,65.135,65.32,65.11,65.31,6624.0
2018-02-16,09:35:00,65.3,65.39,65.25,65.25,2500.0
2018-02-16,09:36:00,65.25,65.5547,65.16,65.275,13146.0
2018-02-16,09:37:00,65.288,65.29,65.12,65.21,3524.0
2018-02-16,09:38:00,65.31,65.37,65.27,65.37,2564.0
2018-02-16,09:39:00,65.42,65.61,65.42,65.61,4555.0
2018-02-16,09:40:00,65.62,65.7,65.42,65.42,10611.0
2018-02-16,09:41:00,65.425,65.5,65.37,65.48,7504.0
2018-02-16,09:42:00,65.48,65.48,65.29,65.29,4754.0
2018-02-16,09:43:00,65.26,65.32,65.16,65.22,22723.0
2018-02-16,09:44:00,65.13,65.21,65.05,65.05,14353.0
2018-02-16,09:45:00,65.01,65.19,64.98,65.16,11098.0
2018-02-16,09:46:00,65.17,65.42,65.12,65.42,8748.0
2018-02-16,09:47:00,65.49,65.53,65.41,65.48,9354.0
2018-02-16,09:48:00,65.471,65.6387,65.47,65.61,5616.0
2018-02-16,09:49:00,65.59,65.7848,65.59,65.74,3321.0
2018-02-16,09:50:00,65.77,65.9,65.77,65.77,6197.0
2018-02-16,09:51:00,65.76,65.89,65.69,65.89,11500.0
2018-02-16,09:52:00,65.9405,66.06,65.89,66.06,12616.0
2018-02-16,09:53:00,66.05,66.075,65.94,66.04,3399.0
2018-02-16,09:54:00,66.0,66.065,66.0,66.0475,1250.0
2018-02-16,09:55:00,66.04,66.33,66.04,66.33,31651.0
2018-02-16,09:56:00,66.33,66.39,66.28,66.29,27738.0
2018-02-16,09:57:00,66.26,66.35,66.18,66.18,17990.0
2018-02-16,09:58:00,66.23,66.23,66.01,66.01,6812.0
2018-02-16,09:59:00,66.01,66.01,65.89,65.95,8036.0
2018-02-16,10:00:00,65.9548,65.97,65.83,65.965,2400.0
2018-02-16,10:01:00,65.93,66.04,65.81,66.01,7000.0
2018-02-16,10:02:00,66.01,66.06,65.89,66.01,12570.0
2018-02-16,10:03:00,66.04,66.19,66.0,66.14,4828.0
2018-02-16,10:04:00,66.14,66.15,65.964,65.964,5703.0
2018-02-16,10:05:00,65.96,66.0123,65.9283,65.9283,3200.0
2018-02-16,10:06:00,65.91,65.91,65.79,65.79,6434.0
2018-02-16,10:07:00,65.74,65.765,65.69,65.69,2990.0
2018-02-16,10:08:00,65.68,65.9,65.68,65.9,1950.0
2018-02-16,10:09:00,65.95,66.0,65.945,65.95,3861.0
2018-02-16,10:10:00,66.01,66.075,65.99,66.075,3577.0
2018-02-16,10:11:00,66.06,66.0745,65.94,65.94,4073.0
2018-02-16,10:12:00,65.97,65.9952,65.91,65.93,2000.0
2018-02-16,10:13:00,65.9,66.01,65.87,66.005,2800.0
