date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,3.9,3.9,3.9,3.9,67809.0
2018-02-16,09:31:00,3.9,3.98,3.8999,3.98,9405.0
2018-02-16,09:32:00,3.96,3.96,3.95,3.95,3000.0
2018-02-16,09:33:00,3.96,3.96,3.95,3.9501,1230.0
2018-02-16,09:34:00,3.96,3.96,3.9499,3.95,13000.0
2018-02-16,09:35:00,3.95,3.965,3.9437,3.965,13755.0
2018-02-16,09:36:00,3.965,3.965,3.95,3.9599,17272.0
2018-02-16,09:37:00,3.955,3.965,3.955,3.965,1700.0
2018-02-16,09:38:00,3.9665,3.97,3.96,3.97,826.0
2018-02-16,09:39:00,3.97,3.98,3.965,3.98,5500.0
2018-02-16,09:40:00,3.975,3.98,3.97,3.98,500.0
2018-02-16,09:41:00,3.97,3.98,3.97,3.97,1850.0
2018-02-16,09:42:00,3.98,3.98,3.9699,3.97,20910.0
2018-02-16,09:43:00,3.97,3.9799,3.97,3.97,4000.0
2018-02-16,09:44:00,3.975,3.979,3.97,3.9701,4135.0
2018-02-16,09:45:00,3.97,3.98,3.97,3.975,9945.0
2018-02-16,09:46:00,3.98,3.99,3.975,3.985,32975.0
2018-02-16,09:47:00,3.99,3.999,3.985,3.999,29956.0
2018-02-16,09:48:00,3.9962,4.0,3.99,3.995,81059.0
2018-02-16,09:49:00,4.0,4.0,3.99,4.0,17296.0
2018-02-16,09:50:00,3.99,4.0,3.99,4.0,3295.0
2018-02-16,09:51:00,3.99,4.0,3.99,3.995,22183.0
2018-02-16,09:52:00,3.99,3.995,3.975,3.995,84633.0
2018-02-16,09:53:00,3.99,4.0,3.99,3.99,11857.0
2018-02-16,09:54:00,3.99,3.99,3.975,3.985,27672.0
2018-02-16,09:55:00,3.99,3.99,3.99,3.99,300.0
2018-02-16,09:56:00,3.99,3.99,3.975,3.98,12003.0
2018-02-16,09:57:00,3.98,3.99,3.98,3.9815,5710.0
2018-02-16,09:58:00,3.98,3.98,3.97,3.9765,12675.0
2018-02-16,09:59:00,3.975,3.98,3.955,3.98,27066.0
2018-02-16,10:00:00,3.97,3.98,3.97,3.9799,3100.0
2018-02-16,10:01:00,3.98,3.98,3.97,3.98,2800.0
2018-02-16,10:02:00,3.98,3.98,3.97,3.98,3200.0
2018-02-16,10:03:00,3.9764,3.98,3.97,3.98,1600.0
2018-02-16,10:04:00,3.98,3.98,3.975,3.975,1600.0
2018-02-16,10:05:00,3.97,3.975,3.97,3.97,1300.0
2018-02-16,10:06:00,3.98,3.98,3.96,3.96,3689.0
2018-02-16,10:07:00,3.96,3.97,3.96,3.9662,1000.0
2018-02-16,10:08:00,3.96,3.965,3.96,3.9628,2650.0
2018-02-16,10:09:00,3.96,3.965,3.95,3.95,4293.0
2018-02-16,10:10:00,3.955,3.96,3.945,3.95,31577.0
2018-02-16,10:11:00,3.955,3.965,3.955,3.96,37411.0
2018-02-16,10:12:00,3.96,3.97,3.96,3.97,1500.0
2018-02-16,10:13:00,3.97,3.97,3.97,3.97,200.0
2018-02-16,10:14:00,3.97,3.97,3.96,3.965,3640.0
2018-02-16,10:15:00,3.96,3.97,3.96,3.96,1100.0
2018-02-16,10:16:00,3.96,3.965,3.96,3.96,700.0
2018-02-16,10:17:00,3.96,3.97,3.96,3.96,700.0
2018-02-16,10:18:00,3.97,3.97,3.96,3.96,1700.0
2018-02-16,10:19:00,3.97,3.97,3.97,3.97,200.0
2018-02-16,10:20:00,3.965,3.965,3.96,3.96,600.0
2018-02-16,10:21:00,3.97,3.97,3.95,3.96,5938.0
2018-02-16,10:22:00,3.96,3.97,3.955,3.96,14400.0
2018-02-16,10:23:00,3.97,3.97,3.96,3.96,300.0
2018-02-16,10:24:00,3.97,3.97,3.96,3.96,6100.0
2018-02-16,10:25:00,3.95,3.955,3.95,3.95,1300.0
2018-02-16,10:26:00,3.96,3.96,3.95,3.96,2650.0
2018-02-16,10:27:00,3.96,3.96,3.95,3.95,300.0
2018-02-16,10:28:00,3.96,3.96,3.95,3.95,1500.0
2018-02-16,10:29:00,3.96,3.96,3.95,3.96,500.0
2018-02-16,10:30:00,3.96,3.97,3.95,3.97,26877.0
2018-02-16,10:31:00,3.97,3.97,3.96,3.965,4300.0
2018-02-16,10:32:00,3.96,3.97,3.96,3.96,800.0
2018-02-16,10:33:00,3.96,3.969,3.96,3.969,400.0
2018-02-16,10:35:00,3.96,3.96,3.96,3.96,200.0
2018-02-16,10:36:00,3.965,3.97,3.96,3.97,1459.0
2018-02-16,10:37:00,3.96,3.96,3.96,3.96,100.0
2018-02-16,10:38:00,3.965,3.965,3.96,3.965,2100.0
2018-02-16,10:39:00,3.965,3.97,3.96,3.96,1700.0
2018-02-16,10:40:00,3.96,3.97,3.96,3.97,2900.0
2018-02-16,10:41:00,3.96,3.97,3.96,3.96,2600.0
2018-02-16,10:42:00,3.96,3.97,3.96,3.965,5800.0
2018-02-16,10:44:00,3.96,3.96,3.96,3.96,200.0
2018-02-16,10:45:00,3.965,3.97,3.965,3.97,700.0
2018-02-16,10:46:00,3.96,3.97,3.96,3.965,2400.0
2018-02-16,10:47:00,3.96,3.97,3.96,3.965,2700.0
2018-02-16,10:48:00,3.965,3.965,3.96,3.96,500.0
2018-02-16,10:49:00,3.965,3.97,3.96,3.97,900.0
2018-02-16,10:50:00,3.96,3.97,3.96,3.97,5360.0
2018-02-16,10:51:00,3.96,3.96,3.96,3.96,100.0
2018-02-16,10:52:00,3.96,3.96,3.96,3.96,600.0
2018-02-16,10:53:00,3.96,3.97,3.96,3.97,3200.0
2018-02-16,10:54:00,3.96,3.97,3.96,3.96,1000.0
2018-02-16,10:55:00,3.96,3.96,3.96,3.96,1100.0
2018-02-16,10:56:00,3.96,3.97,3.96,3.96,1700.0
2018-02-16,10:57:00,3.96,3.96,3.96,3.96,600.0
2018-02-16,10:58:00,3.966,3.97,3.96,3.96,2100.0
2018-02-16,10:59:00,3.96,3.965,3.96,3.96,600.0
2018-02-16,11:00:00,3.96,3.97,3.96,3.96,1000.0
2018-02-16,11:01:00,3.96,3.97,3.96,3.96,8700.0
2018-02-16,11:02:00,3.965,3.97,3.96,3.97,1200.0
2018-02-16,11:03:00,3.966,3.97,3.96,3.96,4200.0
2018-02-16,11:04:00,3.9685,3.97,3.96,3.96,6000.0
2018-02-16,11:05:00,3.965,3.97,3.96,3.96,2250.0
2018-02-16,11:06:00,3.96,3.96,3.96,3.96,2300.0
2018-02-16,11:07:00,3.96,3.96,3.96,3.96,900.0
2018-02-16,11:08:00,3.96,3.96,3.96,3.96,1300.0
2018-02-16,11:09:00,3.96,3.96,3.96,3.96,1000.0
2018-02-16,11:10:00,3.96,3.96,3.96,3.96,900.0
2018-02-16,11:11:00,3.96,3.96,3.96,3.96,1400.0
2018-02-16,11:12:00,3.96,3.97,3.96,3.97,2000.0
2018-02-16,11:13:00,3.9602,3.9602,3.96,3.96,1000.0
2018-02-16,11:14:00,3.96,3.96,3.96,3.96,1500.0
2018-02-16,11:15:00,3.96,3.96,3.96,3.96,586.0
2018-02-16,11:16:00,3.96,3.96,3.96,3.96,1300.0
2018-02-16,11:17:00,3.96,3.96,3.96,3.96,2700.0
2018-02-16,11:18:00,3.96,3.96,3.96,3.96,1000.0
2018-02-16,11:19:00,3.96,3.96,3.96,3.96,800.0
2018-02-16,11:20:00,3.96,3.96,3.95,3.959,8914.0
2018-02-16,11:21:00,3.95,3.955,3.95,3.955,300.0
2018-02-16,11:22:00,3.95,3.95,3.95,3.95,100.0
2018-02-16,11:23:00,3.95,3.96,3.95,3.95,13500.0
2018-02-16,11:24:00,3.95,3.95,3.95,3.95,100.0
2018-02-16,11:25:00,3.95,3.955,3.95,3.955,1200.0
2018-02-16,11:26:00,3.95,3.95,3.95,3.95,600.0
2018-02-16,11:27:00,3.955,3.955,3.95,3.95,600.0
2018-02-16,11:28:00,3.95,3.96,3.95,3.96,20800.0
2018-02-16,11:29:00,3.95,3.95,3.95,3.95,400.0
2018-02-16,11:30:00,3.95,3.955,3.95,3.955,500.0
2018-02-16,11:31:00,3.955,3.955,3.95,3.95,400.0
2018-02-16,11:32:00,3.955,3.955,3.95,3.95,3000.0
2018-02-16,11:33:00,3.95,3.96,3.95,3.96,1500.0
2018-02-16,11:34:00,3.95,3.95,3.95,3.95,500.0
2018-02-16,11:35:00,3.95,3.95,3.95,3.95,300.0
2018-02-16,11:36:00,3.95,3.95,3.95,3.95,1500.0
2018-02-16,11:37:00,3.95,3.9538,3.95,3.95,1650.0
2018-02-16,11:38:00,3.95,3.955,3.95,3.955,400.0
2018-02-16,11:39:00,3.955,3.955,3.95,3.95,500.0
2018-02-16,11:40:00,3.95,3.95,3.95,3.95,400.0
2018-02-16,11:41:00,3.955,3.96,3.95,3.955,4700.0
2018-02-16,11:42:00,3.95,3.955,3.95,3.95,900.0
2018-02-16,11:43:00,3.95,3.955,3.95,3.95,6795.0
2018-02-16,11:44:00,3.95,3.95,3.95,3.95,600.0
2018-02-16,11:45:00,3.95,3.95,3.95,3.95,200.0
2018-02-16,11:46:00,3.95,3.95,3.95,3.95,1700.0
2018-02-16,11:47:00,3.95,3.95,3.95,3.95,500.0
2018-02-16,11:48:00,3.95,3.955,3.95,3.95,500.0
2018-02-16,11:49:00,3.95,3.955,3.95,3.95,800.0
2018-02-16,11:50:00,3.95,3.955,3.95,3.95,400.0
2018-02-16,11:51:00,3.95,3.9524,3.95,3.95,1800.0
2018-02-16,11:52:00,3.95,3.9525,3.95,3.95,500.0
2018-02-16,11:53:00,3.95,3.9548,3.95,3.95,500.0
2018-02-16,11:54:00,3.95,3.955,3.95,3.95,2000.0
2018-02-16,11:55:00,3.95,3.95,3.95,3.95,400.0
2018-02-16,11:56:00,3.95,3.955,3.95,3.955,1300.0
2018-02-16,11:57:00,3.955,3.955,3.95,3.95,1000.0
2018-02-16,11:58:00,3.95,3.955,3.95,3.95,1100.0
2018-02-16,11:59:00,3.95,3.9568,3.95,3.9568,750.0
