date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,96.48,96.66,96.48,96.54,6697.0
2018-02-16,09:32:00,96.61,96.83,96.35,96.4127,187652.0
2018-02-16,09:33:00,96.425,96.53,96.35,96.43,22236.0
2018-02-16,09:34:00,96.39,96.43,96.3,96.335,6542.0
2018-02-16,09:35:00,96.3,96.6,96.29,96.6,21359.0
2018-02-16,09:36:00,96.59,96.76,96.46,96.55,7630.0
2018-02-16,09:37:00,96.54,96.59,96.43,96.59,8208.0
2018-02-16,09:38:00,96.57,96.69,96.53,96.69,9044.0
2018-02-16,09:39:00,96.77,96.85,96.75,96.76,6908.0
2018-02-16,09:40:00,96.82,96.94,96.745,96.745,18165.0
2018-02-16,09:41:00,96.76,96.76,96.51,96.51,10956.0
2018-02-16,09:42:00,96.5,96.5,96.31,96.31,12287.0
2018-02-16,09:43:00,96.32,96.48,96.32,96.381,8146.0
2018-02-16,09:44:00,96.4296,96.44,96.3065,96.315,5348.0
2018-02-16,09:45:00,96.28,96.46,96.28,96.43,9713.0
2018-02-16,09:46:00,96.4,96.61,96.33,96.57,15143.0
2018-02-16,09:47:00,96.57,96.6,96.54,96.585,13157.0
2018-02-16,09:48:00,96.61,96.81,96.595,96.79,21307.0
2018-02-16,09:49:00,96.79,96.93,96.75,96.88,23697.0
2018-02-16,09:50:00,96.93,97.17,96.93,97.055,36313.0
2018-02-16,09:51:00,97.055,97.29,96.95,97.28,25983.0
2018-02-16,09:52:00,97.24,97.26,97.06,97.26,18176.0
2018-02-16,09:53:00,97.32,97.32,97.0,97.23,30346.0
2018-02-16,09:54:00,97.22,97.32,97.17,97.3035,15944.0
2018-02-16,09:55:00,97.3016,97.35,97.21,97.22,8831.0
2018-02-16,09:56:00,97.22,97.38,97.19,97.25,18740.0
2018-02-16,09:57:00,97.25,97.25,97.15,97.2467,7475.0
2018-02-16,09:58:00,97.2599,97.27,97.21,97.25,8050.0
2018-02-16,09:59:00,97.2104,97.22,97.13,97.14,11469.0
2018-02-16,10:00:00,97.11,97.14,97.03,97.13,7691.0
2018-02-16,10:01:00,97.15,97.26,97.15,97.15,5544.0
2018-02-16,10:02:00,97.14,97.1472,97.05,97.1472,8263.0
2018-02-16,10:03:00,97.17,97.17,97.085,97.1369,7413.0
2018-02-16,10:04:00,97.15,97.15,96.96,96.96,7200.0
2018-02-16,10:05:00,96.97,97.045,96.95,97.0,11350.0
2018-02-16,10:06:00,97.01,97.09,96.97,97.06,9930.0
2018-02-16,10:07:00,97.07,97.07,96.93,96.95,11215.0
2018-02-16,10:08:00,96.945,97.0028,96.88,96.89,15154.0
2018-02-16,10:09:00,96.9399,97.045,96.915,97.04,7408.0
2018-02-16,10:10:00,97.045,97.23,97.045,97.14,8050.0
2018-02-16,10:11:00,97.14,97.22,97.11,97.16,12680.0
2018-02-16,10:12:00,97.14,97.2,97.11,97.1186,19485.0
2018-02-16,10:13:00,97.11,97.14,97.05,97.14,8925.0
2018-02-16,10:14:00,97.1,97.1,97.05,97.075,6724.0
2018-02-16,10:15:00,97.0913,97.243,97.05,97.15,7461.0
2018-02-16,10:16:00,97.17,97.26,97.1664,97.21,6849.0
2018-02-16,10:17:00,97.25,97.41,97.245,97.38,10768.0
2018-02-16,10:18:00,97.39,97.39,97.24,97.31,9050.0
2018-02-16,10:19:00,97.28,97.32,97.22,97.29,4671.0
2018-02-16,10:20:00,97.2804,97.305,97.17,97.17,7038.0
2018-02-16,10:21:00,97.17,97.21,97.16,97.2,7149.0
2018-02-16,10:22:00,97.22,97.34,97.22,97.3202,3164.0
2018-02-16,10:23:00,97.315,97.315,97.235,97.29,6092.0
2018-02-16,10:24:00,97.3156,97.3156,97.21,97.26,9267.0
2018-02-16,10:25:00,97.26,97.38,97.26,97.34,8121.0
2018-02-16,10:26:00,97.35,97.54,97.35,97.46,11302.0
2018-02-16,10:27:00,97.4237,97.48,97.4,97.48,12829.0
2018-02-16,10:28:00,97.48,97.49,97.42,97.42,2850.0
2018-02-16,10:29:00,97.4,97.42,97.29,97.31,10278.0
2018-02-16,10:30:00,97.28,97.33,97.21,97.33,11049.0
2018-02-16,10:31:00,97.31,97.35,97.24,97.33,13719.0
2018-02-16,10:32:00,97.35,97.39,97.31,97.39,5539.0
2018-02-16,10:33:00,97.37,97.39,97.27,97.29,6370.0
2018-02-16,10:34:00,97.305,97.3766,97.2992,97.3766,5459.0
2018-02-16,10:35:00,97.35,97.4,97.29,97.37,16785.0
2018-02-16,10:36:00,97.38,97.41,97.37,97.41,4865.0
2018-02-16,10:37:00,97.39,97.47,97.38,97.42,7079.0
2018-02-16,10:38:00,97.4,97.4,97.35,97.38,5366.0
2018-02-16,10:39:00,97.38,97.407,97.34,97.36,20248.0
2018-02-16,10:40:00,97.35,97.35,97.32,97.33,11378.0
2018-02-16,10:41:00,97.33,97.39,97.32,97.375,11831.0
2018-02-16,10:42:00,97.39,97.43,97.37,97.43,6477.0
