date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,184.76,185.85,184.76,185.71,89739.0
2018-02-16,09:31:00,185.73,185.81,184.6501,185.805,15516.0
2018-02-16,09:32:00,185.85,186.0,185.1501,185.82,11019.0
2018-02-16,09:33:00,185.745,186.1,185.44,185.9101,5551.0
2018-02-16,09:34:00,186.25,186.25,185.6101,185.6101,7000.0
2018-02-16,09:35:00,185.62,185.79,185.0001,185.66,9352.0
2018-02-16,09:36:00,185.96,186.274,185.78,186.235,5800.0
2018-02-16,09:37:00,186.36,186.51,186.36,186.45,2300.0
2018-02-16,09:38:00,186.5193,186.74,186.39,186.655,11300.0
2018-02-16,09:39:00,186.675,187.1099,186.675,187.005,13496.0
2018-02-16,09:40:00,187.005,187.13,186.89,186.99,20250.0
2018-02-16,09:41:00,186.97,186.98,186.77,186.82,8787.0
2018-02-16,09:42:00,186.96,186.96,186.49,186.69,15800.0
2018-02-16,09:43:00,186.7,187.325,186.7,187.325,4930.0
2018-02-16,09:44:00,187.31,187.389,186.981,187.16,13610.0
2018-02-16,09:45:00,187.16,187.24,186.56,186.595,11422.0
2018-02-16,09:46:00,186.63,187.25,186.57,187.2225,10550.0
2018-02-16,09:47:00,187.16,187.22,186.94,187.075,3200.0
2018-02-16,09:48:00,187.2,187.53,186.89,187.5,18188.0
2018-02-16,09:49:00,187.57,187.65,187.11,187.24,18952.0
2018-02-16,09:50:00,187.13,187.62,187.13,187.42,8081.0
2018-02-16,09:51:00,187.27,187.5,187.03,187.5,6978.0
2018-02-16,09:52:00,187.4369,187.99,187.39,187.86,16160.0
2018-02-16,09:53:00,187.93,188.24,187.64,187.87,15367.0
2018-02-16,09:54:00,187.86,188.21,187.84,187.99,7960.0
2018-02-16,09:55:00,188.015,188.1699,187.845,187.845,11750.0
2018-02-16,09:56:00,187.91,188.22,187.78,188.22,9461.0
2018-02-16,09:57:00,188.17,188.23,187.97,188.181,6921.0
2018-02-16,09:58:00,188.11,188.33,188.03,188.12,8105.0
2018-02-16,09:59:00,188.18,188.62,187.92,188.14,11567.0
2018-02-16,10:00:00,187.95,188.085,187.36,187.36,4806.0
2018-02-16,10:01:00,187.52,187.87,187.415,187.56,16882.0
2018-02-16,10:02:00,187.37,187.51,187.12,187.12,12585.0
2018-02-16,10:03:00,187.12,187.12,186.38,186.49,28820.0
2018-02-16,10:04:00,186.5,186.65,186.41,186.63,25835.0
2018-02-16,10:05:00,186.86,187.11,186.788,186.788,9067.0
2018-02-16,10:06:00,186.761,186.81,186.54,186.5829,11917.0
2018-02-16,10:07:00,186.56,186.59,186.4,186.52,25266.0
2018-02-16,10:08:00,186.54,186.75,186.47,186.715,11847.0
2018-02-16,10:09:00,186.78,187.15,186.7751,187.15,2150.0
2018-02-16,10:10:00,187.22,187.52,187.22,187.51,8250.0
2018-02-16,10:11:00,187.4581,187.75,187.4581,187.75,18674.0
2018-02-16,10:12:00,187.67,187.77,187.2,187.34,12354.0
2018-02-16,10:13:00,187.42,187.56,187.26,187.52,18220.0
2018-02-16,10:14:00,187.5,187.61,187.34,187.34,9986.0
