date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,3.86,3.86,3.86,3.86,137546.0
2018-02-16,09:33:00,3.85,3.85,3.85,3.85,3200.0
2018-02-16,09:34:00,3.855,3.86,3.855,3.86,4880.0
2018-02-16,09:35:00,3.86,3.86,3.855,3.855,500.0
2018-02-16,09:36:00,3.855,3.86,3.855,3.855,1300.0
2018-02-16,09:37:00,3.86,3.86,3.86,3.86,300.0
2018-02-16,09:38:00,3.86,3.87,3.86,3.865,55324.0
2018-02-16,09:39:00,3.87,3.87,3.86,3.865,1900.0
2018-02-16,09:40:00,3.86,3.87,3.86,3.86,1100.0
2018-02-16,09:41:00,3.87,3.87,3.86,3.86,1500.0
2018-02-16,09:42:00,3.87,3.87,3.86,3.86,1300.0
2018-02-16,09:43:00,3.87,3.87,3.865,3.87,800.0
2018-02-16,09:44:00,3.87,3.87,3.86,3.865,4470.0
2018-02-16,09:45:00,3.86,3.87,3.86,3.87,6931.0
2018-02-16,09:46:00,3.86,3.87,3.86,3.87,3847.0
2018-02-16,09:47:00,3.86,3.87,3.86,3.87,1400.0
2018-02-16,09:48:00,3.87,3.87,3.861,3.87,1500.0
2018-02-16,09:49:00,3.87,3.88,3.865,3.875,89477.0
2018-02-16,09:50:00,3.875,3.88,3.87,3.87,6100.0
2018-02-16,09:51:00,3.875,3.88,3.87,3.87,5461.0
2018-02-16,09:52:00,3.875,3.8788,3.87,3.87,21260.0
2018-02-16,09:53:00,3.8712,3.88,3.87,3.87,8800.0
2018-02-16,09:54:00,3.875,3.88,3.8701,3.8762,1736.0
2018-02-16,09:55:00,3.875,3.875,3.87,3.875,500.0
2018-02-16,09:56:00,3.875,3.88,3.87,3.875,4500.0
2018-02-16,09:57:00,3.87,3.88,3.87,3.87,2400.0
2018-02-16,09:58:00,3.871,3.875,3.87,3.875,9378.0
2018-02-16,09:59:00,3.875,3.875,3.875,3.875,500.0
2018-02-16,10:00:00,3.875,3.875,3.87,3.875,3200.0
2018-02-16,10:01:00,3.875,3.875,3.86,3.865,73405.0
2018-02-16,10:02:00,3.87,3.87,3.87,3.87,2200.0
2018-02-16,10:03:00,3.87,3.87,3.865,3.87,9540.0
2018-02-16,10:04:00,3.87,3.87,3.865,3.87,5100.0
2018-02-16,10:05:00,3.87,3.87,3.865,3.865,6151.0
2018-02-16,10:06:00,3.87,3.87,3.87,3.87,800.0
2018-02-16,10:07:00,3.87,3.87,3.865,3.865,700.0
2018-02-16,10:08:00,3.865,3.865,3.8633,3.865,3300.0
2018-02-16,10:09:00,3.865,3.87,3.865,3.87,8000.0
2018-02-16,10:10:00,3.87,3.875,3.87,3.875,13100.0
2018-02-16,10:11:00,3.8791,3.8791,3.87,3.875,4825.0
2018-02-16,10:12:00,3.87,3.8799,3.87,3.87,3774.0
2018-02-16,10:13:00,3.875,3.875,3.87,3.87,2900.0
2018-02-16,10:14:00,3.87,3.875,3.87,3.87,59227.0
2018-02-16,10:15:00,3.865,3.87,3.8647,3.87,7616.0
2018-02-16,10:16:00,3.87,3.87,3.865,3.87,6100.0
2018-02-16,10:17:00,3.87,3.875,3.865,3.875,21449.0
2018-02-16,10:18:00,3.88,3.88,3.87,3.87,300.0
2018-02-16,10:19:00,3.875,3.88,3.87,3.875,2852.0
2018-02-16,10:20:00,3.88,3.88,3.88,3.88,5000.0
2018-02-16,10:21:00,3.88,3.88,3.88,3.88,2300.0
2018-02-16,10:22:00,3.88,3.88,3.875,3.88,1600.0
2018-02-16,10:23:00,3.88,3.88,3.875,3.88,3400.0
2018-02-16,10:24:00,3.88,3.88,3.875,3.875,4400.0
2018-02-16,10:25:00,3.88,3.88,3.875,3.88,6800.0
2018-02-16,10:26:00,3.88,3.88,3.8764,3.88,5000.0
2018-02-16,10:27:00,3.875,3.88,3.875,3.875,4700.0
2018-02-16,10:28:00,3.875,3.88,3.875,3.88,7905.0
2018-02-16,10:29:00,3.88,3.88,3.88,3.88,300.0
2018-02-16,10:30:00,3.88,3.89,3.88,3.89,30270.0
2018-02-16,10:31:00,3.89,3.89,3.89,3.89,600.0
2018-02-16,10:32:00,3.885,3.89,3.885,3.885,4721.0
2018-02-16,10:33:00,3.89,3.89,3.885,3.89,1500.0
2018-02-16,10:34:00,3.89,3.89,3.88,3.89,6300.0
2018-02-16,10:35:00,3.885,3.89,3.885,3.89,2200.0
2018-02-16,10:36:00,3.885,3.89,3.885,3.89,12200.0
2018-02-16,10:37:00,3.89,3.89,3.8838,3.89,2556.0
2018-02-16,10:38:00,3.89,3.89,3.885,3.89,1600.0
2018-02-16,10:39:00,3.89,3.89,3.885,3.89,1400.0
2018-02-16,10:40:00,3.885,3.89,3.885,3.89,3947.0
2018-02-16,10:41:00,3.885,3.89,3.885,3.885,2296.0
2018-02-16,10:42:00,3.8804,3.89,3.8804,3.89,33000.0
2018-02-16,10:43:00,3.8864,3.89,3.885,3.89,23767.0
2018-02-16,10:44:00,3.89,3.89,3.885,3.89,8900.0
2018-02-16,10:45:00,3.885,3.89,3.88,3.885,4313.0
2018-02-16,10:46:00,3.885,3.885,3.88,3.88,4383.0
2018-02-16,10:47:00,3.88,3.89,3.88,3.88,10600.0
2018-02-16,10:48:00,3.885,3.89,3.88,3.885,11976.0
2018-02-16,10:49:00,3.885,3.885,3.88,3.885,1000.0
2018-02-16,10:50:00,3.89,3.89,3.8847,3.885,7235.0
2018-02-16,10:51:00,3.885,3.89,3.885,3.885,2903.0
2018-02-16,10:52:00,3.885,3.885,3.88,3.88,3000.0
2018-02-16,10:53:00,3.89,3.89,3.88,3.88,3900.0
2018-02-16,10:54:00,3.885,3.89,3.88,3.89,26482.0
