date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,26.4,26.4,26.4,26.4,112083.0
2018-02-16,09:31:00,26.38,26.45,26.35,26.37,10681.0
2018-02-16,09:32:00,26.37,26.39,26.33,26.38,18751.0
2018-02-16,09:33:00,26.38,26.39,26.33,26.39,10089.0
2018-02-16,09:34:00,26.39,26.4,26.33,26.38,32184.0
2018-02-16,09:35:00,26.37,26.42,26.3599,26.38,31034.0
2018-02-16,09:36:00,26.39,26.41,26.25,26.2579,86873.0
2018-02-16,09:37:00,26.26,26.26,26.17,26.225,39718.0
2018-02-16,09:38:00,26.22,26.23,26.18,26.2264,17481.0
2018-02-16,09:39:00,26.23,26.25,26.205,26.25,12118.0
2018-02-16,09:40:00,26.26,26.28,26.14,26.14,74363.0
2018-02-16,09:41:00,26.13,26.15,26.05,26.09,45884.0
2018-02-16,09:42:00,26.09,26.09,25.95,25.955,69379.0
2018-02-16,09:43:00,25.96,26.04,25.96,26.04,25202.0
2018-02-16,09:44:00,26.035,26.035,25.965,25.9699,27868.0
2018-02-16,09:45:00,25.965,26.05,25.96,26.05,35623.0
2018-02-16,09:46:00,26.04,26.1,25.99,26.1,21008.0
2018-02-16,09:47:00,26.1,26.14,26.095,26.105,18459.0
2018-02-16,09:48:00,26.105,26.1538,26.1,26.125,30567.0
2018-02-16,09:49:00,26.12,26.19,26.1,26.18,39437.0
2018-02-16,09:50:00,26.177,26.2,26.15,26.15,22158.0
2018-02-16,09:51:00,26.15,26.17,26.095,26.17,36473.0
2018-02-16,09:52:00,26.16,26.24,26.16,26.24,14920.0
2018-02-16,09:53:00,26.25,26.25,26.18,26.2243,15000.0
2018-02-16,09:54:00,26.22,26.239,26.2,26.215,12651.0
2018-02-16,09:55:00,26.22,26.24,26.18,26.23,22171.0
2018-02-16,09:56:00,26.23,26.26,26.2,26.2,9922.0
2018-02-16,09:57:00,26.19,26.245,26.19,26.23,10537.0
2018-02-16,09:58:00,26.22,26.22,26.18,26.19,14438.0
2018-02-16,09:59:00,26.19,26.2,26.145,26.145,24043.0
2018-02-16,10:00:00,26.15,26.205,26.15,26.19,26105.0
2018-02-16,10:01:00,26.19,26.25,26.18,26.24,29428.0
2018-02-16,10:02:00,26.24,26.32,26.24,26.32,39955.0
2018-02-16,10:03:00,26.31,26.35,26.31,26.335,12051.0
2018-02-16,10:04:00,26.3301,26.3301,26.3,26.3,14504.0
2018-02-16,10:05:00,26.305,26.33,26.29,26.29,12863.0
2018-02-16,10:06:00,26.29,26.3,26.26,26.28,22283.0
2018-02-16,10:07:00,26.28,26.28,26.21,26.21,23250.0
2018-02-16,10:08:00,26.2199,26.3,26.21,26.3,28228.0
2018-02-16,10:09:00,26.29,26.32,26.29,26.305,34818.0
2018-02-16,10:10:00,26.305,26.37,26.305,26.35,20504.0
2018-02-16,10:11:00,26.35,26.35,26.31,26.31,8549.0
2018-02-16,10:12:00,26.31,26.31,26.255,26.255,30715.0
2018-02-16,10:13:00,26.26,26.29,26.24,26.28,21901.0
2018-02-16,10:14:00,26.29,26.29,26.26,26.266,21141.0
2018-02-16,10:15:00,26.27,26.33,26.27,26.3,101249.0
2018-02-16,10:16:00,26.3,26.37,26.3,26.34,64391.0
2018-02-16,10:17:00,26.34,26.37,26.32,26.36,28320.0
2018-02-16,10:18:00,26.36,26.42,26.36,26.4,54099.0
2018-02-16,10:19:00,26.4,26.4,26.37,26.37,7327.0
2018-02-16,10:20:00,26.37,26.38,26.35,26.35,8147.0
2018-02-16,10:21:00,26.36,26.41,26.3549,26.41,11640.0
2018-02-16,10:22:00,26.42,26.45,26.41,26.41,43672.0
2018-02-16,10:23:00,26.42,26.425,26.38,26.425,9250.0
2018-02-16,10:24:00,26.42,26.4407,26.4,26.43,21509.0
2018-02-16,10:25:00,26.435,26.48,26.4336,26.45,13188.0
2018-02-16,10:26:00,26.45,26.5,26.45,26.4757,18895.0
2018-02-16,10:27:00,26.47,26.49,26.45,26.48,17269.0
2018-02-16,10:28:00,26.49,26.49,26.46,26.47,23364.0
2018-02-16,10:29:00,26.47,26.505,26.47,26.49,47771.0
2018-02-16,10:30:00,26.49,26.52,26.49,26.515,18476.0
2018-02-16,10:31:00,26.51,26.52,26.5,26.5022,16836.0
2018-02-16,10:32:00,26.51,26.55,26.5,26.55,44133.0
2018-02-16,10:33:00,26.54,26.55,26.5,26.5,26400.0
2018-02-16,10:34:00,26.5,26.51,26.47,26.47,49717.0
2018-02-16,10:35:00,26.475,26.505,26.475,26.5,9994.0
2018-02-16,10:36:00,26.51,26.55,26.51,26.545,31354.0
2018-02-16,10:37:00,26.545,26.545,26.53,26.535,11500.0
2018-02-16,10:38:00,26.53,26.536,26.49,26.49,31791.0
2018-02-16,10:39:00,26.495,26.51,26.49,26.51,12037.0
2018-02-16,10:40:00,26.5,26.5018,26.46,26.46,10700.0
2018-02-16,10:41:00,26.46,26.495,26.46,26.495,16164.0
2018-02-16,10:42:00,26.495,26.5001,26.485,26.5001,7490.0
2018-02-16,10:43:00,26.5,26.5039,26.45,26.47,17688.0
2018-02-16,10:44:00,26.47,26.5,26.46,26.46,27686.0
2018-02-16,10:45:00,26.45,26.45,26.43,26.43,14035.0
2018-02-16,10:46:00,26.42,26.465,26.42,26.46,6827.0
2018-02-16,10:47:00,26.47,26.48,26.45,26.45,5100.0
2018-02-16,10:48:00,26.45,26.46,26.42,26.43,12562.0
2018-02-16,10:49:00,26.4264,26.43,26.375,26.38,18954.0
2018-02-16,10:50:00,26.38,26.4,26.37,26.39,14400.0
2018-02-16,10:51:00,26.4,26.41,26.4,26.41,14989.0
2018-02-16,10:52:00,26.401,26.405,26.38,26.395,9516.0
2018-02-16,10:53:00,26.4,26.42,26.39,26.4133,31600.0
2018-02-16,10:54:00,26.42,26.45,26.415,26.44,12088.0
2018-02-16,10:55:00,26.445,26.47,26.44,26.445,18789.0
2018-02-16,10:56:00,26.44,26.44,26.4234,26.425,2500.0
2018-02-16,10:57:00,26.425,26.45,26.425,26.45,8275.0
2018-02-16,10:58:00,26.45,26.46,26.41,26.41,14433.0
2018-02-16,10:59:00,26.415,26.415,26.39,26.415,7619.0
2018-02-16,11:00:00,26.415,26.415,26.38,26.38,11427.0
2018-02-16,11:01:00,26.3721,26.415,26.3721,26.41,12000.0
2018-02-16,11:02:00,26.41,26.45,26.41,26.445,7100.0
2018-02-16,11:03:00,26.45,26.46,26.43,26.43,10630.0
2018-02-16,11:04:00,26.42,26.42,26.395,26.4046,6120.0
