date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,140.76,140.93,140.7,140.7,108212.0
2018-02-16,09:31:00,140.98,141.0999,140.71,140.88,7159.0
2018-02-16,09:32:00,140.95,141.23,140.95,141.13,2867.0
2018-02-16,09:33:00,141.2997,141.38,141.205,141.36,2491.0
2018-02-16,09:34:00,141.33,141.33,141.04,141.07,4800.0
2018-02-16,09:35:00,141.02,141.3184,140.845,140.845,5266.0
2018-02-16,09:36:00,140.9205,141.21,140.9205,141.199,1125.0
2018-02-16,09:37:00,141.2003,141.38,141.11,141.38,4734.0
2018-02-16,09:38:00,141.37,141.44,141.171,141.36,2300.0
2018-02-16,09:39:00,141.32,141.42,141.17,141.21,3054.0
2018-02-16,09:40:00,141.18,141.19,140.97,140.97,2000.0
2018-02-16,09:41:00,140.94,141.09,140.9275,141.09,1400.0
2018-02-16,09:42:00,140.94,141.1,140.6544,140.85,3791.0
2018-02-16,09:43:00,141.0,141.0,140.76,140.85,3100.0
2018-02-16,09:44:00,140.915,140.915,140.68,140.75,1620.0
2018-02-16,09:45:00,140.68,140.72,140.3,140.3,11045.0
2018-02-16,09:46:00,140.3512,140.58,140.11,140.57,6649.0
2018-02-16,09:47:00,140.52,140.6652,140.47,140.57,2790.0
2018-02-16,09:48:00,140.54,140.57,140.18,140.24,8576.0
2018-02-16,09:49:00,140.2452,140.42,140.2452,140.34,5632.0
2018-02-16,09:50:00,140.37,140.43,139.63,139.67,18985.0
2018-02-16,09:51:00,139.735,140.25,139.64,140.25,9707.0
2018-02-16,09:52:00,140.255,140.43,140.2,140.39,8250.0
2018-02-16,09:53:00,140.39,140.75,140.39,140.75,5500.0
2018-02-16,09:54:00,140.64,140.72,140.59,140.61,2900.0
2018-02-16,09:55:00,140.71,140.85,140.4,140.4,5026.0
2018-02-16,09:56:00,140.44,140.56,140.39,140.42,2900.0
2018-02-16,09:57:00,140.39,140.42,140.37,140.405,1136.0
2018-02-16,09:58:00,140.41,140.41,140.0,140.21,12229.0
2018-02-16,09:59:00,140.13,140.13,139.95,139.95,1471.0
2018-02-16,10:00:00,139.94,139.95,139.79,139.85,3490.0
2018-02-16,10:01:00,139.77,140.04,139.74,139.88,9148.0
2018-02-16,10:02:00,139.9,139.9,139.69,139.69,9110.0
2018-02-16,10:03:00,139.73,139.82,139.67,139.706,7450.0
2018-02-16,10:04:00,139.715,139.75,139.44,139.49,12021.0
2018-02-16,10:05:00,139.52,139.57,139.43,139.455,4404.0
2018-02-16,10:06:00,139.49,139.53,139.41,139.4891,4800.0
2018-02-16,10:07:00,139.48,139.48,139.31,139.31,3694.0
2018-02-16,10:08:00,139.3101,139.7052,139.31,139.6245,11166.0
2018-02-16,10:09:00,139.55,139.79,139.55,139.79,6974.0
2018-02-16,10:10:00,139.805,139.96,139.78,139.96,3219.0
2018-02-16,10:11:00,139.9245,139.93,139.65,139.79,10010.0
2018-02-16,10:12:00,139.8299,139.8299,139.66,139.66,11084.0
2018-02-16,10:13:00,139.72,139.8899,139.65,139.85,6370.0
2018-02-16,10:14:00,139.8685,139.8685,139.75,139.75,6940.0
2018-02-16,10:15:00,139.7547,139.95,139.7547,139.95,2773.0
2018-02-16,10:16:00,139.99,140.05,139.93,140.01,13035.0
2018-02-16,10:17:00,140.0,140.07,139.93,139.98,15363.0
2018-02-16,10:18:00,139.99,140.01,139.965,139.9828,7713.0
2018-02-16,10:19:00,139.96,140.03,139.88,139.91,10082.0
2018-02-16,10:20:00,139.9377,139.9377,139.88,139.895,1400.0
2018-02-16,10:21:00,139.87,140.04,139.87,139.94,6600.0
2018-02-16,10:22:00,139.91,139.98,139.77,139.77,2900.0
2018-02-16,10:23:00,139.76,139.85,139.76,139.85,2269.0
2018-02-16,10:24:00,139.8724,139.8724,139.71,139.805,7225.0
2018-02-16,10:25:00,139.82,140.0,139.82,139.98,3100.0
2018-02-16,10:26:00,139.98,140.08,139.86,139.86,8572.0
2018-02-16,10:27:00,139.84,139.84,139.8,139.835,700.0
2018-02-16,10:28:00,139.835,140.01,139.8,139.9667,4440.0
2018-02-16,10:29:00,140.0,140.09,139.895,139.895,12727.0
2018-02-16,10:30:00,139.92,140.06,139.92,140.0,6956.0
2018-02-16,10:31:00,140.02,140.06,139.97,140.005,15497.0
2018-02-16,10:32:00,140.005,140.09,140.0,140.09,5434.0
2018-02-16,10:33:00,140.02,140.1966,140.02,140.11,6166.0
2018-02-16,10:34:00,140.1,140.139,140.02,140.139,3992.0
2018-02-16,10:35:00,140.105,140.25,140.105,140.22,3940.0
2018-02-16,10:36:00,140.21,140.25,140.04,140.0413,5091.0
2018-02-16,10:37:00,140.06,140.1499,140.05,140.14,4446.0
2018-02-16,10:38:00,140.11,140.11,139.9,139.9,7480.0
2018-02-16,10:39:00,139.95,139.98,139.93,139.98,2500.0
2018-02-16,10:40:00,139.98,140.0,139.93,139.955,3709.0
2018-02-16,10:41:00,139.97,140.04,139.95,140.02,4364.0
2018-02-16,10:42:00,140.04,140.07,139.89,139.96,9800.0
2018-02-16,10:43:00,139.98,139.985,139.84,139.84,8245.0
2018-02-16,10:44:00,139.83,139.92,139.83,139.88,2000.0
2018-02-16,10:45:00,139.92,139.94,139.78,139.78,6550.0
2018-02-16,10:46:00,139.76,140.054,139.75,140.054,4016.0
2018-02-16,10:47:00,140.02,140.05,139.96,139.99,3832.0
2018-02-16,10:48:00,140.0,140.03,139.88,140.03,4867.0
2018-02-16,10:49:00,140.07,140.07,139.83,139.83,3817.0
2018-02-16,10:50:00,139.885,140.09,139.885,140.09,3424.0
2018-02-16,10:51:00,140.1,140.1,140.01,140.01,6163.0
2018-02-16,10:52:00,140.0,140.1,139.91,139.94,4770.0
2018-02-16,10:53:00,139.955,140.066,139.955,140.065,2800.0
2018-02-16,10:54:00,140.04,140.1,140.0,140.0,6427.0
2018-02-16,10:55:00,139.99,140.03,139.95,140.0,4611.0
2018-02-16,10:56:00,139.955,139.955,139.94,139.94,500.0
2018-02-16,10:57:00,139.94,140.085,139.94,140.05,3989.0
2018-02-16,10:58:00,140.055,140.0681,139.92,139.92,7960.0
2018-02-16,10:59:00,139.92,139.9655,139.92,139.965,500.0
2018-02-16,11:00:00,139.93,139.96,139.77,139.85,5829.0
2018-02-16,11:01:00,139.875,139.95,139.875,139.88,3756.0
2018-02-16,11:02:00,139.91,140.0,139.91,139.985,2741.0
2018-02-16,11:03:00,139.96,140.03,139.9289,139.95,7619.0
2018-02-16,11:04:00,139.92,139.96,139.83,139.83,18011.0
2018-02-16,11:05:00,139.9,140.11,139.9,139.97,8314.0
2018-02-16,11:06:00,140.01,140.05,140.01,140.035,1361.0
2018-02-16,11:07:00,140.06,140.13,139.99,139.99,6164.0
2018-02-16,11:08:00,140.01,140.02,139.95,139.97,4779.0
2018-02-16,11:09:00,139.98,140.02,139.95,139.95,7627.0
2018-02-16,11:10:00,139.9,139.98,139.9,139.98,2245.0
2018-02-16,11:11:00,139.9704,140.05,139.9704,140.05,1510.0
2018-02-16,11:12:00,140.07,140.105,139.93,139.93,5143.0
2018-02-16,11:13:00,139.955,139.955,139.78,139.78,4400.0
2018-02-16,11:14:00,139.76,139.82,139.75,139.8,4024.0
2018-02-16,11:15:00,139.84,139.85,139.82,139.85,900.0
2018-02-16,11:16:00,139.88,139.88,139.82,139.83,1300.0
2018-02-16,11:17:00,139.84,139.85,139.84,139.85,1023.0
2018-02-16,11:18:00,139.87,139.88,139.84,139.84,1307.0
2018-02-16,11:19:00,139.87,139.88,139.79,139.81,5400.0
2018-02-16,11:20:00,139.79,139.83,139.79,139.815,1308.0
2018-02-16,11:21:00,139.79,139.83,139.77,139.8152,1900.0
2018-02-16,11:22:00,139.79,139.955,139.79,139.955,3989.0
2018-02-16,11:23:00,139.91,139.915,139.87,139.915,2600.0
2018-02-16,11:24:00,139.95,139.95,139.922,139.95,800.0
2018-02-16,11:25:00,139.935,139.95,139.91,139.94,2250.0
2018-02-16,11:26:00,139.9545,139.9545,139.9545,139.9545,100.0
2018-02-16,11:27:00,139.97,139.97,139.9,139.9,2051.0
2018-02-16,11:28:00,139.92,140.0,139.92,140.0,3553.0
2018-02-16,11:29:00,139.99,140.02,139.99,140.01,2875.0
2018-02-16,11:30:00,140.01,140.01,139.86,139.86,3731.0
2018-02-16,11:31:00,139.89,140.0,139.89,139.97,3220.0
2018-02-16,11:32:00,139.95,139.95,139.897,139.897,1400.0
2018-02-16,11:33:00,139.89,139.96,139.89,139.96,3228.0
2018-02-16,11:34:00,139.98,140.03,139.98,140.02,2185.0
2018-02-16,11:35:00,139.99,139.995,139.93,139.93,3234.0
2018-02-16,11:36:00,139.93,139.93,139.88,139.88,800.0
2018-02-16,11:37:00,139.89,139.94,139.84,139.84,3515.0
2018-02-16,11:38:00,139.86,139.87,139.83,139.83,2237.0
2018-02-16,11:39:00,139.84,139.86,139.84,139.86,1197.0
2018-02-16,11:40:00,139.86,139.929,139.86,139.929,2083.0
2018-02-16,11:41:00,139.98,140.04,139.98,140.04,2810.0
2018-02-16,11:42:00,140.02,140.03,140.0,140.0,3700.0
2018-02-16,11:43:00,140.01,140.02,139.98,140.02,1106.0
2018-02-16,11:44:00,140.01,140.01,140.0,140.0,200.0
2018-02-16,11:45:00,140.0,140.0,139.95,139.98,1700.0
2018-02-16,11:46:00,140.0,140.0,139.96,139.99,7654.0
2018-02-16,11:47:00,139.96,139.965,139.86,139.865,3391.0
2018-02-16,11:48:00,139.89,139.9483,139.89,139.9483,1100.0
2018-02-16,11:49:00,139.93,139.9379,139.914,139.914,1907.0
2018-02-16,11:50:00,139.91,139.93,139.9,139.92,3158.0
2018-02-16,11:51:00,139.93,139.94,139.91,139.91,10106.0
2018-02-16,11:52:00,139.91,139.93,139.85,139.85,4386.0
2018-02-16,11:53:00,139.81,139.91,139.81,139.91,4662.0
2018-02-16,11:54:00,139.91,139.91,139.86,139.89,5534.0
2018-02-16,11:55:00,139.885,139.91,139.865,139.87,4285.0
2018-02-16,11:56:00,139.87,139.95,139.87,139.95,1446.0
2018-02-16,11:57:00,139.96,140.0036,139.96,140.0,1670.0
2018-02-16,11:58:00,140.02,140.02,139.93,139.93,5129.0
2018-02-16,11:59:00,139.93,139.93,139.82,139.882,1972.0
2018-02-16,12:00:00,139.87,139.9,139.84,139.84,1520.0
2018-02-16,12:01:00,139.8466,139.9,139.82,139.9,1670.0
2018-02-16,12:02:00,139.9,139.935,139.81,139.81,3700.0
2018-02-16,12:03:00,139.81,139.87,139.81,139.86,1526.0
2018-02-16,12:04:00,139.875,139.89,139.86,139.88,2170.0
2018-02-16,12:05:00,139.91,139.91,139.9,139.91,1210.0
2018-02-16,12:06:00,139.91,139.96,139.91,139.96,1600.0
2018-02-16,12:07:00,139.97,140.09,139.96,140.02,5494.0
2018-02-16,12:08:00,140.01,140.01,139.86,139.9,3300.0
2018-02-16,12:09:00,139.93,139.97,139.93,139.97,1100.0
2018-02-16,12:10:00,139.96,140.0,139.93,139.93,3406.0
2018-02-16,12:11:00,139.95,140.0,139.95,140.0,814.0
2018-02-16,12:12:00,139.99,140.08,139.99,140.08,1809.0
2018-02-16,12:13:00,140.09,140.09,140.0,140.0,3492.0
2018-02-16,12:14:00,140.01,140.04,140.01,140.04,900.0
2018-02-16,12:15:00,140.05,140.07,139.99,139.99,4600.0
2018-02-16,12:16:00,139.98,140.0,139.95,139.98,4300.0
2018-02-16,12:17:00,140.04,140.1,140.025,140.06,4085.0
2018-02-16,12:18:00,140.05,140.05,139.96,139.96,6654.0
2018-02-16,12:19:00,139.9552,140.09,139.9552,140.07,2050.0
2018-02-16,12:20:00,140.06,140.08,140.04,140.05,1900.0
2018-02-16,12:21:00,140.04,140.04,140.0,140.02,2700.0
2018-02-16,12:22:00,140.01,140.01,139.99,139.99,700.0
2018-02-16,12:23:00,140.0,140.03,140.0,140.02,1500.0
2018-02-16,12:24:00,140.0083,140.01,139.935,139.97,4710.0
2018-02-16,12:25:00,140.0,140.02,139.96,140.0112,3504.0
2018-02-16,12:26:00,140.0013,140.01,140.0013,140.01,278.0
2018-02-16,12:27:00,139.9931,140.01,139.9931,140.01,380.0
2018-02-16,12:28:00,140.015,140.015,139.99,139.99,400.0
2018-02-16,12:29:00,140.04,140.06,139.94,139.94,6362.0
2018-02-16,12:30:00,139.965,140.01,139.965,140.01,1300.0
2018-02-16,12:31:00,140.03,140.1,140.03,140.0751,3700.0
2018-02-16,12:32:00,140.09,140.25,140.09,140.25,10268.0
2018-02-16,12:33:00,140.22,140.2401,140.17,140.17,2600.0
2018-02-16,12:34:00,140.17,140.25,140.16,140.25,4630.0
2018-02-16,12:35:00,140.24,140.28,140.24,140.28,1600.0
2018-02-16,12:36:00,140.28,140.28,140.2,140.23,3100.0
2018-02-16,12:37:00,140.2226,140.3,140.2226,140.3,2960.0
2018-02-16,12:38:00,140.29,140.29,140.24,140.26,1700.0
2018-02-16,12:39:00,140.23,140.23,140.19,140.19,1721.0
2018-02-16,12:40:00,140.17,140.1704,140.1,140.14,5725.0
2018-02-16,12:41:00,140.1287,140.15,140.12,140.15,2200.0
2018-02-16,12:42:00,140.165,140.19,140.16,140.185,1300.0
2018-02-16,12:43:00,140.1834,140.19,140.0,140.0,5838.0
2018-02-16,12:44:00,140.03,140.07,139.98,140.03,4450.0
2018-02-16,12:45:00,140.04,140.04,140.01,140.01,2550.0
2018-02-16,12:46:00,140.0,140.1,140.0,140.01,5034.0
2018-02-16,12:47:00,140.01,140.01,139.99,139.99,600.0
2018-02-16,12:48:00,139.9932,139.9932,139.93,139.93,1003.0
2018-02-16,12:50:00,139.97,139.98,139.91,139.91,4200.0
2018-02-16,12:51:00,139.89,139.9,139.89,139.89,900.0
2018-02-16,12:52:00,139.87,139.8701,139.69,139.715,5228.0
2018-02-16,12:53:00,139.7,139.7,139.44,139.48,5344.0
2018-02-16,12:54:00,139.46,139.55,139.42,139.55,9096.0
2018-02-16,12:55:00,139.58,139.69,139.5566,139.67,5694.0
2018-02-16,12:56:00,139.65,139.65,139.57,139.61,3000.0
2018-02-16,12:57:00,139.64,139.68,139.63,139.68,2300.0
2018-02-16,12:58:00,139.75,139.84,139.73,139.83,5200.0
2018-02-16,12:59:00,139.84,139.88,139.82,139.88,1700.0
2018-02-16,13:00:00,139.86,139.86,139.83,139.85,1600.0
2018-02-16,13:01:00,139.9,139.98,139.9,139.91,2000.0
2018-02-16,13:02:00,139.93,139.98,139.93,139.95,900.0
2018-02-16,13:03:00,139.901,139.9509,139.83,139.83,1179.0
2018-02-16,13:04:00,139.81,139.835,139.77,139.77,1100.0
2018-02-16,13:05:00,139.77,139.83,139.75,139.8,2387.0
2018-02-16,13:06:00,139.81,139.81,139.65,139.65,3600.0
2018-02-16,13:07:00,139.6349,139.77,139.6,139.73,4623.0
2018-02-16,13:08:00,139.78,139.81,139.77,139.81,1200.0
2018-02-16,13:09:00,139.79,139.79,139.79,139.79,300.0
2018-02-16,13:10:00,139.79,139.79,139.66,139.66,5109.0
2018-02-16,13:11:00,139.66,139.7,139.57,139.65,3684.0
2018-02-16,13:12:00,139.6,139.76,139.6,139.76,4240.0
2018-02-16,13:13:00,139.71,139.81,139.7,139.81,2258.0
2018-02-16,13:14:00,139.79,139.79,139.66,139.66,2669.0
2018-02-16,13:15:00,139.71,139.75,139.69,139.69,3396.0
2018-02-16,13:16:00,139.72,139.83,139.72,139.83,4592.0
