date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,159.47,159.47,159.47,159.47,200.0
2018-02-16,09:31:00,159.65,159.9,159.32,159.77,5700.0
2018-02-16,09:32:00,159.89,159.89,159.14,159.36,387854.0
2018-02-16,09:33:00,159.39,159.59,159.02,159.2,100591.0
2018-02-16,09:34:00,159.2,159.2,158.58,158.6,104446.0
2018-02-16,09:35:00,158.59,158.6,158.3,158.4925,84552.0
2018-02-16,09:36:00,158.495,159.07,158.495,158.76,62550.0
2018-02-16,09:37:00,158.71,158.86,158.66,158.7517,48602.0
2018-02-16,09:38:00,158.8,158.8,158.54,158.68,19698.0
2018-02-16,09:39:00,158.67,158.74,158.5,158.55,38762.0
2018-02-16,09:40:00,158.53,158.86,158.49,158.796,30484.0
2018-02-16,09:41:00,158.8,158.92,158.7,158.76,35118.0
2018-02-16,09:42:00,158.775,158.91,158.73,158.84,15369.0
2018-02-16,09:43:00,158.82,158.89,158.46,158.67,43380.0
2018-02-16,09:44:00,158.62,158.82,158.6,158.75,17326.0
2018-02-16,09:45:00,158.72,158.8,158.48,158.8,116342.0
2018-02-16,09:46:00,158.78,159.02,158.7413,158.88,38190.0
2018-02-16,09:47:00,158.87,158.96,158.66,158.66,23652.0
2018-02-16,09:48:00,158.68,158.71,158.48,158.51,20584.0
2018-02-16,09:49:00,158.5278,158.7,158.5,158.66,20023.0
2018-02-16,09:50:00,158.62,158.88,158.62,158.84,25192.0
2018-02-16,09:51:00,158.82,158.82,158.645,158.73,12382.0
2018-02-16,09:52:00,158.735,158.76,158.65,158.65,11808.0
2018-02-16,09:53:00,158.7,158.8,158.69,158.76,18391.0
2018-02-16,09:54:00,158.7509,158.85,158.62,158.63,27738.0
2018-02-16,09:55:00,158.66,158.76,158.59,158.7,34912.0
2018-02-16,09:56:00,158.73,158.82,158.72,158.76,26205.0
2018-02-16,09:57:00,158.76,158.85,158.7,158.79,20582.0
2018-02-16,09:58:00,158.79,158.8299,158.77,158.8,15171.0
