date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,44.05,44.1,43.92,43.92,453731.0
2018-02-16,09:31:00,44.07,44.29,44.07,44.27,14561.0
2018-02-16,09:32:00,44.26,44.26,44.07,44.14,23165.0
2018-02-16,09:33:00,44.13,44.13,44.04,44.04,19886.0
2018-02-16,09:34:00,44.02,44.02,43.72,43.76,17781.0
2018-02-16,09:35:00,43.75,44.0,43.71,43.82,12659.0
2018-02-16,09:36:00,43.81,43.86,43.77,43.79,14174.0
2018-02-16,09:37:00,43.795,43.99,43.795,43.96,16050.0
2018-02-16,09:38:00,43.93,43.98,43.92,43.94,12632.0
2018-02-16,09:39:00,43.93,43.94,43.87,43.89,14385.0
2018-02-16,09:40:00,43.85,43.86,43.82,43.83,14167.0
2018-02-16,09:41:00,43.81,43.87,43.78,43.865,7075.0
2018-02-16,09:42:00,43.88,43.91,43.8668,43.885,7523.0
2018-02-16,09:43:00,43.8899,43.9,43.85,43.86,7300.0
2018-02-16,09:44:00,43.86,43.92,43.86,43.89,19664.0
2018-02-16,09:45:00,43.88,43.91,43.85,43.89,19109.0
2018-02-16,09:46:00,43.9,43.97,43.88,43.96,11630.0
2018-02-16,09:47:00,43.95,43.97,43.92,43.96,21407.0
2018-02-16,09:48:00,43.96,43.96,43.87,43.87,41026.0
2018-02-16,09:49:00,43.88,43.88,43.79,43.795,13172.0
2018-02-16,09:50:00,43.79,43.87,43.79,43.87,20872.0
2018-02-16,09:51:00,43.865,43.87,43.83,43.85,14715.0
2018-02-16,09:52:00,43.845,43.89,43.84,43.88,18013.0
2018-02-16,09:53:00,43.88,43.925,43.87,43.925,35817.0
2018-02-16,09:54:00,43.915,43.955,43.9,43.93,9570.0
2018-02-16,09:55:00,43.93,44.0,43.93,44.0,7286.0
2018-02-16,09:56:00,44.005,44.02,43.98,44.0,12075.0
2018-02-16,09:57:00,43.995,43.995,43.9,43.94,13498.0
2018-02-16,09:58:00,43.935,43.94,43.9,43.9,13250.0
2018-02-16,09:59:00,43.88,43.91,43.85,43.895,33726.0
2018-02-16,10:00:00,43.89,43.895,43.855,43.87,6520.0
2018-02-16,10:01:00,43.88,43.96,43.88,43.925,22303.0
2018-02-16,10:02:00,43.93,44.02,43.93,44.01,21120.0
2018-02-16,10:03:00,44.015,44.03,43.9245,43.9245,7811.0
2018-02-16,10:04:00,43.92,43.94,43.91,43.92,5200.0
2018-02-16,10:05:00,43.91,43.98,43.91,43.95,13259.0
2018-02-16,10:06:00,43.95,43.95,43.89,43.905,8398.0
2018-02-16,10:07:00,43.89,43.9,43.87,43.88,6369.0
2018-02-16,10:08:00,43.88,43.89,43.87,43.8899,3400.0
2018-02-16,10:09:00,43.89,43.96,43.89,43.951,13937.0
2018-02-16,10:10:00,43.96,43.96,43.94,43.95,5233.0
2018-02-16,10:11:00,43.94,44.0,43.925,43.95,16670.0
2018-02-16,10:12:00,43.95,43.95,43.91,43.93,7901.0
2018-02-16,10:13:00,43.935,43.98,43.92,43.96,7984.0
2018-02-16,10:14:00,43.95,44.0,43.94,43.98,17935.0
2018-02-16,10:15:00,43.975,43.975,43.91,43.91,12674.0
2018-02-16,10:16:00,43.905,43.985,43.9,43.98,17561.0
2018-02-16,10:17:00,43.98,43.98,43.955,43.96,22134.0
2018-02-16,10:18:00,43.96,43.96,43.92,43.92,16340.0
2018-02-16,10:19:00,43.9201,43.925,43.905,43.915,9209.0
2018-02-16,10:20:00,43.915,43.92,43.88,43.88,15882.0
2018-02-16,10:21:00,43.885,43.89,43.84,43.845,7098.0
2018-02-16,10:22:00,43.85,43.86,43.845,43.845,13190.0
2018-02-16,10:23:00,43.85,43.87,43.84,43.87,28686.0
2018-02-16,10:24:00,43.87,43.87,43.82,43.82,6544.0
2018-02-16,10:25:00,43.82,43.82,43.77,43.78,22349.0
2018-02-16,10:26:00,43.77,43.82,43.75,43.8,17133.0
2018-02-16,10:27:00,43.8,43.8,43.75,43.8,17925.0
2018-02-16,10:28:00,43.8,43.87,43.8,43.855,5959.0
2018-02-16,10:29:00,43.8562,43.88,43.8539,43.88,10729.0
2018-02-16,10:30:00,43.88,43.92,43.8724,43.92,12394.0
2018-02-16,10:31:00,43.91,43.95,43.9,43.95,21551.0
2018-02-16,10:32:00,43.96,43.97,43.95,43.965,12759.0
2018-02-16,10:33:00,43.965,44.0039,43.94,43.945,12812.0
2018-02-16,10:34:00,43.945,44.0,43.945,44.0,13506.0
2018-02-16,10:35:00,43.995,43.995,43.94,43.945,10867.0
2018-02-16,10:36:00,43.94,44.0,43.94,43.9733,19930.0
2018-02-16,10:37:00,43.975,43.99,43.97,43.985,6716.0
2018-02-16,10:38:00,43.9855,43.99,43.94,43.95,24025.0
2018-02-16,10:39:00,43.945,43.95,43.895,43.905,32765.0
2018-02-16,10:40:00,43.9039,43.925,43.885,43.89,18356.0
2018-02-16,10:41:00,43.89,43.935,43.89,43.925,16450.0
2018-02-16,10:42:00,43.92,43.92,43.87,43.87,6589.0
2018-02-16,10:43:00,43.88,43.885,43.86,43.87,39175.0
