date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,82.8,83.07,82.8,83.06,293317.0
2018-02-16,09:32:00,83.04,83.128,83.02,83.098,3725.0
2018-02-16,09:33:00,83.04,83.07,82.97,82.97,3800.0
2018-02-16,09:34:00,83.0,83.01,82.84,82.855,3399.0
2018-02-16,09:35:00,82.77,82.81,82.7,82.7,5920.0
2018-02-16,09:36:00,82.7,82.7,82.41,82.41,20064.0
2018-02-16,09:37:00,82.43,82.58,82.43,82.575,36540.0
2018-02-16,09:38:00,82.59,82.59,82.35,82.38,24270.0
2018-02-16,09:39:00,82.37,82.5,82.37,82.48,19975.0
2018-02-16,09:40:00,82.49,82.5,82.42,82.43,13200.0
2018-02-16,09:41:00,82.425,82.425,82.365,82.41,16149.0
2018-02-16,09:42:00,82.405,82.42,82.29,82.29,17300.0
2018-02-16,09:43:00,82.28,82.31,82.19,82.26,15000.0
2018-02-16,09:44:00,82.27,82.32,82.18,82.21,13893.0
2018-02-16,09:45:00,82.19,82.3,82.13,82.28,21578.0
2018-02-16,09:46:00,82.2728,82.43,82.18,82.43,11100.0
2018-02-16,09:47:00,82.43,82.51,82.41,82.5,11610.0
2018-02-16,09:48:00,82.51,82.53,82.5,82.52,8972.0
2018-02-16,09:49:00,82.54,82.65,82.54,82.65,14595.0
2018-02-16,09:50:00,82.64,82.72,82.63,82.63,6600.0
2018-02-16,09:51:00,82.63,82.63,82.53,82.53,8542.0
2018-02-16,09:52:00,82.51,82.52,82.46,82.51,18737.0
2018-02-16,09:53:00,82.51,82.57,82.49,82.57,11158.0
2018-02-16,09:54:00,82.57,82.67,82.53,82.65,7533.0
2018-02-16,09:55:00,82.66,82.69,82.595,82.6,13852.0
2018-02-16,09:56:00,82.61,82.64,82.58,82.58,14853.0
2018-02-16,09:57:00,82.56,82.65,82.56,82.62,7399.0
2018-02-16,09:58:00,82.6,82.6,82.51,82.52,7466.0
2018-02-16,09:59:00,82.51,82.51,82.45,82.45,5640.0
2018-02-16,10:00:00,82.44,82.45,82.33,82.34,7521.0
2018-02-16,10:01:00,82.32,82.39,82.32,82.375,14533.0
2018-02-16,10:02:00,82.375,82.49,82.375,82.48,6531.0
2018-02-16,10:03:00,82.49,82.52,82.4856,82.5131,6251.0
2018-02-16,10:04:00,82.52,82.62,82.52,82.59,5753.0
2018-02-16,10:05:00,82.595,82.69,82.595,82.64,8268.0
2018-02-16,10:06:00,82.63,82.63,82.57,82.58,5171.0
2018-02-16,10:07:00,82.58,82.58,82.52,82.54,9191.0
2018-02-16,10:08:00,82.53,82.61,82.52,82.59,2812.0
2018-02-16,10:09:00,82.595,82.66,82.586,82.66,5735.0
2018-02-16,10:10:00,82.66,82.77,82.66,82.7388,5300.0
2018-02-16,10:11:00,82.735,82.735,82.68,82.72,6802.0
2018-02-16,10:12:00,82.715,82.85,82.715,82.83,15793.0
2018-02-16,10:13:00,82.85,82.86,82.78,82.84,6220.0
2018-02-16,10:14:00,82.82,82.83,82.77,82.77,4049.0
2018-02-16,10:15:00,82.77,82.88,82.77,82.85,7532.0
2018-02-16,10:16:00,82.86,83.021,82.85,83.021,9408.0
