date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,251.8,251.8,251.8,251.8,15199.0
2018-02-16,09:31:00,251.79,251.79,251.67,251.67,200.0
2018-02-16,09:33:00,251.675,251.765,251.675,251.765,200.0
2018-02-16,09:34:00,251.7,251.7,251.24,251.36,2000.0
2018-02-16,09:35:00,251.12,251.41,250.69,250.69,2000.0
2018-02-16,09:36:00,250.7,251.04,250.64,250.64,1300.0
2018-02-16,09:37:00,250.705,251.04,250.59,251.04,1500.0
2018-02-16,09:38:00,250.75,250.75,250.75,250.75,100.0
2018-02-16,09:39:00,251.37,251.62,251.14,251.62,1400.0
2018-02-16,09:40:00,251.7398,251.94,251.7398,251.94,1100.0
2018-02-16,09:41:00,251.875,251.875,251.875,251.875,100.0
2018-02-16,09:42:00,251.85,251.88,251.01,251.01,2000.0
2018-02-16,09:43:00,250.795,250.795,250.7,250.7,500.0
2018-02-16,09:45:00,250.68,250.96,250.48,250.7,4400.0
2018-02-16,09:46:00,250.75,251.44,250.75,251.44,1900.0
2018-02-16,09:48:00,251.265,251.265,251.26,251.26,200.0
2018-02-16,09:49:00,251.34,251.34,251.09,251.1,2769.0
2018-02-16,09:50:00,251.365,251.365,251.075,251.075,400.0
2018-02-16,09:51:00,251.07,251.07,250.345,250.345,1400.0
2018-02-16,09:53:00,250.63,250.97,250.46,250.46,1700.0
2018-02-16,09:54:00,250.455,250.84,250.455,250.46,400.0
2018-02-16,09:55:00,250.625,250.625,250.625,250.625,200.0
2018-02-16,09:56:00,250.64,250.64,250.64,250.64,200.0
2018-02-16,09:57:00,250.65,250.83,250.62,250.83,1500.0
2018-02-16,09:58:00,250.92,250.92,250.82,250.82,400.0
2018-02-16,09:59:00,250.68,250.68,250.54,250.59,686.0
2018-02-16,10:00:00,250.405,250.405,250.405,250.405,100.0
2018-02-16,10:01:00,250.495,250.495,250.495,250.495,100.0
2018-02-16,10:02:00,250.505,250.53,250.47,250.47,400.0
2018-02-16,10:03:00,250.6,250.73,250.595,250.67,1532.0
2018-02-16,10:05:00,250.65,250.65,250.43,250.51,1700.0
2018-02-16,10:06:00,250.41,250.41,250.22,250.22,400.0
2018-02-16,10:07:00,250.3436,250.3436,250.01,250.19,2402.0
2018-02-16,10:08:00,250.1811,250.39,250.1811,250.22,1200.0
2018-02-16,10:09:00,250.1335,250.1335,250.1335,250.1335,135.0
2018-02-16,10:10:00,250.47,250.64,250.305,250.46,2100.0
2018-02-16,10:11:00,250.49,250.49,250.47,250.47,500.0
2018-02-16,10:12:00,250.3459,250.3459,250.13,250.13,1002.0
2018-02-16,10:13:00,250.1,250.4,250.1,250.25,1600.0
2018-02-16,10:14:00,250.25,250.25,249.81,250.0,14318.0
2018-02-16,10:15:00,249.98,250.0,249.68,249.68,7800.0
2018-02-16,10:16:00,249.84,249.89,249.84,249.89,500.0
2018-02-16,10:17:00,250.0,250.01,249.99,250.01,2890.0
2018-02-16,10:18:00,250.11,250.16,249.96,250.07,2300.0
2018-02-16,10:19:00,249.97,249.97,249.92,249.93,600.0
2018-02-16,10:20:00,250.035,250.035,249.34,249.34,2704.0
2018-02-16,10:21:00,249.45,249.77,249.45,249.69,2947.0
2018-02-16,10:22:00,249.64,249.86,249.64,249.86,700.0
2018-02-16,10:23:00,249.575,249.575,249.575,249.575,100.0
2018-02-16,10:24:00,249.79,249.79,249.79,249.79,300.0
2018-02-16,10:25:00,249.89,250.03,249.81,249.91,3124.0
2018-02-16,10:26:00,250.09,250.16,250.01,250.02,2555.0
2018-02-16,10:27:00,249.93,250.23,249.93,250.15,4048.0
2018-02-16,10:28:00,250.11,250.15,249.95,250.14,2500.0
2018-02-16,10:29:00,250.32,250.44,250.16,250.285,4700.0
2018-02-16,10:30:00,250.33,250.47,250.33,250.47,400.0
2018-02-16,10:31:00,250.58,250.58,250.53,250.58,1200.0
2018-02-16,10:32:00,250.4,250.42,250.2153,250.37,3440.0
2018-02-16,10:33:00,250.37,250.505,250.35,250.505,3000.0
2018-02-16,10:34:00,250.43,250.43,250.43,250.43,300.0
2018-02-16,10:35:00,250.33,250.42,250.22,250.31,6596.0
2018-02-16,10:36:00,250.3494,250.3494,250.3494,250.3494,1427.0
2018-02-16,10:37:00,250.34,250.395,250.27,250.395,1234.0
2018-02-16,10:38:00,250.43,250.43,250.295,250.295,600.0
2018-02-16,10:40:00,250.1776,250.1776,249.9541,249.9541,475.0
2018-02-16,10:41:00,250.04,250.09,250.04,250.09,424.0
2018-02-16,10:43:00,250.03,250.03,249.95,249.96,494.0
2018-02-16,10:44:00,249.91,250.04,249.91,250.04,300.0
2018-02-16,10:45:00,250.04,250.04,250.03,250.03,500.0
2018-02-16,10:46:00,250.03,250.03,249.9732,250.01,450.0
