date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,234.97,235.12,234.88,235.04,137229.0
2018-02-16,09:32:00,235.1,235.34,234.99,235.15,7769.0
2018-02-16,09:33:00,235.1228,235.39,235.095,235.38,2000.0
2018-02-16,09:34:00,235.17,235.35,235.03,235.325,3200.0
2018-02-16,09:35:00,235.24,235.2908,235.0,235.04,3808.0
2018-02-16,09:36:00,235.15,235.26,234.93,234.975,4746.0
2018-02-16,09:37:00,235.05,235.05,234.88,235.02,2500.0
2018-02-16,09:38:00,234.941,234.95,234.85,234.93,1900.0
2018-02-16,09:39:00,234.93,235.01,234.86,234.9,4326.0
2018-02-16,09:40:00,234.8,235.11,234.75,235.0154,5890.0
2018-02-16,09:41:00,234.99,235.0,234.89,234.9,1650.0
2018-02-16,09:42:00,234.822,234.835,234.54,234.83,3100.0
2018-02-16,09:43:00,234.84,234.865,234.75,234.75,1400.0
2018-02-16,09:44:00,234.85,234.93,234.66,234.7,2535.0
2018-02-16,09:45:00,234.63,234.78,234.52,234.57,4567.0
2018-02-16,09:46:00,234.53,234.83,234.41,234.74,5813.0
2018-02-16,09:47:00,234.9,234.9,234.75,234.79,1803.0
2018-02-16,09:48:00,234.88,234.94,234.6,234.6,3454.0
2018-02-16,09:49:00,234.69,234.89,234.69,234.79,2300.0
2018-02-16,09:50:00,234.79,235.1404,234.79,234.96,3488.0
2018-02-16,09:51:00,234.82,234.83,234.63,234.76,2000.0
2018-02-16,09:52:00,234.72,234.79,234.56,234.64,2946.0
2018-02-16,09:53:00,234.66,234.73,234.52,234.66,4166.0
2018-02-16,09:54:00,234.55,234.82,234.5,234.808,3783.0
2018-02-16,09:55:00,234.82,234.91,234.46,234.6,3848.0
2018-02-16,09:56:00,234.51,234.72,234.38,234.4,2611.0
2018-02-16,09:57:00,234.39,234.42,234.07,234.27,4718.0
2018-02-16,09:58:00,234.32,234.34,234.04,234.04,1901.0
2018-02-16,09:59:00,234.0868,234.09,233.87,233.93,3526.0
2018-02-16,10:00:00,233.88,233.96,233.8,233.82,3505.0
2018-02-16,10:01:00,233.77,234.06,233.61,233.89,5154.0
2018-02-16,10:02:00,233.76,233.78,233.39,233.57,10575.0
2018-02-16,10:03:00,233.63,233.63,233.55,233.55,800.0
2018-02-16,10:04:00,233.67,233.97,233.67,233.77,4622.0
2018-02-16,10:05:00,233.81,233.96,233.81,233.83,3001.0
2018-02-16,10:06:00,233.78,234.21,233.73,234.21,6158.0
2018-02-16,10:07:00,234.21,234.21,234.13,234.13,1317.0
2018-02-16,10:08:00,234.13,234.5,234.13,234.17,5893.0
2018-02-16,10:09:00,234.194,234.55,234.194,234.55,5511.0
2018-02-16,10:10:00,234.58,234.72,234.48,234.5016,2750.0
2018-02-16,10:11:00,234.48,234.48,234.35,234.35,4000.0
2018-02-16,10:12:00,234.32,234.33,234.16,234.16,601.0
2018-02-16,10:13:00,234.26,234.4,234.1779,234.32,3802.0
2018-02-16,10:14:00,234.3329,234.3329,234.11,234.11,1300.0
2018-02-16,10:15:00,234.08,234.45,234.08,234.45,1102.0
2018-02-16,10:16:00,234.52,234.6,234.52,234.53,400.0
2018-02-16,10:17:00,234.69,234.72,234.57,234.65,1694.0
2018-02-16,10:18:00,234.68,234.9799,234.68,234.9799,1601.0
2018-02-16,10:19:00,234.97,235.13,234.8611,234.89,4424.0
2018-02-16,10:20:00,234.96,235.08,234.89,234.9399,1839.0
2018-02-16,10:21:00,234.83,234.94,234.83,234.895,1100.0
2018-02-16,10:22:00,234.97,235.2,234.95,235.17,2299.0
2018-02-16,10:23:00,235.2832,235.35,235.15,235.35,1901.0
2018-02-16,10:24:00,235.3645,235.37,235.1,235.21,1900.0
2018-02-16,10:25:00,235.21,235.34,235.19,235.19,811.0
2018-02-16,10:26:00,235.235,235.64,235.235,235.56,5828.0
2018-02-16,10:27:00,235.33,235.44,235.18,235.44,1829.0
2018-02-16,10:28:00,235.42,235.63,235.42,235.6,3285.0
2018-02-16,10:29:00,235.5849,235.66,235.53,235.57,1801.0
2018-02-16,10:30:00,235.57,235.78,235.54,235.77,26783.0
2018-02-16,10:31:00,235.66,235.74,235.55,235.64,5559.0
2018-02-16,10:32:00,235.64,235.67,235.5,235.57,6853.0
2018-02-16,10:33:00,235.57,235.63,235.49,235.63,2405.0
2018-02-16,10:34:00,235.67,235.78,235.65,235.65,1700.0
2018-02-16,10:35:00,235.61,235.65,235.5101,235.5101,1800.0
2018-02-16,10:36:00,235.58,235.7,235.53,235.54,4951.0
2018-02-16,10:37:00,235.59,235.66,235.44,235.5847,4954.0
2018-02-16,10:38:00,235.57,235.62,235.45,235.46,2519.0
2018-02-16,10:39:00,235.46,235.6,235.46,235.5638,2263.0
2018-02-16,10:40:00,235.53,235.61,235.41,235.42,2853.0
2018-02-16,10:41:00,235.48,235.63,235.48,235.54,2551.0
2018-02-16,10:42:00,235.527,235.71,235.5,235.71,2071.0
2018-02-16,10:43:00,235.7631,235.8,235.57,235.66,6501.0
2018-02-16,10:44:00,235.76,235.76,235.75,235.76,300.0
2018-02-16,10:45:00,235.7238,235.93,235.72,235.75,3018.0
2018-02-16,10:46:00,235.74,235.94,235.74,235.9,1500.0
2018-02-16,10:47:00,235.9375,236.1445,235.93,236.14,4062.0
2018-02-16,10:48:00,236.12,236.28,235.81,235.9,4212.0
2018-02-16,10:49:00,236.0,236.1,235.89,235.9,2120.0
2018-02-16,10:50:00,235.9114,236.0611,235.9114,236.0611,1395.0
2018-02-16,10:51:00,236.1,236.16,235.9,235.95,3900.0
2018-02-16,10:52:00,235.95,235.95,235.67,235.72,3849.0
2018-02-16,10:53:00,235.78,235.78,235.715,235.715,896.0
2018-02-16,10:54:00,235.705,235.94,235.705,235.94,3451.0
2018-02-16,10:55:00,235.9379,236.155,235.9379,236.0201,1500.0
2018-02-16,10:56:00,236.1334,236.1334,236.04,236.0948,900.0
2018-02-16,10:57:00,236.16,236.3185,236.13,236.13,3022.0
2018-02-16,10:58:00,236.1934,236.1934,236.14,236.17,1706.0
2018-02-16,10:59:00,236.14,236.17,236.12,236.12,2000.0
2018-02-16,11:00:00,236.105,236.105,235.81,236.06,3972.0
2018-02-16,11:01:00,236.08,236.16,236.03,236.11,4848.0
2018-02-16,11:02:00,236.11,236.13,236.06,236.13,717.0
