date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,16.7,16.7,16.7,16.7,23051.0
2018-02-16,09:31:00,16.77,16.85,16.72,16.85,2475.0
2018-02-16,09:32:00,16.86,16.91,16.835,16.84,1175.0
2018-02-16,09:33:00,16.83,16.865,16.8,16.865,2110.0
2018-02-16,09:34:00,16.9,16.94,16.89,16.91,13353.0
2018-02-16,09:35:00,16.9,17.05,16.9,17.05,11706.0
2018-02-16,09:36:00,17.025,17.04,16.9,17.04,11217.0
2018-02-16,09:37:00,17.02,17.02,16.9401,17.01,11576.0
2018-02-16,09:38:00,17.04,17.05,17.04,17.05,2976.0
2018-02-16,09:39:00,17.03,17.077,16.99,17.05,13939.0
2018-02-16,09:40:00,17.0524,17.1,17.04,17.05,7770.0
2018-02-16,09:41:00,17.0401,17.08,17.04,17.08,1520.0
2018-02-16,09:42:00,17.08,17.14,17.05,17.07,16045.0
2018-02-16,09:43:00,17.075,17.095,17.06,17.09,8140.0
2018-02-16,09:44:00,17.1,17.2,17.1,17.2,6430.0
2018-02-16,09:45:00,17.19,17.23,17.16,17.22,7375.0
2018-02-16,09:46:00,17.19,17.28,17.19,17.28,21973.0
2018-02-16,09:47:00,17.28,17.31,17.27,17.29,10111.0
2018-02-16,09:48:00,17.3,17.31,17.29,17.29,3000.0
2018-02-16,09:49:00,17.3,17.32,17.3,17.32,6260.0
2018-02-16,09:50:00,17.33,17.33,17.215,17.22,15556.0
2018-02-16,09:51:00,17.22,17.27,17.19,17.26,10900.0
2018-02-16,09:52:00,17.265,17.27,17.26,17.2622,94775.0
2018-02-16,09:53:00,17.27,17.28,17.22,17.25,8845.0
2018-02-16,09:54:00,17.25,17.26,17.24,17.25,4500.0
2018-02-16,09:55:00,17.24,17.25,17.11,17.11,3800.0
2018-02-16,09:56:00,17.14,17.14,17.07,17.08,8633.0
2018-02-16,09:57:00,17.07,17.08,17.0407,17.06,3200.0
2018-02-16,09:58:00,17.05,17.06,17.04,17.0406,2800.0
2018-02-16,09:59:00,17.06,17.06,16.94,16.97,20206.0
2018-02-16,10:00:00,16.9696,17.0097,16.9696,16.98,3047.0
2018-02-16,10:01:00,17.0,17.0,16.96,16.97,1700.0
2018-02-16,10:02:00,16.97,17.01,16.95,16.98,10030.0
2018-02-16,10:03:00,16.98,16.9999,16.97,16.97,7700.0
