date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,65.97,65.97,65.97,65.97,143713.0
2018-02-16,09:31:00,65.85,66.33,65.85,66.33,7200.0
2018-02-16,09:32:00,66.31,66.43,66.21,66.27,2410.0
2018-02-16,09:33:00,66.39,66.39,66.11,66.11,3700.0
2018-02-16,09:34:00,66.11,66.15,65.83,65.9,3310.0
2018-02-16,09:35:00,65.91,66.11,65.89,66.06,2500.0
2018-02-16,09:36:00,66.11,66.23,66.02,66.115,6200.0
2018-02-16,09:37:00,66.18,66.25,66.18,66.22,3910.0
2018-02-16,09:38:00,66.24,66.24,66.1,66.2,3030.0
2018-02-16,09:39:00,66.14,66.14,66.06,66.06,5100.0
2018-02-16,09:40:00,66.01,66.01,65.83,65.88,6241.0
2018-02-16,09:41:00,65.8896,65.8896,65.75,65.79,6005.0
2018-02-16,09:42:00,65.85,65.86,65.74,65.75,5552.0
2018-02-16,09:43:00,65.74,65.8,65.71,65.8,7100.0
2018-02-16,09:44:00,65.82,65.84,65.73,65.73,1522.0
2018-02-16,09:45:00,65.7,65.74,65.66,65.73,3600.0
2018-02-16,09:46:00,65.7,65.78,65.63,65.78,4086.0
2018-02-16,09:47:00,65.79,65.8,65.66,65.66,4420.0
2018-02-16,09:48:00,65.67,65.71,65.59,65.61,2000.0
2018-02-16,09:49:00,65.61,65.63,65.55,65.59,8556.0
2018-02-16,09:50:00,65.67,65.74,65.67,65.67,1900.0
2018-02-16,09:51:00,65.63,65.63,65.5,65.5,4700.0
2018-02-16,09:52:00,65.49,65.51,65.44,65.44,2192.0
2018-02-16,09:53:00,65.45,65.48,65.38,65.48,2600.0
2018-02-16,09:54:00,65.47,65.55,65.45,65.55,2000.0
2018-02-16,09:55:00,65.56,65.56,65.56,65.56,100.0
2018-02-16,09:56:00,65.58,65.63,65.56,65.625,1100.0
2018-02-16,09:57:00,65.6,65.6,65.56,65.56,700.0
2018-02-16,09:58:00,65.53,65.59,65.53,65.59,500.0
2018-02-16,09:59:00,65.53,65.53,65.47,65.47,1703.0
2018-02-16,10:00:00,65.47,65.51,65.42,65.47,5868.0
2018-02-16,10:01:00,65.45,65.45,65.37,65.39,2050.0
2018-02-16,10:02:00,65.41,65.46,65.41,65.46,800.0
2018-02-16,10:03:00,65.43,65.43,65.43,65.43,100.0
2018-02-16,10:04:00,65.426,65.426,65.39,65.39,1086.0
2018-02-16,10:05:00,65.43,65.4799,65.41,65.4799,1367.0
2018-02-16,10:06:00,65.44,65.44,65.43,65.43,400.0
2018-02-16,10:07:00,65.39,65.39,65.37,65.37,700.0
2018-02-16,10:08:00,65.33,65.33,65.27,65.29,2827.0
2018-02-16,10:09:00,65.31,65.34,65.31,65.34,2200.0
2018-02-16,10:10:00,65.32,65.38,65.32,65.35,2600.0
2018-02-16,10:11:00,65.27,65.27,65.19,65.22,2050.0
2018-02-16,10:12:00,65.22,65.23,65.15,65.15,1200.0
2018-02-16,10:13:00,65.16,65.22,65.1055,65.22,3236.0
2018-02-16,10:14:00,65.19,65.19,65.18,65.18,800.0
2018-02-16,10:15:00,65.17,65.23,65.17,65.2,3100.0
2018-02-16,10:16:00,65.19,65.275,65.18,65.275,1600.0
2018-02-16,10:17:00,65.3,65.41,65.29,65.355,1800.0
2018-02-16,10:18:00,65.34,65.34,65.28,65.31,3847.0
2018-02-16,10:19:00,65.3,65.3,65.25,65.27,1900.0
2018-02-16,10:20:00,65.27,65.285,65.27,65.285,800.0
2018-02-16,10:21:00,65.289,65.289,65.26,65.26,500.0
2018-02-16,10:22:00,65.265,65.31,65.265,65.29,2900.0
2018-02-16,10:23:00,65.32,65.33,65.31,65.31,3100.0
2018-02-16,10:24:00,65.32,65.32,65.19,65.195,4111.0
2018-02-16,10:25:00,65.18,65.23,65.18,65.19,2225.0
2018-02-16,10:26:00,65.195,65.33,65.18,65.26,9660.0
2018-02-16,10:27:00,65.25,65.26,65.2198,65.26,1600.0
2018-02-16,10:28:00,65.24,65.41,65.24,65.406,4025.0
2018-02-16,10:29:00,65.4,65.41,65.3703,65.39,1928.0
2018-02-16,10:30:00,65.42,65.5,65.42,65.5,700.0
2018-02-16,10:31:00,65.5,65.5,65.48,65.5,700.0
2018-02-16,10:32:00,65.51,65.51,65.49,65.49,900.0
2018-02-16,10:33:00,65.51,65.55,65.51,65.53,800.0
2018-02-16,10:34:00,65.54,65.54,65.54,65.54,200.0
2018-02-16,10:35:00,65.54,65.54,65.51,65.51,3883.0
2018-02-16,10:36:00,65.52,65.6,65.52,65.57,3500.0
2018-02-16,10:37:00,65.59,65.59,65.57,65.57,400.0
2018-02-16,10:38:00,65.56,65.58,65.56,65.56,400.0
2018-02-16,10:39:00,65.57,65.64,65.57,65.6323,2675.0
2018-02-16,10:40:00,65.63,65.63,65.58,65.58,2100.0
2018-02-16,10:41:00,65.55,65.56,65.53,65.5396,1153.0
2018-02-16,10:42:00,65.53,65.55,65.51,65.51,3000.0
2018-02-16,10:43:00,65.53,65.53,65.45,65.47,7612.0
2018-02-16,10:44:00,65.47,65.47,65.46,65.46,800.0
2018-02-16,10:45:00,65.47,65.49,65.45,65.49,600.0
2018-02-16,10:46:00,65.45,65.46,65.45,65.4512,400.0
2018-02-16,10:47:00,65.5,65.61,65.49,65.57,4319.0
2018-02-16,10:48:00,65.55,65.56,65.55,65.55,700.0
2018-02-16,10:49:00,65.5629,65.5629,65.54,65.54,351.0
2018-02-16,10:50:00,65.57,65.57,65.56,65.56,567.0
2018-02-16,10:51:00,65.56,65.57,65.54,65.565,1900.0
2018-02-16,10:52:00,65.55,65.55,65.5,65.51,2300.0
2018-02-16,10:54:00,65.51,65.51,65.51,65.51,300.0
2018-02-16,10:55:00,65.51,65.54,65.5,65.53,2056.0
2018-02-16,10:56:00,65.54,65.54,65.48,65.49,3110.0
2018-02-16,10:57:00,65.51,65.5104,65.51,65.5104,300.0
2018-02-16,10:58:00,65.52,65.52,65.44,65.44,1700.0
2018-02-16,10:59:00,65.4468,65.47,65.4,65.47,1835.0
2018-02-16,11:00:00,65.46,65.465,65.41,65.42,3030.0
2018-02-16,11:01:00,65.46,65.49,65.46,65.49,800.0
2018-02-16,11:02:00,65.49,65.57,65.485,65.56,1000.0
2018-02-16,11:03:00,65.57,65.585,65.57,65.585,660.0
2018-02-16,11:04:00,65.56,65.56,65.46,65.46,1900.0
2018-02-16,11:05:00,65.48,65.56,65.465,65.5,3600.0
2018-02-16,11:06:00,65.49,65.5099,65.48,65.5099,600.0
2018-02-16,11:07:00,65.51,65.52,65.5,65.505,800.0
2018-02-16,11:08:00,65.525,65.5499,65.4875,65.4875,2673.0
2018-02-16,11:09:00,65.4875,65.53,65.4875,65.52,1730.0
2018-02-16,11:10:00,65.54,65.59,65.54,65.57,1400.0
2018-02-16,11:11:00,65.58,65.62,65.58,65.61,600.0
2018-02-16,11:12:00,65.68,65.68,65.64,65.68,700.0
2018-02-16,11:13:00,65.67,65.68,65.67,65.68,1400.0
2018-02-16,11:14:00,65.7,65.73,65.69,65.7,1800.0
2018-02-16,11:15:00,65.72,65.72,65.66,65.67,3443.0
2018-02-16,11:16:00,65.66,65.6699,65.65,65.65,1300.0
2018-02-16,11:17:00,65.65,65.65,65.61,65.64,2800.0
2018-02-16,11:19:00,65.67,65.69,65.64,65.67,3200.0
2018-02-16,11:20:00,65.68,65.68,65.66,65.66,1500.0
2018-02-16,11:21:00,65.675,65.68,65.64,65.65,800.0
2018-02-16,11:22:00,65.65,65.68,65.63,65.68,2300.0
2018-02-16,11:23:00,65.6725,65.6725,65.62,65.62,1600.0
2018-02-16,11:24:00,65.6,65.61,65.6,65.6,500.0
2018-02-16,11:25:00,65.6,65.62,65.55,65.56,2550.0
2018-02-16,11:26:00,65.565,65.59,65.565,65.59,1500.0
2018-02-16,11:27:00,65.6,65.6,65.56,65.58,3766.0
2018-02-16,11:28:00,65.57,65.64,65.57,65.64,2600.0
2018-02-16,11:29:00,65.63,65.64,65.53,65.53,9200.0
2018-02-16,11:30:00,65.54,65.55,65.51,65.55,2100.0
2018-02-16,11:31:00,65.52,65.575,65.52,65.575,1200.0
2018-02-16,11:32:00,65.59,65.59,65.53,65.54,1503.0
2018-02-16,11:33:00,65.54,65.56,65.54,65.555,300.0
2018-02-16,11:34:00,65.5514,65.57,65.5514,65.57,1327.0
2018-02-16,11:35:00,65.56,65.56,65.49,65.49,2000.0
2018-02-16,11:36:00,65.48,65.49,65.48,65.49,900.0
2018-02-16,11:37:00,65.48,65.4814,65.47,65.4814,1629.0
2018-02-16,11:38:00,65.49,65.49,65.4623,65.4623,1472.0
2018-02-16,11:39:00,65.49,65.51,65.46,65.4975,2500.0
2018-02-16,11:40:00,65.52,65.58,65.505,65.54,3000.0
2018-02-16,11:41:00,65.57,65.57,65.54,65.54,1900.0
2018-02-16,11:42:00,65.53,65.56,65.53,65.56,1300.0
2018-02-16,11:43:00,65.56,65.58,65.56,65.58,1000.0
2018-02-16,11:44:00,65.58,65.58,65.55,65.55,1200.0
2018-02-16,11:45:00,65.54,65.54,65.52,65.53,1500.0
2018-02-16,11:46:00,65.5249,65.56,65.52,65.56,890.0
2018-02-16,11:47:00,65.58,65.58,65.58,65.58,100.0
2018-02-16,11:48:00,65.57,65.64,65.57,65.64,3891.0
2018-02-16,11:49:00,65.65,65.72,65.65,65.6925,2800.0
2018-02-16,11:50:00,65.68,65.7,65.67,65.68,2600.0
2018-02-16,11:51:00,65.67,65.68,65.64,65.65,2000.0
