date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,65.35,65.35,65.35,65.35,100.0
2018-02-16,09:31:00,65.35,65.6384,65.34,65.54,446075.0
2018-02-16,09:32:00,65.53,65.65,65.44,65.555,25173.0
2018-02-16,09:33:00,65.555,65.555,65.36,65.46,21178.0
2018-02-16,09:34:00,65.47,65.47,65.36,65.3825,5176.0
2018-02-16,09:35:00,65.3975,65.5,65.38,65.5,12304.0
2018-02-16,09:36:00,65.5,65.5302,65.25,65.325,37731.0
2018-02-16,09:37:00,65.33,65.4546,65.33,65.43,15390.0
2018-02-16,09:38:00,65.41,65.41,65.35,65.4,10733.0
2018-02-16,09:39:00,65.4,65.4,65.33,65.33,19872.0
2018-02-16,09:40:00,65.3399,65.3399,65.31,65.31,6617.0
2018-02-16,09:41:00,65.31,65.36,65.3039,65.36,6445.0
2018-02-16,09:42:00,65.35,65.42,65.35,65.38,11515.0
2018-02-16,09:43:00,65.39,65.41,65.37,65.39,20604.0
2018-02-16,09:44:00,65.39,65.475,65.39,65.41,9795.0
2018-02-16,09:45:00,65.4,65.41,65.35,65.36,15702.0
2018-02-16,09:46:00,65.35,65.35,65.23,65.32,52843.0
2018-02-16,09:47:00,65.335,65.36,65.3,65.36,14952.0
2018-02-16,09:48:00,65.36,65.36,65.27,65.29,11129.0
2018-02-16,09:49:00,65.29,65.3,65.25,65.26,12685.0
2018-02-16,09:50:00,65.26,65.3375,65.25,65.2975,11476.0
2018-02-16,09:51:00,65.3,65.3,65.25,65.27,14194.0
2018-02-16,09:52:00,65.26,65.295,65.2,65.22,11609.0
2018-02-16,09:53:00,65.22,65.29,65.22,65.29,14895.0
2018-02-16,09:54:00,65.27,65.36,65.27,65.335,10234.0
2018-02-16,09:55:00,65.34,65.34,65.31,65.31,10281.0
2018-02-16,09:56:00,65.32,65.33,65.26,65.28,14545.0
2018-02-16,09:57:00,65.26,65.3,65.25,65.3,8869.0
2018-02-16,09:58:00,65.29,65.32,65.29,65.29,2326.0
2018-02-16,09:59:00,65.29,65.3,65.21,65.21,9019.0
2018-02-16,10:00:00,65.21,65.22,65.18,65.18,6159.0
2018-02-16,10:01:00,65.18,65.18,65.06,65.06,31949.0
2018-02-16,10:02:00,65.05,65.13,65.03,65.09,41064.0
2018-02-16,10:03:00,65.09,65.12,65.07,65.08,11080.0
2018-02-16,10:04:00,65.0861,65.1,65.06,65.06,9796.0
2018-02-16,10:05:00,65.05,65.1,65.05,65.08,7125.0
2018-02-16,10:06:00,65.08,65.08,64.97,64.99,26394.0
2018-02-16,10:07:00,64.98,64.99,64.93,64.93,78474.0
2018-02-16,10:08:00,64.94,64.97,64.9001,64.966,15997.0
2018-02-16,10:09:00,64.96,65.01,64.9575,65.01,10643.0
2018-02-16,10:10:00,65.01,65.06,65.01,65.01,32633.0
2018-02-16,10:11:00,65.01,65.03,64.96,64.96,10071.0
