date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,55.3,55.36,55.2,55.28,415836.0
2018-02-16,09:32:00,55.3,55.36,55.22,55.32,23401.0
2018-02-16,09:33:00,55.31,55.355,55.24,55.29,24838.0
2018-02-16,09:34:00,55.3,55.31,55.21,55.21,7206.0
2018-02-16,09:35:00,55.21,55.35,55.2,55.35,18261.0
2018-02-16,09:36:00,55.34,55.42,55.33,55.38,15765.0
2018-02-16,09:37:00,55.4,55.525,55.4,55.5,23283.0
2018-02-16,09:38:00,55.49,55.53,55.47,55.52,5300.0
2018-02-16,09:39:00,55.52,55.57,55.52,55.53,13889.0
2018-02-16,09:40:00,55.52,55.53,55.48,55.52,11592.0
2018-02-16,09:41:00,55.52,55.53,55.4552,55.47,13401.0
2018-02-16,09:42:00,55.48,55.5,55.42,55.46,29656.0
2018-02-16,09:43:00,55.475,55.51,55.46,55.4948,10646.0
2018-02-16,09:44:00,55.5,55.5,55.45,55.45,6938.0
2018-02-16,09:45:00,55.46,55.46,55.37,55.39,14090.0
2018-02-16,09:46:00,55.38,55.44,55.29,55.43,30235.0
2018-02-16,09:47:00,55.44,55.46,55.37,55.39,14059.0
2018-02-16,09:48:00,55.39,55.39,55.33,55.34,23703.0
2018-02-16,09:49:00,55.32,55.355,55.3,55.33,37201.0
2018-02-16,09:50:00,55.335,55.345,55.3,55.315,26141.0
2018-02-16,09:51:00,55.31,55.315,55.26,55.315,16535.0
2018-02-16,09:52:00,55.31,55.34,55.305,55.34,13189.0
2018-02-16,09:53:00,55.345,55.38,55.31,55.38,12601.0
2018-02-16,09:54:00,55.38,55.4,55.33,55.39,7658.0
2018-02-16,09:55:00,55.4,55.43,55.39,55.43,12224.0
2018-02-16,09:56:00,55.425,55.46,55.41,55.41,10789.0
2018-02-16,09:57:00,55.4,55.44,55.38,55.44,7057.0
2018-02-16,09:58:00,55.43,55.44,55.39,55.41,6994.0
2018-02-16,09:59:00,55.41,55.41,55.35,55.365,41016.0
2018-02-16,10:00:00,55.36,55.38,55.325,55.33,12495.0
2018-02-16,10:01:00,55.33,55.34,55.28,55.28,30644.0
2018-02-16,10:02:00,55.29,55.33,55.28,55.29,11513.0
2018-02-16,10:03:00,55.2807,55.35,55.2807,55.31,14333.0
2018-02-16,10:04:00,55.3123,55.35,55.29,55.3,8047.0
2018-02-16,10:05:00,55.31,55.34,55.295,55.3,8795.0
2018-02-16,10:06:00,55.3,55.3025,55.24,55.24,11388.0
2018-02-16,10:07:00,55.2399,55.24,55.2,55.2,10919.0
2018-02-16,10:08:00,55.2,55.25,55.2,55.23,6629.0
2018-02-16,10:09:00,55.23,55.31,55.23,55.31,7817.0
2018-02-16,10:10:00,55.31,55.35,55.3,55.33,11792.0
2018-02-16,10:11:00,55.33,55.36,55.33,55.35,9654.0
2018-02-16,10:12:00,55.35,55.35,55.26,55.2643,41960.0
2018-02-16,10:13:00,55.26,55.31,55.25,55.3,7571.0
2018-02-16,10:14:00,55.3,55.3,55.22,55.22,8322.0
2018-02-16,10:15:00,55.23,55.29,55.23,55.29,5144.0
2018-02-16,10:16:00,55.3,55.36,55.3,55.315,25816.0
2018-02-16,10:17:00,55.31,55.38,55.305,55.38,11056.0
2018-02-16,10:18:00,55.38,55.41,55.36,55.39,10210.0
2018-02-16,10:19:00,55.38,55.4122,55.3499,55.38,11956.0
2018-02-16,10:20:00,55.39,55.395,55.32,55.32,11580.0
2018-02-16,10:21:00,55.3299,55.355,55.3299,55.35,7978.0
2018-02-16,10:22:00,55.36,55.36,55.34,55.3532,8023.0
2018-02-16,10:23:00,55.349,55.38,55.34,55.38,11185.0
2018-02-16,10:24:00,55.38,55.38,55.31,55.32,11167.0
2018-02-16,10:25:00,55.33,55.38,55.33,55.37,8727.0
2018-02-16,10:26:00,55.38,55.44,55.36,55.4,15070.0
2018-02-16,10:27:00,55.39,55.39,55.34,55.34,10887.0
2018-02-16,10:28:00,55.35,55.35,55.3,55.3,15714.0
2018-02-16,10:29:00,55.31,55.35,55.31,55.33,10359.0
2018-02-16,10:30:00,55.33,55.35,55.31,55.35,13374.0
2018-02-16,10:31:00,55.34,55.38,55.325,55.38,14086.0
2018-02-16,10:32:00,55.38,55.4,55.37,55.39,14022.0
2018-02-16,10:33:00,55.4,55.42,55.39,55.4,14681.0
2018-02-16,10:34:00,55.4,55.41,55.4,55.4001,7996.0
2018-02-16,10:35:00,55.405,55.41,55.4,55.4,10514.0
2018-02-16,10:36:00,55.4,55.45,55.4,55.44,12078.0
2018-02-16,10:37:00,55.44,55.45,55.425,55.44,8520.0
2018-02-16,10:38:00,55.43,55.45,55.4,55.4,20037.0
2018-02-16,10:39:00,55.4012,55.44,55.39,55.39,13182.0
2018-02-16,10:40:00,55.39,55.4,55.33,55.34,23760.0
2018-02-16,10:41:00,55.34,55.34,55.305,55.32,43805.0
2018-02-16,10:42:00,55.32,55.33,55.29,55.3,26311.0
2018-02-16,10:43:00,55.3,55.3,55.195,55.22,60243.0
2018-02-16,10:44:00,55.22,55.25,55.205,55.225,31466.0
2018-02-16,10:45:00,55.23,55.24,55.215,55.22,17505.0
2018-02-16,10:46:00,55.21,55.23,55.185,55.21,15240.0
2018-02-16,10:47:00,55.21,55.25,55.21,55.23,20264.0
2018-02-16,10:48:00,55.235,55.26,55.22,55.23,22810.0
2018-02-16,10:49:00,55.235,55.235,55.2025,55.22,9918.0
2018-02-16,10:50:00,55.23,55.26,55.2238,55.26,13484.0
2018-02-16,10:51:00,55.27,55.289,55.26,55.27,12387.0
2018-02-16,10:52:00,55.26,55.27,55.23,55.26,14000.0
2018-02-16,10:53:00,55.27,55.28,55.26,55.26,3998.0
2018-02-16,10:54:00,55.27,55.29,55.265,55.29,10956.0
2018-02-16,10:55:00,55.29,55.3,55.275,55.29,9993.0
2018-02-16,10:56:00,55.29,55.3,55.28,55.3,5840.0
2018-02-16,10:57:00,55.3,55.3139,55.2843,55.29,11646.0
2018-02-16,10:58:00,55.29,55.29,55.25,55.25,7423.0
2018-02-16,10:59:00,55.26,55.26,55.23,55.25,3854.0
2018-02-16,11:00:00,55.24,55.24,55.16,55.18,33676.0
2018-02-16,11:01:00,55.175,55.26,55.175,55.25,26143.0
2018-02-16,11:02:00,55.26,55.32,55.26,55.32,8275.0
2018-02-16,11:03:00,55.326,55.33,55.29,55.29,9333.0
2018-02-16,11:04:00,55.29,55.29,55.25,55.27,6685.0
2018-02-16,11:05:00,55.27,55.34,55.27,55.3,21819.0
2018-02-16,11:06:00,55.3,55.31,55.27,55.31,8682.0
2018-02-16,11:07:00,55.32,55.335,55.3084,55.3084,5938.0
2018-02-16,11:08:00,55.31,55.32,55.3,55.3019,10585.0
2018-02-16,11:09:00,55.3,55.305,55.25,55.29,32876.0
2018-02-16,11:10:00,55.295,55.33,55.295,55.32,25770.0
2018-02-16,11:11:00,55.32,55.37,55.31,55.365,56419.0
2018-02-16,11:12:00,55.36,55.39,55.35,55.38,23735.0
2018-02-16,11:13:00,55.39,55.41,55.38,55.4,17561.0
2018-02-16,11:14:00,55.39,55.42,55.38,55.411,10712.0
2018-02-16,11:15:00,55.41,55.46,55.405,55.44,8005.0
2018-02-16,11:16:00,55.4401,55.45,55.3893,55.3893,8258.0
2018-02-16,11:17:00,55.38,55.39,55.35,55.36,13554.0
2018-02-16,11:18:00,55.36,55.39,55.36,55.39,14567.0
2018-02-16,11:19:00,55.39,55.4,55.37,55.38,18564.0
2018-02-16,11:20:00,55.37,55.385,55.37,55.38,10037.0
2018-02-16,11:21:00,55.38,55.38,55.37,55.38,15680.0
2018-02-16,11:22:00,55.37,55.39,55.36,55.38,15613.0
2018-02-16,11:23:00,55.375,55.375,55.35,55.355,7370.0
2018-02-16,11:24:00,55.3593,55.36,55.325,55.34,43245.0
2018-02-16,11:25:00,55.34,55.36,55.335,55.36,8801.0
2018-02-16,11:26:00,55.37,55.4,55.37,55.4,5434.0
2018-02-16,11:27:00,55.4,55.4,55.3499,55.37,7464.0
2018-02-16,11:28:00,55.38,55.38,55.34,55.35,4800.0
2018-02-16,11:29:00,55.35,55.36,55.34,55.36,4103.0
2018-02-16,11:30:00,55.35,55.37,55.32,55.32,5933.0
2018-02-16,11:31:00,55.32,55.34,55.29,55.29,10682.0
2018-02-16,11:32:00,55.3,55.3,55.265,55.27,6229.0
2018-02-16,11:33:00,55.279,55.29,55.26,55.27,12471.0
2018-02-16,11:34:00,55.27,55.29,55.27,55.285,5865.0
2018-02-16,11:35:00,55.29,55.29,55.26,55.26,6948.0
2018-02-16,11:36:00,55.25,55.2633,55.235,55.2458,5148.0
2018-02-16,11:37:00,55.25,55.255,55.215,55.24,8811.0
2018-02-16,11:38:00,55.24,55.27,55.24,55.2499,8922.0
2018-02-16,11:39:00,55.24,55.27,55.24,55.27,3200.0
2018-02-16,11:40:00,55.26,55.31,55.26,55.305,9045.0
2018-02-16,11:41:00,55.31,55.32,55.29,55.29,4866.0
2018-02-16,11:42:00,55.28,55.3138,55.27,55.3138,9300.0
2018-02-16,11:43:00,55.32,55.34,55.32,55.325,7312.0
2018-02-16,11:44:00,55.32,55.323,55.31,55.31,5239.0
2018-02-16,11:45:00,55.31,55.33,55.3,55.32,7619.0
2018-02-16,11:46:00,55.321,55.35,55.321,55.35,4857.0
2018-02-16,11:47:00,55.36,55.36,55.29,55.29,4100.0
2018-02-16,11:48:00,55.29,55.305,55.275,55.3,6808.0
2018-02-16,11:49:00,55.3,55.316,55.29,55.3,6472.0
2018-02-16,11:50:00,55.301,55.335,55.3,55.335,5609.0
2018-02-16,11:51:00,55.34,55.35,55.315,55.34,9767.0
2018-02-16,11:52:00,55.34,55.355,55.31,55.31,7042.0
2018-02-16,11:53:00,55.3152,55.35,55.3152,55.35,5136.0
2018-02-16,11:54:00,55.36,55.37,55.33,55.33,6697.0
2018-02-16,11:55:00,55.33,55.36,55.32,55.36,9885.0
2018-02-16,11:56:00,55.369,55.395,55.365,55.38,7177.0
2018-02-16,11:57:00,55.39,55.4,55.38,55.39,3500.0
2018-02-16,11:58:00,55.4,55.41,55.3999,55.4,4295.0
