date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,60.43,60.43,60.43,60.43,2545.0
2018-02-16,09:31:00,59.0799,59.0799,59.0799,59.0799,200.0
2018-02-16,09:33:00,60.35,60.35,60.35,60.35,100.0
2018-02-16,09:34:00,60.83,60.83,60.6,60.6,300.0
2018-02-16,09:35:00,60.69,60.89,60.5012,60.89,2600.0
2018-02-16,09:36:00,60.99,61.0,60.98,61.0,601.0
2018-02-16,09:39:00,60.9497,60.9497,60.8,60.82,924.0
2018-02-16,09:40:00,60.82,60.88,60.82,60.88,1100.0
2018-02-16,09:42:00,60.75,60.75,60.63,60.63,1200.0
2018-02-16,09:45:00,60.57,60.595,60.53,60.595,300.0
2018-02-16,09:46:00,60.51,60.66,60.44,60.65,1400.0
2018-02-16,09:47:00,60.64,60.64,60.64,60.64,100.0
2018-02-16,09:49:00,60.68,60.72,60.63,60.72,1000.0
2018-02-16,09:50:00,60.75,60.77,60.715,60.715,300.0
2018-02-16,09:51:00,60.8,60.85,60.68,60.85,1594.0
2018-02-16,09:52:00,60.85,60.86,60.77,60.86,300.0
2018-02-16,09:54:00,60.83,60.83,60.82,60.82,300.0
2018-02-16,09:55:00,60.91,60.96,60.8,60.8,919.0
2018-02-16,09:56:00,60.8496,60.8496,60.77,60.77,300.0
2018-02-16,09:57:00,60.76,60.76,60.75,60.75,200.0
2018-02-16,09:58:00,60.67,60.726,60.66,60.66,500.0
2018-02-16,09:59:00,60.67,60.67,60.58,60.65,800.0
2018-02-16,10:00:00,60.56,60.64,60.56,60.64,300.0
2018-02-16,10:01:00,60.55,60.55,60.55,60.55,300.0
2018-02-16,10:02:00,60.61,60.61,60.61,60.61,200.0
2018-02-16,10:03:00,60.55,60.55,60.43,60.43,700.0
2018-02-16,10:04:00,60.43,60.48,60.4,60.4,900.0
2018-02-16,10:05:00,60.42,60.47,60.41,60.47,2100.0
2018-02-16,10:06:00,60.39,60.425,60.3,60.31,4200.0
2018-02-16,10:07:00,60.35,60.36,60.3,60.315,4000.0
