date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,35.07,35.07,35.05,35.05,15957.0
2018-02-16,09:31:00,35.07,35.07,35.04,35.06,7050.0
2018-02-16,09:32:00,35.07,35.13,35.07,35.12,9967.0
2018-02-16,09:33:00,35.11,35.13,35.11,35.13,1180.0
2018-02-16,09:34:00,35.11,35.13,35.09,35.09,5195.0
2018-02-16,09:35:00,35.09,35.11,35.08,35.1,4200.0
2018-02-16,09:36:00,35.11,35.13,35.08,35.1,9056.0
2018-02-16,09:37:00,35.12,35.14,35.1,35.11,2500.0
2018-02-16,09:38:00,35.1,35.11,35.08,35.1,11700.0
2018-02-16,09:39:00,35.12,35.17,35.12,35.17,4415.0
2018-02-16,09:40:00,35.18,35.19,35.17,35.18,2085.0
2018-02-16,09:41:00,35.15,35.16,35.12,35.12,3686.0
2018-02-16,09:42:00,35.11,35.11,35.04,35.04,8602.0
2018-02-16,09:43:00,35.03,35.05,35.02,35.05,6898.0
2018-02-16,09:44:00,35.05,35.05,34.97,34.98,10060.0
2018-02-16,09:45:00,34.97,34.98,34.87,34.88,129080.0
2018-02-16,09:46:00,34.89,34.9,34.83,34.9,63679.0
2018-02-16,09:47:00,34.91,34.9159,34.87,34.9159,17870.0
2018-02-16,09:48:00,34.94,35.0,34.94,34.995,7525.0
2018-02-16,09:49:00,34.995,35.03,34.975,35.03,4600.0
2018-02-16,09:50:00,35.04,35.08,35.02,35.02,9300.0
2018-02-16,09:51:00,35.025,35.08,34.99,35.08,6362.0
2018-02-16,09:52:00,35.07,35.08,35.06,35.08,3579.0
2018-02-16,09:53:00,35.09,35.11,35.07,35.1,7112.0
2018-02-16,09:54:00,35.09,35.145,35.08,35.145,2000.0
2018-02-16,09:55:00,35.15,35.16,35.09,35.11,5795.0
2018-02-16,09:56:00,35.1,35.1,35.04,35.06,39542.0
2018-02-16,09:57:00,35.07,35.09,35.05,35.08,39842.0
2018-02-16,09:58:00,35.1,35.145,35.1,35.13,5139.0
2018-02-16,09:59:00,35.14,35.15,35.07,35.07,9400.0
2018-02-16,10:00:00,35.05,35.07,35.04,35.07,1317.0
2018-02-16,10:01:00,35.07,35.07,35.03,35.03,5713.0
2018-02-16,10:02:00,35.03,35.05,35.0,35.015,22300.0
2018-02-16,10:03:00,35.015,35.03,35.015,35.02,3000.0
2018-02-16,10:04:00,35.005,35.06,35.005,35.02,22880.0
2018-02-16,10:05:00,35.03,35.03,35.0,35.01,3715.0
2018-02-16,10:06:00,35.01,35.01,34.97,34.97,2800.0
2018-02-16,10:07:00,34.97,34.97,34.93,34.93,6157.0
2018-02-16,10:08:00,34.93,34.93,34.91,34.93,12699.0
2018-02-16,10:09:00,34.94,34.96,34.93,34.96,10572.0
2018-02-16,10:10:00,34.955,34.99,34.94,34.975,34500.0
2018-02-16,10:11:00,34.98,35.04,34.98,35.005,11800.0
2018-02-16,10:12:00,35.005,35.02,34.98,34.99,3985.0
2018-02-16,10:13:00,34.99,34.99,34.95,34.96,28233.0
2018-02-16,10:14:00,34.97,34.97,34.94,34.94,18627.0
2018-02-16,10:15:00,34.94,34.97,34.935,34.97,45913.0
2018-02-16,10:16:00,34.97,35.0,34.95,35.0,32106.0
2018-02-16,10:17:00,35.0,35.05,34.995,35.04,38328.0
2018-02-16,10:18:00,35.045,35.07,35.025,35.07,39702.0
2018-02-16,10:19:00,35.08,35.08,35.04,35.07,8360.0
2018-02-16,10:20:00,35.055,35.055,35.03,35.03,12526.0
2018-02-16,10:21:00,35.015,35.02,35.01,35.01,9930.0
2018-02-16,10:22:00,35.02,35.1,35.02,35.09,18001.0
2018-02-16,10:23:00,35.07,35.07,35.04,35.05,10442.0
2018-02-16,10:24:00,35.04,35.04,35.0145,35.03,4200.0
