date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,43.29,43.3,43.2,43.3,611116.0
2018-02-16,09:31:00,43.31,43.31,43.13,43.22,143281.0
2018-02-16,09:32:00,43.27,43.4733,43.25,43.47,143204.0
2018-02-16,09:33:00,43.48,43.57,43.41,43.5235,197371.0
2018-02-16,09:34:00,43.51,43.59,43.47,43.53,151138.0
2018-02-16,09:35:00,43.53,43.75,43.5,43.74,255530.0
2018-02-16,09:36:00,43.75,43.765,43.65,43.69,227028.0
2018-02-16,09:37:00,43.7,43.72,43.57,43.6393,163028.0
2018-02-16,09:38:00,43.63,43.705,43.62,43.66,99572.0
2018-02-16,09:39:00,43.66,43.69,43.62,43.63,76961.0
2018-02-16,09:40:00,43.6359,43.75,43.6359,43.685,129205.0
2018-02-16,09:41:00,43.6893,43.69,43.62,43.63,89267.0
2018-02-16,09:42:00,43.63,43.64,43.48,43.5401,146616.0
2018-02-16,09:43:00,43.545,43.66,43.53,43.64,175665.0
2018-02-16,09:44:00,43.63,43.7,43.61,43.6201,157234.0
2018-02-16,09:45:00,43.62,43.63,43.5,43.5,106294.0
2018-02-16,09:46:00,43.48,43.57,43.46,43.54,117847.0
2018-02-16,09:47:00,43.54,43.55,43.46,43.48,86064.0
2018-02-16,09:48:00,43.475,43.6062,43.46,43.6062,140530.0
2018-02-16,09:49:00,43.605,43.7,43.57,43.67,162494.0
2018-02-16,09:50:00,43.6707,43.73,43.6707,43.6999,181540.0
2018-02-16,09:51:00,43.695,43.79,43.679,43.78,122486.0
2018-02-16,09:52:00,43.7799,43.83,43.77,43.8201,193490.0
2018-02-16,09:53:00,43.825,43.85,43.76,43.8389,162869.0
2018-02-16,09:54:00,43.83,43.9,43.8,43.9,201726.0
2018-02-16,09:55:00,43.9,43.945,43.895,43.94,239975.0
2018-02-16,09:56:00,43.93,43.99,43.93,43.94,248739.0
2018-02-16,09:57:00,43.94,43.98,43.91,43.93,168273.0
2018-02-16,09:58:00,43.92,43.97,43.83,43.84,131150.0
2018-02-16,09:59:00,43.8385,43.85,43.78,43.81,139248.0
2018-02-16,10:00:00,43.8099,43.83,43.71,43.73,96490.0
2018-02-16,10:01:00,43.74,43.81,43.74,43.76,117954.0
2018-02-16,10:02:00,43.75,43.8096,43.7348,43.75,141252.0
2018-02-16,10:03:00,43.75,43.75,43.62,43.68,156331.0
2018-02-16,10:04:00,43.68,43.68,43.56,43.56,154009.0
2018-02-16,10:05:00,43.58,43.66,43.57,43.58,79287.0
2018-02-16,10:06:00,43.57,43.61,43.524,43.58,129523.0
2018-02-16,10:07:00,43.58,43.58,43.472,43.5,143334.0
2018-02-16,10:08:00,43.48,43.53,43.45,43.52,100980.0
2018-02-16,10:09:00,43.53,43.63,43.53,43.63,113946.0
2018-02-16,10:10:00,43.6371,43.74,43.62,43.71,164730.0
2018-02-16,10:11:00,43.7088,43.81,43.7088,43.755,110684.0
2018-02-16,10:12:00,43.7515,43.7567,43.695,43.73,90888.0
2018-02-16,10:13:00,43.7207,43.76,43.6899,43.7598,86421.0
2018-02-16,10:14:00,43.75,43.78,43.72,43.73,59787.0
2018-02-16,10:15:00,43.73,43.8,43.73,43.8,52757.0
2018-02-16,10:16:00,43.8,43.85,43.79,43.8,100651.0
2018-02-16,10:17:00,43.8,43.9,43.791,43.885,98984.0
2018-02-16,10:18:00,43.885,43.89,43.83,43.8393,101332.0
2018-02-16,10:19:00,43.84,43.915,43.8001,43.8953,138125.0
2018-02-16,10:20:00,43.895,43.9,43.83,43.83,34035.0
2018-02-16,10:21:00,43.825,43.87,43.82,43.87,36008.0
2018-02-16,10:22:00,43.88,43.9153,43.88,43.89,92423.0
2018-02-16,10:23:00,43.89,43.91,43.83,43.89,66870.0
2018-02-16,10:24:00,43.88,43.91,43.85,43.88,245709.0
2018-02-16,10:25:00,43.88,43.97,43.87,43.9363,244646.0
2018-02-16,10:26:00,43.9393,44.09,43.9393,44.039,623693.0
2018-02-16,10:27:00,44.0319,44.06,43.9534,43.98,98148.0
2018-02-16,10:28:00,43.99,44.055,43.99,44.0476,143365.0
2018-02-16,10:29:00,44.04,44.075,43.9899,43.99,194048.0
2018-02-16,10:30:00,44.0,44.03,43.99,44.03,90498.0
2018-02-16,10:31:00,44.02,44.12,44.01,44.1,155366.0
2018-02-16,10:32:00,44.1031,44.1039,43.98,44.0,187193.0
2018-02-16,10:33:00,43.995,44.04,43.97,44.04,189671.0
2018-02-16,10:34:00,44.04,44.05,44.01,44.01,109084.0
2018-02-16,10:35:00,44.01,44.1,44.0,44.09,125101.0
2018-02-16,10:36:00,44.0975,44.15,44.075,44.14,211874.0
2018-02-16,10:37:00,44.1401,44.19,44.14,44.18,206608.0
2018-02-16,10:38:00,44.175,44.25,44.17,44.24,202054.0
2018-02-16,10:39:00,44.24,44.3,44.24,44.2701,273476.0
2018-02-16,10:40:00,44.27,44.28,44.17,44.1811,173654.0
2018-02-16,10:41:00,44.1862,44.21,44.151,44.1793,82399.0
2018-02-16,10:42:00,44.17,44.21,44.16,44.21,59462.0
2018-02-16,10:43:00,44.21,44.2871,44.21,44.235,128144.0
2018-02-16,10:44:00,44.24,44.27,44.235,44.27,65218.0
2018-02-16,10:45:00,44.265,44.34,44.265,44.31,156049.0
2018-02-16,10:46:00,44.315,44.329,44.23,44.285,86920.0
