date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,6.55,6.6,6.55,6.6,57366.0
2018-02-16,09:32:00,6.61,6.61,6.56,6.58,14593.0
2018-02-16,09:33:00,6.58,6.61,6.58,6.6067,24736.0
2018-02-16,09:34:00,6.605,6.62,6.56,6.58,31584.0
2018-02-16,09:35:00,6.59,6.595,6.57,6.59,20321.0
2018-02-16,09:36:00,6.595,6.595,6.55,6.55,8666.0
2018-02-16,09:37:00,6.56,6.56,6.535,6.54,33411.0
2018-02-16,09:38:00,6.5371,6.545,6.5371,6.545,13383.0
2018-02-16,09:39:00,6.55,6.59,6.55,6.585,50666.0
2018-02-16,09:40:00,6.59,6.6,6.59,6.595,27393.0
2018-02-16,09:41:00,6.5964,6.6,6.57,6.58,12283.0
2018-02-16,09:42:00,6.58,6.59,6.58,6.59,9290.0
2018-02-16,09:43:00,6.6,6.61,6.59,6.6029,48646.0
2018-02-16,09:44:00,6.605,6.61,6.59,6.59,11825.0
2018-02-16,09:45:00,6.59,6.59,6.56,6.57,26586.0
2018-02-16,09:46:00,6.5612,6.57,6.55,6.57,16828.0
2018-02-16,09:47:00,6.57,6.595,6.56,6.595,16841.0
2018-02-16,09:48:00,6.59,6.62,6.59,6.62,10067.0
2018-02-16,09:49:00,6.62,6.63,6.62,6.62,15325.0
2018-02-16,09:50:00,6.62,6.62,6.595,6.605,18908.0
2018-02-16,09:51:00,6.59,6.605,6.59,6.6,13189.0
2018-02-16,09:52:00,6.6,6.61,6.59,6.61,7260.0
2018-02-16,09:53:00,6.61,6.62,6.61,6.6136,5400.0
2018-02-16,09:54:00,6.61,6.615,6.59,6.6,18162.0
2018-02-16,09:55:00,6.6,6.61,6.59,6.6,14351.0
2018-02-16,09:56:00,6.59,6.595,6.56,6.56,31896.0
2018-02-16,09:57:00,6.565,6.565,6.55,6.5575,21500.0
2018-02-16,09:58:00,6.56,6.56,6.55,6.555,2202.0
2018-02-16,09:59:00,6.56,6.56,6.53,6.555,78591.0
2018-02-16,10:00:00,6.555,6.57,6.55,6.57,9715.0
2018-02-16,10:01:00,6.56,6.565,6.55,6.56,4300.0
2018-02-16,10:02:00,6.56,6.56,6.53,6.53,132522.0
2018-02-16,10:03:00,6.53,6.545,6.53,6.54,29250.0
2018-02-16,10:04:00,6.55,6.56,6.545,6.5534,11021.0
2018-02-16,10:05:00,6.55,6.555,6.5401,6.5401,6779.0
2018-02-16,10:06:00,6.54,6.545,6.53,6.53,9400.0
2018-02-16,10:07:00,6.535,6.5375,6.53,6.53,24825.0
2018-02-16,10:08:00,6.53,6.535,6.49,6.495,45941.0
2018-02-16,10:09:00,6.4988,6.5,6.49,6.5,75887.0
2018-02-16,10:10:00,6.5,6.5163,6.495,6.515,17228.0
2018-02-16,10:11:00,6.515,6.515,6.51,6.51,5458.0
2018-02-16,10:12:00,6.505,6.52,6.505,6.515,8992.0
2018-02-16,10:13:00,6.51,6.515,6.5,6.5,8118.0
2018-02-16,10:14:00,6.505,6.515,6.505,6.51,29283.0
2018-02-16,10:15:00,6.515,6.53,6.515,6.525,18558.0
2018-02-16,10:16:00,6.5262,6.53,6.52,6.53,10654.0
2018-02-16,10:17:00,6.53,6.54,6.525,6.535,13705.0
2018-02-16,10:18:00,6.54,6.54,6.535,6.535,1901.0
2018-02-16,10:19:00,6.54,6.54,6.53,6.54,7406.0
2018-02-16,10:20:00,6.535,6.54,6.52,6.525,33583.0
2018-02-16,10:21:00,6.525,6.54,6.52,6.54,47000.0
2018-02-16,10:22:00,6.535,6.5633,6.535,6.5633,10939.0
