date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,154.67,155.28,154.485,155.28,116247.0
2018-02-16,09:32:00,155.3,155.3,154.9397,155.1,800.0
2018-02-16,09:33:00,155.09,155.15,155.04,155.15,900.0
2018-02-16,09:34:00,155.065,155.15,154.62,154.84,2500.0
2018-02-16,09:35:00,154.9,154.91,154.25,154.38,3250.0
2018-02-16,09:36:00,154.26,154.5877,154.26,154.5877,1448.0
2018-02-16,09:37:00,154.64,154.64,154.28,154.3102,1000.0
2018-02-16,09:38:00,154.1407,154.67,154.1407,154.67,7300.0
2018-02-16,09:39:00,154.62,154.68,154.52,154.52,2681.0
2018-02-16,09:40:00,154.53,154.89,154.53,154.89,1303.0
2018-02-16,09:41:00,154.74,155.03,154.675,154.99,2936.0
2018-02-16,09:42:00,155.09,155.17,154.79,154.92,3058.0
2018-02-16,09:43:00,154.945,154.96,154.81,154.81,760.0
2018-02-16,09:44:00,154.84,155.1,154.84,154.92,4461.0
2018-02-16,09:45:00,154.81,154.905,154.795,154.8218,1150.0
2018-02-16,09:46:00,154.97,155.05,154.78,155.05,1450.0
2018-02-16,09:47:00,155.03,155.05,154.945,155.05,990.0
2018-02-16,09:48:00,154.92,154.985,154.75,154.84,2400.0
2018-02-16,09:49:00,154.85,154.92,154.42,154.42,8137.0
2018-02-16,09:50:00,154.58,154.72,154.385,154.385,5336.0
2018-02-16,09:51:00,154.505,154.505,154.3077,154.3077,1357.0
2018-02-16,09:52:00,154.2,154.31,154.13,154.13,1500.0
2018-02-16,09:53:00,154.36,154.37,154.05,154.14,8222.0
2018-02-16,09:54:00,154.14,154.2321,154.14,154.215,400.0
2018-02-16,09:55:00,154.11,154.195,153.955,154.0,5562.0
2018-02-16,09:56:00,154.005,154.16,153.9,153.955,2600.0
2018-02-16,09:57:00,154.04,154.15,153.92,153.92,1219.0
2018-02-16,09:58:00,154.05,154.08,153.97,153.97,2353.0
2018-02-16,09:59:00,154.02,154.2,154.01,154.1275,3467.0
2018-02-16,10:00:00,154.1899,154.1899,153.935,153.9375,1458.0
2018-02-16,10:01:00,153.84,153.85,153.641,153.71,4450.0
2018-02-16,10:02:00,153.74,153.98,153.74,153.98,2746.0
2018-02-16,10:03:00,154.09,154.09,153.87,153.915,1300.0
2018-02-16,10:04:00,154.02,154.23,154.02,154.19,1344.0
2018-02-16,10:05:00,154.15,154.15,154.11,154.11,700.0
2018-02-16,10:06:00,154.08,154.1,153.995,154.1,2846.0
2018-02-16,10:07:00,154.08,154.08,153.85,153.86,770.0
2018-02-16,10:08:00,153.87,154.01,153.87,154.01,1500.0
2018-02-16,10:09:00,154.0601,154.12,154.0601,154.12,200.0
2018-02-16,10:10:00,154.12,154.19,154.01,154.11,2504.0
2018-02-16,10:11:00,153.97,153.97,153.77,153.77,1285.0
2018-02-16,10:12:00,153.71,153.71,153.71,153.71,100.0
2018-02-16,10:13:00,153.611,153.8277,153.6,153.6972,1605.0
2018-02-16,10:14:00,153.75,153.75,153.62,153.62,700.0
2018-02-16,10:15:00,153.72,153.77,153.59,153.59,2835.0
2018-02-16,10:16:00,153.59,153.8126,153.58,153.685,6393.0
2018-02-16,10:17:00,153.78,153.78,153.69,153.7443,2500.0
2018-02-16,10:19:00,153.75,153.86,153.73,153.82,1000.0
2018-02-16,10:20:00,153.95,154.07,153.95,154.01,1130.0
2018-02-16,10:21:00,154.03,154.09,154.0,154.09,2042.0
2018-02-16,10:22:00,154.09,154.09,154.03,154.03,840.0
2018-02-16,10:23:00,154.09,154.33,154.0865,154.26,4290.0
2018-02-16,10:24:00,154.26,154.26,154.19,154.22,1495.0
2018-02-16,10:25:00,154.205,154.205,154.07,154.1135,6540.0
2018-02-16,10:26:00,154.16,154.17,154.1,154.17,895.0
2018-02-16,10:27:00,154.19,154.43,154.16,154.31,2460.0
2018-02-16,10:28:00,154.38,154.67,154.365,154.57,5933.0
2018-02-16,10:29:00,154.51,154.51,154.36,154.5,2274.0
2018-02-16,10:30:00,154.44,154.44,154.34,154.3787,1632.0
2018-02-16,10:31:00,154.36,154.41,154.34,154.3575,1611.0
2018-02-16,10:32:00,154.37,154.37,154.37,154.37,100.0
2018-02-16,10:33:00,154.33,154.35,154.33,154.35,200.0
2018-02-16,10:34:00,154.4,154.46,154.21,154.26,5035.0
2018-02-16,10:35:00,154.3345,154.35,154.32,154.35,1450.0
2018-02-16,10:36:00,154.35,154.53,154.345,154.53,2270.0
2018-02-16,10:37:00,154.5,154.67,154.45,154.62,2911.0
2018-02-16,10:38:00,154.65,154.67,154.57,154.67,695.0
2018-02-16,10:39:00,154.68,154.73,154.65,154.73,1702.0
2018-02-16,10:40:00,154.73,154.73,154.65,154.68,2077.0
2018-02-16,10:41:00,154.69,154.72,154.69,154.72,800.0
2018-02-16,10:42:00,154.67,154.67,154.56,154.56,1300.0
2018-02-16,10:43:00,154.57,154.57,154.4,154.4,733.0
2018-02-16,10:44:00,154.46,154.61,154.46,154.61,1393.0
2018-02-16,10:45:00,154.54,154.66,154.54,154.66,1000.0
2018-02-16,10:46:00,154.69,154.71,154.63,154.6303,1970.0
2018-02-16,10:48:00,154.65,154.65,154.54,154.54,1655.0
2018-02-16,10:49:00,154.54,154.54,154.41,154.41,1569.0
2018-02-16,10:50:00,154.48,154.62,154.4527,154.62,3393.0
2018-02-16,10:51:00,154.59,154.59,154.53,154.53,2300.0
2018-02-16,10:52:00,154.52,154.52,154.44,154.44,578.0
2018-02-16,10:53:00,154.4448,154.4448,154.4448,154.4448,105.0
2018-02-16,10:54:00,154.43,154.46,154.34,154.34,2200.0
2018-02-16,10:55:00,154.37,154.6,154.37,154.575,2137.0
2018-02-16,10:56:00,154.52,154.53,154.42,154.44,1764.0
2018-02-16,10:57:00,154.49,154.53,154.485,154.53,720.0
2018-02-16,10:58:00,154.62,154.89,154.6,154.89,3070.0
2018-02-16,10:59:00,154.87,154.87,154.77,154.77,884.0
2018-02-16,11:00:00,154.81,154.82,154.65,154.735,2014.0
2018-02-16,11:01:00,154.735,154.85,154.735,154.805,1217.0
2018-02-16,11:02:00,154.9,154.9,154.8675,154.8675,650.0
2018-02-16,11:03:00,154.865,154.905,154.7,154.7,1261.0
2018-02-16,11:04:00,154.6901,154.705,154.54,154.64,1047.0
2018-02-16,11:05:00,154.63,154.79,154.63,154.74,2600.0
2018-02-16,11:06:00,154.69,154.69,154.69,154.69,100.0
2018-02-16,11:07:00,154.79,154.83,154.76,154.76,1400.0
2018-02-16,11:08:00,154.7201,154.84,154.7201,154.7603,1425.0
2018-02-16,11:09:00,154.71,154.71,154.69,154.71,600.0
2018-02-16,11:10:00,154.67,154.67,154.62,154.64,1000.0
2018-02-16,11:11:00,154.7,154.71,154.6952,154.6992,1351.0
2018-02-16,11:12:00,154.75,154.79,154.746,154.79,1100.0
2018-02-16,11:13:00,154.8587,155.01,154.8587,154.86,3613.0
2018-02-16,11:15:00,154.88,154.95,154.88,154.95,1312.0
2018-02-16,11:16:00,154.95,155.02,154.91,154.99,3229.0
2018-02-16,11:17:00,154.95,154.97,154.89,154.955,1500.0
2018-02-16,11:18:00,154.98,154.98,154.9,154.92,1300.0
2018-02-16,11:19:00,154.9,154.9,154.77,154.8076,2645.0
2018-02-16,11:20:00,154.7926,154.99,154.75,154.966,4641.0
2018-02-16,11:21:00,154.95,154.95,154.89,154.95,1941.0
2018-02-16,11:22:00,154.94,155.01,154.93,155.01,578.0
2018-02-16,11:23:00,154.9778,155.02,154.9719,155.01,1431.0
2018-02-16,11:24:00,155.02,155.0229,155.02,155.0229,215.0
2018-02-16,11:25:00,154.97,154.97,154.87,154.93,1200.0
2018-02-16,11:26:00,154.83,154.95,154.82,154.95,3417.0
2018-02-16,11:27:00,154.9116,154.9259,154.9116,154.9259,521.0
2018-02-16,11:28:00,154.98,154.98,154.98,154.98,300.0
2018-02-16,11:29:00,154.98,155.03,154.98,155.02,1300.0
2018-02-16,11:30:00,155.02,155.03,154.95,155.01,2670.0
2018-02-16,11:31:00,154.99,155.19,154.99,155.13,13250.0
2018-02-16,11:32:00,155.0801,155.21,155.0801,155.21,2647.0
2018-02-16,11:33:00,155.1844,155.1844,155.09,155.16,2627.0
2018-02-16,11:34:00,155.13,155.13,155.125,155.125,700.0
2018-02-16,11:35:00,155.122,155.16,155.09,155.15,8703.0
2018-02-16,11:36:00,155.13,155.33,155.13,155.33,6960.0
2018-02-16,11:37:00,155.305,155.34,155.2866,155.34,963.0
2018-02-16,11:38:00,155.4,155.46,155.4,155.46,3101.0
2018-02-16,11:39:00,155.47,155.61,155.47,155.61,1000.0
2018-02-16,11:40:00,155.56,155.59,155.38,155.38,5761.0
2018-02-16,11:41:00,155.365,155.365,155.2,155.2,2345.0
2018-02-16,11:42:00,155.27,155.27,155.1,155.2309,5508.0
2018-02-16,11:43:00,155.24,155.28,155.21,155.2348,4735.0
2018-02-16,11:44:00,155.21,155.24,155.1845,155.1845,913.0
2018-02-16,11:45:00,155.185,155.24,155.18,155.2,2722.0
2018-02-16,11:46:00,155.19,155.2,155.11,155.11,2105.0
