date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,10.62,10.65,10.62,10.65,247155.0
2018-02-16,09:32:00,10.65,10.71,10.65,10.7,64431.0
2018-02-16,09:33:00,10.7,10.74,10.69,10.72,40510.0
2018-02-16,09:34:00,10.72,10.72,10.69,10.72,26186.0
2018-02-16,09:35:00,10.715,10.715,10.6599,10.6599,16121.0
2018-02-16,09:36:00,10.655,10.655,10.58,10.58,76350.0
2018-02-16,09:37:00,10.5899,10.5899,10.56,10.57,31889.0
2018-02-16,09:38:00,10.575,10.6,10.57,10.585,49882.0
2018-02-16,09:39:00,10.59,10.6,10.57,10.57,96704.0
2018-02-16,09:40:00,10.575,10.58,10.57,10.57,28871.0
2018-02-16,09:41:00,10.575,10.59,10.56,10.5899,32924.0
2018-02-16,09:42:00,10.5877,10.61,10.5877,10.6001,18227.0
2018-02-16,09:43:00,10.61,10.61,10.6,10.61,20456.0
2018-02-16,09:44:00,10.6099,10.65,10.6094,10.63,30145.0
2018-02-16,09:45:00,10.63,10.64,10.62,10.625,16500.0
2018-02-16,09:46:00,10.6299,10.64,10.61,10.64,58866.0
2018-02-16,09:47:00,10.63,10.65,10.62,10.6499,18469.0
2018-02-16,09:48:00,10.645,10.66,10.645,10.655,24565.0
2018-02-16,09:49:00,10.655,10.66,10.6434,10.65,45837.0
2018-02-16,09:50:00,10.645,10.66,10.63,10.635,65397.0
2018-02-16,09:51:00,10.63,10.635,10.61,10.62,43343.0
2018-02-16,09:52:00,10.61,10.615,10.59,10.6,18998.0
2018-02-16,09:53:00,10.5958,10.62,10.595,10.62,17187.0
2018-02-16,09:54:00,10.6169,10.6169,10.595,10.595,9844.0
2018-02-16,09:55:00,10.6,10.6075,10.59,10.6,19877.0
2018-02-16,09:56:00,10.6,10.61,10.595,10.6052,9522.0
2018-02-16,09:57:00,10.605,10.605,10.6,10.605,702.0
2018-02-16,09:58:00,10.605,10.605,10.585,10.59,32382.0
2018-02-16,09:59:00,10.59,10.6,10.59,10.59,8900.0
2018-02-16,10:00:00,10.59,10.59,10.585,10.59,17000.0
2018-02-16,10:01:00,10.59,10.6,10.585,10.5999,7179.0
2018-02-16,10:02:00,10.59,10.5965,10.58,10.5965,34639.0
2018-02-16,10:03:00,10.595,10.5975,10.57,10.575,29429.0
2018-02-16,10:04:00,10.57,10.59,10.57,10.59,14496.0
2018-02-16,10:05:00,10.5801,10.59,10.58,10.5899,22025.0
2018-02-16,10:06:00,10.5865,10.59,10.57,10.58,27722.0
2018-02-16,10:07:00,10.5899,10.59,10.58,10.59,13149.0
2018-02-16,10:08:00,10.59,10.595,10.585,10.586,22201.0
2018-02-16,10:09:00,10.5899,10.5999,10.58,10.58,35600.0
2018-02-16,10:10:00,10.585,10.585,10.58,10.585,1800.0
2018-02-16,10:11:00,10.585,10.5899,10.56,10.57,30210.0
2018-02-16,10:12:00,10.57,10.57,10.56,10.56,19805.0
2018-02-16,10:13:00,10.565,10.57,10.56,10.565,11935.0
2018-02-16,10:14:00,10.565,10.565,10.56,10.565,1202.0
2018-02-16,10:15:00,10.57,10.58,10.56,10.575,34869.0
2018-02-16,10:16:00,10.573,10.579,10.57,10.575,2259.0
2018-02-16,10:17:00,10.57,10.575,10.57,10.57,4883.0
2018-02-16,10:18:00,10.57,10.5799,10.57,10.575,8138.0
2018-02-16,10:19:00,10.575,10.575,10.57,10.575,3487.0
2018-02-16,10:20:00,10.5752,10.58,10.57,10.58,2340.0
2018-02-16,10:21:00,10.575,10.58,10.57,10.5799,9271.0
2018-02-16,10:22:00,10.575,10.58,10.57,10.575,14686.0
2018-02-16,10:23:00,10.58,10.585,10.57,10.585,34663.0
2018-02-16,10:24:00,10.585,10.5864,10.58,10.58,1950.0
2018-02-16,10:25:00,10.585,10.59,10.58,10.58,3466.0
2018-02-16,10:26:00,10.585,10.595,10.585,10.59,39960.0
2018-02-16,10:27:00,10.59,10.62,10.585,10.61,250521.0
2018-02-16,10:28:00,10.615,10.62,10.61,10.615,2134.0
2018-02-16,10:29:00,10.615,10.62,10.615,10.62,1368.0
2018-02-16,10:30:00,10.62,10.62,10.61,10.62,2500.0
2018-02-16,10:31:00,10.615,10.645,10.615,10.635,129397.0
2018-02-16,10:32:00,10.64,10.645,10.635,10.645,12591.0
2018-02-16,10:33:00,10.64,10.655,10.64,10.655,18752.0
2018-02-16,10:34:00,10.6599,10.66,10.65,10.66,18790.0
2018-02-16,10:35:00,10.655,10.67,10.655,10.66,53885.0
2018-02-16,10:36:00,10.655,10.67,10.65,10.655,32224.0
2018-02-16,10:37:00,10.655,10.6563,10.64,10.645,30018.0
2018-02-16,10:38:00,10.645,10.65,10.64,10.64,13414.0
2018-02-16,10:39:00,10.645,10.65,10.64,10.645,5733.0
2018-02-16,10:40:00,10.645,10.65,10.64,10.645,2120.0
2018-02-16,10:41:00,10.645,10.65,10.64,10.645,1800.0
2018-02-16,10:42:00,10.64,10.645,10.64,10.645,1366.0
2018-02-16,10:43:00,10.65,10.65,10.63,10.635,27443.0
2018-02-16,10:44:00,10.6398,10.64,10.63,10.635,5175.0
2018-02-16,10:45:00,10.631,10.645,10.631,10.645,29667.0
2018-02-16,10:46:00,10.64,10.65,10.64,10.641,3276.0
2018-02-16,10:47:00,10.65,10.65,10.64,10.65,15634.0
2018-02-16,10:48:00,10.65,10.65,10.6445,10.646,4070.0
2018-02-16,10:49:00,10.65,10.65,10.64,10.65,1607.0
2018-02-16,10:50:00,10.65,10.65,10.64,10.64,1296.0
2018-02-16,10:51:00,10.645,10.65,10.64,10.645,3700.0
2018-02-16,10:52:00,10.645,10.66,10.64,10.65,35452.0
2018-02-16,10:53:00,10.655,10.66,10.65,10.66,3650.0
2018-02-16,10:54:00,10.6538,10.66,10.6534,10.655,12117.0
2018-02-16,10:55:00,10.655,10.66,10.65,10.655,11287.0
2018-02-16,10:56:00,10.655,10.66,10.645,10.645,50477.0
2018-02-16,10:57:00,10.6414,10.66,10.64,10.659,18190.0
2018-02-16,10:58:00,10.655,10.6695,10.655,10.6664,10459.0
2018-02-16,10:59:00,10.665,10.6659,10.665,10.6659,960.0
2018-02-16,11:00:00,10.665,10.669,10.66,10.66,5301.0
2018-02-16,11:01:00,10.66,10.68,10.66,10.675,16260.0
2018-02-16,11:02:00,10.675,10.68,10.67,10.68,2900.0
