date,ToD,open,high,low,close,volume
2018-02-16,09:32:00,355.91,356.3,355.34,356.07,47566.0
2018-02-16,09:33:00,356.29,356.54,355.24,355.35,1200.0
2018-02-16,09:34:00,355.35,355.78,355.05,355.78,1500.0
2018-02-16,09:35:00,355.41,356.4,355.2,355.74,4450.0
2018-02-16,09:36:00,355.86,356.135,355.2,355.29,5109.0
2018-02-16,09:37:00,355.2,355.435,354.79,354.86,2602.0
2018-02-16,09:38:00,354.81,355.7,354.78,355.7,2200.0
2018-02-16,09:39:00,355.795,355.8,354.84,355.44,4670.0
2018-02-16,09:40:00,355.44,355.65,355.25,355.485,11551.0
2018-02-16,09:41:00,355.41,355.74,355.41,355.65,3500.0
2018-02-16,09:42:00,355.565,356.0,355.46,355.49,2918.0
2018-02-16,09:43:00,355.42,355.542,355.42,355.542,721.0
2018-02-16,09:44:00,355.64,355.82,355.25,355.466,4314.0
2018-02-16,09:45:00,355.375,355.49,354.845,355.36,6168.0
2018-02-16,09:46:00,355.11,355.8,354.74,355.8,7095.0
2018-02-16,09:48:00,355.68,355.78,355.68,355.78,300.0
2018-02-16,09:49:00,355.785,356.0,355.6375,355.9324,5770.0
2018-02-16,09:50:00,355.9787,356.21,355.94,356.21,310.0
2018-02-16,09:51:00,355.81,356.05,355.42,355.8115,2749.0
2018-02-16,09:52:00,355.865,355.865,355.855,355.855,410.0
2018-02-16,09:53:00,356.13,356.39,356.04,356.39,500.0
2018-02-16,09:54:00,356.44,356.77,356.38,356.77,1800.0
2018-02-16,09:55:00,356.81,357.11,356.81,357.07,3090.0
2018-02-16,09:56:00,356.895,357.16,356.895,357.16,699.0
2018-02-16,09:57:00,357.2,357.2,357.2,357.2,100.0
2018-02-16,09:58:00,357.32,357.32,357.13,357.14,560.0
2018-02-16,09:59:00,357.169,357.169,356.23,356.52,1900.0
2018-02-16,10:00:00,356.13,356.25,355.98,355.98,900.0
2018-02-16,10:01:00,356.08,356.08,355.8155,355.8155,600.0
2018-02-16,10:02:00,355.53,355.68,355.49,355.62,8690.0
2018-02-16,10:03:00,355.54,355.75,355.54,355.655,7006.0
2018-02-16,10:04:00,355.692,355.692,354.98,355.25,3957.0
2018-02-16,10:05:00,355.3066,355.3066,354.97,354.97,7431.0
2018-02-16,10:06:00,354.93,355.2,354.85,355.1261,4308.0
2018-02-16,10:07:00,355.02,355.095,355.01,355.01,1680.0
2018-02-16,10:08:00,355.13,355.54,355.105,355.54,3502.0
2018-02-16,10:09:00,355.46,355.53,355.35,355.35,600.0
2018-02-16,10:10:00,355.53,355.93,355.53,355.93,609.0
2018-02-16,10:11:00,355.89,355.89,355.88,355.88,200.0
2018-02-16,10:12:00,355.86,355.87,355.44,355.615,1400.0
2018-02-16,10:13:00,355.7,356.01,355.64,356.01,1569.0
2018-02-16,10:14:00,356.29,356.29,355.75,356.17,400.0
2018-02-16,10:15:00,356.02,356.2,356.0,356.0,1494.0
2018-02-16,10:16:00,355.995,356.28,355.995,356.28,500.0
2018-02-16,10:17:00,356.145,356.52,356.145,356.52,1100.0
2018-02-16,10:19:00,356.42,356.96,356.42,356.605,700.0
2018-02-16,10:20:00,357.08,357.08,356.88,356.88,200.0
2018-02-16,10:21:00,356.84,356.84,356.84,356.84,100.0
2018-02-16,10:22:00,356.57,356.695,356.57,356.695,200.0
2018-02-16,10:23:00,356.695,356.92,356.695,356.92,205.0
2018-02-16,10:24:00,356.71,356.71,356.54,356.54,300.0
2018-02-16,10:25:00,356.7499,356.89,356.6,356.79,1050.0
2018-02-16,10:26:00,356.81,357.155,356.81,356.877,1258.0
2018-02-16,10:27:00,356.7898,356.86,356.59,356.68,2285.0
2018-02-16,10:28:00,356.8622,356.88,356.59,356.8062,1605.0
2018-02-16,10:29:00,356.96,357.01,356.72,356.72,600.0
2018-02-16,10:30:00,357.12,357.29,356.99,357.0,1885.0
2018-02-16,10:31:00,357.0,357.39,356.94,357.39,2600.0
2018-02-16,10:32:00,357.39,357.39,357.31,357.31,300.0
2018-02-16,10:33:00,357.59,357.78,357.33,357.78,1300.0
2018-02-16,10:34:00,357.94,357.94,357.755,357.755,200.0
2018-02-16,10:35:00,357.745,357.93,357.59,357.93,4100.0
2018-02-16,10:36:00,357.95,358.0,357.84,357.94,1708.0
2018-02-16,10:37:00,358.11,358.11,358.11,358.11,100.0
2018-02-16,10:38:00,358.17,358.17,357.86,357.985,2647.0
2018-02-16,10:39:00,357.9705,358.11,357.9705,358.1,600.0
2018-02-16,10:40:00,358.0873,358.0873,357.95,358.0,3900.0
2018-02-16,10:41:00,358.07,358.26,358.0633,358.26,1293.0
2018-02-16,10:42:00,358.24,358.54,358.2,358.45,2432.0
2018-02-16,10:43:00,358.67,358.84,358.44,358.44,903.0
2018-02-16,10:44:00,358.5748,358.5748,358.5,358.5,550.0
2018-02-16,10:45:00,358.67,358.68,358.6577,358.6577,400.0
2018-02-16,10:46:00,358.55,358.55,358.27,358.415,2199.0
2018-02-16,10:47:00,358.495,358.495,358.495,358.495,100.0
2018-02-16,10:48:00,358.54,358.56,358.365,358.49,1600.0
2018-02-16,10:50:00,358.28,358.28,358.09,358.1,700.0
2018-02-16,10:51:00,358.14,358.14,358.14,358.14,183.0
2018-02-16,10:52:00,358.2999,358.2999,358.165,358.165,300.0
2018-02-16,10:53:00,358.21,358.385,358.21,358.292,2195.0
2018-02-16,10:54:00,358.1,358.5299,358.1,358.5299,430.0
2018-02-16,10:55:00,358.31,358.31,358.295,358.295,802.0
2018-02-16,10:56:00,358.45,358.45,358.44,358.44,200.0
2018-02-16,10:57:00,358.42,358.42,358.14,358.21,600.0
2018-02-16,10:58:00,358.0513,358.0513,358.0513,358.0513,408.0
2018-02-16,10:59:00,358.19,358.19,358.0883,358.09,509.0
2018-02-16,11:00:00,357.81,357.81,357.26,357.2856,2150.0
2018-02-16,11:01:00,357.46,357.53,357.0,357.0,11004.0
2018-02-16,11:03:00,357.615,357.62,357.39,357.62,1233.0
2018-02-16,11:04:00,357.6151,357.6151,357.6151,357.6151,100.0
2018-02-16,11:05:00,357.42,358.1,357.42,358.1,1501.0
2018-02-16,11:07:00,357.8,357.93,357.75,357.825,2191.0
2018-02-16,11:08:00,357.83,357.83,357.83,357.83,100.0
2018-02-16,11:09:00,357.835,357.98,357.76,357.76,1100.0
2018-02-16,11:10:00,358.05,358.1,357.905,358.07,1200.0
2018-02-16,11:11:00,358.08,358.35,357.83,357.83,400.0
2018-02-16,11:12:00,358.105,358.37,358.0997,358.37,2269.0
2018-02-16,11:13:00,358.45,358.77,358.45,358.55,1000.0
2018-02-16,11:14:00,358.73,358.77,358.47,358.57,2770.0
2018-02-16,11:15:00,358.67,358.78,358.6,358.78,4200.0
2018-02-16,11:16:00,358.51,358.51,358.47,358.47,300.0
2018-02-16,11:17:00,358.48,358.48,358.43,358.43,600.0
2018-02-16,11:18:00,358.5502,358.5502,358.5502,358.5502,100.0
2018-02-16,11:19:00,358.63,358.63,358.14,358.14,1507.0
2018-02-16,11:20:00,358.49,358.49,358.49,358.49,100.0
