date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,5.77,5.77,5.77,5.77,98648.0
2018-02-16,09:31:00,5.77,5.78,5.76,5.76,1386239.0
2018-02-16,09:32:00,5.77,5.7764,5.765,5.765,95964.0
2018-02-16,09:33:00,5.77,5.77,5.75,5.77,85500.0
2018-02-16,09:34:00,5.77,5.77,5.76,5.77,123400.0
2018-02-16,09:35:00,5.77,5.77,5.77,5.77,77330.0
2018-02-16,09:36:00,5.77,5.78,5.77,5.77,24142.0
2018-02-16,09:37:00,5.771,5.779,5.77,5.775,6235.0
2018-02-16,09:38:00,5.775,5.779,5.775,5.775,1313.0
2018-02-16,09:39:00,5.775,5.7799,5.77,5.775,18300.0
2018-02-16,09:40:00,5.7775,5.78,5.77,5.775,3492.0
2018-02-16,09:41:00,5.7701,5.779,5.77,5.775,1400.0
2018-02-16,09:42:00,5.77,5.77,5.76,5.769,161854.0
2018-02-16,09:43:00,5.769,5.77,5.7634,5.7634,54069.0
2018-02-16,09:44:00,5.77,5.77,5.7632,5.765,66580.0
2018-02-16,09:45:00,5.76,5.76,5.75,5.76,565826.0
2018-02-16,09:46:00,5.76,5.76,5.75,5.76,205179.0
2018-02-16,09:47:00,5.76,5.7688,5.7512,5.76,276421.0
2018-02-16,09:48:00,5.7501,5.76,5.7501,5.76,140239.0
2018-02-16,09:49:00,5.76,5.77,5.76,5.77,170524.0
2018-02-16,09:50:00,5.765,5.77,5.76,5.77,33809.0
2018-02-16,09:51:00,5.77,5.77,5.76,5.765,6950.0
2018-02-16,09:52:00,5.765,5.78,5.7632,5.78,93849.0
2018-02-16,09:53:00,5.775,5.775,5.77,5.77,69560.0
2018-02-16,09:54:00,5.77,5.775,5.77,5.77,86501.0
2018-02-16,09:55:00,5.77,5.775,5.77,5.775,242101.0
2018-02-16,09:56:00,5.77,5.78,5.77,5.775,14690.0
2018-02-16,09:57:00,5.779,5.779,5.77,5.77,500.0
2018-02-16,09:58:00,5.77,5.775,5.77,5.77,107919.0
2018-02-16,09:59:00,5.77,5.78,5.76,5.76,73994.0
2018-02-16,10:00:00,5.76,5.77,5.75,5.753,231928.0
2018-02-16,10:01:00,5.76,5.76,5.75,5.75,119100.0
2018-02-16,10:02:00,5.75,5.76,5.7449,5.745,345311.0
2018-02-16,10:03:00,5.75,5.75,5.73,5.735,300540.0
2018-02-16,10:04:00,5.73,5.737,5.73,5.73,6828.0
2018-02-16,10:05:00,5.735,5.74,5.73,5.73,29696.0
2018-02-16,10:06:00,5.73,5.74,5.7237,5.74,442282.0
2018-02-16,10:07:00,5.7399,5.74,5.73,5.735,176900.0
2018-02-16,10:08:00,5.735,5.74,5.73,5.74,12936.0
2018-02-16,10:09:00,5.735,5.75,5.7301,5.745,354095.0
2018-02-16,10:10:00,5.745,5.75,5.74,5.75,57600.0
2018-02-16,10:11:00,5.75,5.75,5.74,5.75,70204.0
2018-02-16,10:12:00,5.75,5.75,5.74,5.745,21100.0
2018-02-16,10:13:00,5.745,5.75,5.74,5.74,13509.0
2018-02-16,10:14:00,5.745,5.75,5.74,5.745,4400.0
2018-02-16,10:15:00,5.75,5.75,5.7428,5.75,10953.0
2018-02-16,10:16:00,5.75,5.76,5.7432,5.76,75776.0
2018-02-16,10:17:00,5.76,5.76,5.755,5.76,64622.0
2018-02-16,10:18:00,5.76,5.76,5.76,5.76,20067.0
2018-02-16,10:19:00,5.76,5.77,5.76,5.765,128550.0
2018-02-16,10:20:00,5.7628,5.77,5.755,5.76,58567.0
2018-02-16,10:21:00,5.76,5.76,5.751,5.76,20981.0
2018-02-16,10:22:00,5.755,5.77,5.755,5.77,48500.0
2018-02-16,10:23:00,5.77,5.77,5.76,5.765,19950.0
2018-02-16,10:24:00,5.765,5.765,5.751,5.755,91900.0
2018-02-16,10:25:00,5.76,5.76,5.75,5.76,4500.0
2018-02-16,10:26:00,5.76,5.76,5.7512,5.76,9501.0
2018-02-16,10:27:00,5.755,5.76,5.75,5.76,8809.0
2018-02-16,10:28:00,5.76,5.76,5.7538,5.76,5461.0
2018-02-16,10:29:00,5.755,5.76,5.75,5.755,4794.0
2018-02-16,10:30:00,5.76,5.76,5.75,5.76,6978.0
2018-02-16,10:31:00,5.755,5.77,5.755,5.76,84849.0
2018-02-16,10:32:00,5.765,5.77,5.76,5.77,37365.0
2018-02-16,10:33:00,5.765,5.77,5.76,5.77,6850.0
2018-02-16,10:34:00,5.77,5.77,5.7606,5.77,4977.0
2018-02-16,10:35:00,5.77,5.77,5.76,5.7637,51956.0
2018-02-16,10:36:00,5.77,5.78,5.765,5.775,81978.0
2018-02-16,10:37:00,5.77,5.78,5.77,5.775,6052.0
2018-02-16,10:38:00,5.78,5.78,5.765,5.765,102649.0
2018-02-16,10:39:00,5.77,5.77,5.765,5.767,4994.0
2018-02-16,10:40:00,5.77,5.77,5.7639,5.77,22273.0
2018-02-16,10:41:00,5.77,5.77,5.7636,5.77,3200.0
2018-02-16,10:42:00,5.765,5.77,5.765,5.77,8281.0
2018-02-16,10:43:00,5.77,5.77,5.76,5.765,19202.0
2018-02-16,10:44:00,5.765,5.77,5.76,5.76,74590.0
2018-02-16,10:45:00,5.76,5.76,5.76,5.76,50721.0
2018-02-16,10:46:00,5.76,5.77,5.76,5.765,52228.0
2018-02-16,10:47:00,5.77,5.77,5.76,5.77,10591.0
2018-02-16,10:48:00,5.77,5.78,5.765,5.775,198776.0
2018-02-16,10:49:00,5.78,5.78,5.77,5.775,16800.0
2018-02-16,10:50:00,5.775,5.78,5.77,5.78,36934.0
2018-02-16,10:51:00,5.78,5.78,5.77,5.77,18861.0
2018-02-16,10:52:00,5.77,5.7765,5.77,5.775,29889.0
2018-02-16,10:53:00,5.77,5.77,5.765,5.77,33952.0
2018-02-16,10:54:00,5.77,5.775,5.77,5.775,85090.0
2018-02-16,10:55:00,5.775,5.78,5.77,5.775,12273.0
2018-02-16,10:56:00,5.775,5.775,5.765,5.77,41243.0
2018-02-16,10:57:00,5.77,5.77,5.765,5.77,7500.0
2018-02-16,10:58:00,5.77,5.77,5.7601,5.765,6634.0
2018-02-16,10:59:00,5.77,5.77,5.7637,5.77,2200.0
2018-02-16,11:00:00,5.765,5.77,5.76,5.77,91634.0
2018-02-16,11:01:00,5.77,5.78,5.765,5.775,530396.0
2018-02-16,11:02:00,5.775,5.78,5.7724,5.78,126038.0
2018-02-16,11:03:00,5.78,5.78,5.775,5.775,19809.0
2018-02-16,11:04:00,5.77,5.78,5.77,5.775,408718.0
2018-02-16,11:05:00,5.78,5.79,5.775,5.78,451132.0
