date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,34.88,34.9,34.8,34.9,24907.0
2018-02-16,09:31:00,34.52,34.71,34.5,34.71,3317.0
2018-02-16,09:32:00,34.54,34.83,34.54,34.82,3000.0
2018-02-16,09:33:00,34.64,34.81,34.62,34.75,4800.0
2018-02-16,09:34:00,34.79,34.79,34.68,34.75,9944.0
2018-02-16,09:35:00,34.72,34.85,34.65,34.79,5061.0
2018-02-16,09:36:00,34.8699,34.93,34.81,34.86,6593.0
2018-02-16,09:37:00,34.82,34.9,34.73,34.89,11849.0
2018-02-16,09:38:00,34.89,34.95,34.855,34.855,12128.0
2018-02-16,09:39:00,34.96,35.0048,34.915,34.915,12529.0
2018-02-16,09:40:00,34.9545,35.0,34.94,35.0,2825.0
2018-02-16,09:41:00,35.04,35.11,35.03,35.05,5700.0
2018-02-16,09:42:00,35.09,35.1108,35.05,35.1108,4267.0
2018-02-16,09:43:00,35.12,35.2,35.1,35.2,5537.0
2018-02-16,09:44:00,35.22,35.33,35.21,35.21,31300.0
2018-02-16,09:45:00,35.1649,35.1649,35.0231,35.0231,3630.0
2018-02-16,09:46:00,35.0,35.1847,35.0,35.1847,4600.0
2018-02-16,09:47:00,35.2,35.2,35.17,35.17,400.0
2018-02-16,09:48:00,35.18,35.3,35.18,35.3,1603.0
2018-02-16,09:49:00,35.31,35.34,35.29,35.3,7300.0
2018-02-16,09:50:00,35.32,35.34,35.26,35.3,3200.0
2018-02-16,09:51:00,35.221,35.27,35.221,35.265,3896.0
2018-02-16,09:52:00,35.27,35.27,35.18,35.18,6401.0
2018-02-16,09:53:00,35.21,35.29,35.17,35.29,17762.0
2018-02-16,09:54:00,35.28,35.285,35.2,35.24,4400.0
2018-02-16,09:55:00,35.24,35.28,35.08,35.1,17485.0
2018-02-16,09:56:00,35.08,35.08,34.94,34.99,32104.0
2018-02-16,09:57:00,34.98,35.12,34.94,35.12,7409.0
2018-02-16,09:58:00,35.1,35.2,35.09,35.2,7685.0
2018-02-16,09:59:00,35.17,35.21,35.1,35.12,16493.0
2018-02-16,10:00:00,35.135,35.25,35.07,35.23,11245.0
2018-02-16,10:01:00,35.23,35.3,35.16,35.16,29721.0
2018-02-16,10:02:00,35.1,35.15,35.09,35.1,4900.0
2018-02-16,10:03:00,35.09,35.103,34.97,35.0,27750.0
2018-02-16,10:04:00,34.99,35.02,34.9352,35.01,10600.0
2018-02-16,10:05:00,35.03,35.1,35.01,35.01,6682.0
2018-02-16,10:06:00,35.01,35.02,34.97,34.97,1300.0
2018-02-16,10:07:00,34.95,34.95,34.85,34.85,13202.0
2018-02-16,10:08:00,34.84,34.9,34.8,34.8,9000.0
2018-02-16,10:09:00,34.81,34.8801,34.76,34.769,13951.0
2018-02-16,10:10:00,34.79,34.84,34.7,34.71,17270.0
2018-02-16,10:11:00,34.71,34.75,34.65,34.65,7307.0
2018-02-16,10:12:00,34.63,34.72,34.62,34.66,9600.0
2018-02-16,10:13:00,34.65,34.69,34.635,34.69,1700.0
2018-02-16,10:14:00,34.72,34.72,34.6501,34.6714,1484.0
2018-02-16,10:15:00,34.635,34.74,34.635,34.7,2425.0
2018-02-16,10:16:00,34.705,34.756,34.705,34.74,3049.0
2018-02-16,10:17:00,34.72,34.8,34.72,34.79,2500.0
2018-02-16,10:18:00,34.79,34.79,34.78,34.78,500.0
2018-02-16,10:19:00,34.78,34.83,34.75,34.83,6107.0
2018-02-16,10:20:00,34.7701,34.7701,34.77,34.77,400.0
2018-02-16,10:21:00,34.78,34.78,34.74,34.74,400.0
2018-02-16,10:22:00,34.785,34.82,34.785,34.81,900.0
2018-02-16,10:23:00,34.85,34.88,34.84,34.85,2300.0
2018-02-16,10:24:00,34.865,34.8743,34.81,34.821,8900.0
2018-02-16,10:25:00,34.83,34.94,34.83,34.9399,5568.0
2018-02-16,10:26:00,34.95,34.98,34.94,34.97,2000.0
2018-02-16,10:27:00,34.96,34.99,34.96,34.9899,1383.0
2018-02-16,10:28:00,34.97,35.01,34.97,35.0,1600.0
2018-02-16,10:29:00,35.03,35.03,34.98,34.98,900.0
2018-02-16,10:30:00,35.005,35.0213,34.9601,34.99,3200.0
2018-02-16,10:31:00,34.98,35.06,34.98,35.06,1900.0
2018-02-16,10:32:00,35.07,35.08,35.03,35.03,3975.0
2018-02-16,10:33:00,35.05,35.06,34.98,35.04,10132.0
2018-02-16,10:34:00,35.065,35.065,34.98,34.985,1600.0
2018-02-16,10:35:00,34.97,35.01,34.97,34.985,8400.0
2018-02-16,10:36:00,34.98,35.09,34.98,35.08,3300.0
2018-02-16,10:37:00,35.04,35.07,35.03,35.05,3600.0
2018-02-16,10:38:00,35.07,35.07,34.98,35.005,2400.0
2018-02-16,10:39:00,35.02,35.05,35.01,35.0198,1900.0
2018-02-16,10:40:00,35.03,35.03,34.98,34.98,16100.0
2018-02-16,10:41:00,34.98,35.04,34.98,35.03,2801.0
2018-02-16,10:42:00,35.01,35.07,34.98,35.05,2600.0
2018-02-16,10:43:00,35.05,35.05,34.9865,34.9865,1900.0
2018-02-16,10:44:00,35.0,35.0,34.98,34.99,700.0
2018-02-16,10:45:00,35.01,35.04,34.99,35.0,4000.0
2018-02-16,10:46:00,34.98,35.04,34.96,35.02,4100.0
2018-02-16,10:47:00,35.01,35.057,35.01,35.03,700.0
2018-02-16,10:48:00,35.06,35.065,35.0,35.0,2100.0
2018-02-16,10:49:00,35.05,35.05,35.0,35.03,3100.0
2018-02-16,10:50:00,35.06,35.08,35.03,35.08,800.0
2018-02-16,10:51:00,35.07,35.09,35.06,35.06,2000.0
2018-02-16,10:52:00,35.05,35.07,34.99,35.05,11800.0
2018-02-16,10:53:00,35.08,35.11,35.02,35.02,13981.0
2018-02-16,10:54:00,35.0,35.03,34.98,34.98,3933.0
2018-02-16,10:55:00,35.0,35.01,34.97,34.985,1600.0
2018-02-16,10:56:00,34.99,35.01,34.94,34.94,4691.0
2018-02-16,10:57:00,34.98,35.03,34.98,35.01,1700.0
2018-02-16,10:58:00,35.0,35.0,34.97,34.97,3500.0
2018-02-16,11:00:00,34.95,34.96,34.93,34.95,5203.0
2018-02-16,11:01:00,34.94,35.0,34.93,34.965,6165.0
2018-02-16,11:02:00,34.99,35.0,34.98,34.98,1900.0
2018-02-16,11:03:00,34.9775,34.985,34.97,34.98,4400.0
2018-02-16,11:04:00,34.99,34.995,34.95,34.95,2820.0
2018-02-16,11:05:00,34.96,35.0,34.96,34.98,4250.0
2018-02-16,11:06:00,35.0005,35.0005,35.0,35.0,410.0
2018-02-16,11:07:00,35.01,35.06,35.01,35.03,3898.0
2018-02-16,11:08:00,35.03,35.07,35.02,35.02,1700.0
2018-02-16,11:09:00,35.03,35.1,35.03,35.1,500.0
2018-02-16,11:10:00,35.11,35.14,35.09,35.09,4900.0
2018-02-16,11:11:00,35.09,35.09,35.04,35.08,5624.0
2018-02-16,11:12:00,35.08,35.09,35.04,35.08,11000.0
2018-02-16,11:13:00,35.07,35.09,35.07,35.09,600.0
2018-02-16,11:14:00,35.1,35.11,35.07,35.07,3700.0
2018-02-16,11:15:00,35.08,35.1,35.0714,35.1,1800.0
2018-02-16,11:16:00,35.098,35.098,35.09,35.09,1000.0
2018-02-16,11:17:00,35.08,35.08,35.08,35.08,100.0
2018-02-16,11:18:00,35.0999,35.1,35.03,35.03,2217.0
2018-02-16,11:19:00,35.04,35.04,34.97,34.98,3150.0
2018-02-16,11:20:00,34.97,35.03,34.97,35.03,1500.0
2018-02-16,11:21:00,35.0656,35.08,35.0598,35.0598,950.0
2018-02-16,11:22:00,35.08,35.08,35.039,35.07,1900.0
2018-02-16,11:23:00,35.05,35.08,35.05,35.0599,3750.0
2018-02-16,11:24:00,35.04,35.05,35.0,35.0,3700.0
2018-02-16,11:25:00,35.0,35.03,34.97,35.03,5215.0
2018-02-16,11:26:00,35.02,35.06,35.0,35.06,1949.0
2018-02-16,11:27:00,35.04,35.04,34.995,35.0,5300.0
2018-02-16,11:28:00,34.99,34.99,34.96,34.99,3800.0
2018-02-16,11:29:00,34.99,35.02,34.99,35.02,4601.0
2018-02-16,11:30:00,35.03,35.03,35.0,35.0,700.0
2018-02-16,11:31:00,35.01,35.03,35.01,35.02,400.0
2018-02-16,11:32:00,35.025,35.025,35.025,35.025,100.0
2018-02-16,11:33:00,34.99,35.05,34.99,35.0,11100.0
2018-02-16,11:34:00,35.005,35.0396,35.0,35.0,3910.0
2018-02-16,11:35:00,34.99,35.0,34.975,35.0,1550.0
2018-02-16,11:36:00,34.985,34.985,34.97,34.98,500.0
2018-02-16,11:37:00,34.975,35.0,34.97,35.0,1902.0
2018-02-16,11:38:00,35.0,35.03,35.0,35.0152,2350.0
2018-02-16,11:39:00,35.01,35.08,35.01,35.08,4100.0
2018-02-16,11:40:00,35.08,35.08,35.08,35.08,300.0
2018-02-16,11:41:00,35.14,35.14,35.11,35.125,1350.0
2018-02-16,11:42:00,35.12,35.15,35.12,35.12,800.0
2018-02-16,11:43:00,35.1152,35.1152,35.1,35.1,1000.0
2018-02-16,11:44:00,35.08,35.08,35.04,35.04,800.0
2018-02-16,11:45:00,35.03,35.03,35.0,35.02,1000.0
2018-02-16,11:46:00,35.03,35.08,35.03,35.08,400.0
2018-02-16,11:47:00,35.07,35.07,35.03,35.03,1250.0
2018-02-16,11:48:00,35.04,35.07,35.04,35.07,1300.0
2018-02-16,11:49:00,35.05,35.08,35.05,35.08,3000.0
2018-02-16,11:50:00,35.07,35.07,35.05,35.05,1000.0
2018-02-16,11:51:00,35.07,35.1,35.07,35.08,2200.0
2018-02-16,11:52:00,35.11,35.11,35.08,35.08,300.0
2018-02-16,11:53:00,35.082,35.12,35.082,35.12,531.0
2018-02-16,11:54:00,35.11,35.12,35.11,35.11,700.0
2018-02-16,11:55:00,35.07,35.1,35.07,35.1,600.0
2018-02-16,11:56:00,35.1032,35.1068,35.09,35.105,1900.0
2018-02-16,11:57:00,35.11,35.12,35.06,35.07,6366.0
2018-02-16,11:58:00,35.07,35.0999,35.05,35.06,1550.0
2018-02-16,11:59:00,35.05,35.05,35.0,35.0,2530.0
2018-02-16,12:00:00,34.995,35.01,34.995,35.01,3383.0
2018-02-16,12:01:00,35.01,35.03,35.01,35.03,1100.0
2018-02-16,12:02:00,35.03,35.03,34.97,34.97,700.0
2018-02-16,12:03:00,34.97,35.0,34.97,34.995,1300.0
2018-02-16,12:04:00,35.0,35.0,34.98,35.0,1416.0
2018-02-16,12:05:00,35.0,35.0,35.0,35.0,850.0
2018-02-16,12:06:00,35.01,35.04,35.01,35.04,1000.0
2018-02-16,12:07:00,35.045,35.06,35.045,35.05,1500.0
2018-02-16,12:08:00,35.03,35.03,34.97,35.02,3650.0
2018-02-16,12:09:00,35.02,35.02,35.0174,35.0174,1100.0
2018-02-16,12:10:00,35.0,35.0,34.9771,35.0,1950.0
2018-02-16,12:11:00,34.9911,34.9911,34.9911,34.9911,100.0
2018-02-16,12:12:00,35.05,35.05,35.03,35.03,400.0
2018-02-16,12:13:00,35.05,35.06,35.05,35.06,300.0
2018-02-16,12:14:00,35.11,35.11,35.08,35.08,700.0
2018-02-16,12:15:00,35.0698,35.0698,35.0698,35.0698,200.0
2018-02-16,12:16:00,35.06,35.06,35.01,35.05,2500.0
2018-02-16,12:17:00,35.08,35.1299,35.08,35.11,3400.0
2018-02-16,12:18:00,35.1294,35.14,35.108,35.11,5200.0
2018-02-16,12:19:00,35.07,35.07,35.07,35.07,100.0
2018-02-16,12:20:00,35.07,35.07,35.03,35.03,3980.0
2018-02-16,12:21:00,35.03,35.09,35.01,35.08,10350.0
2018-02-16,12:22:00,35.09,35.11,35.08,35.11,5095.0
2018-02-16,12:23:00,35.1199,35.12,35.06,35.06,16864.0
2018-02-16,12:24:00,35.08,35.1,35.06,35.06,2800.0
2018-02-16,12:25:00,35.08,35.11,35.07,35.08,8060.0
2018-02-16,12:26:00,35.08,35.1,35.06,35.08,2600.0
2018-02-16,12:27:00,35.09,35.1,35.09,35.1,900.0
2018-02-16,12:28:00,35.12,35.12,35.11,35.11,600.0
2018-02-16,12:29:00,35.14,35.14,35.12,35.13,1400.0
2018-02-16,12:30:00,35.15,35.15,35.12,35.14,4394.0
2018-02-16,12:31:00,35.13,35.15,35.12,35.15,4079.0
2018-02-16,12:32:00,35.15,35.21,35.15,35.21,22104.0
2018-02-16,12:33:00,35.22,35.22,35.16,35.16,4332.0
2018-02-16,12:34:00,35.16,35.18,35.14,35.16,2600.0
2018-02-16,12:35:00,35.15,35.16,35.1301,35.1504,4852.0
2018-02-16,12:36:00,35.13,35.13,35.11,35.11,2100.0
2018-02-16,12:37:00,35.1,35.1,35.1,35.1,300.0
2018-02-16,12:38:00,35.11,35.11,35.08,35.08,7000.0
2018-02-16,12:39:00,35.08,35.11,35.08,35.0801,1818.0
2018-02-16,12:40:00,35.12,35.12,35.11,35.11,600.0
2018-02-16,12:41:00,35.12,35.12,35.07,35.08,1150.0
2018-02-16,12:42:00,35.1,35.11,35.1,35.11,400.0
2018-02-16,12:43:00,35.09,35.1,35.09,35.1,300.0
2018-02-16,12:44:00,35.08,35.08,35.0425,35.06,2800.0
2018-02-16,12:45:00,35.07,35.07,35.01,35.05,5000.0
2018-02-16,12:46:00,35.075,35.09,35.07,35.08,2399.0
2018-02-16,12:47:00,35.08,35.0899,35.08,35.08,475.0
2018-02-16,12:48:00,35.07,35.07,35.03,35.05,5890.0
2018-02-16,12:49:00,35.04,35.08,35.04,35.08,1200.0
2018-02-16,12:50:00,35.1,35.1,35.06,35.06,2600.0
2018-02-16,12:51:00,35.06,35.06,35.03,35.03,300.0
2018-02-16,12:52:00,35.0,35.005,34.96,34.98,2000.0
2018-02-16,12:53:00,34.975,34.99,34.8901,34.925,26658.0
2018-02-16,12:54:00,34.92,35.05,34.92,35.05,11834.0
2018-02-16,12:55:00,35.05,35.06,35.04,35.05,1800.0
2018-02-16,12:56:00,35.03,35.03,35.0,35.0,200.0
2018-02-16,12:57:00,35.03,35.04,35.03,35.04,900.0
2018-02-16,12:58:00,35.06,35.09,35.06,35.06,2758.0
2018-02-16,12:59:00,35.06,35.06,35.0,35.05,3600.0
2018-02-16,13:00:00,35.0,35.0,35.0,35.0,500.0
2018-02-16,13:01:00,35.02,35.05,35.02,35.05,1600.0
2018-02-16,13:02:00,35.09,35.09,35.07,35.07,509.0
2018-02-16,13:03:00,35.07,35.07,35.01,35.02,5617.0
2018-02-16,13:04:00,35.01,35.02,34.98,35.01,31263.0
2018-02-16,13:05:00,35.0,35.03,34.98,35.0,5200.0
2018-02-16,13:06:00,35.01,35.01,35.0,35.0,2113.0
2018-02-16,13:07:00,35.0,35.05,34.99,35.04,3600.0
2018-02-16,13:08:00,35.04,35.05,34.99,35.02,1500.0
2018-02-16,13:09:00,35.03,35.03,35.01,35.03,1350.0
2018-02-16,13:10:00,35.025,35.04,34.9904,35.03,15823.0
2018-02-16,13:11:00,35.02,35.02,34.965,34.98,4500.0
2018-02-16,13:12:00,34.98,34.99,34.955,34.9825,12985.0
2018-02-16,13:13:00,34.97,35.02,34.95,35.02,4994.0
2018-02-16,13:14:00,35.03,35.03,34.99,35.0,5366.0
2018-02-16,13:15:00,35.0,35.04,34.9812,35.04,6200.0
2018-02-16,13:16:00,35.01,35.025,34.97,35.01,4675.0
2018-02-16,13:17:00,35.02,35.02,34.91,34.91,3389.0
2018-02-16,13:18:00,34.9,34.9,34.85,34.88,4770.0
2018-02-16,13:19:00,34.8649,34.87,34.79,34.79,8628.0
2018-02-16,13:20:00,34.79,34.79,34.77,34.79,1122.0
2018-02-16,13:21:00,34.765,34.79,34.75,34.75,1600.0
2018-02-16,13:22:00,34.79,34.84,34.79,34.84,8000.0
2018-02-16,13:23:00,34.82,34.83,34.8049,34.82,2800.0
2018-02-16,13:24:00,34.82,34.83,34.82,34.83,500.0
2018-02-16,13:25:00,34.86,34.875,34.82,34.85,1900.0
2018-02-16,13:26:00,34.85,34.91,34.85,34.87,2291.0
2018-02-16,13:27:00,34.87,34.87,34.82,34.84,1500.0
2018-02-16,13:28:00,34.82,34.88,34.82,34.88,2200.0
2018-02-16,13:29:00,34.86,34.86,34.811,34.82,1500.0
2018-02-16,13:30:00,34.83,34.83,34.82,34.82,1000.0
2018-02-16,13:31:00,34.83,34.83,34.73,34.77,3200.0
2018-02-16,13:32:00,34.78,34.84,34.75,34.75,2448.0
2018-02-16,13:33:00,34.735,34.83,34.735,34.78,2245.0
2018-02-16,13:34:00,34.799,34.82,34.799,34.82,6300.0
2018-02-16,13:35:00,34.8,34.86,34.8,34.86,1600.0
2018-02-16,13:36:00,34.86,34.89,34.86,34.87,7900.0
2018-02-16,13:37:00,34.85,34.87,34.84,34.86,3756.0
2018-02-16,13:38:00,34.87,34.92,34.86,34.89,5300.0
2018-02-16,13:39:00,34.89,34.8999,34.87,34.88,1380.0
2018-02-16,13:40:00,34.87,34.87,34.82,34.85,600.0
2018-02-16,13:41:00,34.8399,34.89,34.8399,34.86,1000.0
2018-02-16,13:42:00,34.89,34.9,34.85,34.87,1700.0
2018-02-16,13:43:00,34.87,34.9,34.86,34.9,1200.0
2018-02-16,13:44:00,34.92,34.92,34.86,34.895,2400.0
2018-02-16,13:45:00,34.89,34.91,34.88,34.89,1200.0
2018-02-16,13:46:00,34.89,34.91,34.88,34.9,1100.0
2018-02-16,13:47:00,34.88,34.92,34.85,34.9008,4697.0
2018-02-16,13:48:00,34.8975,34.92,34.88,34.88,1489.0
2018-02-16,13:49:00,34.8897,34.9,34.8,34.83,23162.0
2018-02-16,13:50:00,34.84,34.85,34.79,34.82,3100.0
2018-02-16,13:51:00,34.82,34.84,34.81,34.82,2729.0
2018-02-16,13:52:00,34.82,34.82,34.76,34.76,600.0
2018-02-16,13:53:00,34.78,34.8,34.75,34.75,1117.0
2018-02-16,13:54:00,34.77,34.7952,34.75,34.75,6610.0
2018-02-16,13:55:00,34.7698,34.77,34.73,34.7466,2732.0
2018-02-16,13:56:00,34.73,34.73,34.7,34.7,1637.0
2018-02-16,13:57:00,34.69,34.71,34.69,34.71,3600.0
2018-02-16,13:58:00,34.75,34.76,34.75,34.76,300.0
2018-02-16,13:59:00,34.77,34.84,34.76,34.76,3239.0
2018-02-16,14:00:00,34.77,34.79,34.75,34.75,2200.0
2018-02-16,14:01:00,34.77,34.8,34.77,34.8,1500.0
2018-02-16,14:02:00,34.82,34.84,34.8,34.82,3700.0
2018-02-16,14:03:00,34.83,34.84,34.81,34.81,1600.0
2018-02-16,14:04:00,34.8105,34.82,34.81,34.82,400.0
2018-02-16,14:05:00,34.825,34.825,34.79,34.79,300.0
2018-02-16,14:06:00,34.75,34.77,34.74,34.755,13642.0
2018-02-16,14:07:00,34.765,34.78,34.76,34.78,1824.0
2018-02-16,14:08:00,34.78,34.83,34.78,34.83,900.0
2018-02-16,14:09:00,34.82,34.83,34.81,34.8186,1740.0
2018-02-16,14:10:00,34.81,34.8172,34.78,34.78,1700.0
2018-02-16,14:11:00,34.8194,34.8194,34.81,34.81,250.0
2018-02-16,14:12:00,34.83,34.83,34.75,34.8,7350.0
2018-02-16,14:13:00,34.79,34.79,34.76,34.76,2713.0
2018-02-16,14:14:00,34.78,34.78,34.7,34.71,49200.0
2018-02-16,14:15:00,34.69,34.69,34.64,34.64,2400.0
2018-02-16,14:16:00,34.64,34.64,34.55,34.57,25000.0
2018-02-16,14:17:00,34.575,34.5765,34.4101,34.4499,35083.0
2018-02-16,14:18:00,34.41,34.43,34.4,34.42,15212.0
2018-02-16,14:19:00,34.405,34.489,34.39,34.489,16260.0
2018-02-16,14:20:00,34.49,34.5238,34.49,34.5238,936.0
2018-02-16,14:21:00,34.53,34.54,34.48,34.5,1100.0
2018-02-16,14:22:00,34.48,34.529,34.43,34.43,1700.0
2018-02-16,14:23:00,34.44,34.45,34.44,34.45,400.0
2018-02-16,14:24:00,34.43,34.5,34.43,34.45,1371.0
2018-02-16,14:25:00,34.42,34.51,34.42,34.51,1100.0
2018-02-16,14:26:00,34.51,34.555,34.5,34.5,900.0
2018-02-16,14:27:00,34.5,34.6,34.5,34.59,2179.0
2018-02-16,14:28:00,34.57,34.6,34.54,34.5503,3840.0
2018-02-16,14:29:00,34.56,34.62,34.56,34.61,1769.0
2018-02-16,14:30:00,34.6,34.63,34.57,34.59,1038.0
2018-02-16,14:31:00,34.58,34.61,34.57,34.61,3800.0
2018-02-16,14:32:00,34.6,34.64,34.6,34.64,800.0
2018-02-16,14:33:00,34.625,34.63,34.5901,34.63,803.0
2018-02-16,14:34:00,34.6,34.62,34.59,34.61,800.0
2018-02-16,14:35:00,34.62,34.62,34.59,34.62,500.0
2018-02-16,14:36:00,34.6,34.6099,34.59,34.6099,524.0
2018-02-16,14:37:00,34.63,34.65,34.63,34.65,700.0
2018-02-16,14:38:00,34.68,34.73,34.68,34.7,1700.0
2018-02-16,14:39:00,34.69,34.69,34.64,34.65,1500.0
2018-02-16,14:40:00,34.67,34.71,34.67,34.67,500.0
2018-02-16,14:41:00,34.653,34.653,34.64,34.65,600.0
2018-02-16,14:42:00,34.68,34.68,34.68,34.68,200.0
2018-02-16,14:43:00,34.68,34.69,34.68,34.6809,860.0
2018-02-16,14:44:00,34.66,34.67,34.65,34.67,500.0
2018-02-16,14:45:00,34.68,34.69,34.58,34.61,3305.0
2018-02-16,14:46:00,34.64,34.64,34.54,34.6,2500.0
2018-02-16,14:47:00,34.6,34.6,34.55,34.58,2502.0
2018-02-16,14:48:00,34.54,34.54,34.5328,34.54,1550.0
2018-02-16,14:49:00,34.52,34.58,34.52,34.58,1200.0
2018-02-16,14:50:00,34.585,34.64,34.58,34.5801,2849.0
2018-02-16,14:51:00,34.59,34.6,34.59,34.6,800.0
2018-02-16,14:52:00,34.59,34.59,34.59,34.59,100.0
2018-02-16,14:53:00,34.59,34.62,34.59,34.6,1900.0
2018-02-16,14:54:00,34.5985,34.64,34.58,34.64,650.0
2018-02-16,14:55:00,34.6613,34.6613,34.64,34.64,1100.0
2018-02-16,14:56:00,34.67,34.7282,34.66,34.7282,2500.0
2018-02-16,14:57:00,34.69,34.71,34.69,34.71,800.0
2018-02-16,14:58:00,34.7176,34.72,34.6868,34.6868,1200.0
2018-02-16,14:59:00,34.6853,34.71,34.6853,34.71,9575.0
2018-02-16,15:00:00,34.72,34.72,34.72,34.72,100.0
2018-02-16,15:01:00,34.71,34.71,34.6835,34.6968,1850.0
2018-02-16,15:02:00,34.7,34.71,34.66,34.66,1500.0
2018-02-16,15:03:00,34.7,34.7,34.67,34.67,500.0
2018-02-16,15:04:00,34.6494,34.6494,34.59,34.59,3200.0
2018-02-16,15:05:00,34.58,34.58,34.56,34.5734,1500.0
2018-02-16,15:06:00,34.58,34.58,34.56,34.57,800.0
2018-02-16,15:07:00,34.58,34.62,34.5783,34.62,3100.0
2018-02-16,15:08:00,34.61,34.6177,34.5899,34.6,6251.0
2018-02-16,15:09:00,34.62,34.65,34.6194,34.63,3300.0
2018-02-16,15:10:00,34.67,34.67,34.67,34.67,200.0
2018-02-16,15:11:00,34.7099,34.73,34.69,34.72,9400.0
2018-02-16,15:12:00,34.727,34.727,34.695,34.695,1600.0
2018-02-16,15:13:00,34.7,34.7,34.65,34.65,2209.0
2018-02-16,15:14:00,34.63,34.63,34.61,34.63,2372.0
2018-02-16,15:15:00,34.64,34.66,34.64,34.65,1321.0
2018-02-16,15:16:00,34.64,34.66,34.64,34.64,400.0
2018-02-16,15:17:00,34.65,34.67,34.64,34.65,1900.0
2018-02-16,15:18:00,34.64,34.64,34.6,34.6,1400.0
2018-02-16,15:19:00,34.59,34.61,34.59,34.61,1000.0
