date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,65.38,65.38,65.38,65.38,81767.0
2018-02-16,09:31:00,65.34,65.66,65.33,65.66,3300.0
2018-02-16,09:32:00,65.62,65.62,65.53,65.53,1500.0
2018-02-16,09:33:00,65.46,65.46,65.46,65.46,133.0
2018-02-16,09:34:00,65.43,65.44,65.39,65.39,1100.0
2018-02-16,09:35:00,65.38,65.42,65.36,65.42,1900.0
2018-02-16,09:36:00,65.395,65.41,65.32,65.32,1000.0
2018-02-16,09:37:00,65.38,65.43,65.36,65.4,8882.0
2018-02-16,09:38:00,65.37,65.38,65.271,65.271,1901.0
2018-02-16,09:39:00,65.36,65.42,65.355,65.4,3550.0
2018-02-16,09:40:00,65.4,65.4452,65.275,65.275,3230.0
2018-02-16,09:41:00,65.24,65.24,65.18,65.21,3012.0
2018-02-16,09:42:00,65.21,65.21,65.02,65.02,2150.0
2018-02-16,09:43:00,65.1,65.17,65.1,65.145,1125.0
2018-02-16,09:44:00,65.16,65.167,65.07,65.07,2523.0
2018-02-16,09:45:00,65.06,65.08,64.967,65.0,8226.0
2018-02-16,09:46:00,65.01,65.15,64.97,65.15,4250.0
2018-02-16,09:47:00,65.175,65.21,65.12,65.135,5544.0
2018-02-16,09:48:00,65.12,65.18,65.09,65.18,1304.0
2018-02-16,09:49:00,65.18,65.23,65.16,65.23,1700.0
2018-02-16,09:50:00,65.27,65.3,65.2,65.2,2200.0
2018-02-16,09:51:00,65.195,65.29,65.15,65.27,2763.0
2018-02-16,09:52:00,65.25,65.27,65.22,65.23,1000.0
2018-02-16,09:53:00,65.27,65.35,65.22,65.34,4866.0
2018-02-16,09:54:00,65.346,65.346,65.27,65.31,2274.0
2018-02-16,09:55:00,65.32,65.33,65.23,65.23,1000.0
2018-02-16,09:56:00,65.23,65.24,65.17,65.17,2289.0
2018-02-16,09:57:00,65.17,65.21,65.12,65.21,3210.0
2018-02-16,09:58:00,65.1899,65.19,65.16,65.19,963.0
2018-02-16,09:59:00,65.14,65.14,65.06,65.086,1303.0
2018-02-16,10:00:00,65.09,65.09,65.03,65.032,4226.0
2018-02-16,10:01:00,65.03,65.03,64.93,64.96,3560.0
2018-02-16,10:02:00,64.96,65.05,64.96,64.99,4094.0
2018-02-16,10:03:00,65.01,65.03,64.9,64.9,6597.0
2018-02-16,10:04:00,64.93,65.11,64.9,64.98,6232.0
2018-02-16,10:05:00,65.0199,65.045,64.95,64.97,7238.0
2018-02-16,10:06:00,64.98,64.995,64.96,64.97,2807.0
2018-02-16,10:07:00,64.9948,64.995,64.92,64.92,2941.0
2018-02-16,10:08:00,64.9,64.97,64.9,64.94,1890.0
2018-02-16,10:09:00,64.94,64.97,64.94,64.95,800.0
2018-02-16,10:10:00,64.97,65.03,64.97,65.01,3120.0
2018-02-16,10:11:00,65.04,65.07,65.01,65.03,3294.0
2018-02-16,10:12:00,65.03,65.04,64.92,64.94,2650.0
2018-02-16,10:13:00,64.97,64.99,64.93,64.99,1120.0
2018-02-16,10:14:00,64.97,64.99,64.93,64.93,3042.0
2018-02-16,10:15:00,64.97,65.0501,64.97,65.03,1621.0
2018-02-16,10:16:00,65.03,65.08,65.03,65.08,1000.0
