date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,2.27,2.29,2.25,2.26,267519.0
2018-02-16,09:31:00,2.26,2.26,2.22,2.23,121676.0
2018-02-16,09:32:00,2.223,2.23,2.2,2.229,112267.0
2018-02-16,09:33:00,2.23,2.27,2.23,2.26,323482.0
2018-02-16,09:34:00,2.27,2.32,2.2656,2.3192,509645.0
2018-02-16,09:35:00,2.31,2.37,2.31,2.362,541333.0
2018-02-16,09:36:00,2.3601,2.37,2.35,2.3599,141188.0
2018-02-16,09:37:00,2.3512,2.36,2.31,2.3102,271504.0
2018-02-16,09:38:00,2.32,2.34,2.31,2.3375,111333.0
2018-02-16,09:39:00,2.3366,2.3398,2.31,2.32,106507.0
2018-02-16,09:40:00,2.32,2.3232,2.31,2.31,77684.0
2018-02-16,09:41:00,2.3162,2.3193,2.3,2.3,97428.0
2018-02-16,09:42:00,2.309,2.31,2.28,2.3,172932.0
2018-02-16,09:43:00,2.295,2.3,2.29,2.2912,56500.0
2018-02-16,09:44:00,2.29,2.3,2.28,2.3,129515.0
2018-02-16,09:45:00,2.31,2.33,2.295,2.3,163637.0
2018-02-16,09:46:00,2.305,2.33,2.3,2.33,149403.0
2018-02-16,09:47:00,2.325,2.33,2.32,2.33,636828.0
2018-02-16,09:48:00,2.325,2.37,2.32,2.36,841139.0
2018-02-16,09:49:00,2.3569,2.39,2.35,2.385,331499.0
2018-02-16,09:50:00,2.3899,2.41,2.38,2.41,405884.0
2018-02-16,09:51:00,2.41,2.43,2.35,2.3734,397693.0
2018-02-16,09:52:00,2.3708,2.41,2.3708,2.3814,185149.0
2018-02-16,09:53:00,2.38,2.4,2.37,2.3799,181230.0
2018-02-16,09:54:00,2.3742,2.38,2.37,2.379,39720.0
2018-02-16,09:55:00,2.3716,2.38,2.35,2.3599,134919.0
2018-02-16,09:56:00,2.35,2.3599,2.34,2.35,93492.0
2018-02-16,09:57:00,2.345,2.375,2.345,2.3699,114009.0
2018-02-16,09:58:00,2.3666,2.38,2.36,2.3739,71144.0
2018-02-16,09:59:00,2.3766,2.39,2.37,2.3899,111762.0
2018-02-16,10:00:00,2.385,2.419,2.3801,2.403,247915.0
2018-02-16,10:01:00,2.401,2.4084,2.3663,2.3764,108199.0
2018-02-16,10:02:00,2.38,2.39,2.37,2.39,58528.0
2018-02-16,10:03:00,2.3828,2.39,2.37,2.3731,73975.0
2018-02-16,10:04:00,2.38,2.38,2.37,2.3713,43965.0
2018-02-16,10:05:00,2.3741,2.38,2.37,2.3737,28539.0
2018-02-16,10:06:00,2.38,2.3801,2.37,2.38,40532.0
2018-02-16,10:07:00,2.3763,2.4,2.3763,2.3802,158683.0
2018-02-16,10:08:00,2.38,2.385,2.37,2.3799,75981.0
2018-02-16,10:09:00,2.375,2.38,2.37,2.37,38359.0
2018-02-16,10:10:00,2.375,2.38,2.35,2.3508,178218.0
2018-02-16,10:11:00,2.3512,2.355,2.33,2.335,237328.0
2018-02-16,10:12:00,2.3314,2.35,2.3301,2.35,54844.0
2018-02-16,10:13:00,2.35,2.36,2.34,2.3599,100524.0
2018-02-16,10:14:00,2.359,2.37,2.3555,2.3699,19456.0
2018-02-16,10:15:00,2.3658,2.38,2.3601,2.37,49169.0
2018-02-16,10:16:00,2.367,2.37,2.36,2.36,44628.0
