date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,116.5,116.75,116.5,116.64,18563.0
2018-02-16,09:31:00,116.75,116.75,116.64,116.65,6400.0
2018-02-16,09:32:00,116.6255,116.65,116.6255,116.65,1000.0
2018-02-16,09:33:00,116.65,116.75,116.6302,116.75,6395.0
2018-02-16,09:34:00,116.75,117.14,116.7298,116.99,38663.0
2018-02-16,09:35:00,116.99,117.0,116.88,116.88,49124.0
2018-02-16,09:36:00,116.9,116.98,116.81,116.84,14854.0
2018-02-16,09:37:00,116.84,116.885,116.84,116.84,19700.0
2018-02-16,09:38:00,116.87,116.9,116.87,116.885,1200.0
2018-02-16,09:39:00,116.885,116.91,116.87,116.89,30970.0
2018-02-16,09:40:00,116.89,117.32,116.89,117.315,20371.0
2018-02-16,09:41:00,117.32,117.34,117.1,117.125,27970.0
2018-02-16,09:42:00,117.1,117.15,117.07,117.15,18700.0
2018-02-16,09:43:00,117.12,117.15,117.12,117.15,8218.0
2018-02-16,09:44:00,117.15,117.25,117.14,117.25,24355.0
2018-02-16,09:45:00,117.23,117.32,117.23,117.26,1900.0
2018-02-16,09:46:00,117.27,117.32,117.25,117.29,8988.0
2018-02-16,09:47:00,117.29,117.34,117.29,117.34,1100.0
2018-02-16,09:48:00,117.315,117.5,117.315,117.49,11135.0
2018-02-16,09:49:00,117.5,117.5,117.43,117.47,49162.0
2018-02-16,09:50:00,117.5,117.69,117.5,117.63,19526.0
2018-02-16,09:51:00,117.655,117.74,117.63,117.7,33050.0
2018-02-16,09:52:00,117.7,117.7,117.66,117.7,25990.0
2018-02-16,09:53:00,117.7,117.765,117.69,117.75,25004.0
2018-02-16,09:54:00,117.775,117.8,117.77,117.77,6952.0
2018-02-16,09:55:00,117.79,117.79,117.77,117.77,6100.0
2018-02-16,09:56:00,117.76,117.77,117.67,117.69,17137.0
2018-02-16,09:57:00,117.67,117.74,117.67,117.71,7581.0
2018-02-16,09:58:00,117.7,117.7,117.635,117.66,13485.0
2018-02-16,09:59:00,117.65,117.74,117.65,117.69,6250.0
2018-02-16,10:00:00,117.7,117.765,117.7,117.765,9803.0
2018-02-16,10:01:00,117.7675,117.78,117.74,117.74,6473.0
2018-02-16,10:02:00,117.77,117.8,117.67,117.67,15291.0
2018-02-16,10:03:00,117.69,117.7,117.69,117.69,3200.0
2018-02-16,10:04:00,117.7,117.7,117.64,117.65,10874.0
2018-02-16,10:05:00,117.65,117.98,117.65,117.9,77667.0
2018-02-16,10:06:00,117.91,117.99,117.89,117.98,41149.0
2018-02-16,10:07:00,117.98,118.0,117.94,117.96,59365.0
2018-02-16,10:08:00,117.98,117.98,117.85,117.85,10449.0
2018-02-16,10:09:00,117.87,117.88,117.79,117.79,9170.0
2018-02-16,10:10:00,117.81,117.95,117.8,117.93,67372.0
2018-02-16,10:11:00,117.96,117.99,117.9101,117.97,3000.0
2018-02-16,10:12:00,117.99,117.99,117.94,117.96,32097.0
2018-02-16,10:13:00,117.95,117.99,117.95,117.97,22314.0
2018-02-16,10:14:00,117.99,118.0,117.97,117.97,12285.0
2018-02-16,10:15:00,117.98,117.98,117.95,117.95,3947.0
2018-02-16,10:16:00,117.95,117.95,117.87,117.91,14521.0
2018-02-16,10:17:00,117.96,118.06,117.95,117.99,15739.0
2018-02-16,10:18:00,118.0,118.0,117.92,117.92,6517.0
2018-02-16,10:19:00,117.935,117.95,117.89,117.92,11278.0
2018-02-16,10:20:00,117.92,117.92,117.82,117.82,5809.0
