date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,7.88,7.88,7.88,7.88,99338.0
2018-02-16,09:31:00,7.88,7.9,7.82,7.83,12200.0
2018-02-16,09:32:00,7.83,7.85,7.815,7.815,31160.0
2018-02-16,09:33:00,7.81,7.86,7.805,7.86,36562.0
2018-02-16,09:34:00,7.86,7.88,7.83,7.83,13044.0
2018-02-16,09:35:00,7.845,7.845,7.82,7.84,55513.0
2018-02-16,09:36:00,7.84,7.84,7.81,7.82,78016.0
2018-02-16,09:37:00,7.82,7.83,7.795,7.81,179269.0
2018-02-16,09:38:00,7.82,7.83,7.815,7.83,4100.0
2018-02-16,09:39:00,7.83,7.87,7.83,7.87,44751.0
2018-02-16,09:40:00,7.88,7.91,7.87,7.9,27029.0
2018-02-16,09:41:00,7.895,7.9184,7.895,7.905,8470.0
2018-02-16,09:42:00,7.91,7.94,7.9028,7.94,26397.0
2018-02-16,09:43:00,7.94,7.98,7.94,7.975,72359.0
2018-02-16,09:44:00,7.97,7.9967,7.97,7.9867,47614.0
2018-02-16,09:45:00,7.99,7.99,7.96,7.96,21025.0
2018-02-16,09:46:00,7.96,7.98,7.95,7.9733,11395.0
2018-02-16,09:47:00,7.975,7.9801,7.965,7.98,9407.0
2018-02-16,09:48:00,7.985,8.02,7.985,8.02,110116.0
2018-02-16,09:49:00,8.02,8.02,7.99,8.02,16886.0
2018-02-16,09:50:00,8.02,8.02,7.99,7.99,27675.0
2018-02-16,09:51:00,7.98,8.0,7.98,7.99,26606.0
2018-02-16,09:52:00,7.99,8.0099,7.97,8.005,52278.0
2018-02-16,09:53:00,8.01,8.02,8.0,8.01,44026.0
2018-02-16,09:54:00,8.01,8.01,7.99,8.01,19986.0
2018-02-16,09:55:00,8.0,8.01,8.0,8.0,900.0
2018-02-16,09:56:00,8.01,8.012,7.985,7.985,20357.0
2018-02-16,09:57:00,7.98,7.99,7.98,7.98,13295.0
2018-02-16,09:58:00,7.9812,7.995,7.97,7.99,60205.0
2018-02-16,09:59:00,7.99,7.99,7.95,7.975,16766.0
2018-02-16,10:00:00,7.975,7.98,7.95,7.975,20976.0
2018-02-16,10:01:00,7.99,8.02,7.985,8.01,57886.0
2018-02-16,10:02:00,8.005,8.0152,7.99,7.995,42938.0
2018-02-16,10:03:00,8.0,8.0,7.99,8.0,18140.0
2018-02-16,10:04:00,8.0,8.03,7.99,8.025,57707.0
2018-02-16,10:05:00,8.03,8.035,8.0,8.0,88307.0
2018-02-16,10:06:00,8.0,8.005,7.97,7.97,23379.0
2018-02-16,10:07:00,7.965,7.97,7.94,7.94,18109.0
2018-02-16,10:08:00,7.94,7.9401,7.92,7.92,8761.0
2018-02-16,10:09:00,7.9299,7.9299,7.91,7.91,47417.0
2018-02-16,10:10:00,7.9199,7.92,7.905,7.91,79168.0
2018-02-16,10:11:00,7.91,7.92,7.91,7.91,29241.0
2018-02-16,10:12:00,7.9153,7.93,7.9153,7.93,13025.0
2018-02-16,10:13:00,7.9301,7.9325,7.91,7.91,10408.0
