date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,3.95,3.95,3.95,3.95,15857.0
2018-02-16,09:31:00,3.95,3.95,3.92,3.92,27127.0
2018-02-16,09:32:00,3.925,3.925,3.925,3.925,300.0
2018-02-16,09:33:00,3.92,3.92,3.91,3.91,3965.0
2018-02-16,09:34:00,3.91,3.94,3.91,3.94,5811.0
2018-02-16,09:35:00,3.94,3.95,3.94,3.94,3416.0
2018-02-16,09:36:00,3.94,3.94,3.92,3.92,11469.0
2018-02-16,09:37:00,3.91,3.93,3.91,3.93,7669.0
2018-02-16,09:38:00,3.93,3.94,3.924,3.935,4300.0
2018-02-16,09:39:00,3.93,3.945,3.93,3.945,6085.0
2018-02-16,09:40:00,3.9428,3.9428,3.9428,3.9428,100.0
2018-02-16,09:41:00,3.945,3.945,3.9436,3.9436,1400.0
2018-02-16,09:42:00,3.9463,3.9463,3.94,3.94,443.0
2018-02-16,09:43:00,3.9458,3.9458,3.945,3.945,1565.0
2018-02-16,09:44:00,3.94,3.95,3.94,3.95,300.0
2018-02-16,09:45:00,3.94,3.95,3.94,3.945,6900.0
2018-02-16,09:46:00,3.945,3.95,3.94,3.95,2634.0
2018-02-16,09:47:00,3.94,3.94,3.94,3.94,200.0
2018-02-16,09:48:00,3.94,3.96,3.94,3.955,7900.0
2018-02-16,09:49:00,3.9528,3.965,3.95,3.965,8016.0
2018-02-16,09:50:00,3.96,3.96,3.95,3.96,5000.0
2018-02-16,09:51:00,3.955,3.96,3.95,3.96,6738.0
2018-02-16,09:52:00,3.96,3.96,3.96,3.96,100.0
2018-02-16,09:53:00,3.95,3.96,3.95,3.96,200.0
2018-02-16,09:54:00,3.95,3.955,3.93,3.93,25300.0
2018-02-16,09:55:00,3.93,3.94,3.93,3.935,7917.0
2018-02-16,09:56:00,3.935,3.9386,3.925,3.93,10300.0
2018-02-16,09:57:00,3.93,3.93,3.92,3.92,1100.0
2018-02-16,09:59:00,3.9299,3.93,3.92,3.925,5151.0
2018-02-16,10:00:00,3.92,3.925,3.92,3.9201,2423.0
2018-02-16,10:01:00,3.93,3.93,3.92,3.9201,3077.0
2018-02-16,10:02:00,3.92,3.925,3.92,3.92,300.0
2018-02-16,10:04:00,3.925,3.925,3.91,3.925,29114.0
2018-02-16,10:05:00,3.92,3.92,3.92,3.92,100.0
2018-02-16,10:06:00,3.9289,3.9289,3.9201,3.9201,3000.0
2018-02-16,10:07:00,3.92,3.94,3.92,3.9349,9000.0
2018-02-16,10:08:00,3.93,3.94,3.93,3.94,1100.0
2018-02-16,10:09:00,3.94,3.94,3.935,3.936,600.0
2018-02-16,10:10:00,3.94,3.95,3.935,3.95,16528.0
2018-02-16,10:11:00,3.95,3.95,3.945,3.949,1814.0
2018-02-16,10:12:00,3.945,3.95,3.945,3.945,1700.0
2018-02-16,10:13:00,3.95,3.95,3.94,3.94,14600.0
2018-02-16,10:14:00,3.9401,3.95,3.94,3.945,4936.0
2018-02-16,10:15:00,3.94,3.9452,3.94,3.945,500.0
2018-02-16,10:16:00,3.95,3.96,3.95,3.95,8714.0
2018-02-16,10:17:00,3.955,3.96,3.955,3.96,1000.0
2018-02-16,10:18:00,3.96,3.96,3.96,3.96,200.0
2018-02-16,10:19:00,3.955,3.96,3.95,3.96,14949.0
2018-02-16,10:20:00,3.96,3.96,3.95,3.955,3000.0
2018-02-16,10:21:00,3.955,3.955,3.955,3.955,300.0
2018-02-16,10:22:00,3.96,3.96,3.9599,3.96,10000.0
2018-02-16,10:23:00,3.97,3.97,3.965,3.97,20881.0
2018-02-16,10:24:00,3.97,3.97,3.97,3.97,500.0
2018-02-16,10:25:00,3.97,3.98,3.97,3.97,7743.0
2018-02-16,10:27:00,3.9793,3.9793,3.9749,3.9749,300.0
2018-02-16,10:28:00,3.98,3.98,3.98,3.98,300.0
2018-02-16,10:29:00,3.98,3.98,3.975,3.98,1200.0
2018-02-16,10:30:00,3.98,3.98,3.98,3.98,400.0
2018-02-16,10:31:00,3.98,3.98,3.97,3.98,1500.0
2018-02-16,10:32:00,3.975,3.98,3.97,3.97,2700.0
2018-02-16,10:33:00,3.98,3.98,3.97,3.975,1500.0
2018-02-16,10:34:00,3.97,3.98,3.97,3.98,2600.0
2018-02-16,10:35:00,3.975,3.975,3.97,3.97,400.0
2018-02-16,10:36:00,3.975,3.98,3.975,3.98,900.0
2018-02-16,10:37:00,3.97,3.975,3.94,3.9552,47768.0
2018-02-16,10:38:00,3.95,3.955,3.95,3.955,400.0
2018-02-16,10:39:00,3.95,3.955,3.95,3.955,400.0
2018-02-16,10:40:00,3.95,3.9566,3.95,3.95,4200.0
2018-02-16,10:41:00,3.95,3.96,3.95,3.955,3800.0
2018-02-16,10:42:00,3.955,3.955,3.9548,3.955,2500.0
2018-02-16,10:43:00,3.955,3.96,3.95,3.95,1000.0
2018-02-16,10:44:00,3.95,3.96,3.95,3.955,1560.0
2018-02-16,10:45:00,3.95,3.96,3.95,3.95,2000.0
2018-02-16,10:46:00,3.9501,3.96,3.95,3.955,1500.0
2018-02-16,10:47:00,3.9501,3.96,3.9501,3.96,3025.0
2018-02-16,10:48:00,3.955,3.96,3.9534,3.96,5250.0
2018-02-16,10:49:00,3.955,3.96,3.95,3.95,1400.0
2018-02-16,10:50:00,3.955,3.96,3.95,3.955,3503.0
2018-02-16,10:51:00,3.955,3.96,3.95,3.955,2400.0
2018-02-16,10:52:00,3.95,3.96,3.95,3.96,3600.0
2018-02-16,10:53:00,3.955,3.9599,3.955,3.9599,4800.0
2018-02-16,10:54:00,3.95,3.955,3.95,3.95,2200.0
2018-02-16,10:55:00,3.955,3.955,3.95,3.95,700.0
2018-02-16,10:56:00,3.9501,3.955,3.95,3.95,2700.0
2018-02-16,10:57:00,3.95,3.955,3.95,3.95,800.0
2018-02-16,10:58:00,3.955,3.955,3.95,3.955,1100.0
2018-02-16,10:59:00,3.95,3.9562,3.95,3.95,2200.0
2018-02-16,11:00:00,3.95,3.955,3.95,3.955,3300.0
2018-02-16,11:01:00,3.95,3.959,3.95,3.95,2310.0
2018-02-16,11:02:00,3.95,3.9554,3.95,3.9554,1200.0
2018-02-16,11:03:00,3.95,3.96,3.95,3.955,3938.0
2018-02-16,11:04:00,3.955,3.96,3.95,3.95,900.0
2018-02-16,11:05:00,3.96,3.96,3.955,3.955,900.0
2018-02-16,11:06:00,3.955,3.96,3.955,3.96,1108.0
2018-02-16,11:07:00,3.955,3.96,3.955,3.96,400.0
2018-02-16,11:08:00,3.955,3.96,3.955,3.96,814.0
2018-02-16,11:09:00,3.96,3.96,3.955,3.96,400.0
2018-02-16,11:10:00,3.96,3.96,3.955,3.96,800.0
2018-02-16,11:11:00,3.96,3.96,3.9501,3.9513,1500.0
2018-02-16,11:12:00,3.96,3.96,3.95,3.95,12600.0
2018-02-16,11:13:00,3.955,3.96,3.955,3.955,800.0
2018-02-16,11:14:00,3.96,3.96,3.955,3.96,500.0
2018-02-16,11:15:00,3.96,3.965,3.95,3.96,35787.0
2018-02-16,11:16:00,3.955,3.96,3.95,3.96,700.0
2018-02-16,11:17:00,3.96,3.96,3.96,3.96,700.0
2018-02-16,11:18:00,3.955,3.96,3.955,3.96,200.0
2018-02-16,11:19:00,3.96,3.96,3.95,3.96,9300.0
2018-02-16,11:20:00,3.95,3.96,3.95,3.96,1000.0
2018-02-16,11:21:00,3.95,3.96,3.95,3.955,1300.0
2018-02-16,11:22:00,3.955,3.96,3.95,3.955,700.0
2018-02-16,11:23:00,3.96,3.96,3.955,3.96,400.0
2018-02-16,11:24:00,3.955,3.955,3.95,3.955,15774.0
2018-02-16,11:25:00,3.955,3.955,3.95,3.955,3600.0
2018-02-16,11:26:00,3.955,3.96,3.955,3.955,700.0
2018-02-16,11:27:00,3.9599,3.96,3.95,3.96,3300.0
2018-02-16,11:28:00,3.9527,3.96,3.9527,3.96,1700.0
2018-02-16,11:29:00,3.955,3.96,3.95,3.955,600.0
2018-02-16,11:30:00,3.95,3.97,3.95,3.965,30016.0
2018-02-16,11:31:00,3.97,3.97,3.96,3.965,3600.0
2018-02-16,11:32:00,3.965,3.965,3.95,3.955,22437.0
2018-02-16,11:33:00,3.955,3.955,3.95,3.955,3683.0
2018-02-16,11:34:00,3.96,3.96,3.95,3.955,1800.0
2018-02-16,11:35:00,3.96,3.96,3.95,3.955,2100.0
2018-02-16,11:36:00,3.955,3.96,3.95,3.96,4100.0
2018-02-16,11:37:00,3.955,3.96,3.955,3.955,900.0
2018-02-16,11:38:00,3.95,3.96,3.95,3.955,1400.0
2018-02-16,11:39:00,3.96,3.96,3.955,3.96,1200.0
2018-02-16,11:40:00,3.96,3.965,3.96,3.965,22140.0
2018-02-16,11:41:00,3.965,3.965,3.965,3.965,700.0
2018-02-16,11:42:00,3.965,3.97,3.96,3.96,1100.0
2018-02-16,11:43:00,3.97,3.97,3.965,3.97,600.0
2018-02-16,11:44:00,3.965,3.97,3.965,3.965,300.0
2018-02-16,11:45:00,3.965,3.97,3.965,3.97,800.0
2018-02-16,11:46:00,3.965,3.97,3.96,3.97,3600.0
2018-02-16,11:47:00,3.97,3.97,3.965,3.965,700.0
2018-02-16,11:48:00,3.97,3.97,3.965,3.97,400.0
2018-02-16,11:49:00,3.965,3.97,3.9601,3.9601,2791.0
2018-02-16,11:50:00,3.97,3.97,3.965,3.97,600.0
2018-02-16,11:51:00,3.965,3.98,3.965,3.98,30693.0
2018-02-16,11:52:00,3.98,3.98,3.975,3.975,1300.0
2018-02-16,11:53:00,3.98,3.98,3.97,3.97,8500.0
2018-02-16,11:54:00,3.975,3.98,3.97,3.98,400.0
2018-02-16,11:55:00,3.98,3.98,3.97,3.975,3131.0
2018-02-16,11:56:00,3.97,3.98,3.97,3.98,400.0
2018-02-16,11:57:00,3.98,3.98,3.97,3.97,900.0
2018-02-16,11:58:00,3.97,3.97,3.95,3.955,23888.0
2018-02-16,11:59:00,3.95,3.955,3.95,3.955,900.0
2018-02-16,12:00:00,3.96,3.96,3.955,3.955,1500.0
2018-02-16,12:02:00,3.95,3.96,3.95,3.955,700.0
2018-02-16,12:03:00,3.95,3.96,3.95,3.955,3300.0
2018-02-16,12:04:00,3.955,3.96,3.95,3.96,1500.0
2018-02-16,12:05:00,3.955,3.97,3.955,3.965,20055.0
2018-02-16,12:06:00,3.965,3.97,3.965,3.97,1400.0
2018-02-16,12:07:00,3.97,3.97,3.962,3.97,5303.0
2018-02-16,12:08:00,3.965,3.97,3.96,3.965,6628.0
2018-02-16,12:09:00,3.965,3.965,3.965,3.965,300.0
2018-02-16,12:10:00,3.965,3.97,3.965,3.965,600.0
2018-02-16,12:11:00,3.965,3.97,3.965,3.97,600.0
2018-02-16,12:12:00,3.97,3.97,3.965,3.97,700.0
2018-02-16,12:13:00,3.97,3.97,3.965,3.9699,2653.0
2018-02-16,12:14:00,3.965,3.97,3.965,3.97,300.0
2018-02-16,12:15:00,3.965,3.97,3.965,3.965,4106.0
2018-02-16,12:16:00,3.965,3.97,3.965,3.965,800.0
2018-02-16,12:17:00,3.965,3.97,3.965,3.97,1400.0
2018-02-16,12:18:00,3.97,3.97,3.96,3.96,1100.0
2018-02-16,12:19:00,3.96,3.97,3.96,3.965,600.0
2018-02-16,12:20:00,3.97,3.97,3.965,3.965,200.0
2018-02-16,12:21:00,3.97,3.97,3.97,3.97,100.0
2018-02-16,12:22:00,3.9638,3.97,3.96,3.96,5821.0
2018-02-16,12:23:00,3.96,3.97,3.96,3.97,700.0
2018-02-16,12:24:00,3.96,3.96,3.95,3.95,10300.0
2018-02-16,12:25:00,3.95,3.955,3.95,3.955,300.0
2018-02-16,12:26:00,3.96,3.96,3.96,3.96,200.0
2018-02-16,12:27:00,3.96,3.96,3.95,3.955,1600.0
2018-02-16,12:28:00,3.96,3.96,3.96,3.96,400.0
2018-02-16,12:29:00,3.96,3.96,3.954,3.954,720.0
2018-02-16,12:30:00,3.955,3.96,3.95,3.96,600.0
2018-02-16,12:31:00,3.95,3.96,3.95,3.955,943.0
2018-02-16,12:32:00,3.955,3.97,3.955,3.965,15805.0
2018-02-16,12:33:00,3.965,3.97,3.96,3.96,3058.0
2018-02-16,12:34:00,3.96,3.97,3.95,3.95,19644.0
2018-02-16,12:35:00,3.95,3.955,3.95,3.955,5600.0
2018-02-16,12:36:00,3.95,3.955,3.945,3.95,18868.0
2018-02-16,12:37:00,3.945,3.95,3.94,3.945,2600.0
2018-02-16,12:38:00,3.95,3.95,3.945,3.945,200.0
2018-02-16,12:39:00,3.945,3.95,3.94,3.95,1000.0
2018-02-16,12:40:00,3.94,3.95,3.94,3.95,800.0
2018-02-16,12:41:00,3.95,3.95,3.94,3.945,700.0
2018-02-16,12:42:00,3.945,3.95,3.94,3.94,600.0
2018-02-16,12:43:00,3.94,3.95,3.94,3.94,600.0
2018-02-16,12:44:00,3.945,3.95,3.945,3.95,500.0
2018-02-16,12:45:00,3.94,3.95,3.94,3.95,600.0
2018-02-16,12:46:00,3.95,3.95,3.94,3.94,2150.0
2018-02-16,12:47:00,3.95,3.95,3.95,3.95,463.0
2018-02-16,12:48:00,3.95,3.95,3.945,3.945,1000.0
2018-02-16,12:49:00,3.945,3.955,3.945,3.955,17001.0
2018-02-16,12:50:00,3.95,3.96,3.95,3.96,400.0
2018-02-16,12:51:00,3.95,3.955,3.95,3.95,1300.0
2018-02-16,12:52:00,3.95,3.96,3.94,3.94,12800.0
2018-02-16,12:53:00,3.945,3.945,3.93,3.93,9499.0
2018-02-16,12:54:00,3.94,3.94,3.94,3.94,1500.0
2018-02-16,12:55:00,3.935,3.94,3.935,3.935,300.0
2018-02-16,12:56:00,3.94,3.94,3.94,3.94,200.0
2018-02-16,12:57:00,3.935,3.94,3.935,3.94,1960.0
2018-02-16,12:58:00,3.94,3.94,3.9337,3.9337,800.0
2018-02-16,12:59:00,3.94,3.94,3.94,3.94,200.0
2018-02-16,13:00:00,3.935,3.935,3.935,3.935,300.0
2018-02-16,13:01:00,3.94,3.94,3.94,3.94,200.0
2018-02-16,13:02:00,3.9341,3.9341,3.9341,3.9341,410.0
