date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,160.98,160.98,160.98,160.98,15399.0
2018-02-16,09:31:00,160.75,160.81,160.23,160.525,9569.0
2018-02-16,09:32:00,160.79,160.79,160.5,160.6,2200.0
2018-02-16,09:33:00,160.3,160.9,160.26,160.9,2720.0
2018-02-16,09:34:00,160.9,160.91,160.9,160.91,300.0
2018-02-16,09:35:00,160.9,161.57,160.9,161.41,2460.0
2018-02-16,09:36:00,161.5,161.5,161.3,161.43,3900.0
2018-02-16,09:38:00,161.49,162.0,161.43,161.943,6636.0
2018-02-16,09:39:00,161.9599,161.9599,161.74,161.74,3700.0
2018-02-16,09:40:00,161.86,161.98,161.81,161.98,1900.0
2018-02-16,09:41:00,161.98,161.99,161.7,161.76,5020.0
2018-02-16,09:42:00,161.64,161.77,161.57,161.64,3884.0
2018-02-16,09:43:00,161.64,161.78,161.5,161.78,4820.0
2018-02-16,09:44:00,161.8,161.9299,161.8,161.9299,725.0
2018-02-16,09:45:00,161.9,162.2,161.65,162.2,21867.0
2018-02-16,09:46:00,162.1439,162.34,162.11,162.32,4900.0
2018-02-16,09:47:00,162.11,162.44,162.11,162.44,1400.0
2018-02-16,09:48:00,162.48,162.822,162.48,162.7202,10928.0
2018-02-16,09:49:00,162.64,162.64,162.54,162.6,900.0
2018-02-16,09:50:00,162.54,162.76,162.45,162.64,7885.0
2018-02-16,09:51:00,162.68,162.75,162.68,162.75,1400.0
2018-02-16,09:52:00,162.7868,162.8,162.7868,162.8,354.0
2018-02-16,09:53:00,162.72,162.88,162.67,162.87,5575.0
2018-02-16,09:54:00,162.87,162.96,162.87,162.96,750.0
2018-02-16,09:55:00,162.98,163.28,162.98,163.23,12235.0
2018-02-16,09:56:00,163.09,163.23,162.935,162.935,2674.0
2018-02-16,09:57:00,162.87,162.945,162.65,162.86,3220.0
2018-02-16,09:58:00,162.7246,162.7246,162.55,162.6298,800.0
2018-02-16,09:59:00,162.56,162.65,162.14,162.14,2688.0
2018-02-16,10:00:00,162.185,162.185,162.04,162.16,800.0
2018-02-16,10:01:00,162.01,162.14,162.01,162.07,3025.0
2018-02-16,10:02:00,162.145,162.16,161.9,161.9,30551.0
2018-02-16,10:03:00,161.68,161.68,161.45,161.48,3883.0
2018-02-16,10:04:00,161.34,161.53,161.33,161.48,9350.0
2018-02-16,10:05:00,161.53,161.74,161.53,161.58,3093.0
2018-02-16,10:06:00,161.5,161.5,161.21,161.4,7050.0
2018-02-16,10:07:00,161.41,161.41,161.12,161.31,3500.0
2018-02-16,10:08:00,161.3,161.32,161.2398,161.2398,900.0
2018-02-16,10:09:00,161.18,161.95,161.18,161.95,6573.0
2018-02-16,10:10:00,162.0,162.86,161.9,162.84,9400.0
2018-02-16,10:11:00,162.81,162.84,162.5,162.5,6731.0
2018-02-16,10:12:00,162.58,162.86,162.5304,162.71,4128.0
2018-02-16,10:13:00,162.65,162.73,162.385,162.67,8853.0
2018-02-16,10:14:00,162.66,162.99,162.63,162.89,2435.0
