date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,12.74,12.76,12.73,12.75,64926.0
2018-02-16,09:32:00,12.76,12.77,12.75,12.755,15786.0
2018-02-16,09:33:00,12.75,12.76,12.74,12.74,6829.0
2018-02-16,09:34:00,12.74,12.76,12.73,12.74,28703.0
2018-02-16,09:35:00,12.74,12.76,12.725,12.76,14414.0
2018-02-16,09:36:00,12.755,12.76,12.725,12.74,17851.0
2018-02-16,09:37:00,12.735,12.74,12.73,12.7399,7300.0
2018-02-16,09:38:00,12.735,12.75,12.725,12.75,19136.0
2018-02-16,09:39:00,12.745,12.78,12.745,12.765,22484.0
2018-02-16,09:40:00,12.765,12.78,12.765,12.7799,8900.0
2018-02-16,09:41:00,12.775,12.79,12.76,12.76,115100.0
2018-02-16,09:42:00,12.76,12.77,12.74,12.75,51150.0
2018-02-16,09:43:00,12.76,12.78,12.755,12.77,62789.0
2018-02-16,09:44:00,12.78,12.78,12.73,12.74,62974.0
2018-02-16,09:45:00,12.73,12.75,12.715,12.74,27887.0
2018-02-16,09:46:00,12.72,12.73,12.705,12.71,94667.0
2018-02-16,09:47:00,12.715,12.73,12.7052,12.73,51402.0
2018-02-16,09:48:00,12.72,12.74,12.72,12.74,30029.0
2018-02-16,09:49:00,12.745,12.78,12.745,12.78,39875.0
2018-02-16,09:50:00,12.775,12.78,12.755,12.755,35554.0
2018-02-16,09:51:00,12.755,12.77,12.755,12.77,28100.0
2018-02-16,09:52:00,12.77,12.78,12.76,12.77,26636.0
2018-02-16,09:53:00,12.77,12.78,12.755,12.765,27637.0
2018-02-16,09:54:00,12.765,12.77,12.75,12.755,8679.0
2018-02-16,09:55:00,12.76,12.78,12.75,12.78,29115.0
2018-02-16,09:56:00,12.7799,12.79,12.76,12.76,10800.0
2018-02-16,09:57:00,12.76,12.77,12.755,12.76,9811.0
2018-02-16,09:58:00,12.765,12.77,12.76,12.77,9600.0
2018-02-16,09:59:00,12.7607,12.77,12.735,12.735,44453.0
2018-02-16,10:00:00,12.735,12.74,12.735,12.735,4700.0
2018-02-16,10:01:00,12.735,12.74,12.72,12.725,13992.0
2018-02-16,10:02:00,12.72,12.73,12.7,12.715,111884.0
2018-02-16,10:03:00,12.71,12.72,12.69,12.7,29394.0
2018-02-16,10:04:00,12.7,12.73,12.7,12.72,25714.0
2018-02-16,10:05:00,12.715,12.72,12.7,12.7,7912.0
2018-02-16,10:06:00,12.7,12.71,12.69,12.71,55562.0
2018-02-16,10:07:00,12.71,12.71,12.7,12.71,2600.0
2018-02-16,10:08:00,12.705,12.72,12.7,12.7,11300.0
2018-02-16,10:09:00,12.695,12.71,12.69,12.71,17300.0
2018-02-16,10:10:00,12.72,12.74,12.72,12.72,27400.0
2018-02-16,10:11:00,12.72,12.73,12.72,12.73,4700.0
2018-02-16,10:12:00,12.735,12.74,12.73,12.73,6700.0
2018-02-16,10:13:00,12.735,12.74,12.715,12.7349,47017.0
2018-02-16,10:14:00,12.73,12.7301,12.72,12.72,12500.0
