date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,30.86,30.86,30.86,30.86,32510.0
2018-02-16,09:32:00,31.0,31.12,30.88,31.08,19959.0
2018-02-16,09:33:00,31.15,31.24,31.12,31.12,4170.0
2018-02-16,09:34:00,31.1794,31.1794,31.06,31.06,2459.0
2018-02-16,09:35:00,31.13,31.17,31.13,31.17,1900.0
2018-02-16,09:36:00,31.185,31.185,31.12,31.155,3800.0
2018-02-16,09:37:00,31.16,31.19,31.144,31.17,1900.0
2018-02-16,09:38:00,31.175,31.175,31.175,31.175,196.0
2018-02-16,09:39:00,31.1979,31.21,31.15,31.185,12376.0
2018-02-16,09:40:00,31.185,31.185,31.14,31.15,1800.0
2018-02-16,09:41:00,31.135,31.135,31.135,31.135,100.0
2018-02-16,09:42:00,31.14,31.15,31.11,31.14,1584.0
2018-02-16,09:43:00,31.11,31.15,31.11,31.14,1208.0
2018-02-16,09:44:00,31.15,31.15,31.13,31.13,1500.0
2018-02-16,09:45:00,31.11,31.14,31.09,31.14,1000.0
2018-02-16,09:46:00,31.15,31.17,31.15,31.16,1350.0
2018-02-16,09:47:00,31.2,31.23,31.16,31.165,14700.0
2018-02-16,09:48:00,31.165,31.18,31.16,31.17,2700.0
2018-02-16,09:49:00,31.17,31.18,31.16,31.18,32200.0
2018-02-16,09:50:00,31.18,31.27,31.18,31.23,18580.0
2018-02-16,09:51:00,31.245,31.3,31.21,31.3,2200.0
2018-02-16,09:52:00,31.32,31.35,31.29,31.35,906.0
2018-02-16,09:53:00,31.37,31.4,31.37,31.39,6131.0
2018-02-16,09:54:00,31.4,31.43,31.39,31.4,2300.0
2018-02-16,09:55:00,31.44,31.46,31.44,31.46,400.0
2018-02-16,09:56:00,31.46,31.53,31.46,31.5,3607.0
2018-02-16,09:57:00,31.52,31.54,31.51,31.54,800.0
2018-02-16,09:58:00,31.54,31.54,31.5,31.54,2812.0
2018-02-16,09:59:00,31.55,31.57,31.53,31.53,2500.0
2018-02-16,10:00:00,31.53,31.55,31.5,31.51,2600.0
2018-02-16,10:01:00,31.53,31.6,31.53,31.59,1557.0
2018-02-16,10:02:00,31.57,31.64,31.57,31.64,7450.0
2018-02-16,10:03:00,31.65,31.72,31.65,31.71,2070.0
2018-02-16,10:04:00,31.7,31.73,31.695,31.73,2820.0
2018-02-16,10:05:00,31.75,31.76,31.72,31.72,1700.0
2018-02-16,10:06:00,31.715,31.74,31.7,31.74,1400.0
2018-02-16,10:07:00,31.72,31.77,31.72,31.76,2300.0
2018-02-16,10:08:00,31.73,31.76,31.73,31.76,900.0
2018-02-16,10:09:00,31.76,31.76,31.74,31.74,1600.0
2018-02-16,10:10:00,31.76,31.78,31.75,31.75,2400.0
2018-02-16,10:11:00,31.75,31.757,31.73,31.73,1310.0
2018-02-16,10:12:00,31.73,31.73,31.72,31.72,1498.0
2018-02-16,10:13:00,31.71,31.71,31.67,31.7,1800.0
2018-02-16,10:14:00,31.715,31.73,31.7,31.73,1500.0
2018-02-16,10:15:00,31.7402,31.83,31.7402,31.81,2050.0
2018-02-16,10:16:00,31.815,31.85,31.815,31.83,5500.0
2018-02-16,10:17:00,31.84,31.86,31.84,31.84,1200.0
2018-02-16,10:18:00,31.85,31.89,31.85,31.89,1000.0
2018-02-16,10:19:00,31.87,31.88,31.83,31.88,2790.0
2018-02-16,10:20:00,31.88,31.88,31.84,31.87,2200.0
2018-02-16,10:21:00,31.87,31.88,31.85,31.88,1500.0
2018-02-16,10:22:00,31.88,31.88,31.88,31.88,200.0
2018-02-16,10:23:00,31.88,31.8864,31.86,31.8864,1557.0
2018-02-16,10:24:00,31.87,31.91,31.86,31.91,2300.0
2018-02-16,10:25:00,31.911,31.93,31.88,31.88,3818.0
2018-02-16,10:26:00,31.88,31.89,31.86,31.87,1700.0
2018-02-16,10:27:00,31.86,31.87,31.83,31.86,1100.0
2018-02-16,10:28:00,31.88,31.88,31.88,31.88,600.0
2018-02-16,10:29:00,31.9,31.9,31.88,31.9,1326.0
2018-02-16,10:30:00,31.93,31.96,31.93,31.93,1200.0
2018-02-16,10:31:00,31.93,31.95,31.91,31.95,1900.0
2018-02-16,10:32:00,31.95,31.97,31.95,31.97,800.0
2018-02-16,10:33:00,31.98,32.0,31.965,32.0,5102.0
2018-02-16,10:34:00,31.99,31.99,31.97,31.98,900.0
2018-02-16,10:35:00,31.99,32.015,31.97,31.97,5100.0
2018-02-16,10:36:00,31.99,32.0,31.97,31.97,1899.0
2018-02-16,10:37:00,31.99,31.99,31.97,31.97,1469.0
2018-02-16,10:38:00,31.9678,31.97,31.95,31.96,1400.0
2018-02-16,10:39:00,31.94,31.95,31.93,31.93,700.0
2018-02-16,10:40:00,31.95,31.95,31.95,31.95,100.0
2018-02-16,10:41:00,31.93,31.93,31.93,31.93,200.0
2018-02-16,10:42:00,31.94,31.94,31.92,31.92,1011.0
2018-02-16,10:43:00,31.9488,31.9488,31.83,31.84,3277.0
2018-02-16,10:44:00,31.8679,31.87,31.84,31.86,800.0
2018-02-16,10:45:00,31.87,31.89,31.87,31.89,600.0
2018-02-16,10:46:00,31.89,31.9,31.88,31.89,2087.0
2018-02-16,10:47:00,31.9,31.96,31.9,31.96,1600.0
2018-02-16,10:48:00,31.9672,31.97,31.93,31.93,3425.0
2018-02-16,10:49:00,31.96,31.99,31.96,31.96,1500.0
2018-02-16,10:50:00,31.98,31.99,31.98,31.98,600.0
2018-02-16,10:51:00,31.99,32.0,31.95,31.98,2200.0
2018-02-16,10:52:00,31.94,31.94,31.94,31.94,600.0
2018-02-16,10:53:00,31.94,31.94,31.92,31.925,1500.0
2018-02-16,10:54:00,31.93,31.94,31.93,31.94,400.0
2018-02-16,10:55:00,31.96,31.97,31.96,31.97,200.0
2018-02-16,10:56:00,31.98,31.98,31.98,31.98,100.0
2018-02-16,10:57:00,32.0,32.0,31.98,31.98,300.0
2018-02-16,10:58:00,31.98,31.99,31.97,31.97,3400.0
2018-02-16,10:59:00,31.98,31.98,31.96,31.97,1200.0
2018-02-16,11:00:00,31.97,31.97,31.92,31.935,1370.0
2018-02-16,11:01:00,31.92,31.94,31.9,31.91,2815.0
2018-02-16,11:02:00,31.91,31.93,31.91,31.93,900.0
2018-02-16,11:03:00,31.93,31.93,31.93,31.93,300.0
2018-02-16,11:04:00,31.92,31.98,31.92,31.98,1433.0
2018-02-16,11:05:00,31.96,32.02,31.95,31.95,7200.0
2018-02-16,11:06:00,31.965,32.005,31.965,31.99,1900.0
2018-02-16,11:07:00,31.975,32.0,31.975,32.0,5053.0
2018-02-16,11:08:00,31.98,31.98,31.98,31.98,400.0
2018-02-16,11:09:00,31.98,32.005,31.98,32.005,2900.0
2018-02-16,11:10:00,32.0,32.01,31.97,32.0,6324.0
2018-02-16,11:11:00,31.99,32.01,31.97,32.0,900.0
2018-02-16,11:12:00,32.0,32.0,31.98,31.98,2500.0
2018-02-16,11:13:00,32.0,32.01,31.99,31.99,3874.0
2018-02-16,11:14:00,31.99,31.99,31.96,31.97,2600.0
2018-02-16,11:15:00,31.98,31.98,31.98,31.98,100.0
2018-02-16,11:16:00,32.0,32.0,31.99,32.0,3000.0
2018-02-16,11:17:00,31.99,32.0,31.99,32.0,3210.0
2018-02-16,11:18:00,32.0,32.01,31.98,31.98,5820.0
