date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,158.91,159.27,158.91,159.27,114300.0
2018-02-16,09:31:00,159.29,159.33,158.77,158.85,2600.0
2018-02-16,09:32:00,159.33,159.33,159.0,159.0,2300.0
2018-02-16,09:33:00,159.1198,159.1198,158.82,159.04,3225.0
2018-02-16,09:34:00,159.04,159.16,158.73,159.05,5053.0
2018-02-16,09:35:00,158.93,159.01,158.45,158.87,30063.0
2018-02-16,09:36:00,159.01,159.06,158.91,159.05,1925.0
2018-02-16,09:37:00,159.23,159.23,159.23,159.23,500.0
2018-02-16,09:38:00,159.37,159.43,159.28,159.36,5421.0
2018-02-16,09:39:00,159.43,159.51,159.3401,159.41,2057.0
2018-02-16,09:40:00,159.38,159.46,159.36,159.36,1400.0
2018-02-16,09:41:00,159.34,159.36,159.294,159.31,2732.0
2018-02-16,09:42:00,159.345,159.37,159.21,159.21,5000.0
2018-02-16,09:43:00,159.14,159.22,159.01,159.06,5928.0
2018-02-16,09:44:00,159.02,159.1,158.84,158.89,10100.0
2018-02-16,09:45:00,158.84,158.9499,158.68,158.7077,23750.0
2018-02-16,09:46:00,158.7,158.985,158.51,158.91,8993.0
2018-02-16,09:47:00,158.985,159.05,158.93,159.05,2562.0
2018-02-16,09:48:00,159.02,159.09,158.81,158.82,3500.0
2018-02-16,09:49:00,158.89,158.94,158.84,158.9,7293.0
2018-02-16,09:50:00,158.9,158.94,158.89,158.9,2126.0
2018-02-16,09:51:00,158.87,158.87,158.76,158.87,7940.0
2018-02-16,09:52:00,158.86,158.87,158.81,158.83,1400.0
2018-02-16,09:53:00,158.91,158.97,158.81,158.97,4500.0
2018-02-16,09:54:00,158.93,158.95,158.825,158.89,4063.0
2018-02-16,09:55:00,158.93,158.97,158.88,158.92,3575.0
2018-02-16,09:56:00,158.95,159.08,158.95,158.99,5800.0
2018-02-16,09:57:00,158.985,159.03,158.93,158.99,3700.0
2018-02-16,09:58:00,158.9,158.9,158.86,158.86,700.0
2018-02-16,09:59:00,158.78,158.81,158.68,158.68,5652.0
2018-02-16,10:00:00,158.73,158.77,158.7,158.7,3362.0
2018-02-16,10:01:00,158.735,158.78,158.64,158.64,6630.0
2018-02-16,10:02:00,158.635,158.7,158.6,158.62,3914.0
2018-02-16,10:03:00,158.69,158.73,158.65,158.65,2347.0
2018-02-16,10:04:00,158.65,158.68,158.54,158.57,4598.0
2018-02-16,10:05:00,158.57,158.66,158.51,158.56,8849.0
2018-02-16,10:06:00,158.51,158.53,158.39,158.39,5045.0
2018-02-16,10:07:00,158.39,158.39,158.3,158.32,8357.0
2018-02-16,10:08:00,158.35,158.41,158.32,158.34,4978.0
2018-02-16,10:09:00,158.36,158.49,158.36,158.49,4099.0
2018-02-16,10:10:00,158.56,158.72,158.56,158.68,2586.0
2018-02-16,10:11:00,158.675,158.75,158.62,158.62,3534.0
2018-02-16,10:12:00,158.68,158.7,158.5,158.6,5170.0
2018-02-16,10:13:00,158.56,158.69,158.54,158.65,9245.0
2018-02-16,10:14:00,158.665,158.665,158.59,158.62,2217.0
2018-02-16,10:15:00,158.65,158.7,158.65,158.7,800.0
2018-02-16,10:16:00,158.735,158.98,158.735,158.93,2813.0
