date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,21.85,21.85,21.85,21.85,23705.0
2018-02-16,09:31:00,21.88,21.88,21.79,21.82,1600.0
2018-02-16,09:32:00,21.78,21.7894,21.69,21.69,1440.0
2018-02-16,09:33:00,21.7666,21.79,21.67,21.7,3500.0
2018-02-16,09:34:00,21.685,21.69,21.63,21.69,9146.0
2018-02-16,09:35:00,21.7,21.81,21.7,21.71,4500.0
2018-02-16,09:36:00,21.71,21.82,21.71,21.785,4520.0
2018-02-16,09:37:00,21.775,21.775,21.72,21.72,1200.0
2018-02-16,09:38:00,21.71,21.8,21.71,21.8,2200.0
2018-02-16,09:39:00,21.741,21.8,21.741,21.8,1210.0
2018-02-16,09:40:00,21.81,21.87,21.81,21.82,1000.0
2018-02-16,09:41:00,21.81,21.81,21.73,21.745,3200.0
2018-02-16,09:42:00,21.76,21.77,21.67,21.67,3500.0
2018-02-16,09:43:00,21.67,21.74,21.66,21.74,5891.0
2018-02-16,09:44:00,21.7301,21.739,21.64,21.66,14640.0
2018-02-16,09:45:00,21.6528,21.6528,21.55,21.6,3900.0
2018-02-16,09:46:00,21.57,21.61,21.55,21.61,3000.0
2018-02-16,09:47:00,21.61,21.63,21.57,21.5975,7500.0
2018-02-16,09:48:00,21.6,21.63,21.58,21.63,3200.0
2018-02-16,09:49:00,21.62,21.64,21.59,21.63,2300.0
2018-02-16,09:50:00,21.64,21.7,21.64,21.69,5488.0
2018-02-16,09:51:00,21.68,21.7,21.65,21.7,5197.0
2018-02-16,09:52:00,21.7,21.75,21.7,21.74,1000.0
2018-02-16,09:53:00,21.73,21.7434,21.7,21.7434,4950.0
2018-02-16,09:54:00,21.73,21.73,21.7,21.73,400.0
2018-02-16,09:55:00,21.73,21.75,21.72,21.72,2029.0
2018-02-16,09:56:00,21.72,21.73,21.7,21.7,1800.0
2018-02-16,09:57:00,21.69,21.69,21.67,21.67,1287.0
2018-02-16,09:58:00,21.68,21.68,21.66,21.67,1800.0
2018-02-16,09:59:00,21.66,21.66,21.63,21.64,2000.0
2018-02-16,10:00:00,21.65,21.65,21.61,21.61,1300.0
2018-02-16,10:01:00,21.61,21.62,21.59,21.6,3682.0
