date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,179.11,179.11,179.11,179.11,39819.0
2018-02-16,09:31:00,178.8,179.33,178.8,178.82,5893.0
2018-02-16,09:32:00,178.84,178.87,178.81,178.81,300.0
2018-02-16,09:33:00,178.81,179.025,178.8,178.81,1005.0
2018-02-16,09:34:00,178.76,178.8,178.39,178.545,5300.0
2018-02-16,09:35:00,178.72,179.07,178.705,179.07,800.0
2018-02-16,09:36:00,178.79,178.79,178.61,178.62,5546.0
2018-02-16,09:37:00,178.64,178.92,178.64,178.92,1000.0
2018-02-16,09:38:00,178.7,178.7,178.7,178.7,100.0
2018-02-16,09:39:00,178.73,179.25,178.73,179.25,800.0
2018-02-16,09:40:00,179.14,179.99,179.14,179.99,4725.0
2018-02-16,09:41:00,179.89,179.98,179.64,179.64,2975.0
2018-02-16,09:42:00,179.8,179.91,179.6,179.73,1234.0
2018-02-16,09:43:00,179.87,180.365,179.79,180.34,2054.0
2018-02-16,09:44:00,180.245,180.245,180.245,180.245,200.0
2018-02-16,09:45:00,180.09,180.245,179.76,179.76,1400.0
2018-02-16,09:46:00,179.645,180.11,179.63,180.0,2800.0
2018-02-16,09:47:00,180.0702,180.0702,180.035,180.055,1100.0
2018-02-16,09:48:00,180.0,180.105,180.0,180.0,2600.0
2018-02-16,09:49:00,180.0559,180.09,179.88,180.025,5000.0
2018-02-16,09:50:00,179.94,179.94,179.75,179.75,823.0
2018-02-16,09:51:00,179.83,179.95,179.67,179.95,900.0
2018-02-16,09:52:00,179.9,180.05,179.885,179.9,2350.0
2018-02-16,09:53:00,179.86,179.91,179.76,179.91,700.0
2018-02-16,09:54:00,179.68,179.72,179.6,179.6,300.0
2018-02-16,09:55:00,179.59,179.86,179.54,179.86,400.0
2018-02-16,09:57:00,179.57,179.71,179.47,179.51,1222.0
2018-02-16,09:58:00,179.64,179.64,179.44,179.44,600.0
2018-02-16,09:59:00,179.64,179.89,179.52,179.52,3656.0
2018-02-16,10:00:00,179.78,179.78,179.42,179.42,500.0
2018-02-16,10:01:00,179.77,179.77,179.76,179.76,208.0
2018-02-16,10:02:00,179.42,179.42,178.89,178.89,3122.0
2018-02-16,10:04:00,178.9401,179.01,178.9401,179.0,700.0
2018-02-16,10:05:00,178.941,178.941,178.53,178.57,6308.0
2018-02-16,10:06:00,178.87,178.88,178.54,178.54,400.0
2018-02-16,10:07:00,178.65,178.65,178.3,178.3,3263.0
2018-02-16,10:08:00,178.27,178.32,178.1,178.1,1122.0
2018-02-16,10:09:00,178.075,178.54,178.075,178.41,4812.0
2018-02-16,10:10:00,178.465,178.66,178.44,178.58,4800.0
2018-02-16,10:11:00,178.59,178.84,178.53,178.75,3987.0
2018-02-16,10:12:00,178.87,178.97,178.87,178.97,900.0
2018-02-16,10:13:00,178.55,178.669,178.37,178.41,1239.0
2018-02-16,10:15:00,178.62,178.64,178.45,178.64,776.0
2018-02-16,10:16:00,178.51,178.51,178.385,178.385,200.0
2018-02-16,10:17:00,178.61,178.88,178.44,178.72,4092.0
2018-02-16,10:18:00,178.6601,178.97,178.6601,178.74,800.0
2018-02-16,10:20:00,178.63,178.63,178.45,178.56,1400.0
2018-02-16,10:21:00,178.46,178.58,178.42,178.42,2800.0
2018-02-16,10:22:00,178.515,178.84,178.515,178.84,3364.0
2018-02-16,10:23:00,178.86,178.97,178.815,178.97,500.0
2018-02-16,10:24:00,178.97,178.97,178.58,178.795,1954.0
2018-02-16,10:25:00,178.57,178.63,178.4,178.55,2200.0
2018-02-16,10:26:00,178.3767,178.85,178.3767,178.53,1900.0
2018-02-16,10:27:00,178.54,178.54,178.54,178.54,100.0
2018-02-16,10:28:00,178.54,178.7457,178.54,178.7457,1179.0
2018-02-16,10:29:00,178.57,178.57,178.52,178.555,800.0
2018-02-16,10:30:00,178.675,178.87,178.56,178.67,3284.0
2018-02-16,10:31:00,178.9,178.95,178.82,178.885,827.0
2018-02-16,10:33:00,178.98,179.18,178.87,178.965,2200.0
2018-02-16,10:34:00,178.96,179.1,178.96,179.05,4512.0
2018-02-16,10:35:00,179.09,179.09,178.94,178.94,300.0
2018-02-16,10:36:00,179.19,179.33,179.1,179.1,1200.0
2018-02-16,10:39:00,179.24,179.24,179.24,179.24,100.0
2018-02-16,10:40:00,178.93,178.93,178.87,178.93,500.0
2018-02-16,10:42:00,178.825,178.825,178.82,178.82,200.0
2018-02-16,10:43:00,178.95,178.99,178.64,178.64,1000.0
2018-02-16,10:44:00,178.575,178.575,178.46,178.46,200.0
2018-02-16,10:45:00,178.62,178.74,178.62,178.62,1552.0
2018-02-16,10:46:00,178.52,178.61,178.36,178.495,5263.0
2018-02-16,10:47:00,178.44,178.85,178.4,178.85,3500.0
2018-02-16,10:48:00,178.8336,178.97,178.8336,178.97,400.0
2018-02-16,10:49:00,178.94,178.94,178.74,178.74,200.0
2018-02-16,10:50:00,179.03,179.08,179.03,179.08,300.0
2018-02-16,10:51:00,178.93,179.05,178.93,179.05,1753.0
2018-02-16,10:52:00,178.95,179.1,178.95,179.04,2477.0
2018-02-16,10:53:00,179.17,179.17,179.0217,179.0217,261.0
2018-02-16,10:54:00,179.02,179.18,179.02,179.155,600.0
2018-02-16,10:55:00,179.09,179.09,179.0,179.0,1042.0
2018-02-16,10:56:00,179.0777,179.0777,179.0777,179.0777,368.0
2018-02-16,10:57:00,179.18,179.3,179.18,179.3,1700.0
2018-02-16,10:58:00,179.23,179.24,179.12,179.12,1603.0
2018-02-16,10:59:00,179.2899,179.33,179.035,179.33,1148.0
2018-02-16,11:00:00,179.38,179.38,179.14,179.14,700.0
2018-02-16,11:01:00,179.2,179.47,179.2,179.44,600.0
2018-02-16,11:02:00,179.7,179.8,179.64,179.67,1500.0
2018-02-16,11:04:00,179.57,179.57,179.57,179.57,100.0
2018-02-16,11:05:00,179.72,179.9,179.54,179.54,3472.0
2018-02-16,11:06:00,179.68,179.74,179.68,179.74,700.0
2018-02-16,11:07:00,179.74,179.8,179.74,179.78,900.0
2018-02-16,11:09:00,179.66,180.0,179.64,180.0,3910.0
2018-02-16,11:10:00,180.0,180.25,180.0,180.12,1280.0
2018-02-16,11:11:00,180.13,180.29,180.07,180.12,3021.0
2018-02-16,11:12:00,180.25,180.27,180.09,180.09,700.0
2018-02-16,11:13:00,180.06,180.06,179.98,179.98,500.0
2018-02-16,11:14:00,179.978,179.978,179.978,179.978,200.0
2018-02-16,11:15:00,180.13,180.38,180.13,180.38,1926.0
2018-02-16,11:16:00,180.285,180.285,180.16,180.17,700.0
2018-02-16,11:17:00,180.135,180.26,180.135,180.24,950.0
2018-02-16,11:18:00,180.27,180.39,180.2,180.25,4000.0
2018-02-16,11:19:00,179.96,179.96,179.96,179.96,100.0
2018-02-16,11:20:00,179.87,179.88,179.8,179.8407,900.0
2018-02-16,11:21:00,179.78,179.99,179.78,179.98,1800.0
2018-02-16,11:23:00,180.0,180.0,180.0,180.0,100.0
2018-02-16,11:24:00,180.0,180.13,179.91,179.91,4261.0
2018-02-16,11:26:00,179.955,179.955,179.85,179.9025,1376.0
2018-02-16,11:27:00,179.8,179.8,179.59,179.59,900.0
2018-02-16,11:28:00,179.705,179.705,179.705,179.705,100.0
2018-02-16,11:29:00,179.79,179.91,179.79,179.85,2700.0
2018-02-16,11:30:00,179.94,180.14,179.89,179.91,3681.0
2018-02-16,11:32:00,179.89,179.89,179.66,179.66,2200.0
2018-02-16,11:33:00,179.83,180.265,179.83,180.265,2166.0
2018-02-16,11:34:00,180.2178,180.2178,180.2178,180.2178,1000.0
2018-02-16,11:35:00,180.28,180.39,180.18,180.18,2270.0
2018-02-16,11:36:00,180.04,180.14,179.89,180.08,3200.0
2018-02-16,11:37:00,180.06,180.06,179.84,179.84,500.0
2018-02-16,11:38:00,179.8829,179.8829,179.8829,179.8829,500.0
2018-02-16,11:40:00,179.96,180.09,179.95,179.96,1649.0
2018-02-16,11:41:00,180.14,180.21,180.14,180.2,1050.0
2018-02-16,11:42:00,180.12,180.2,180.055,180.2,1493.0
2018-02-16,11:43:00,180.13,180.13,180.13,180.13,100.0
2018-02-16,11:44:00,180.2,180.32,180.14,180.32,2210.0
2018-02-16,11:45:00,180.23,180.23,180.05,180.07,2800.0
2018-02-16,11:46:00,180.06,180.16,180.06,180.16,2100.0
2018-02-16,11:47:00,180.16,180.16,180.16,180.16,400.0
2018-02-16,11:48:00,180.16,180.16,180.16,180.16,100.0
2018-02-16,11:49:00,180.195,180.195,180.195,180.195,200.0
2018-02-16,11:50:00,180.18,180.35,180.18,180.3,800.0
2018-02-16,11:51:00,180.39,180.54,180.38,180.41,4076.0
2018-02-16,11:52:00,180.32,180.37,180.31,180.35,1000.0
2018-02-16,11:53:00,180.27,180.35,180.27,180.35,1200.0
2018-02-16,11:54:00,180.3501,180.36,180.35,180.36,376.0
2018-02-16,11:56:00,180.41,180.41,180.35,180.36,800.0
2018-02-16,11:57:00,180.39,180.39,180.23,180.23,1100.0
2018-02-16,11:58:00,180.14,180.18,180.06,180.06,1200.0
2018-02-16,11:59:00,180.1,180.19,180.1,180.13,3100.0
2018-02-16,12:00:00,180.09,180.13,179.96,180.13,800.0
2018-02-16,12:01:00,180.06,180.2384,180.06,180.16,1650.0
2018-02-16,12:02:00,180.17,180.23,179.99,179.99,1400.0
2018-02-16,12:03:00,180.18,180.25,180.165,180.24,2260.0
2018-02-16,12:04:00,180.18,180.22,180.11,180.11,781.0
2018-02-16,12:05:00,180.1476,180.23,180.1476,180.22,1200.0
2018-02-16,12:06:00,180.22,180.34,180.2,180.2,2700.0
2018-02-16,12:07:00,180.1,180.22,180.1,180.218,3000.0
2018-02-16,12:08:00,180.14,180.14,179.98,179.98,1000.0
2018-02-16,12:09:00,179.97,180.05,179.61,179.745,3100.0
2018-02-16,12:10:00,179.63,179.635,179.56,179.635,1300.0
2018-02-16,12:12:00,179.6,179.7198,179.59,179.7198,900.0
2018-02-16,12:13:00,179.56,179.63,179.46,179.46,1124.0
2018-02-16,12:14:00,179.38,179.38,179.38,179.38,200.0
2018-02-16,12:15:00,179.2,179.29,179.2,179.29,300.0
2018-02-16,12:16:00,179.29,179.29,179.17,179.17,400.0
2018-02-16,12:17:00,179.17,179.27,179.17,179.2275,1400.0
2018-02-16,12:18:00,179.14,179.299,179.12,179.299,1065.0
2018-02-16,12:20:00,179.19,179.195,179.19,179.195,200.0
2018-02-16,12:21:00,179.3,179.52,179.29,179.52,2100.0
2018-02-16,12:24:00,179.29,179.35,179.29,179.35,200.0
