date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,78.2,78.39,78.16,78.39,408440.0
2018-02-16,09:31:00,78.28,78.29,78.03,78.09,28998.0
2018-02-16,09:32:00,78.11,78.19,78.06,78.06,24165.0
2018-02-16,09:33:00,78.0686,78.1,77.85,77.9232,46737.0
2018-02-16,09:34:00,77.9,77.9,77.72,77.76,18280.0
2018-02-16,09:35:00,77.75,77.86,77.7,77.845,20087.0
2018-02-16,09:36:00,77.8665,77.98,77.8257,77.95,36277.0
2018-02-16,09:37:00,77.95,78.07,77.89,78.06,27734.0
2018-02-16,09:38:00,78.06,78.06,77.9617,77.9932,11636.0
2018-02-16,09:39:00,78.01,78.06,77.98,78.01,47321.0
2018-02-16,09:40:00,78.01,78.11,78.01,78.07,23289.0
2018-02-16,09:41:00,78.07,78.07,77.91,77.91,21691.0
2018-02-16,09:42:00,77.91,77.93,77.82,77.8505,21023.0
2018-02-16,09:43:00,77.86,77.89,77.79,77.8775,11030.0
2018-02-16,09:44:00,77.88,77.9,77.74,77.76,17073.0
2018-02-16,09:45:00,77.73,77.75,77.6,77.6,17869.0
2018-02-16,09:46:00,77.625,77.67,77.58,77.64,36702.0
2018-02-16,09:47:00,77.67,77.71,77.5698,77.64,45265.0
2018-02-16,09:48:00,77.64,77.64,77.53,77.58,16348.0
2018-02-16,09:49:00,77.59,77.675,77.53,77.65,28417.0
2018-02-16,09:50:00,77.66,77.86,77.6532,77.85,19980.0
2018-02-16,09:51:00,77.83,78.01,77.81,78.01,27984.0
2018-02-16,09:52:00,78.015,78.02,77.95,78.01,16515.0
2018-02-16,09:53:00,78.01,78.0434,77.92,78.015,20411.0
2018-02-16,09:54:00,78.0,78.0282,77.9588,77.97,16523.0
2018-02-16,09:55:00,78.0,78.08,77.99,78.02,23428.0
2018-02-16,09:56:00,78.03,78.055,77.92,77.94,40923.0
2018-02-16,09:57:00,77.94,77.97,77.92,77.94,20694.0
2018-02-16,09:58:00,77.9437,78.09,77.93,78.08,25701.0
2018-02-16,09:59:00,78.0811,78.12,77.98,77.98,19629.0
2018-02-16,10:00:00,77.98,78.01,77.92,77.95,31595.0
2018-02-16,10:01:00,77.94,78.02,77.93,77.93,25066.0
2018-02-16,10:02:00,77.93,77.95,77.85,77.86,32234.0
2018-02-16,10:03:00,77.86,77.88,77.8001,77.805,35134.0
2018-02-16,10:04:00,77.82,77.8467,77.7935,77.8,15610.0
2018-02-16,10:05:00,77.81,77.88,77.81,77.84,13722.0
2018-02-16,10:06:00,77.84,77.845,77.78,77.82,15345.0
2018-02-16,10:07:00,77.82,77.82,77.7,77.7,18948.0
2018-02-16,10:08:00,77.705,77.705,77.59,77.62,15360.0
2018-02-16,10:09:00,77.62,77.71,77.62,77.705,22203.0
2018-02-16,10:10:00,77.71,77.9,77.71,77.85,15868.0
2018-02-16,10:11:00,77.84,77.84,77.7463,77.78,15800.0
2018-02-16,10:12:00,77.78,77.8024,77.72,77.7242,17271.0
2018-02-16,10:13:00,77.72,77.7874,77.63,77.7874,21549.0
2018-02-16,10:14:00,77.76,77.79,77.67,77.67,12698.0
2018-02-16,10:15:00,77.7,77.74,77.66,77.7,9673.0
2018-02-16,10:16:00,77.69,77.8212,77.69,77.8,11192.0
2018-02-16,10:17:00,77.8,77.91,77.74,77.83,19624.0
2018-02-16,10:18:00,77.82,77.8317,77.75,77.79,14486.0
2018-02-16,10:19:00,77.8,77.83,77.75,77.8,17162.0
2018-02-16,10:20:00,77.8,77.82,77.75,77.75,12832.0
2018-02-16,10:21:00,77.75,77.81,77.75,77.78,8946.0
2018-02-16,10:22:00,77.81,77.89,77.81,77.89,11651.0
2018-02-16,10:23:00,77.9,77.93,77.87,77.91,11456.0
2018-02-16,10:24:00,77.935,77.9399,77.87,77.89,16974.0
2018-02-16,10:25:00,77.87,77.94,77.86,77.93,16565.0
2018-02-16,10:26:00,77.93,78.12,77.93,78.05,19151.0
2018-02-16,10:27:00,78.045,78.08,78.0121,78.06,14152.0
2018-02-16,10:28:00,78.06,78.1124,78.02,78.09,12850.0
2018-02-16,10:29:00,78.08,78.15,78.07,78.14,23155.0
2018-02-16,10:30:00,78.1588,78.245,78.12,78.22,16769.0
2018-02-16,10:31:00,78.22,78.28,78.18,78.25,17741.0
2018-02-16,10:32:00,78.26,78.27,78.17,78.21,18923.0
2018-02-16,10:33:00,78.199,78.24,78.19,78.22,8142.0
