date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,64.77,65.14,64.6,64.81,521016.0
2018-02-16,09:31:00,64.97,65.0,64.595,64.7477,57645.0
2018-02-16,09:32:00,64.7674,64.97,64.71,64.9401,62324.0
2018-02-16,09:33:00,64.99,65.005,64.92,64.99,36025.0
2018-02-16,09:34:00,64.985,65.04,64.95,65.025,29028.0
2018-02-16,09:35:00,65.04,65.11,65.01,65.04,38997.0
2018-02-16,09:36:00,65.05,65.15,65.0389,65.1,107964.0
2018-02-16,09:37:00,65.09,65.25,65.09,65.23,51647.0
2018-02-16,09:38:00,65.23,65.25,65.09,65.1627,35592.0
2018-02-16,09:39:00,65.15,65.3,65.15,65.28,25098.0
2018-02-16,09:40:00,65.27,65.35,65.22,65.26,31680.0
2018-02-16,09:41:00,65.29,65.2906,65.23,65.28,10588.0
2018-02-16,09:42:00,65.28,65.32,65.18,65.18,24579.0
2018-02-16,09:43:00,65.2,65.25,65.18,65.25,20025.0
2018-02-16,09:44:00,65.25,65.27,65.16,65.17,10952.0
2018-02-16,09:45:00,65.165,65.21,65.01,65.01,21591.0
2018-02-16,09:46:00,65.02,65.12,65.01,65.1,33532.0
2018-02-16,09:47:00,65.09,65.1199,64.97,65.0203,33224.0
2018-02-16,09:48:00,65.03,65.07,65.0101,65.02,30366.0
2018-02-16,09:49:00,65.02,65.05,64.95,65.0,24301.0
2018-02-16,09:50:00,65.005,65.02,64.83,64.85,31790.0
2018-02-16,09:51:00,64.87,65.01,64.86,65.01,29650.0
2018-02-16,09:52:00,65.02,65.0699,65.01,65.02,29508.0
2018-02-16,09:53:00,65.02,65.09,64.9735,65.09,17589.0
2018-02-16,09:54:00,65.085,65.15,65.0702,65.11,27971.0
2018-02-16,09:55:00,65.14,65.14,64.93,64.98,15223.0
2018-02-16,09:56:00,64.9852,65.04,64.9852,65.04,8210.0
2018-02-16,09:57:00,65.02,65.055,65.01,65.02,9293.0
2018-02-16,09:58:00,65.03,65.08,65.03,65.05,15008.0
2018-02-16,09:59:00,65.05,65.06,65.031,65.05,10199.0
2018-02-16,10:00:00,65.03,65.11,65.03,65.09,19136.0
2018-02-16,10:01:00,65.09,65.21,65.09,65.09,26901.0
2018-02-16,10:02:00,65.09,65.16,65.0603,65.0603,13715.0
2018-02-16,10:03:00,65.0696,65.13,65.0696,65.0896,5505.0
2018-02-16,10:04:00,65.08,65.119,65.04,65.055,8948.0
2018-02-16,10:05:00,65.05,65.125,65.05,65.06,6289.0
2018-02-16,10:06:00,65.07,65.12,65.05,65.12,29747.0
2018-02-16,10:07:00,65.11,65.12,65.07,65.08,20940.0
2018-02-16,10:08:00,65.075,65.075,64.9902,65.0,21997.0
2018-02-16,10:09:00,65.01,65.04,64.99,65.025,14683.0
2018-02-16,10:10:00,65.03,65.05,65.01,65.02,60394.0
2018-02-16,10:11:00,65.01,65.02,64.96,64.96,18995.0
2018-02-16,10:12:00,64.965,64.965,64.83,64.871,24677.0
2018-02-16,10:13:00,64.87,65.0,64.8674,64.985,14270.0
2018-02-16,10:14:00,64.99,64.995,64.885,64.885,6500.0
2018-02-16,10:15:00,64.91,64.99,64.91,64.93,7733.0
2018-02-16,10:16:00,64.95,65.05,64.93,65.045,70640.0
2018-02-16,10:17:00,65.05,65.1,65.04,65.095,8796.0
2018-02-16,10:18:00,65.095,65.13,65.09,65.1,17644.0
2018-02-16,10:19:00,65.1,65.18,65.07,65.16,20387.0
2018-02-16,10:20:00,65.16,65.19,65.1,65.14,27488.0
2018-02-16,10:21:00,65.122,65.16,65.09,65.16,10314.0
2018-02-16,10:22:00,65.16,65.16,65.1,65.125,46658.0
2018-02-16,10:23:00,65.13,65.21,65.11,65.2089,50241.0
2018-02-16,10:24:00,65.212,65.3222,65.19,65.3222,11752.0
2018-02-16,10:25:00,65.32,65.34,65.25,65.2501,24545.0
2018-02-16,10:26:00,65.2662,65.28,65.22,65.28,24030.0
2018-02-16,10:27:00,65.28,65.29,65.231,65.251,19630.0
2018-02-16,10:28:00,65.26,65.28,65.21,65.28,42030.0
2018-02-16,10:29:00,65.275,65.35,65.27,65.31,15787.0
2018-02-16,10:30:00,65.31,65.3104,65.28,65.31,11841.0
2018-02-16,10:31:00,65.3,65.3,65.2402,65.25,11001.0
2018-02-16,10:32:00,65.26,65.28,65.25,65.28,8767.0
2018-02-16,10:33:00,65.29,65.305,65.23,65.24,16850.0
2018-02-16,10:34:00,65.25,65.25,65.16,65.22,27887.0
2018-02-16,10:35:00,65.22,65.23,65.15,65.1533,21885.0
2018-02-16,10:36:00,65.16,65.2,65.1,65.13,66886.0
2018-02-16,10:37:00,65.14,65.23,65.14,65.19,64459.0
2018-02-16,10:38:00,65.19,65.215,65.13,65.135,141078.0
2018-02-16,10:39:00,65.14,65.2,65.135,65.1963,23930.0
2018-02-16,10:40:00,65.19,65.23,65.17,65.195,34682.0
2018-02-16,10:41:00,65.2,65.27,65.2,65.24,8209.0
2018-02-16,10:42:00,65.2502,65.26,65.22,65.2401,10875.0
2018-02-16,10:43:00,65.25,65.26,65.19,65.2101,26305.0
2018-02-16,10:44:00,65.22,65.27,65.22,65.27,3636.0
2018-02-16,10:45:00,65.28,65.34,65.2708,65.3295,13451.0
2018-02-16,10:46:00,65.33,65.38,65.3201,65.36,34770.0
