date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,9.14,9.14,9.12,9.12,108169.0
2018-02-16,09:31:00,9.19,9.19,9.1301,9.18,44862.0
2018-02-16,09:32:00,9.18,9.205,9.18,9.2,51566.0
2018-02-16,09:33:00,9.195,9.2,9.17,9.185,31180.0
2018-02-16,09:34:00,9.19,9.21,9.16,9.195,42371.0
2018-02-16,09:35:00,9.195,9.205,9.18,9.195,22782.0
2018-02-16,09:36:00,9.1959,9.1959,9.13,9.145,35824.0
2018-02-16,09:37:00,9.145,9.15,9.12,9.13,19890.0
2018-02-16,09:38:00,9.12,9.14,9.11,9.14,42741.0
2018-02-16,09:39:00,9.15,9.19,9.15,9.19,15000.0
2018-02-16,09:40:00,9.19,9.2,9.16,9.1688,36883.0
2018-02-16,09:41:00,9.165,9.17,9.145,9.17,22878.0
2018-02-16,09:42:00,9.17,9.19,9.16,9.185,70670.0
2018-02-16,09:43:00,9.2,9.21,9.185,9.185,84304.0
2018-02-16,09:44:00,9.195,9.21,9.185,9.2,52941.0
2018-02-16,09:45:00,9.19,9.2,9.18,9.185,80421.0
2018-02-16,09:46:00,9.18,9.205,9.17,9.195,58605.0
2018-02-16,09:47:00,9.195,9.21,9.18,9.21,73975.0
2018-02-16,09:48:00,9.2052,9.23,9.2,9.2299,48851.0
2018-02-16,09:49:00,9.23,9.26,9.23,9.2563,63262.0
2018-02-16,09:50:00,9.255,9.26,9.22,9.22,59773.0
2018-02-16,09:51:00,9.21,9.215,9.19,9.215,48332.0
2018-02-16,09:52:00,9.22,9.22,9.2,9.21,23990.0
2018-02-16,09:53:00,9.2099,9.22,9.205,9.205,58403.0
2018-02-16,09:54:00,9.205,9.22,9.2,9.22,107250.0
2018-02-16,09:55:00,9.22,9.24,9.22,9.23,53772.0
2018-02-16,09:56:00,9.23,9.23,9.2,9.205,15149.0
2018-02-16,09:57:00,9.205,9.21,9.195,9.21,95240.0
2018-02-16,09:58:00,9.21,9.21,9.2,9.205,11201.0
2018-02-16,09:59:00,9.205,9.22,9.18,9.18,135303.0
2018-02-16,10:00:00,9.185,9.2,9.18,9.195,21080.0
2018-02-16,10:01:00,9.19,9.21,9.18,9.2,9599.0
2018-02-16,10:02:00,9.2,9.21,9.19,9.195,20074.0
2018-02-16,10:03:00,9.195,9.2,9.19,9.195,11100.0
2018-02-16,10:04:00,9.2,9.215,9.185,9.19,116793.0
2018-02-16,10:05:00,9.19,9.2,9.17,9.175,54495.0
2018-02-16,10:06:00,9.18,9.19,9.17,9.18,27890.0
2018-02-16,10:07:00,9.18,9.18,9.17,9.175,9370.0
2018-02-16,10:08:00,9.18,9.18,9.13,9.1345,47095.0
2018-02-16,10:09:00,9.1336,9.16,9.1336,9.16,18408.0
2018-02-16,10:10:00,9.16,9.165,9.155,9.155,22807.0
2018-02-16,10:11:00,9.16,9.16,9.15,9.155,3570.0
2018-02-16,10:12:00,9.16,9.175,9.155,9.1648,18400.0
2018-02-16,10:13:00,9.17,9.17,9.13,9.135,81866.0
2018-02-16,10:14:00,9.14,9.15,9.1334,9.14,33544.0
2018-02-16,10:15:00,9.14,9.155,9.13,9.13,22302.0
2018-02-16,10:16:00,9.13,9.16,9.13,9.16,31612.0
2018-02-16,10:17:00,9.155,9.18,9.155,9.1762,22955.0
