date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,13.53,13.58,13.53,13.56,120105.0
2018-02-16,09:32:00,13.56,13.58,13.54,13.56,6313.0
2018-02-16,09:33:00,13.56,13.56,13.54,13.54,29000.0
2018-02-16,09:34:00,13.54,13.59,13.52,13.55,54026.0
2018-02-16,09:35:00,13.555,13.59,13.5301,13.59,33805.0
2018-02-16,09:36:00,13.59,13.59,13.52,13.55,15383.0
2018-02-16,09:37:00,13.54,13.545,13.485,13.5,19439.0
2018-02-16,09:38:00,13.5,13.515,13.48,13.5001,34958.0
2018-02-16,09:39:00,13.51,13.545,13.5,13.52,47393.0
2018-02-16,09:40:00,13.53,13.5501,13.53,13.54,23173.0
2018-02-16,09:41:00,13.535,13.5601,13.5,13.51,75688.0
2018-02-16,09:42:00,13.51,13.54,13.5,13.5301,23737.0
2018-02-16,09:43:00,13.54,13.555,13.54,13.55,30820.0
2018-02-16,09:44:00,13.555,13.585,13.55,13.575,20057.0
2018-02-16,09:45:00,13.57,13.57,13.53,13.545,38113.0
2018-02-16,09:46:00,13.55,13.6,13.54,13.6,36448.0
2018-02-16,09:47:00,13.6,13.61,13.58,13.61,29354.0
2018-02-16,09:48:00,13.61,13.65,13.605,13.64,14593.0
2018-02-16,09:49:00,13.635,13.66,13.63,13.655,27402.0
2018-02-16,09:50:00,13.655,13.68,13.635,13.635,28839.0
2018-02-16,09:51:00,13.635,13.67,13.62,13.67,17920.0
2018-02-16,09:52:00,13.66,13.67,13.63,13.67,22360.0
2018-02-16,09:53:00,13.67,13.69,13.66,13.68,9684.0
2018-02-16,09:54:00,13.685,13.685,13.64,13.65,29174.0
2018-02-16,09:55:00,13.66,13.69,13.66,13.69,17183.0
2018-02-16,09:56:00,13.685,13.685,13.66,13.665,21248.0
2018-02-16,09:57:00,13.66,13.69,13.65,13.68,25856.0
2018-02-16,09:58:00,13.68,13.72,13.68,13.715,9857.0
2018-02-16,09:59:00,13.72,13.72,13.62,13.62,34080.0
2018-02-16,10:00:00,13.63,13.635,13.59,13.62,24849.0
2018-02-16,10:01:00,13.63,13.635,13.62,13.63,8994.0
2018-02-16,10:02:00,13.62,13.63,13.56,13.57,20582.0
2018-02-16,10:03:00,13.57,13.6,13.57,13.59,7498.0
2018-02-16,10:04:00,13.6,13.61,13.6,13.61,6786.0
2018-02-16,10:05:00,13.61,13.61,13.575,13.575,10610.0
2018-02-16,10:06:00,13.57,13.575,13.54,13.565,17233.0
2018-02-16,10:07:00,13.56,13.56,13.54,13.545,8600.0
2018-02-16,10:08:00,13.54,13.55,13.51,13.52,11666.0
2018-02-16,10:09:00,13.52,13.53,13.51,13.53,7100.0
2018-02-16,10:10:00,13.53,13.555,13.53,13.55,14088.0
2018-02-16,10:11:00,13.55,13.555,13.53,13.54,13360.0
2018-02-16,10:12:00,13.55,13.57,13.54,13.55,10546.0
2018-02-16,10:13:00,13.55,13.55,13.5,13.52,13366.0
2018-02-16,10:14:00,13.52,13.545,13.52,13.52,18718.0
2018-02-16,10:15:00,13.525,13.525,13.49,13.4945,46430.0
2018-02-16,10:16:00,13.49,13.5,13.475,13.485,27900.0
2018-02-16,10:17:00,13.49,13.505,13.49,13.5,24543.0
