date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,217.68,217.98,217.5921,217.75,77278.0
2018-02-16,09:32:00,217.5803,217.6345,217.5716,217.6345,1900.0
2018-02-16,09:33:00,217.53,217.53,217.07,217.405,2631.0
2018-02-16,09:34:00,217.2382,217.531,217.15,217.5,2930.0
2018-02-16,09:35:00,217.21,217.59,217.21,217.5,4556.0
2018-02-16,09:36:00,217.61,217.68,217.26,217.43,12874.0
2018-02-16,09:37:00,217.43,217.54,217.43,217.44,892.0
2018-02-16,09:38:00,217.43,217.53,217.28,217.43,5454.0
2018-02-16,09:39:00,217.388,217.508,217.26,217.44,3540.0
2018-02-16,09:40:00,217.26,217.41,217.23,217.38,2554.0
2018-02-16,09:41:00,217.19,217.31,217.06,217.145,3396.0
2018-02-16,09:42:00,217.21,217.29,216.69,216.7602,3702.0
2018-02-16,09:43:00,216.76,216.78,216.57,216.688,2150.0
2018-02-16,09:44:00,216.75,216.75,216.11,216.11,10066.0
2018-02-16,09:45:00,216.3,216.35,216.2301,216.2855,1038.0
2018-02-16,09:46:00,216.14,216.64,215.9,216.64,8678.0
2018-02-16,09:47:00,216.682,216.682,216.45,216.6814,1849.0
2018-02-16,09:48:00,216.58,216.8,216.54,216.8,1155.0
2018-02-16,09:49:00,216.66,217.31,216.54,217.31,7073.0
2018-02-16,09:50:00,217.15,217.28,216.97,217.1,3060.0
2018-02-16,09:51:00,217.0,217.14,216.86,216.86,2000.0
2018-02-16,09:52:00,217.1,217.1,217.086,217.086,300.0
2018-02-16,09:53:00,217.21,217.24,216.86,217.04,6531.0
2018-02-16,09:54:00,217.21,217.32,217.19,217.205,939.0
2018-02-16,09:55:00,217.35,217.38,217.15,217.15,2640.0
2018-02-16,09:56:00,217.08,217.27,217.08,217.27,2209.0
2018-02-16,09:57:00,217.2842,217.39,217.21,217.21,2520.0
2018-02-16,09:58:00,217.16,217.25,217.0,217.0,6916.0
2018-02-16,09:59:00,216.97,216.97,216.7638,216.78,2067.0
2018-02-16,10:00:00,216.6,216.6,216.6,216.6,100.0
2018-02-16,10:01:00,216.615,216.64,216.3301,216.425,3605.0
2018-02-16,10:02:00,216.49,216.57,216.32,216.42,2272.0
2018-02-16,10:03:00,216.46,216.59,216.46,216.5294,1457.0
2018-02-16,10:04:00,216.63,216.78,216.39,216.445,3985.0
2018-02-16,10:05:00,216.435,216.75,216.435,216.53,1150.0
2018-02-16,10:06:00,216.4462,216.4462,216.32,216.4112,550.0
2018-02-16,10:07:00,216.415,216.4378,216.28,216.32,1745.0
2018-02-16,10:08:00,216.26,216.415,216.26,216.415,1412.0
2018-02-16,10:09:00,216.37,216.47,216.305,216.305,900.0
2018-02-16,10:10:00,216.41,216.716,216.3,216.716,3413.0
2018-02-16,10:11:00,216.72,216.72,216.45,216.45,1200.0
2018-02-16,10:12:00,216.54,216.57,216.42,216.57,1121.0
2018-02-16,10:13:00,216.57,216.78,216.41,216.78,2800.0
2018-02-16,10:15:00,216.62,216.75,216.53,216.6,1734.0
2018-02-16,10:16:00,216.5719,216.7499,216.5719,216.61,500.0
2018-02-16,10:17:00,216.6,217.11,216.6,216.87,2712.0
2018-02-16,10:18:00,216.86,217.019,216.84,216.9656,1200.0
2018-02-16,10:19:00,216.985,217.25,216.9,217.25,1309.0
2018-02-16,10:20:00,217.15,217.25,217.06,217.14,1551.0
2018-02-16,10:21:00,217.13,217.23,217.095,217.23,1421.0
2018-02-16,10:22:00,217.24,217.37,217.24,217.37,600.0
2018-02-16,10:23:00,217.38,217.42,217.31,217.31,800.0
2018-02-16,10:24:00,217.395,217.4257,217.25,217.38,1875.0
2018-02-16,10:25:00,217.25,217.255,217.25,217.255,200.0
2018-02-16,10:26:00,217.33,217.51,217.33,217.51,2328.0
2018-02-16,10:27:00,217.39,217.49,217.34,217.459,800.0
2018-02-16,10:28:00,217.47,217.6,217.47,217.5,1100.0
2018-02-16,10:29:00,217.5,217.77,217.4472,217.64,3235.0
2018-02-16,10:30:00,217.57,217.75,217.55,217.65,450.0
2018-02-16,10:31:00,217.795,217.795,217.6824,217.6824,221.0
2018-02-16,10:32:00,217.79,218.11,217.79,218.11,2507.0
2018-02-16,10:33:00,218.12,218.15,217.95,218.15,1562.0
2018-02-16,10:34:00,218.005,218.075,217.99,217.99,312.0
2018-02-16,10:35:00,218.0414,218.06,217.92,218.0098,2915.0
2018-02-16,10:36:00,218.0036,218.3467,218.0036,218.06,2018.0
2018-02-16,10:37:00,218.2777,218.2777,218.2777,218.2777,200.0
2018-02-16,10:38:00,218.33,218.37,218.18,218.25,2206.0
2018-02-16,10:39:00,218.34,218.3647,218.21,218.2406,2100.0
2018-02-16,10:40:00,218.21,218.2341,218.11,218.11,1450.0
2018-02-16,10:41:00,218.155,218.155,218.0306,218.075,1621.0
2018-02-16,10:42:00,218.12,218.17,218.12,218.14,750.0
2018-02-16,10:43:00,218.25,218.39,218.0877,218.18,3238.0
2018-02-16,10:44:00,218.19,218.23,218.0983,218.19,1994.0
2018-02-16,10:45:00,218.16,218.16,218.06,218.06,2150.0
2018-02-16,10:46:00,218.14,218.14,217.831,218.01,1588.0
2018-02-16,10:47:00,218.0,218.16,217.99,217.99,2300.0
2018-02-16,10:48:00,217.985,218.05,217.71,217.715,2814.0
2018-02-16,10:49:00,217.89,217.89,217.89,217.89,100.0
2018-02-16,10:50:00,217.8556,217.96,217.84,217.9,1170.0
2018-02-16,10:51:00,217.97,217.98,217.77,217.845,2937.0
2018-02-16,10:52:00,217.77,217.845,217.71,217.8181,945.0
2018-02-16,10:53:00,217.81,217.885,217.7833,217.885,930.0
2018-02-16,10:54:00,217.7744,217.7744,217.72,217.72,819.0
2018-02-16,10:55:00,217.675,217.7844,217.675,217.7844,479.0
2018-02-16,10:56:00,217.78,217.8055,217.75,217.75,540.0
2018-02-16,10:57:00,217.725,217.76,217.7,217.76,700.0
2018-02-16,10:58:00,217.725,217.725,217.63,217.7,400.0
2018-02-16,10:59:00,217.7199,217.7199,217.49,217.5373,2643.0
2018-02-16,11:00:00,217.495,217.51,217.28,217.365,7887.0
2018-02-16,11:01:00,217.56,217.72,217.52,217.57,919.0
2018-02-16,11:02:00,217.58,217.58,217.58,217.58,300.0
2018-02-16,11:03:00,217.58,217.64,217.5,217.6386,2282.0
2018-02-16,11:04:00,217.6024,217.6024,217.42,217.52,4250.0
2018-02-16,11:05:00,217.55,217.7,217.38,217.5625,2500.0
2018-02-16,11:06:00,217.55,217.64,217.49,217.6218,8837.0
2018-02-16,11:07:00,217.72,217.81,217.72,217.75,775.0
2018-02-16,11:08:00,217.73,217.76,217.67,217.675,600.0
2018-02-16,11:09:00,217.73,217.85,217.73,217.85,400.0
2018-02-16,11:10:00,217.9,217.9,217.88,217.88,400.0
2018-02-16,11:11:00,217.8878,217.95,217.87,217.95,400.0
2018-02-16,11:12:00,218.04,218.1916,217.97,218.1916,2794.0
2018-02-16,11:13:00,218.12,218.38,218.1,218.31,4372.0
2018-02-16,11:14:00,218.4,218.46,218.27,218.34,2015.0
2018-02-16,11:15:00,218.39,218.575,218.3662,218.46,6866.0
2018-02-16,11:16:00,218.48,218.485,218.4577,218.485,2156.0
2018-02-16,11:17:00,218.46,218.47,218.36,218.375,1320.0
2018-02-16,11:18:00,218.3816,218.3989,218.29,218.3989,1612.0
2018-02-16,11:19:00,218.28,218.3566,218.28,218.28,1420.0
2018-02-16,11:20:00,218.11,218.19,218.05,218.05,2730.0
2018-02-16,11:21:00,218.05,218.1753,218.01,218.1139,7800.0
2018-02-16,11:22:00,218.1,218.33,218.1,218.28,2453.0
2018-02-16,11:23:00,218.264,218.264,218.16,218.18,1100.0
2018-02-16,11:25:00,218.31,218.31,218.192,218.245,2238.0
2018-02-16,11:26:00,218.18,218.18,218.145,218.18,3600.0
2018-02-16,11:27:00,218.185,218.185,218.065,218.116,1200.0
2018-02-16,11:28:00,218.2,218.2,218.026,218.11,1850.0
2018-02-16,11:29:00,218.11,218.12,217.91,217.91,2350.0
2018-02-16,11:30:00,217.96,217.96,217.72,217.72,1120.0
2018-02-16,11:31:00,217.83,217.83,217.8,217.8,400.0
2018-02-16,11:32:00,217.83,217.83,217.69,217.7,830.0
2018-02-16,11:33:00,217.7473,217.795,217.7473,217.795,402.0
2018-02-16,11:34:00,217.86,217.935,217.799,217.81,3164.0
2018-02-16,11:35:00,217.94,217.94,217.79,217.811,1400.0
2018-02-16,11:36:00,217.8113,217.94,217.75,217.75,2065.0
2018-02-16,11:37:00,217.8542,217.8542,217.8542,217.8542,234.0
2018-02-16,11:38:00,217.8552,217.8552,217.73,217.77,2500.0
2018-02-16,11:39:00,217.7799,217.7799,217.7799,217.7799,200.0
2018-02-16,11:40:00,217.83,217.83,217.74,217.775,1850.0
2018-02-16,11:41:00,217.7708,217.87,217.74,217.82,1444.0
2018-02-16,11:42:00,217.8167,217.91,217.81,217.91,612.0
2018-02-16,11:43:00,217.91,217.9199,217.835,217.835,400.0
2018-02-16,11:44:00,217.84,217.84,217.8236,217.8236,300.0
2018-02-16,11:45:00,217.77,217.84,217.67,217.69,1395.0
2018-02-16,11:46:00,217.69,217.74,217.69,217.7,1700.0
2018-02-16,11:47:00,217.6731,217.6731,217.61,217.61,900.0
2018-02-16,11:48:00,217.6,217.69,217.595,217.67,1400.0
2018-02-16,11:49:00,217.6183,217.69,217.6183,217.635,400.0
2018-02-16,11:50:00,217.61,217.71,217.59,217.61,2257.0
2018-02-16,11:51:00,217.76,217.81,217.76,217.81,300.0
2018-02-16,11:52:00,217.75,217.81,217.75,217.8,689.0
2018-02-16,11:53:00,217.735,217.8316,217.735,217.8316,1702.0
2018-02-16,11:54:00,217.75,217.75,217.7,217.7,1810.0
2018-02-16,11:55:00,217.69,217.7355,217.64,217.64,3315.0
2018-02-16,11:56:00,217.69,217.82,217.69,217.82,900.0
2018-02-16,11:57:00,217.841,217.85,217.841,217.85,200.0
2018-02-16,11:58:00,217.815,217.87,217.8,217.84,800.0
2018-02-16,11:59:00,217.88,217.89,217.82,217.865,1100.0
2018-02-16,12:00:00,217.83,217.89,217.77,217.81,800.0
2018-02-16,12:01:00,217.8,217.8,217.8,217.8,100.0
2018-02-16,12:02:00,217.795,217.795,217.63,217.63,1256.0
2018-02-16,12:03:00,217.77,217.89,217.77,217.85,1101.0
2018-02-16,12:04:00,217.9,217.9,217.67,217.67,500.0
2018-02-16,12:05:00,217.785,217.785,217.61,217.65,1261.0
2018-02-16,12:07:00,217.6301,217.7187,217.6301,217.705,823.0
2018-02-16,12:08:00,217.7,217.72,217.52,217.72,1300.0
2018-02-16,12:09:00,217.64,217.64,217.57,217.6356,675.0
2018-02-16,12:10:00,217.6202,217.6202,217.572,217.572,350.0
2018-02-16,12:11:00,217.63,217.69,217.61,217.645,1000.0
2018-02-16,12:12:00,217.69,217.79,217.64,217.72,2002.0
2018-02-16,12:14:00,217.78,217.83,217.76,217.82,1940.0
2018-02-16,12:15:00,217.77,217.86,217.74,217.844,3943.0
2018-02-16,12:16:00,217.72,217.81,217.61,217.71,2249.0
2018-02-16,12:17:00,217.74,217.82,217.71,217.82,700.0
2018-02-16,12:18:00,217.8144,217.91,217.8144,217.86,650.0
2018-02-16,12:19:00,217.91,217.91,217.87,217.87,200.0
2018-02-16,12:20:00,217.8798,217.9149,217.73,217.73,2025.0
2018-02-16,12:21:00,217.8,217.8,217.8,217.8,100.0
2018-02-16,12:22:00,217.72,217.73,217.67,217.7166,1000.0
2018-02-16,12:23:00,217.7098,217.75,217.7,217.7,600.0
2018-02-16,12:24:00,217.71,217.71,217.51,217.51,2315.0
2018-02-16,12:25:00,217.51,217.6,217.51,217.595,350.0
2018-02-16,12:26:00,217.59,217.605,217.51,217.51,1306.0
2018-02-16,12:27:00,217.5,217.51,217.49,217.51,417.0
2018-02-16,12:28:00,217.51,217.56,217.47,217.4917,1300.0
2018-02-16,12:29:00,217.57,217.63,217.525,217.62,1100.0
2018-02-16,12:30:00,217.57,217.6065,217.5,217.605,1200.0
2018-02-16,12:31:00,217.65,217.65,217.52,217.52,1383.0
2018-02-16,12:32:00,217.64,217.815,217.57,217.8013,6337.0
2018-02-16,12:33:00,217.81,217.85,217.75,217.75,500.0
2018-02-16,12:34:00,217.79,217.85,217.53,217.75,6626.0
2018-02-16,12:35:00,217.7674,217.9,217.7674,217.9,1900.0
2018-02-16,12:36:00,217.86,217.865,217.86,217.865,400.0
2018-02-16,12:37:00,217.92,218.05,217.8001,218.0,3266.0
2018-02-16,12:38:00,218.0,218.0999,217.93,217.93,1625.0
2018-02-16,12:39:00,218.16,218.19,218.015,218.045,1464.0
2018-02-16,12:40:00,218.0453,218.155,218.02,218.02,2394.0
2018-02-16,12:41:00,217.97,217.97,217.97,217.97,100.0
2018-02-16,12:42:00,217.9883,218.13,217.9883,218.08,1715.0
2018-02-16,12:43:00,218.11,218.13,218.06,218.065,2745.0
2018-02-16,12:44:00,218.101,218.101,218.0,218.0,1058.0
2018-02-16,12:45:00,218.005,218.05,218.005,218.05,400.0
2018-02-16,12:46:00,218.01,218.1035,218.01,218.0101,1335.0
2018-02-16,12:47:00,218.06,218.06,217.9784,218.05,763.0
2018-02-16,12:48:00,218.0391,218.1251,217.88,218.1251,2070.0
2018-02-16,12:49:00,218.1068,218.17,218.09,218.17,6175.0
2018-02-16,12:50:00,218.165,218.18,218.0,218.07,1700.0
2018-02-16,12:51:00,218.0607,218.0607,218.0,218.0,1243.0
2018-02-16,12:52:00,217.98,218.0,217.93,217.96,4087.0
2018-02-16,12:53:00,217.925,217.925,217.69,217.75,7014.0
2018-02-16,12:54:00,217.81,218.13,217.79,218.06,2234.0
2018-02-16,12:55:00,218.19,218.2,218.04,218.04,800.0
2018-02-16,12:56:00,218.02,218.02,217.81,217.81,700.0
2018-02-16,12:57:00,217.97,218.19,217.97,218.14,1400.0
2018-02-16,12:58:00,218.145,218.4,218.145,218.335,2500.0
