date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,5.49,5.49,5.49,5.49,58212.0
2018-02-16,09:31:00,5.49,5.49,5.45,5.4775,44201.0
2018-02-16,09:32:00,5.48,5.48,5.46,5.46,19175.0
2018-02-16,09:33:00,5.465,5.47,5.46,5.47,8200.0
2018-02-16,09:34:00,5.4675,5.4675,5.45,5.45,12750.0
2018-02-16,09:35:00,5.45,5.46,5.45,5.45,40861.0
2018-02-16,09:36:00,5.455,5.46,5.45,5.45,10227.0
2018-02-16,09:37:00,5.455,5.455,5.45,5.455,7017.0
2018-02-16,09:38:00,5.45,5.45,5.44,5.449,32462.0
2018-02-16,09:39:00,5.45,5.4566,5.445,5.455,18523.0
2018-02-16,09:40:00,5.455,5.4572,5.45,5.45,8800.0
2018-02-16,09:41:00,5.45,5.455,5.44,5.44,28083.0
2018-02-16,09:42:00,5.44,5.45,5.44,5.44,32478.0
2018-02-16,09:43:00,5.445,5.447,5.44,5.447,7288.0
2018-02-16,09:44:00,5.44,5.45,5.44,5.445,7760.0
2018-02-16,09:45:00,5.44,5.46,5.43,5.455,147817.0
2018-02-16,09:46:00,5.45,5.455,5.45,5.455,1700.0
2018-02-16,09:47:00,5.455,5.46,5.455,5.455,4214.0
2018-02-16,09:48:00,5.45,5.4599,5.45,5.455,4250.0
2018-02-16,09:49:00,5.455,5.455,5.45,5.455,3900.0
2018-02-16,09:50:00,5.455,5.46,5.45,5.455,12000.0
2018-02-16,09:51:00,5.4511,5.4575,5.45,5.455,14100.0
2018-02-16,09:52:00,5.45,5.46,5.45,5.45,11800.0
2018-02-16,09:53:00,5.45,5.46,5.45,5.45,6875.0
2018-02-16,09:54:00,5.45,5.455,5.45,5.45,6400.0
2018-02-16,09:55:00,5.455,5.455,5.45,5.455,7000.0
2018-02-16,09:56:00,5.455,5.455,5.45,5.455,2691.0
2018-02-16,09:57:00,5.455,5.4565,5.45,5.455,3000.0
2018-02-16,09:58:00,5.455,5.455,5.45,5.45,1000.0
2018-02-16,09:59:00,5.455,5.455,5.44,5.44,42639.0
2018-02-16,10:00:00,5.44,5.44,5.43,5.43,30996.0
2018-02-16,10:01:00,5.43,5.4399,5.42,5.42,50033.0
2018-02-16,10:02:00,5.425,5.43,5.42,5.4211,53450.0
2018-02-16,10:03:00,5.4211,5.425,5.4,5.4,107368.0
2018-02-16,10:04:00,5.405,5.41,5.4,5.4075,47820.0
2018-02-16,10:05:00,5.405,5.42,5.405,5.415,109184.0
2018-02-16,10:06:00,5.415,5.42,5.4134,5.415,4060.0
2018-02-16,10:07:00,5.415,5.42,5.4,5.4079,93013.0
