date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,6.94,6.94,6.94,6.94,52628.0
2018-02-16,09:31:00,6.94,6.94,6.94,6.94,563.0
2018-02-16,09:32:00,6.94,6.945,6.94,6.945,76500.0
2018-02-16,09:33:00,6.945,6.945,6.94,6.945,2800.0
2018-02-16,09:35:00,6.94,6.9493,6.94,6.9493,8650.0
2018-02-16,09:36:00,6.945,6.95,6.94,6.95,963.0
2018-02-16,09:37:00,6.95,6.955,6.95,6.95,37396.0
2018-02-16,09:38:00,6.957,6.961,6.955,6.961,40258.0
2018-02-16,09:39:00,6.965,6.965,6.965,6.965,100.0
2018-02-16,09:40:00,6.97,6.97,6.967,6.967,1750.0
2018-02-16,09:41:00,6.965,6.97,6.965,6.965,3619.0
2018-02-16,09:42:00,6.96,6.965,6.96,6.965,600.0
2018-02-16,09:43:00,6.965,6.965,6.965,6.965,262.0
2018-02-16,09:44:00,6.9638,6.9638,6.95,6.95,41414.0
2018-02-16,09:45:00,6.95,6.96,6.95,6.96,50620.0
2018-02-16,09:46:00,6.95,6.96,6.95,6.96,19100.0
2018-02-16,09:47:00,6.96,6.96,6.955,6.96,50855.0
2018-02-16,09:48:00,6.955,6.97,6.9548,6.9614,88553.0
2018-02-16,09:49:00,6.961,6.965,6.96,6.965,11064.0
2018-02-16,09:50:00,6.97,6.97,6.9656,6.9656,9100.0
2018-02-16,09:51:00,6.9688,6.9688,6.961,6.961,5822.0
2018-02-16,09:52:00,6.9638,6.9638,6.9638,6.9638,100.0
2018-02-16,09:53:00,6.97,6.97,6.965,6.9699,1829.0
2018-02-16,09:54:00,6.9639,6.9756,6.9639,6.975,74136.0
2018-02-16,09:55:00,6.975,6.9768,6.97,6.975,40472.0
2018-02-16,09:56:00,6.9713,6.975,6.97,6.97,4132.0
2018-02-16,09:58:00,6.975,6.975,6.9714,6.9735,6124.0
2018-02-16,09:59:00,6.97,6.9733,6.97,6.9733,3487.0
2018-02-16,10:00:00,6.975,6.975,6.965,6.97,36939.0
2018-02-16,10:01:00,6.96,6.965,6.96,6.965,1600.0
2018-02-16,10:03:00,6.965,6.965,6.965,6.965,1600.0
2018-02-16,10:04:00,6.965,6.965,6.9644,6.9644,1372.0
2018-02-16,10:05:00,6.965,6.965,6.965,6.965,400.0
2018-02-16,10:06:00,6.96,6.965,6.955,6.955,23839.0
2018-02-16,10:08:00,6.955,6.955,6.95,6.955,6258.0
2018-02-16,10:09:00,6.96,6.96,6.955,6.96,16719.0
2018-02-16,10:10:00,6.96,6.97,6.95,6.97,55152.0
2018-02-16,10:11:00,6.97,6.97,6.9637,6.97,7627.0
2018-02-16,10:12:00,6.97,6.97,6.969,6.97,1863.0
