date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,56.65,56.72,56.65,56.72,459549.0
2018-02-16,09:31:00,56.73,57.05,56.72,57.04,111804.0
2018-02-16,09:32:00,57.04,57.045,56.89,56.89,33149.0
2018-02-16,09:33:00,56.89,56.965,56.85,56.88,36509.0
2018-02-16,09:34:00,56.89,56.899,56.75,56.84,44233.0
2018-02-16,09:35:00,56.84,56.9,56.8,56.86,72019.0
2018-02-16,09:36:00,56.8586,56.93,56.84,56.89,54166.0
2018-02-16,09:37:00,56.89,56.96,56.86,56.9,41029.0
2018-02-16,09:38:00,56.9,56.9,56.82,56.837,30211.0
2018-02-16,09:39:00,56.8399,56.89,56.835,56.84,21389.0
2018-02-16,09:40:00,56.84,56.84,56.63,56.64,49165.0
2018-02-16,09:41:00,56.64,56.65,56.55,56.625,61053.0
2018-02-16,09:42:00,56.62,56.69,56.59,56.63,26359.0
2018-02-16,09:43:00,56.645,56.67,56.63,56.67,28533.0
2018-02-16,09:44:00,56.67,56.74,56.67,56.74,59044.0
2018-02-16,09:45:00,56.755,56.78,56.68,56.78,41209.0
2018-02-16,09:46:00,56.77,56.79,56.7,56.79,12192.0
2018-02-16,09:47:00,56.78,56.8,56.76,56.775,28922.0
2018-02-16,09:48:00,56.77,56.7899,56.75,56.76,12538.0
2018-02-16,09:49:00,56.76,56.76,56.72,56.76,10746.0
2018-02-16,09:50:00,56.765,56.81,56.739,56.739,20871.0
2018-02-16,09:51:00,56.73,56.75,56.71,56.7375,22470.0
2018-02-16,09:52:00,56.73,56.74,56.7,56.7,12472.0
2018-02-16,09:53:00,56.7,56.72,56.665,56.665,14609.0
2018-02-16,09:54:00,56.665,56.69,56.66,56.66,12363.0
2018-02-16,09:55:00,56.66,56.66,56.63,56.64,10848.0
2018-02-16,09:56:00,56.64,56.67,56.62,56.63,14889.0
2018-02-16,09:57:00,56.62,56.65,56.6,56.65,11109.0
2018-02-16,09:58:00,56.66,56.66,56.615,56.64,11559.0
2018-02-16,09:59:00,56.65,56.675,56.64,56.66,15948.0
2018-02-16,10:00:00,56.67,56.71,56.645,56.7,126602.0
2018-02-16,10:01:00,56.71,56.75,56.68,56.72,28702.0
2018-02-16,10:02:00,56.72,56.76,56.71,56.76,12788.0
2018-02-16,10:03:00,56.75,56.78,56.75,56.75,30395.0
2018-02-16,10:04:00,56.75,56.78,56.73,56.78,35285.0
2018-02-16,10:05:00,56.79,56.83,56.79,56.81,27822.0
2018-02-16,10:06:00,56.81,56.81,56.76,56.79,17315.0
2018-02-16,10:07:00,56.79,56.795,56.75,56.75,16038.0
2018-02-16,10:08:00,56.76,56.76,56.73,56.73,14700.0
2018-02-16,10:09:00,56.72,56.7901,56.7,56.7901,21261.0
2018-02-16,10:10:00,56.79,56.84,56.79,56.8,10800.0
2018-02-16,10:11:00,56.81,56.83,56.79,56.79,14742.0
2018-02-16,10:12:00,56.7851,56.79,56.73,56.78,15910.0
2018-02-16,10:13:00,56.775,56.82,56.76,56.82,13224.0
2018-02-16,10:14:00,56.81,56.83,56.78,56.78,9949.0
2018-02-16,10:15:00,56.78,56.82,56.7781,56.79,10486.0
2018-02-16,10:16:00,56.79,56.83,56.775,56.775,18876.0
2018-02-16,10:17:00,56.77,56.83,56.77,56.795,28106.0
2018-02-16,10:18:00,56.79,56.8,56.74,56.75,27227.0
2018-02-16,10:19:00,56.74,56.74,56.705,56.71,17561.0
2018-02-16,10:20:00,56.71,56.735,56.64,56.65,26373.0
2018-02-16,10:21:00,56.65,56.66,56.62,56.64,19896.0
2018-02-16,10:22:00,56.65,56.655,56.6251,56.6445,13490.0
2018-02-16,10:23:00,56.64,56.64,56.585,56.64,28771.0
2018-02-16,10:24:00,56.64,56.655,56.6,56.63,15404.0
2018-02-16,10:25:00,56.615,56.69,56.615,56.675,20835.0
2018-02-16,10:26:00,56.675,56.68,56.65,56.65,9875.0
2018-02-16,10:27:00,56.645,56.66,56.63,56.66,14720.0
2018-02-16,10:28:00,56.65,56.655,56.62,56.62,8554.0
2018-02-16,10:29:00,56.625,56.66,56.62,56.65,22474.0
2018-02-16,10:30:00,56.64,56.69,56.64,56.69,6045.0
2018-02-16,10:31:00,56.68,56.7,56.66,56.67,40968.0
2018-02-16,10:32:00,56.67,56.7,56.66,56.6989,23749.0
2018-02-16,10:33:00,56.695,56.7,56.69,56.69,2729.0
2018-02-16,10:34:00,56.69,56.7,56.66,56.66,13660.0
2018-02-16,10:35:00,56.66,56.66,56.62,56.62,7680.0
2018-02-16,10:36:00,56.63,56.65,56.62,56.64,16786.0
2018-02-16,10:37:00,56.6408,56.7,56.6401,56.69,5570.0
2018-02-16,10:38:00,56.7,56.71,56.69,56.69,18411.0
2018-02-16,10:39:00,56.7,56.71,56.69,56.695,7616.0
2018-02-16,10:40:00,56.7,56.7,56.68,56.69,18432.0
2018-02-16,10:41:00,56.69,56.705,56.66,56.6736,18085.0
2018-02-16,10:42:00,56.6748,56.69,56.66,56.69,5844.0
