date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,2.09,2.09,2.09,2.09,39128.0
2018-02-16,09:31:00,2.09,2.1,2.05,2.0883,66178.0
2018-02-16,09:32:00,2.0717,2.08,2.0509,2.0593,53259.0
2018-02-16,09:33:00,2.06,2.07,2.059,2.07,5909.0
2018-02-16,09:34:00,2.0615,2.09,2.0615,2.0807,11829.0
2018-02-16,09:35:00,2.09,2.09,2.08,2.0862,8459.0
2018-02-16,09:36:00,2.0839,2.1,2.0839,2.1,16071.0
2018-02-16,09:37:00,2.095,2.1,2.095,2.095,44175.0
2018-02-16,09:38:00,2.0907,2.095,2.0907,2.095,3904.0
2018-02-16,09:39:00,2.1,2.1099,2.095,2.1,22019.0
2018-02-16,09:40:00,2.1,2.109,2.1,2.109,3902.0
2018-02-16,09:41:00,2.1075,2.1075,2.1075,2.1075,100.0
2018-02-16,09:42:00,2.1005,2.11,2.08,2.09,45674.0
2018-02-16,09:43:00,2.083,2.083,2.083,2.083,1000.0
2018-02-16,09:44:00,2.0807,2.0807,2.073,2.073,9239.0
2018-02-16,09:45:00,2.07,2.0725,2.07,2.07,22774.0
2018-02-16,09:46:00,2.075,2.08,2.07,2.075,10300.0
2018-02-16,09:47:00,2.08,2.08,2.07,2.07,42478.0
2018-02-16,09:48:00,2.0691,2.07,2.06,2.06,28400.0
2018-02-16,09:49:00,2.06,2.0794,2.06,2.079,18714.0
2018-02-16,09:50:00,2.075,2.089,2.075,2.085,20196.0
2018-02-16,09:51:00,2.08,2.08,2.075,2.075,9800.0
2018-02-16,09:52:00,2.0742,2.0752,2.07,2.0752,13268.0
2018-02-16,09:53:00,2.079,2.079,2.0714,2.075,12600.0
2018-02-16,09:54:00,2.07,2.08,2.07,2.08,2050.0
2018-02-16,09:55:00,2.079,2.079,2.065,2.065,13100.0
2018-02-16,09:57:00,2.0631,2.065,2.0615,2.0615,5635.0
2018-02-16,09:58:00,2.06,2.06,2.05,2.055,26932.0
2018-02-16,09:59:00,2.0501,2.06,2.05,2.05,5500.0
2018-02-16,10:00:00,2.05,2.05,2.04,2.045,30770.0
2018-02-16,10:01:00,2.0486,2.06,2.0486,2.055,47325.0
2018-02-16,10:02:00,2.055,2.06,2.055,2.0591,1400.0
2018-02-16,10:03:00,2.0592,2.0592,2.05,2.05,2200.0
2018-02-16,10:04:00,2.05,2.055,2.05,2.055,200.0
2018-02-16,10:05:00,2.055,2.06,2.055,2.055,2100.0
2018-02-16,10:06:00,2.0538,2.06,2.05,2.06,10530.0
2018-02-16,10:07:00,2.055,2.06,2.051,2.06,2500.0
2018-02-16,10:08:00,2.055,2.06,2.05,2.06,13098.0
2018-02-16,10:09:00,2.0586,2.06,2.055,2.06,10300.0
2018-02-16,10:10:00,2.055,2.06,2.055,2.06,10300.0
2018-02-16,10:11:00,2.065,2.07,2.0611,2.065,1477.0
2018-02-16,10:12:00,2.065,2.07,2.06,2.0632,4238.0
2018-02-16,10:13:00,2.065,2.07,2.065,2.07,7600.0
2018-02-16,10:14:00,2.07,2.07,2.06,2.06,1200.0
2018-02-16,10:15:00,2.065,2.065,2.065,2.065,300.0
2018-02-16,10:16:00,2.07,2.07,2.07,2.07,400.0
2018-02-16,10:17:00,2.065,2.07,2.0605,2.07,7375.0
2018-02-16,10:18:00,2.07,2.07,2.07,2.07,1000.0
2018-02-16,10:19:00,2.07,2.07,2.065,2.07,1400.0
2018-02-16,10:20:00,2.06,2.07,2.06,2.065,700.0
2018-02-16,10:21:00,2.065,2.07,2.065,2.066,1600.0
2018-02-16,10:22:00,2.07,2.07,2.06,2.0635,2100.0
2018-02-16,10:23:00,2.06,2.07,2.06,2.07,1100.0
2018-02-16,10:24:00,2.07,2.07,2.065,2.065,739.0
2018-02-16,10:25:00,2.07,2.07,2.065,2.065,5200.0
2018-02-16,10:26:00,2.065,2.08,2.065,2.07,12688.0
2018-02-16,10:27:00,2.075,2.075,2.075,2.075,700.0
2018-02-16,10:28:00,2.08,2.08,2.0715,2.0724,7715.0
2018-02-16,10:29:00,2.0795,2.08,2.0795,2.08,200.0
2018-02-16,10:30:00,2.0738,2.08,2.07,2.07,1505.0
2018-02-16,10:32:00,2.08,2.085,2.075,2.085,14100.0
2018-02-16,10:33:00,2.08,2.09,2.08,2.09,2900.0
2018-02-16,10:34:00,2.08,2.085,2.08,2.08,2800.0
2018-02-16,10:35:00,2.08,2.085,2.08,2.08,3700.0
2018-02-16,10:36:00,2.085,2.085,2.08,2.085,1400.0
2018-02-16,10:37:00,2.085,2.085,2.07,2.0718,42563.0
2018-02-16,10:39:00,2.07,2.08,2.07,2.08,2200.0
2018-02-16,10:40:00,2.0766,2.0766,2.07,2.07,1100.0
2018-02-16,10:41:00,2.08,2.08,2.07,2.0799,6050.0
2018-02-16,10:42:00,2.075,2.075,2.07,2.07,200.0
2018-02-16,10:43:00,2.08,2.08,2.075,2.075,1998.0
2018-02-16,10:44:00,2.075,2.08,2.071,2.071,4381.0
2018-02-16,10:45:00,2.08,2.08,2.075,2.08,1600.0
2018-02-16,10:46:00,2.075,2.08,2.075,2.08,700.0
2018-02-16,10:47:00,2.08,2.09,2.08,2.0848,11278.0
2018-02-16,10:48:00,2.085,2.089,2.08,2.089,4946.0
2018-02-16,10:49:00,2.08,2.09,2.08,2.09,2100.0
2018-02-16,10:50:00,2.08,2.0865,2.08,2.0865,1900.0
2018-02-16,10:51:00,2.085,2.09,2.085,2.0899,2200.0
2018-02-16,10:52:00,2.085,2.09,2.085,2.09,1200.0
2018-02-16,10:53:00,2.085,2.09,2.085,2.09,1800.0
2018-02-16,10:54:00,2.0801,2.09,2.0801,2.09,6900.0
2018-02-16,10:55:00,2.09,2.09,2.08,2.09,5100.0
2018-02-16,10:56:00,2.085,2.09,2.08,2.09,600.0
2018-02-16,10:57:00,2.085,2.085,2.085,2.085,500.0
2018-02-16,10:58:00,2.08,2.09,2.08,2.08,3400.0
2018-02-16,10:59:00,2.085,2.09,2.08,2.08,2000.0
2018-02-16,11:00:00,2.08,2.09,2.08,2.08,13800.0
2018-02-16,11:01:00,2.08,2.09,2.08,2.08,2200.0
2018-02-16,11:02:00,2.08,2.08,2.08,2.08,300.0
2018-02-16,11:03:00,2.085,2.089,2.08,2.085,3800.0
2018-02-16,11:04:00,2.09,2.09,2.07,2.075,36671.0
2018-02-16,11:05:00,2.07,2.075,2.07,2.07,600.0
2018-02-16,11:06:00,2.07,2.075,2.07,2.075,1643.0
2018-02-16,11:07:00,2.07,2.07,2.07,2.07,200.0
2018-02-16,11:08:00,2.08,2.08,2.0749,2.0749,1800.0
