date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,6.19,6.2,6.19,6.2,618296.0
2018-02-16,09:31:00,6.2,6.2,6.15,6.17,149414.0
2018-02-16,09:32:00,6.16,6.16,6.08,6.09,250995.0
2018-02-16,09:33:00,6.09,6.1,6.09,6.09,143360.0
2018-02-16,09:34:00,6.09,6.14,6.09,6.11,227994.0
2018-02-16,09:35:00,6.11,6.2,6.105,6.2,300119.0
2018-02-16,09:36:00,6.19,6.2,6.16,6.175,353286.0
2018-02-16,09:37:00,6.16,6.175,6.14,6.14,368414.0
2018-02-16,09:38:00,6.14,6.1464,6.14,6.14,18400.0
2018-02-16,09:39:00,6.14,6.1499,6.14,6.14,266024.0
2018-02-16,09:40:00,6.145,6.15,6.12,6.12,83634.0
2018-02-16,09:41:00,6.119,6.1256,6.11,6.119,44071.0
2018-02-16,09:42:00,6.115,6.115,6.105,6.115,43360.0
2018-02-16,09:43:00,6.119,6.119,6.115,6.1167,6246.0
2018-02-16,09:44:00,6.11,6.13,6.11,6.13,38368.0
2018-02-16,09:45:00,6.125,6.125,6.1,6.1099,45769.0
2018-02-16,09:46:00,6.105,6.11,6.1,6.1,20146.0
2018-02-16,09:47:00,6.11,6.116,6.11,6.116,63872.0
2018-02-16,09:48:00,6.115,6.115,6.11,6.1101,29684.0
2018-02-16,09:49:00,6.115,6.13,6.11,6.12,41658.0
2018-02-16,09:50:00,6.12,6.1288,6.12,6.12,20172.0
2018-02-16,09:51:00,6.12,6.12,6.11,6.12,35468.0
2018-02-16,09:52:00,6.12,6.129,6.12,6.129,1600.0
2018-02-16,09:53:00,6.12,6.125,6.12,6.12,4800.0
2018-02-16,09:55:00,6.12,6.1298,6.12,6.125,800.0
2018-02-16,09:56:00,6.125,6.13,6.125,6.13,18813.0
2018-02-16,09:57:00,6.125,6.13,6.12,6.12,7900.0
2018-02-16,09:58:00,6.12,6.125,6.12,6.125,22590.0
2018-02-16,09:59:00,6.12,6.1271,6.105,6.105,58155.0
2018-02-16,10:00:00,6.105,6.11,6.105,6.1099,5700.0
2018-02-16,10:01:00,6.105,6.105,6.1,6.105,1800.0
2018-02-16,10:02:00,6.11,6.12,6.105,6.12,63651.0
2018-02-16,10:03:00,6.12,6.12,6.111,6.111,5316.0
2018-02-16,10:04:00,6.12,6.125,6.1101,6.12,117953.0
2018-02-16,10:05:00,6.125,6.1299,6.12,6.1247,5966.0
2018-02-16,10:06:00,6.125,6.125,6.12,6.125,140699.0
2018-02-16,10:07:00,6.12,6.125,6.12,6.125,111565.0
2018-02-16,10:08:00,6.12,6.125,6.115,6.12,271929.0
2018-02-16,10:09:00,6.12,6.13,6.115,6.125,180691.0
2018-02-16,10:10:00,6.14,6.155,6.14,6.151,40825.0
2018-02-16,10:11:00,6.155,6.1599,6.155,6.159,9377.0
2018-02-16,10:12:00,6.1501,6.1501,6.14,6.14,73077.0
2018-02-16,10:13:00,6.14,6.1444,6.14,6.1444,3125.0
2018-02-16,10:14:00,6.14,6.1412,6.14,6.14,18895.0
2018-02-16,10:15:00,6.14,6.145,6.14,6.1434,3900.0
2018-02-16,10:16:00,6.145,6.145,6.14,6.14,8882.0
2018-02-16,10:17:00,6.145,6.15,6.14,6.145,27629.0
2018-02-16,10:18:00,6.155,6.16,6.155,6.16,20836.0
2018-02-16,10:19:00,6.16,6.16,6.1512,6.16,10072.0
2018-02-16,10:20:00,6.16,6.17,6.1599,6.1657,12499.0
2018-02-16,10:21:00,6.17,6.17,6.16,6.165,11369.0
2018-02-16,10:22:00,6.166,6.166,6.16,6.16,350203.0
2018-02-16,10:23:00,6.155,6.155,6.15,6.155,31800.0
2018-02-16,10:24:00,6.15,6.15,6.15,6.15,13618.0
2018-02-16,10:25:00,6.15,6.1578,6.15,6.15,2497.0
2018-02-16,10:26:00,6.15,6.155,6.15,6.15,6000.0
2018-02-16,10:27:00,6.15,6.1565,6.15,6.1565,11100.0
2018-02-16,10:28:00,6.155,6.16,6.15,6.1542,2960.0
2018-02-16,10:29:00,6.159,6.165,6.151,6.16,58284.0
2018-02-16,10:30:00,6.165,6.169,6.16,6.16,5100.0
2018-02-16,10:31:00,6.165,6.165,6.16,6.16,2627.0
2018-02-16,10:32:00,6.165,6.165,6.16,6.16,11189.0
2018-02-16,10:33:00,6.165,6.165,6.1601,6.165,6538.0
2018-02-16,10:34:00,6.17,6.17,6.16,6.165,33200.0
2018-02-16,10:35:00,6.165,6.169,6.16,6.16,8688.0
2018-02-16,10:36:00,6.1601,6.17,6.16,6.16,8801.0
2018-02-16,10:37:00,6.165,6.17,6.16,6.165,6549.0
2018-02-16,10:38:00,6.165,6.17,6.16,6.165,17330.0
2018-02-16,10:39:00,6.16,6.17,6.16,6.1655,19805.0
2018-02-16,10:40:00,6.16,6.17,6.16,6.16,19200.0
2018-02-16,10:41:00,6.165,6.169,6.16,6.16,3307.0
2018-02-16,10:42:00,6.16,6.1699,6.16,6.165,5923.0
2018-02-16,10:43:00,6.16,6.165,6.15,6.15,83195.0
2018-02-16,10:44:00,6.15,6.1561,6.15,6.155,5500.0
2018-02-16,10:45:00,6.15,6.1599,6.15,6.15,108437.0
2018-02-16,10:46:00,6.15,6.1599,6.145,6.145,120750.0
2018-02-16,10:47:00,6.145,6.15,6.145,6.145,33144.0
2018-02-16,10:48:00,6.14,6.15,6.14,6.145,58482.0
2018-02-16,10:49:00,6.145,6.145,6.14,6.145,4700.0
2018-02-16,10:50:00,6.145,6.145,6.14,6.14,9300.0
2018-02-16,10:51:00,6.145,6.15,6.14,6.14,5299.0
2018-02-16,10:52:00,6.14,6.1401,6.14,6.1401,8896.0
2018-02-16,10:53:00,6.145,6.145,6.14,6.1401,3100.0
2018-02-16,10:54:00,6.14,6.145,6.13,6.135,72718.0
2018-02-16,10:55:00,6.135,6.135,6.13,6.134,11500.0
2018-02-16,10:56:00,6.13,6.14,6.13,6.135,4200.0
2018-02-16,10:57:00,6.135,6.135,6.13,6.13,3496.0
2018-02-16,10:58:00,6.13,6.135,6.13,6.135,20898.0
2018-02-16,10:59:00,6.135,6.135,6.13,6.13,2191.0
2018-02-16,11:00:00,6.13,6.14,6.13,6.13,224592.0
2018-02-16,11:01:00,6.13,6.15,6.13,6.145,108197.0
2018-02-16,11:02:00,6.1401,6.15,6.1401,6.15,12313.0
2018-02-16,11:03:00,6.15,6.15,6.145,6.145,25250.0
2018-02-16,11:04:00,6.145,6.15,6.14,6.14,2400.0
2018-02-16,11:05:00,6.145,6.15,6.14,6.1466,13617.0
2018-02-16,11:06:00,6.1488,6.15,6.14,6.15,4100.0
2018-02-16,11:07:00,6.15,6.15,6.14,6.14,12900.0
2018-02-16,11:08:00,6.145,6.15,6.14,6.149,11586.0
2018-02-16,11:09:00,6.15,6.15,6.14,6.15,900.0
2018-02-16,11:10:00,6.15,6.15,6.14,6.145,6505.0
