date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,66.15,66.19,66.15,66.19,335273.0
2018-02-16,09:31:00,66.15,66.32,65.91,66.32,21624.0
2018-02-16,09:32:00,66.3299,66.365,66.27,66.35,14183.0
2018-02-16,09:33:00,66.35,66.46,66.31,66.31,13881.0
2018-02-16,09:34:00,66.31,66.395,66.19,66.23,15943.0
2018-02-16,09:35:00,66.2003,66.33,66.16,66.25,24087.0
2018-02-16,09:36:00,66.2249,66.23,66.045,66.11,13593.0
2018-02-16,09:37:00,66.07,66.07,65.93,65.93,9336.0
2018-02-16,09:38:00,65.935,65.98,65.9,65.95,31086.0
2018-02-16,09:39:00,65.96,66.135,65.93,66.12,12250.0
2018-02-16,09:40:00,66.14,66.25,66.13,66.15,31968.0
2018-02-16,09:41:00,66.146,66.16,66.09,66.11,12325.0
2018-02-16,09:42:00,66.11,66.2,66.09,66.19,13497.0
2018-02-16,09:43:00,66.19,66.25,66.17,66.2,28840.0
2018-02-16,09:44:00,66.2,66.2,66.15,66.15,12278.0
2018-02-16,09:45:00,66.15,66.15,66.02,66.05,18831.0
2018-02-16,09:46:00,66.0417,66.07,65.96,66.07,15465.0
2018-02-16,09:47:00,66.09,66.16,66.05,66.16,12290.0
2018-02-16,09:48:00,66.16,66.22,66.14,66.2,18099.0
2018-02-16,09:49:00,66.21,66.23,66.185,66.205,51249.0
2018-02-16,09:50:00,66.2,66.22,66.12,66.12,18527.0
2018-02-16,09:51:00,66.11,66.16,66.06,66.16,16463.0
2018-02-16,09:52:00,66.16,66.16,66.04,66.09,8269.0
2018-02-16,09:53:00,66.11,66.15,66.07,66.15,8142.0
2018-02-16,09:54:00,66.14,66.14,66.06,66.13,15734.0
2018-02-16,09:55:00,66.14,66.16,66.06,66.11,11206.0
2018-02-16,09:56:00,66.11,66.14,66.07,66.07,16250.0
2018-02-16,09:57:00,66.07,66.08,66.04,66.06,11548.0
2018-02-16,09:58:00,66.055,66.1,66.0,66.1,9096.0
2018-02-16,09:59:00,66.1,66.1,65.95,66.0,30472.0
2018-02-16,10:00:00,66.0,66.03,65.93,65.9862,15830.0
2018-02-16,10:01:00,65.98,66.03,65.93,65.98,17186.0
2018-02-16,10:02:00,65.98,66.035,65.94,66.03,25114.0
2018-02-16,10:03:00,66.02,66.1,66.02,66.09,15352.0
2018-02-16,10:04:00,66.09,66.14,66.07,66.14,17461.0
2018-02-16,10:05:00,66.14,66.14,66.04,66.04,8550.0
2018-02-16,10:06:00,66.04,66.06,65.99,66.05,19896.0
2018-02-16,10:07:00,66.045,66.05,65.98,66.0125,19227.0
